Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,265.0484977990387,281.03663632442084,274.7321987600598,102327.47509566873,269.8898733000024,101784.16601927776,1.862645149230957e-09,-1.2287650283807252,-0.9925543592210039,0.12755716982609827,0.00905358097982709,台前县
2001_01_03,261.6610126896675,275.8138167174794,271.5386996775451,102858.6222189044,268.31666781789875,102304.09474478435,4.284083843231201e-08,-2.0270730941004547,-1.8157177734378516,0.14403199642356398,0.013580371469740636,台前县
2001_01_04,264.2740976679141,273.1303345963655,271.8964121601923,102991.39321747742,268.3262454394871,102437.32010788695,2.2636814749266034e-05,-1.1158972823040112,0.654730414522215,0.08950956876365875,0.01810716195965418,台前县
2001_01_07,273.072279431289,274.1123081721689,273.3702309023657,102408.72905731337,271.8205956364865,101860.18594941677,0.0015831210539473855,-0.10053411152768854,-2.6428510074350076,-0.005165959941846353,0.031687533429394815,台前县
2001_01_09,267.90903866188216,272.0518020505341,269.4330824464878,102391.80634264505,265.621189967028,101839.41916004733,8.882661665381602e-07,0.51123256970379,2.7044870572259097,-0.00535704989085787,0.0407411144092219,台前县
2001_01_10,267.3378803593509,273.8283570312236,268.7727916118573,101715.01064170987,263.75604112162114,101168.03412145324,9.002356153334051e-08,-0.0020192329010649264,-0.9975216220405283,0.006288305831202161,0.045267904899135444,台前县
2001_01_13,262.1785145166795,268.7708850934422,264.5703390700681,103244.6920321522,258.87195925662724,102679.1712472226,0.0016688204857488926,-1.4814414679539665,-2.5131062223647573,0.0021601830165397123,0.05884827636887608,台前县
2001_01_14,258.8886681272982,266.54289484842127,262.46709112313334,103646.19501291633,259.65822508305945,103075.81983111988,0.0,-0.37316592089060446,-0.22972389642723576,0.0036693581954469986,0.06337506685878963,台前县
2001_01_16,265.7689841541046,271.75850189801514,268.96542012475305,103017.97607772653,260.84673979229007,102462.45031400591,1.9230279845132485e-06,-1.2046183970114106,2.1711479455049982,0.010031985458869182,0.07242864783861672,台前县
2001_01_17,268.3012078099652,274.88438608516327,271.0082145827858,102513.08017174294,266.09020550954574,101965.51924793213,0.0,-0.8803609623616584,2.4679883325277796,0.022575784778592567,0.07695543832853026,台前县
2001_01_18,270.17622788461404,273.97939834512124,271.5913927611994,102795.91471238738,268.5112915631551,102242.53172095887,0.0005069519858241952,0.44538078416179866,-2.7556855556043587,0.011460261768622916,0.0814822288184438,台前县
2001_01_20,269.5281611986412,272.2991302001181,270.5821222473942,102427.83080181199,267.6395252390896,101876.20431185576,5.829736944059009e-06,-0.8024704684906198,1.5137595933468706,0.019700482630895206,0.09053580979827089,台前县
2001_01_22,269.5802625171814,272.8342048200585,271.05345909808756,102947.0321346466,269.8513533749451,102391.31769937077,0.0002673003189025032,-0.5869212388830923,-3.3514273879687115,-0.0046607373469664025,0.09958939077809799,台前县
2001_01_26,265.22493419224753,272.9477591509135,269.61743412540784,102301.11538632622,265.7031973989309,101749.48932191127,1.862645149230957e-09,1.347176653103576,0.8925705554135389,0.01362790459234076,0.11769655273775216,台前县
2001_01_28,260.95455228148495,274.662569120546,271.04684745821754,102832.6305643332,267.3326395919029,102279.72797879175,1.862645149230957e-09,1.779932697414685,1.0966200123916177,0.009509813586959962,0.12675013371757926,台前县
2001_01_29,265.70066347359705,279.7094224160059,273.63917177955125,102300.30099008122,267.7767526890762,101760.37135314777,4.284083843231201e-08,0.017660270331923307,1.1232701699214658,0.0006667305591258093,0.1312769242074928,台前县
