Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,275.29974651518694,283.2869459286348,279.8896434358935,102243.26156973219,276.04586727247994,101695.97773209064,1.862645149230957e-09,0.06661846017754071,-0.2508996072760976,0.15825069978420234,0.00905358097982709,固始县
2001_01_03,275.489893999604,283.4998666190957,279.1605788320379,102491.56474161577,276.69618948744744,101938.1794145116,4.284083843231201e-08,-0.9757283323837166,-1.2480848973197811,0.10886545957622366,0.013580371469740636,固始县
2001_01_05,277.5376769534018,280.50464169379114,278.98972777005827,102445.06296680753,275.72426543855977,101890.40002062543,0.012712158612143103,-3.318665387640741,-1.2162961031532749,0.33127882086596144,0.022633952449567722,固始县
2001_01_07,273.31628227387006,276.55680481568214,275.62773609618455,102217.3554236348,273.05100339468845,101656.74995978465,0.002163825324435756,-1.0800639634479723,-1.561438589451776,0.15739364655230276,0.031687533429394815,固始县
2001_01_10,272.9681720839327,281.4166164960275,276.9189879632223,101833.69007741012,270.4435404357977,101280.80073043094,1.862645149230957e-09,2.5722667277345943,2.289350766490706,0.21859649780354437,0.045267904899135444,固始县
2001_01_11,274.62291699681504,283.46248012827294,277.6336743453324,101968.30223589837,274.07080261380685,101416.06086034924,6.669162794900877e-06,-0.0901340517678117,-1.0266951157050235,0.2664102978251057,0.049794695389048994,固始县
2001_01_13,270.46742039651616,281.01867842973223,274.1676542327665,102947.78820340523,270.2273955682883,102382.40083994996,2.633721549801404e-06,0.6146696036150375,-2.0584825757461442,0.1600237300846138,0.05884827636887608,固始县
2001_01_14,267.7816962254438,274.0664471258202,271.42885006502684,103494.76264237806,269.09270431190316,102919.51653533473,7.766218524951336e-07,-1.1094535429535481,-1.0171728332972296,0.11490820738400341,0.06337506685878963,固始县
2001_01_15,267.1929335638826,275.66766302543124,272.4836456827152,103385.04284346272,269.17374517551406,102813.73436496941,0.0,-2.2621692335110604,0.6552469472539831,0.1449242511447058,0.06790185734870317,固始县
2001_01_16,269.9693164521104,279.19266720197277,275.04196108145965,102898.30920005795,269.88866883861834,102337.18183478905,0.0,-2.121767138660961,0.6039375696666964,0.1842499422374727,0.07242864783861672,固始县
2001_01_17,273.9232285724404,282.01367355311265,278.7250226080456,102409.41625657484,272.109412471122,101856.21867284342,0.0002461245746617459,-1.9881275804203389,0.35741299354478695,0.19580288156004902,0.07695543832853026,固始县
2001_01_18,277.3005251703239,285.1935437371378,281.14649980606634,102369.27170957779,277.3311662654169,101820.35767137984,0.0004868286365946675,-1.5700907655408594,-1.117877609715563,0.20112172218551333,0.0814822288184438,固始县
2001_01_20,274.1432496269752,277.4708579068402,275.50805486411633,102334.17784079848,273.7431198828881,101775.56829337498,0.00012966291560168635,-1.5763714149575982,0.059165128617819154,0.2531334443233558,0.09053580979827089,固始县
2001_01_26,268.5337865036543,272.51250990661345,270.44766883438956,102550.66490543136,268.7503396302223,101982.69099179877,2.3293589225628152e-06,2.045742473429468,0.35530769711530974,0.007072890908288579,0.11769655273775216,固始县
2001_01_28,265.2565839699643,277.01593430575764,273.75959484787205,103084.81311398844,270.90710183287246,102519.63553724976,1.862645149230957e-09,0.6031998791900863,-0.36252238322688707,0.0685063004163673,0.12675013371757926,固始县
2001_01_29,270.1621431581834,281.75977394617047,276.69540297192003,102414.42924276362,271.62968197164537,101863.05175996042,4.710197374103451e-08,1.2082448964763697,1.361630693183234,0.24364004413080145,0.1312769242074928,固始县
2001_01_30,273.76644252876577,284.27923311338157,279.65975051599816,101886.16050773252,273.36780514625923,101340.32233342607,0.0,0.14603481980697722,1.120210435970922,0.19907939939537575,0.13580371469740635,固始县
2001_02_02,271.23754324324466,282.40495303907113,278.5194467139617,102036.5107100269,273.39162533407045,101484.75521209388,0.0,-1.840301708837461,0.8351536888720942,0.1292381253827272,0.149384086167147,固始县
2001_02_03,274.7028221703101,282.3916396687994,279.1084976756386,102177.47507881519,275.4039633970631,101625.16954816238,1.4362036604792917e-06,-1.1689141763536413,-1.3127781050069611,0.1286047328966033,0.15391087665706052,固始县
2001_02_04,276.6387871091112,278.938457758858,277.76971678230746,102176.35384732447,275.5045215537046,101622.24523370525,0.000496277824555557,-2.0312743855749913,-0.7599814437108138,0.22508041473186854,0.15843766714697408,固始县
2001_02_08,273.6322521577413,278.31069181033854,275.62230319746635,102745.12498986535,272.41628688479716,102186.21096100633,0.0,-0.7156099919507926,1.0707979951705242,0.19651486477815736,0.17654482910662825,固始县
2001_02_09,274.81253149846225,282.55472632559395,277.49444865763934,102678.75952076343,273.1159990144841,102127.18749825592,0.0,-0.6211936757511438,0.4626248029308221,0.18267801464811415,0.18107161959654178,固始县
2001_02_10,275.59932829919273,286.6543429398785,280.30025670858015,102466.63400607964,273.61803512244467,101916.70306847531,0.0,-2.538329303475272,0.057894665099496326,0.22133870769813047,0.18559841008645533,固始县
2001_02_13,273.06331639582055,278.8035335393341,274.6146102839858,103050.28162017328,271.7272316728618,102489.54789366924,7.413487176147355e-06,1.5190875338417065,-0.02948042344646362,0.15267754816843498,0.19917878155619598,固始县
2001_02_14,273.75796463497295,284.4092423243037,279.5371813289424,102628.64457728466,273.3851633580661,102076.34720808182,4.284083843231201e-08,2.527874472064515,2.623177750132663,0.29298318792873,0.2037055720461095,固始县
2001_02_15,273.1174915586283,286.6003404858364,280.3173456819265,102954.82997924398,275.33462503028204,102402.95682972815,0.0,0.2534175889251891,-1.3614165134321754,0.1413781368130856,0.20823236253602306,固始县
2001_02_16,270.42572044454647,283.1972855727263,278.8670670628246,102923.5195774238,275.17978789191926,102365.10344973762,0.0,-4.146472016319126,1.1983080190102504,0.2144944133382003,0.2127591530259366,固始县
2001_02_18,277.41879318651706,289.2070203598272,282.56798563465077,101910.54058949799,274.2565314771107,101370.68324869453,0.0,-2.0080395623770753,0.19697288960111828,0.2365609510440147,0.2218127340057637,固始县
2001_02_19,278.943648664125,289.5368039709188,284.45001786391333,102089.32965004774,277.86071844915125,101546.74837138208,0.004333549558324322,-3.6000114386441426,-0.7512961449634109,0.23326394507068818,0.22633952449567724,固始县
2001_02_21,280.5933043964533,285.222613241328,282.7696220055326,101634.73950631024,279.02389190747755,101092.57717381773,0.0003517330637098723,-1.9047230552526822,0.5164620792302408,0.16607947393747008,0.23539310547550432,固始县
2001_02_22,283.4605549782867,287.1028133068619,284.6404850211375,101018.30990918778,281.8757652105992,100485.26377218933,0.007540171816284491,-0.921165685683845,-0.5603967529413967,0.18176036591564346,0.23991989596541785,固始县
2001_02_24,269.79645269999793,278.24734589654906,274.9866476715182,103196.76295211274,271.9206023222892,102630.09986237653,1.1864277420216093e-07,-1.5666494976910013,-2.2349300379538044,0.25307834400806056,0.24897347694524496,固始县
2001_02_25,270.2806568701511,279.4346767726317,277.05878811343024,102968.08416932308,273.2547841458313,102405.7042455825,9.265994384875917e-06,-3.5397906186632735,0.5006083538979257,0.2516045935742869,0.2535002674351585,固始县
2001_02_26,277.2069857456351,281.3961570406264,279.13936269755294,102436.28268899194,275.9388801393197,101881.57179717839,0.002756240950237319,-0.468970273010436,-0.4005709160323375,0.24563096825867756,0.258027057925072,固始县
2001_02_28,276.9441971773478,284.8963529465515,281.2073524015609,102200.00417172656,276.5704668928537,101654.07065252979,1.7164867082286716e-06,2.192079318528786,0.6923957748321166,0.26303974619622095,0.26708063890489914,固始县
2001_03_01,277.2464563260059,291.20678513580816,285.12230986673603,102211.18025277625,280.15445997708775,101673.82493517091,0.0,-0.21768336522073076,0.770142074961561,0.1636767537826944,0.2716074293948127,固始县
2001_03_02,279.17708763704087,290.9822642489312,286.2487786408125,101954.9275253841,280.89945940209776,101419.28809080202,9.99136444602653e-05,0.752466848119533,-0.08795491093546717,0.2983733041608512,0.27613421988472625,固始县
2001_03_04,267.67525484045933,287.29155393351647,282.4403073792857,101993.20815135099,276.64172846485184,101451.50777858713,0.0,-0.16801938744731162,1.2438748102734902,0.27714532202581543,0.2851878008645533,固始县
2001_03_07,266.455608336672,281.7807579227898,278.33093132416343,103072.51049303537,274.6095329684306,102514.13641114457,0.0,-0.6236712180993054,-1.932627025133445,0.23987015375775503,0.298768172334294,固始县
2001_03_08,265.1049193624649,281.8664177622671,277.7265933894546,103005.4999889862,273.7328302148595,102447.85749357264,0.0,0.9801335493274603,-0.08852240146435211,0.3308083283419967,0.3032949628242075,固始县
2001_03_09,270.70088113355126,288.7760438074716,283.679538238813,102079.30284810522,275.46602227198895,101535.47633120778,0.0,3.1094853148173516,2.833772692462442,0.31031232897161937,0.30782175331412104,固始县
2001_03_10,277.77560971609967,291.4385571039906,284.5586946903526,102161.66816534105,278.50595461213095,101618.94921364327,0.0,-0.2838721786372693,-0.7751814592657083,0.2281857103033379,0.3123485438040346,固始县
2001_03_11,278.55191633944446,288.2743872485332,282.88836707059454,102308.21191873428,278.40543643667985,101767.62663103992,0.0,0.5466070971093557,0.329985101497405,0.156162578601537,0.31687533429394815,固始县
2001_03_12,277.7498946399726,294.2254545303981,287.45960525721574,102008.4987704518,281.73797712687923,101476.73911683686,1.862645149230957e-09,-0.03912771170470843,1.5529701205213424,0.2832673048892109,0.3214021247838617,固始县
