Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,272.9177702073183,282.37932402566344,278.61773360104166,102252.16867988466,274.03291584954616,101659.35173984696,1.862645149230957e-09,0.7340489865348265,0.015216433991033049,0.30370026744442535,0.00905358097982709,平舆县
2001_01_07,272.79882289881397,276.58461230909137,274.68190285839876,102288.72740269978,271.52289739059677,101679.06776686406,0.004312658659148924,-1.0279200692338224,-2.8939192967097185,0.2952285501313554,0.031687533429394815,平舆县
2001_01_10,272.6561409373076,280.17564506094897,275.6343295243266,101753.50544692526,271.13926984079865,101156.22531251363,1.862645149230957e-09,2.4164406076185627,1.8571001795077136,0.2824037337199726,0.045267904899135444,平舆县
2001_01_11,272.6641076843301,281.46506766509714,275.4073870778874,102061.51081932537,270.9278878373924,101455.44693913644,0.00011365355872525362,-0.2512891786456372,-2.2444477157749647,0.3820197536772079,0.049794695389048994,平舆县
2001_01_13,268.9636271890037,278.49332098135017,272.3675277211678,103049.60383918106,267.44429390963904,102432.54042365821,0.0,-0.12907258705153474,-2.754678406451675,0.16821788175380575,0.05884827636887608,平舆县
2001_01_14,266.0964274452499,273.5020009831095,270.28813081007877,103516.08161187421,267.75485129581807,102891.36390906775,4.0343804857344817e-08,-0.9935459954702,-0.9153364365194291,0.20663994697447935,0.06337506685878963,平舆县
2001_01_15,267.217711761773,275.0688948331607,271.5109573823617,103370.91505873798,268.4893839252959,102751.78731435651,0.0,-1.6211690076025655,1.1951989321370928,0.3069411852118836,0.06790185734870317,平舆县
2001_01_16,270.4335162257086,278.480256135569,274.87786632114717,102883.16857381779,268.9504999522312,102274.28387239872,0.0,-1.5191111474924606,1.1474300679024994,0.3109584585122137,0.07242864783861672,平舆县
2001_01_17,273.61406944620956,280.82350387797334,277.5372893761237,102407.33196576739,271.21756226826324,101806.44307145609,3.211303160424987e-05,-1.5214185171282963,0.7371755395001452,0.35212227054075446,0.07695543832853026,平舆县
2001_01_18,274.8856371912272,284.21172587095276,278.9443022058675,102466.02244770897,273.92495028628554,101866.30115061227,0.0005724754153087295,-0.9394317189201066,-1.9547348983721706,0.35420966311701874,0.0814822288184438,平舆县
2001_01_26,268.2035503087839,274.72815829490577,270.61144283728936,102512.3051325833,267.68427250036615,101898.775159698,1.862645149230957e-09,1.9806721665953908,0.7391200371945945,0.008514483392326062,0.11769655273775216,平舆县
2001_01_29,270.98430771060947,280.6194075265425,275.9474632303665,102384.05822442232,270.4143315491682,101786.020971441,4.284083843231201e-08,1.8020626257398957,0.18409151305376598,0.031016750481137265,0.1312769242074928,平舆县
2001_01_30,273.2054393321972,282.5698608301703,278.110464508311,101871.7646046297,272.21592214231407,101278.91515864345,0.0,0.6384277709050639,0.873235588996468,0.11928566816484769,0.13580371469740635,平舆县
2001_02_03,273.7943199525493,283.3462429410087,278.69421263053533,102259.17962992699,273.4247457285508,101659.3415360783,0.0,-1.016767517918929,-2.074550884557899,0.1878923192544408,0.15391087665706052,平舆县
2001_02_09,273.3386000135373,282.6920594077733,277.7094588843856,102670.40452229262,272.9471222937433,102073.29909840309,0.0,-0.08804316331041032,0.19456088117027476,0.2518675597794363,0.18107161959654178,平舆县
2001_02_10,275.5599679883889,286.4170493483296,279.4575628582348,102498.34601175881,273.6070153136348,101901.02019487573,8.727388352285203e-07,-1.7888668929299998,-0.38150373790692405,0.3583253671968347,0.18559841008645533,平舆县
2001_02_13,271.8097150286406,279.51303998765576,275.0391907282472,103017.4185986191,271.72771625596204,102412.27243902552,1.862645149230957e-09,2.2549857284477324,-0.1594138303432166,0.029040020262405226,0.19917878155619598,平舆县
2001_02_14,274.9057227242014,284.79989264748804,280.01716695260257,102519.45840522584,273.62354889564995,101924.28023629879,4.284083843231201e-08,2.3110873356749217,2.876630924164668,0.42022753460443724,0.2037055720461095,平舆县
2001_02_15,271.6068302670256,286.29188146780285,280.001742542077,102989.05331922624,275.1246513587362,102390.78563726753,0.0,0.27216494079843684,-2.459076310194413,0.2585505507307557,0.20823236253602306,平舆县
2001_02_16,270.35283796804947,282.6578995718168,278.9809446481556,102899.48585931363,274.7023702146697,102295.15844009665,0.0,-3.4442586657690026,1.6018883813327287,0.33249226622654526,0.2127591530259366,平舆县
2001_02_18,277.83926673958155,288.8604702872594,282.26672628419203,101906.88022571956,274.33083897102733,101322.1946520148,0.0,-1.6005108327567803,0.8193537158302543,0.3626890205826803,0.2218127340057637,平舆县
2001_02_19,278.44748724153544,288.91629674112625,283.7295260936912,102150.03891042071,277.44330167327564,101561.69858608695,0.002228597348713484,-2.7795572004624485,-0.9096876243873657,0.3874807651965743,0.22633952449567724,平舆县
2001_02_24,269.3963019079854,278.09833718700844,274.40878591918437,103251.94005392469,270.90198533997005,102639.05586977884,1.862645149230957e-09,-1.6155161595755203,-1.8445266745908049,0.45759006637568195,0.24897347694524496,平舆县
2001_02_28,276.92606620424544,286.14869303237106,281.8709661677162,102154.65161401578,275.1019624330524,101566.40507745199,0.0,1.8741151661806679,0.8869601859837523,0.45124255430511273,0.26708063890489914,平舆县
2001_03_01,277.932968087152,291.489463215486,285.71498916718406,102144.78300970393,280.1020394601852,101563.51514233918,0.0,-0.4143821974240013,1.095705937294341,0.2999536913247394,0.2716074293948127,平舆县
2001_03_02,276.37530759052873,290.1788901700791,286.0987647517825,101971.03862324967,281.4631049009243,101391.01135583327,0.0,1.4517899655783,0.36242606775015973,0.3381958718564138,0.27613421988472625,平舆县
2001_03_04,269.0190354642846,287.10405803394104,283.29638100765675,101904.07117068858,276.0557485289067,101317.02946392394,6.092969547065338e-07,-0.05460827331132447,2.2615020655925315,0.46242120081316224,0.2851878008645533,平舆县
2001_03_07,265.4324709886083,281.30776839856657,277.6889871403122,103135.7406525388,274.2065954205071,102529.4281539533,0.0,0.3330239895412903,-1.462238470190299,0.41223125911484093,0.298768172334294,平舆县
2001_03_08,264.83628647230677,282.50478951047944,278.12216742687735,102944.87755986005,274.1645153181451,102342.13636229523,0.0,1.2227335682094504,0.5416549186229506,0.563155496930731,0.3032949628242075,平舆县
2001_03_09,273.5515227427872,289.16800343360524,283.47449015903857,101971.54928832743,275.93857904756663,101384.84751026804,0.0,2.481636754744557,3.083663597335544,0.4790631582442444,0.30782175331412104,平舆县
2001_03_10,277.3186063057092,290.3654855815783,283.5831467097547,102218.79185221852,277.23725319249377,101629.64342431618,0.0,-0.8986900131087872,-1.6533429009161345,0.3991216316274936,0.3123485438040346,平舆县
2001_03_11,277.36077533511616,289.25247279580236,282.64374146470294,102274.35778176461,277.53055858749013,101690.73155789437,0.0,0.7691592194287212,0.8052996011832204,0.2956679338003494,0.31687533429394815,平舆县
2001_03_12,278.0525801992914,294.29443363416203,288.4306460351107,101903.39500923242,280.4109024932884,101327.26742662804,1.862645149230957e-09,-0.127038080454753,2.385079707059803,0.5169438109642821,0.3214021247838617,平舆县
2001_03_13,279.43840967399996,295.60850172078375,290.3422180994458,101039.7499286954,285.2515004704384,100470.76107049595,2.8781901798025204e-06,0.9132433388327107,4.124437084638253,0.4906866822391987,0.3259289152737752,平舆县
2001_03_14,274.34258586944026,294.62851304012355,286.5684804032708,102024.63768134535,279.5688796201239,101441.10817722915,0.00047815428680000497,-2.3947694046318544,-3.5847759230671663,0.4366152627583614,0.33045570576368877,平舆县
2001_03_17,278.08875723674976,290.35525267302836,284.2957524646388,101605.63368670945,277.28771435994923,101027.18394157992,0.0,2.586050156904902,1.0302113771992083,0.5061410819626704,0.34403607723342944,平舆县
2001_03_18,279.697848516134,292.5211250982118,287.17865493653426,101619.16855960464,282.363107269141,101044.4045459675,4.4600096105895904e-07,1.7974982528907935,0.9559485761218144,0.47563929330942445,0.34856286772334294,平舆县
