Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,272.11956070227757,282.35500195278456,277.42361561871644,102222.7746247127,271.96074270532677,99533.48006608897,1.862645149230957e-09,0.6187792417330042,-0.08351000416851442,0.24336153432170635,0.00905358097982709,新华区
2001_01_07,270.5879711096847,273.8573951308159,272.0938833066474,102392.16224877813,268.2788999288281,99605.0658479964,0.006650695210942844,-0.7790547570408093,-0.6974196555149866,0.016615440925136126,0.031687533429394815,新华区
2001_01_09,266.0253808704861,273.7453888553698,269.0916056465935,102491.50316258837,265.1578983144397,99709.21129669131,0.0,0.335617904899791,0.8044350320317991,-0.011316378202623434,0.0407411144092219,新华区
2001_01_10,267.4727414425524,277.795747039925,270.74909478259605,101675.96245648054,264.3496204302,98967.3711031146,1.862645149230957e-09,1.6720835648695473,-0.28735788566019305,0.01728023553596064,0.045267904899135444,新华区
2001_01_13,266.45846499650685,278.53218630787626,271.905924223936,103089.28628065348,266.6996561181037,100292.29847511639,4.2151791140701e-06,0.3250166564959984,-1.852268093210234,0.05419134914727766,0.05884827636887608,新华区
2001_01_14,263.66229121123126,274.18630628359006,269.7813038581504,103497.46877334274,266.4466225636823,100658.18039179532,0.0,-0.4130221945837467,-0.9285547849999757,0.1076798532202047,0.06337506685878963,新华区
2001_01_15,266.8667283133829,274.03652439846053,270.03507665126585,103328.85826995056,266.7162388636935,100505.85590803716,2.4744273537380824e-08,-0.7889003600605615,0.06875413721268345,0.10001463639200822,0.06790185734870317,新华区
2001_01_16,268.1789207300417,275.46508910671787,271.2669386746223,102878.74553666939,267.06593179148325,100095.01337702955,0.0,-0.3017137046652245,-0.2337855247800689,0.05365184158310576,0.07242864783861672,新华区
2001_01_18,272.3721993154117,279.4460092782881,274.48116112727723,102618.55012428461,271.3194267817164,99853.6491562247,0.000630607042800006,-0.6820010819447424,-1.331098699663606,0.017814155442885966,0.0814822288184438,新华区
2001_01_26,264.660016515966,272.30408211220254,267.13818049061433,102455.16406131125,261.8810882460781,99679.46803509927,1.862645149230957e-09,1.8509524000004247,-0.2124154804540487,0.014827160421456582,0.11769655273775216,新华区
2001_01_28,261.3165819232159,274.77704154576844,268.7939808529076,103025.60431039748,263.2902748745263,100240.96445927974,1.862645149230957e-09,2.469226703209509,-1.1110683442809832,0.03004692982224828,0.12675013371757926,新华区
2001_01_29,265.3443511727398,278.3581802419982,272.1700364730752,102365.09315843596,263.47531795430973,99640.6710142267,4.284083843231201e-08,1.91295316615696,-0.7615090958703526,0.06304751586197412,0.1312769242074928,新华区
2001_01_30,269.15063185091935,278.85906134183995,275.7655465804318,101878.1072626989,268.41857087810325,99165.34485916031,0.0,0.7367500013968593,-0.5020342839088895,0.08386356244435511,0.13580371469740635,新华区
2001_02_02,271.2480070471381,281.3169940754306,276.8210203445365,101913.39933845424,271.0720428016182,99210.5666085987,0.0,-0.07437614745202235,0.7718692731851424,0.16764905902331986,0.149384086167147,新华区
2001_02_09,271.09232514824595,284.10123676356477,277.52081915549326,102601.8363844762,272.7998930837657,99896.8255667682,0.0,1.0865160715685802,-0.630692357762187,0.2211008631066985,0.18107161959654178,新华区
2001_02_10,272.2774371528347,285.6995765036102,277.6493683279721,102568.30926295664,272.55862755127316,99822.34407266439,0.00019745906682422382,-1.7556089457383433,-0.8507548754170303,0.2652675704134594,0.18559841008645533,新华区
2001_02_14,272.37789872193855,284.5440715997623,278.4102455950484,102415.3248517377,270.6903300835673,99719.2691216235,4.284083843231201e-08,1.5019185502049595,0.9110150017191582,0.2582427258168054,0.2037055720461095,新华区
2001_02_15,267.08005781369053,284.94176848517185,279.35445647735753,103059.94296916848,272.6427820162069,100330.88454660628,0.0,1.9332244143183708,-2.432650497260165,0.23387387107599572,0.20823236253602306,新华区
2001_02_16,269.59439825811893,281.2076538707516,277.84818830853504,102875.3600338996,273.21326002233064,100119.42564182731,4.0883544456356246e-07,-2.206780322351401,1.13325501830673,0.23054271524258,0.2127591530259366,新华区
2001_02_17,273.6637376607975,283.586563385579,278.4306233735309,101935.89023990325,273.9968014246199,99242.29335475071,5.020256466268681e-07,0.45033126457410716,0.050224692005180246,0.167459916157996,0.21728594351585018,新华区
2001_02_18,277.561139448721,289.317939633995,282.5220009807662,101853.45088055647,274.3073856151941,99200.83407705155,0.0,-0.9271896672599166,0.19960807122250318,0.2293816015840865,0.2218127340057637,新华区
2001_02_19,278.2399592439973,286.6385647006637,282.58185291821104,102219.61811489007,277.6441720269218,99542.44261563681,0.00048465245742983806,-1.2519536765012855,-1.0903605306218627,0.25200303418805714,0.22633952449567724,新华区
2001_02_21,279.6939941976481,289.04905069311747,283.2709674809077,101519.09704530492,278.6862471822927,98867.08305728946,0.0,-0.9340358839645864,0.4826457682101725,0.37240725753924614,0.23539310547550432,新华区
2001_02_24,269.1659891784725,279.0626864322438,274.9080721509711,103261.37170504173,271.93581460280853,100471.5831718692,1.862645149230957e-09,-1.3598893446673,0.05673792573542128,0.3528539684764534,0.24897347694524496,新华区
2001_03_01,274.9368657823907,293.1293983783379,286.2574880351137,102025.31429007836,277.3599291396108,99395.60810228364,0.0,-0.0850443984780878,1.1982321852359061,0.28070601357844055,0.2716074293948127,新华区
2001_03_04,269.3569527508943,289.16903728945624,283.961922292055,101749.0113684318,274.8056777142705,99097.95394901084,3.569581005079362e-07,0.611499826449303,1.42356202893693,0.2889360165775149,0.2851878008645533,新华区
2001_03_08,262.16010659845415,283.7966550794784,276.88792461767207,102859.09770605761,271.62501640643626,100129.87712491317,0.0,2.384594876549608,-1.0807856362105015,0.4987646055369713,0.3032949628242075,新华区
2001_03_09,272.90851847391207,290.0334055889869,282.50334237655653,101846.97587883436,272.693578383272,99205.3358488865,0.0,1.410524421631471,1.004307220019354,0.41464695203010443,0.30782175331412104,新华区
2001_03_11,268.8799748002468,291.85294464416046,283.66538371556913,102217.5373025747,277.06508987913656,99581.23633663113,0.0,2.636555210488862,-1.4612168462509336,0.2646654769831563,0.31687533429394815,新华区
2001_03_12,274.6528639567334,294.4780997897331,288.0200305711999,101742.45252560599,278.43462239311555,99127.77278377187,1.862645149230957e-09,-0.5218603465361359,2.2398347737339526,0.458111120726912,0.3214021247838617,新华区
2001_03_17,272.1713817453008,291.02762490449726,284.9382312060209,101568.27925807978,278.5011960750229,98944.8958054877,0.0,3.548915117055015,-1.5863794642986855,0.48076794470065776,0.34403607723342944,新华区
2001_03_18,274.1233836628301,292.91874114240943,285.7253703741524,101573.19841736442,278.7830740269441,98966.71907127362,0.0,2.156366776867789,-0.43845512848733537,0.311690840088168,0.34856286772334294,新华区
2001_03_19,273.85532390476556,294.7038233196643,287.5822879612877,101282.1248573087,281.3593145901471,98692.16121697883,0.0,2.9173714545146794,-0.9598875265066001,0.5564463197481032,0.3530896582132565,新华区
2001_03_21,278.07703802869196,300.5726464801023,291.7516589796769,100597.88930526863,284.3382926220287,98035.45518254278,0.0,0.9419919067112251,0.10678810660349816,0.5020581180642164,0.36214323919308355,新华区
2001_03_23,277.44293296037057,289.678879791334,286.7668224406458,101088.35288775995,282.52869622355917,98482.79273964744,0.0,0.1477471638449143,0.5950798526641837,0.29185392744566263,0.37119682017291067,新华区
2001_03_29,275.9959756608204,292.4206029101652,285.99608990853704,101043.47013960837,278.35426170960847,98435.28187834668,0.0,1.2737980174065284,1.2165947228241671,0.5106477883120885,0.39835756311239195,新华区
