Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,273.4803872375438,282.92351917381353,278.91628331334493,102249.01792113214,274.62762469643474,101718.62929955809,1.862645149230957e-09,0.6110311551195468,-0.19906002305288809,0.18050810184250887,0.00905358097982709,新蔡县
2001_01_07,273.0521885289135,276.8053880184101,275.2126468134013,102263.81014603669,272.054720561212,101718.96063680403,0.003846314402882169,-1.0651499934485096,-2.5679003569451484,0.1829021701197925,0.031687533429394815,新蔡县
2001_01_10,272.87777743746193,280.600614150287,275.91241026915924,101775.84999857997,270.7368514097348,101240.89657635016,1.862645149230957e-09,2.295366816922668,2.1242798726468215,0.24396649643472476,0.045267904899135444,新蔡县
2001_01_11,273.5577556692314,282.17439425230333,276.3463847022959,102027.63964028824,271.9302095940441,101487.42484160807,6.784187328717953e-05,-0.2208912093023386,-1.8392323269634194,0.25211735591129947,0.049794695389048994,新蔡县
2001_01_13,269.1427439649363,279.28728698314416,272.7482750773453,103019.04839802433,268.15024457571184,102467.68224045968,0.0,0.08674146861007571,-2.674646221890731,0.15442854428529912,0.05884827636887608,新蔡县
2001_01_14,266.30401357294846,273.6859899851715,270.49753526057447,103510.37822818803,268.1470026961585,102951.68753601251,2.7915702518185567e-07,-0.970453435126223,-1.033717168673526,0.13188777558488857,0.06337506685878963,新蔡县
2001_01_16,270.245691104305,278.7044826185782,274.84015308832625,102889.37269520365,269.0576939256096,102344.43118016107,0.0,-1.704016440760164,0.968748632993994,0.20105994838162816,0.07242864783861672,新蔡县
2001_01_17,273.60112955585384,281.06355279262743,277.93341605027166,102409.73244791442,271.49342033268107,101872.10936123693,1.6648055806403302e-05,-1.7147199993029232,0.618609124603873,0.2139827182386295,0.07695543832853026,新蔡县
2001_01_18,275.6877865560205,284.6486280925858,279.7106943583022,102432.45119630007,275.08735307986683,101897.33250660804,0.0009007290009314555,-1.1070917481019202,-1.7357199191972632,0.22705142156853902,0.0814822288184438,新蔡县
2001_01_26,268.1948814313596,272.81378695925196,270.31781868733157,102523.26757626564,267.63011988900627,101973.98016237581,1.862645149230957e-09,1.9399177495081945,0.5057335716266731,0.008406148894156713,0.11769655273775216,新蔡县
