Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,273.3843261650295,282.24739162960356,277.854986158506,102238.92536077279,271.46664425150317,99385.10231284515,1.862645149230957e-09,0.694304310873015,0.6041510395505064,0.19001955708922835,0.00905358097982709,方城县
2001_01_03,269.32411295485787,279.0947120466645,275.01283595423024,102613.47252210171,271.98550036256853,99682.73231294178,4.284083843231201e-08,-1.7019544594280058,-1.8230134859652554,0.12221153463380699,0.013580371469740636,方城县
2001_01_07,270.76565088962604,273.7765041429427,272.04848697591734,102356.34596032464,267.4320142157214,99398.98701905165,0.005772382634309412,-1.2740884838762663,-1.6617211344923266,0.03269734320989196,0.031687533429394815,方城县
2001_01_09,267.1684576282852,273.99152973573143,270.7148156298534,102539.31304112503,267.80663162082215,99593.48782643912,0.0,1.0436847852880329,1.8588000614465208,0.011203217219319212,0.0407411144092219,方城县
2001_01_10,270.27609101977856,277.99996895276865,272.8590944389196,101721.18153622132,268.56485986076086,98842.77511195907,1.862645149230957e-09,1.9673584094786998,1.6564775005760521,0.03379918759282613,0.045267904899135444,方城县
2001_01_11,270.304125371224,279.3685868738024,273.20579079931116,102115.63536876327,269.4319335358872,99175.87836509057,9.032371825398356e-05,-1.2140793304787938,-1.6406942582496575,0.08954734653537735,0.049794695389048994,方城县
2001_01_13,267.2285899578846,279.0283925866263,272.349980047424,103062.62932188815,266.71759807133884,100100.45282059078,2.4808641313041153e-07,-0.47501582670726206,-2.297143484363778,0.11321023513112834,0.05884827636887608,方城县
2001_01_14,265.19498380226963,274.4283095311421,270.35687592424233,103478.62927155869,266.91727736832917,100475.32338462649,9.470119784316894e-08,-0.8781085331028209,-0.8001386428230355,0.21421402893974112,0.06337506685878963,方城县
2001_01_15,267.6574457204395,275.33504042190776,271.21367900484034,103296.43378211718,267.8692804308296,100318.45478359632,9.636186856834072e-07,-0.38071262831531083,0.4863907674178249,0.17455947612185718,0.06790185734870317,方城县
2001_01_16,269.64293522341933,277.7080103223312,273.1212606667537,102840.34965556985,268.2018811848528,99904.0729324194,0.0,0.09380935909500891,0.15558943465228653,0.21702059691984035,0.07242864783861672,方城县
2001_01_17,272.48261589474856,279.01897799839423,275.2951779084342,102365.18681273737,268.9768727963778,99462.42742048198,0.00026470606645129864,-0.4150918015389468,0.3779085757123587,0.16964327461787143,0.07695543832853026,方城县
2001_01_18,273.24280338314566,281.51755226353697,276.21547565645244,102545.18771440523,271.9976710732504,99628.09477259741,0.0004438978452183719,-1.1658465120429131,-1.9623445208372594,0.18946825572856027,0.0814822288184438,方城县
2001_01_26,266.9571745658485,273.6658875113888,268.9823848033184,102490.36657630335,264.48598581638254,99544.86761073541,2.0924426036730805e-06,1.6369979113056403,1.2962435686762785,0.018235976824522528,0.11769655273775216,方城县
2001_01_29,268.3770910274812,280.00241348713394,273.9444791859524,102368.28392171493,266.24130438866854,99481.6016393678,4.284083843231201e-08,0.8369659949985456,0.21880648504058098,0.1446821466816805,0.1312769242074928,方城县
2001_01_30,272.34267976957733,281.6844034930127,277.1748279001021,101859.89200535751,271.248338120045,98998.49399609015,0.0,0.942666457347249,0.6090837571813249,0.18340915714484587,0.13580371469740635,方城县
2001_02_03,272.7508799362,283.3960343125752,277.33992181027025,102315.99155095316,271.55376854941187,99411.96480734233,0.0,-1.2011020287590137,-1.828445259940458,0.1560432636872964,0.15391087665706052,方城县
2001_02_06,267.585428622965,271.9608872675338,270.29302715272325,102829.2098691568,268.59550999423845,99831.54559120742,0.000371012031006691,-1.7425790243609873,-2.9737728553107883,0.2669744850991975,0.16749124812680116,方城县
2001_02_07,267.71154315863663,272.92248561755764,270.8559002747001,103149.04361317102,268.68942365436914,100161.14762718837,8.851886232747105e-07,-1.1519070905272033,-0.21461264111322736,0.15462855075309162,0.17201803861671472,方城县
2001_02_08,272.2181608720437,278.1992787006857,274.78062259779676,102679.83754055118,270.0611068433261,99769.26904645958,0.0,1.117836213139975,1.2636390229153238,0.16127451224255465,0.17654482910662825,方城县
2001_02_09,273.09281423301366,284.2458915919056,278.0453787413969,102619.34050996404,272.2420473702391,99750.24242416421,7.479681228964539e-06,0.3522587014718116,0.7200738560969522,0.19943042235217315,0.18107161959654178,方城县
2001_02_10,272.9373620691135,286.3878300760643,278.5409541763399,102491.69126080384,273.05804361850863,99597.4426369298,0.0002476223359240194,-0.9501376626473909,-0.7571236615146307,0.24629269877476823,0.18559841008645533,方城县
2001_02_14,273.58083698856393,284.2123407421085,278.70128897287464,102492.13823671287,272.0390682230872,99622.15723785374,4.284083843231201e-08,2.313068839558004,2.32748724887346,0.2286979344705022,0.2037055720461095,方城县
2001_02_15,268.3224129767618,285.87428636568717,279.9108633594928,103026.92526190347,273.4613377015866,100141.94124885571,0.0,0.23390406201845063,-2.765525291567067,0.21551006830174904,0.20823236253602306,方城县
2001_02_16,270.4565023339355,282.1282517657369,278.1206529481935,102834.89259509396,273.43332604181865,99919.71774361287,0.0,-1.8334069245450055,0.28312703212346524,0.18815346832943544,0.2127591530259366,方城县
2001_02_17,274.3097354301069,284.1536163755435,279.3788829844298,101931.91716442839,275.129659781741,99081.24396204345,4.284083843231201e-08,0.09035035045501445,0.2113610151955783,0.19332008967033837,0.21728594351585018,方城县
2001_02_18,277.3782008214117,289.5363595261325,283.2474946080228,101837.60627364485,275.93482215070605,99027.73408841413,0.0,-0.19924254539638273,0.43562276295331126,0.2519667751247926,0.2218127340057637,方城县
2001_02_19,278.43024944843563,286.9589102806922,283.0515127008945,102174.96086481448,277.97738315794925,99334.06608847747,0.002726706155429115,-1.3819031707204306,-1.8218389878479413,0.2575228238835952,0.22633952449567724,方城县
2001_02_21,279.863958866808,288.2515139220001,282.8842239735123,101523.73053537766,277.20146038615707,98712.8776931823,7.838319666065362e-07,-0.5173924934133715,0.8675538649154165,0.24448122696769203,0.23539310547550432,方城县
2001_02_22,280.8743885703603,284.3449825598748,282.20111206138927,101135.5700888833,279.3641506339073,98322.02978088107,0.003943023206249172,-0.7420631347985078,-0.9989370395071258,0.13807651632683293,0.23991989596541785,方城县
2001_02_24,269.3270004031316,278.75095869420215,275.28720714169737,103251.54677351542,272.05045316997854,100292.99276313296,6.655290754922289e-07,-1.5157815624826,-0.891168276929345,0.3003408653754377,0.24897347694524496,方城县
2001_02_27,275.2781904672011,284.86788230301113,279.5502144038645,102391.74261489057,274.86457457111544,99534.16865274479,0.0,0.7430295438357678,-0.6085074793246197,0.2818899130881447,0.2625538484149856,方城县
2001_03_01,275.9116184475484,292.805859989191,286.1784731343767,102058.17375997652,277.1654376488725,99266.1524510084,0.0,0.8358231143216671,1.736061156029379,0.3112381652172512,0.2716074293948127,方城县
2001_03_04,270.5266179855346,288.8461698032639,284.2585678902306,101795.10355580888,276.42592927318185,98980.38765658939,6.325258379884008e-05,1.6068744426175219,2.119190720457557,0.26054160883446553,0.2851878008645533,方城县
