Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,271.74903324696317,282.4615400790397,277.58625941040486,102250.11476001354,272.17835468480655,101552.53928409811,1.862645149230957e-09,0.36444342789675926,0.316513030232437,0.18739029459422557,0.00905358097982709,梁园区
2001_01_03,267.4829660312563,278.2329147956827,273.7966839799312,102714.00464595042,270.8127224408221,101999.60387979735,4.284083843231201e-08,-1.7887997342830069,-2.0831612318631243,0.07842209955711674,0.013580371469740636,梁园区
2001_01_09,269.86774316445303,275.18128059356485,272.0478876275248,102518.69027347086,269.92483526401884,101802.27798807486,8.994243218714291e-08,0.599970277391682,1.6521086181024667,0.005953291261959806,0.0407411144092219,梁园区
2001_01_10,270.3297678017128,279.0532475094684,273.21313151764633,101686.20617065324,269.23223667537474,100984.36585447608,1.862645149230957e-09,1.072725164968513,0.4866631482155498,0.037196675018686266,0.045267904899135444,梁园区
2001_01_14,261.8598155537412,271.732605985513,267.48942556323465,103587.3401250247,264.7859697541594,102851.29524699533,4.672716918826227e-07,-0.8013153061778804,-1.0203328235511693,0.046619612366576045,0.06337506685878963,梁园区
2001_01_15,263.6266671503484,272.39449119126033,269.32051786594315,103439.41737098241,265.3001780796583,102711.56491431179,0.0,-1.0060350777545213,1.918064317879583,0.049511063062398046,0.06790185734870317,梁园区
2001_01_16,267.07534018123704,275.3582154539007,272.4023971884043,102978.693921953,267.2433593340874,102261.76391000416,9.928980631096462e-07,-1.5024862386641875,1.7557229289766234,0.06674921311116089,0.07242864783861672,梁园区
2001_01_17,270.05121691871597,278.3675587320161,273.5925763744432,102488.65193903924,269.8404824781337,101782.88695802234,0.0,-1.4421131695340157,1.662954636386521,0.11197747552332392,0.07695543832853026,梁园区
2001_01_18,271.5168975317916,279.9519215110492,273.97682118805665,102644.0480854008,271.2243868985829,101932.68906127918,0.0003089722856542843,-0.8776001835372701,-2.478626289454735,0.18717250495438673,0.0814822288184438,梁园区
2001_01_26,266.59946225793624,271.0088145854131,268.82699670322495,102403.14781581356,264.2608088180401,101684.22070496182,1.862645149230957e-09,2.0982397451110066,0.5326206740494174,0.008788306353391041,0.11769655273775216,梁园区
2001_01_28,261.1959328054666,275.083589579922,271.0698921844266,102964.07566954436,268.19238569202304,102246.07846773074,1.862645149230957e-09,1.889539366441023,0.7127810612566085,0.005400846786244661,0.12675013371757926,梁园区
2001_01_29,267.55006024251145,278.7529686256393,272.9862759318699,102343.67761391925,268.37205320428944,101640.86021015077,4.284083843231201e-08,1.288750102019876,1.6861395333335831,-0.00460900179895874,0.1312769242074928,梁园区
2001_01_30,271.3410111245366,280.3520460015973,275.9735083761254,101859.40870505341,269.84754734140836,101163.32936949088,2.5844994668083164e-05,0.15131491713819747,2.048850149122702,0.010399656734973783,0.13580371469740635,梁园区
2001_02_02,270.933876339395,280.2905669480235,276.53219593623294,102026.69704271681,271.78002664104133,101327.08927685158,0.0,-0.3686455855794145,2.8932979700336254,0.07498959392784531,0.149384086167147,梁园区
2001_02_07,265.12671877361754,271.1740156773249,268.8993704948361,103178.0037599924,266.8055925290189,102451.06876247206,0.0,-0.3789860183537979,-1.2866484994568512,0.0822276649415902,0.17201803861671472,梁园区
2001_02_08,271.20312399395675,275.7476709545261,273.31054069158466,102698.41875063218,268.87124962857234,101988.08856054477,0.0,0.8867056523960777,2.2038501358039695,0.2294677487359106,0.17654482910662825,梁园区
2001_02_14,273.53576261856693,283.90158172430046,279.1596182531976,102358.02012044784,271.07323864973966,101661.79955740417,4.284083843231201e-08,2.939255390050324,2.781237890222612,0.2854543280873496,0.2037055720461095,梁园区
2001_02_16,267.065487125772,280.8109347902312,277.35706807447593,103020.07703246089,272.1161357015813,102311.67744991605,0.0,-2.3084731740425037,2.479836408504391,0.282154129234354,0.2127591530259366,梁园区
2001_02_18,276.32716980391115,287.60423288698144,280.61609688348295,101976.97450951481,273.6514166635815,101293.42559532206,0.0,-1.0668779321456314,1.417766065550204,0.2377642325740558,0.2218127340057637,梁园区
2001_02_19,276.81777545186753,287.923545479431,282.21804413688454,102296.88519916637,276.5231803923804,101608.19372075815,0.0,-2.5958502553389082,0.1815697679395566,0.23004735272651097,0.22633952449567724,梁园区
2001_02_24,268.38139103275967,277.6598238719001,274.2538419924478,103270.80756083166,270.6788097129141,102555.42742202997,1.862645149230957e-09,-0.023834423037369108,-0.7903386615048892,0.3498964789277721,0.24897347694524496,梁园区
2001_02_25,269.25510397419737,279.8078674354044,275.6518452995209,103086.75697613826,272.28573080222907,102375.88226775014,4.284083843231201e-08,-1.630273917794095,1.5952643863925045,0.33878791951157794,0.2535002674351585,梁园区
