Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,270.0323889368905,282.2782743223675,277.24981899748207,102262.20622548794,270.9260763399441,101470.97249674944,1.862645149230957e-09,0.4366767948178917,-0.22198762370908734,0.19002081145532682,0.00905358097982709,民权县
2001_01_03,265.7000112686254,277.3527463210368,273.1380206633037,102744.82046868789,270.1180085199923,101935.33029627091,4.284083843231201e-08,-1.5602944962608911,-2.401402692395937,0.1044161938609306,0.013580371469740636,民权县
2001_01_09,269.4577228122174,273.9673701652349,271.38509500022525,102491.91429639609,269.5169082747472,101681.06661251304,7.756769903000766e-07,0.7101876663613791,2.113784054707975,-0.0038716392958823885,0.0407411144092219,民权县
2001_01_10,269.74459661336834,278.30793406465494,272.5190549200474,101678.73255862716,268.08043767877666,100883.36561889353,1.862645149230957e-09,0.5383191474223288,0.36333034906863326,0.011961912577517468,0.045267904899135444,民权县
2001_01_13,265.5459235444359,271.22508103015804,268.0794515803501,103177.59880859357,264.4470174587927,102350.72406529043,6.484796915572987e-05,-0.6669640625095632,-3.3894489070525347,0.007921446785131347,0.05884827636887608,民权县
2001_01_14,261.46948725496503,271.40068405669217,266.9432439853805,103592.86609389046,264.03834629198286,102759.68173727083,0.0,-1.0572006273296675,-0.7363799785756644,0.010775002991832833,0.06337506685878963,民权县
2001_01_15,264.2851941821491,272.39640520912286,269.0158276366898,103416.2558830484,264.65734868132733,102593.78736701833,0.0,-0.8560786196734022,1.9658821529832577,0.0201196922219478,0.06790185734870317,民权县
2001_01_16,267.3328824470763,275.233438047037,272.0044959883069,102959.04058370634,266.9099797453869,102149.03887020028,5.38717932190857e-07,-1.2488897358418745,1.7872523599800776,0.013982865995526412,0.07242864783861672,民权县
2001_01_17,269.8338691139364,278.2663893910262,273.2580378565798,102470.51492892973,268.98447299346833,101672.12513638247,0.0,-1.0813187129157538,1.7863752100934926,0.026868370540018668,0.07695543832853026,民权县
2001_01_18,270.5766339495288,278.9644563233979,273.0286052015309,102692.01134346325,270.5643604974092,101882.90840972551,0.0002925422934629277,-0.69998279534363,-2.9804691124592413,0.014184409619671759,0.0814822288184438,民权县
2001_01_26,266.7445244398293,272.37095576214955,269.4392712759102,102384.02318196063,264.87943338612655,101572.85918053918,1.862645149230957e-09,1.8449400528851987,0.9878435332735974,0.013669141268322879,0.11769655273775216,民权县
2001_01_28,260.90091725651473,275.4330325940791,271.3475671193667,102945.95052915692,268.32773346071406,102134.73203144947,1.862645149230957e-09,1.7475245062785434,1.0295258793658397,0.003956402841120984,0.12675013371757926,民权县
2001_01_29,267.1963892327461,279.33401447230153,273.31609362470556,102320.98342964797,268.5942049127528,101526.95934199395,4.284083843231201e-08,1.3404355729631516,1.337394334527446,-0.006921485370368893,0.1312769242074928,民权县
2001_01_30,270.07170298549653,279.7087205793694,275.72651596084137,101851.56244143184,269.46931293713493,101062.91611780429,1.9502207553817467e-06,0.5431172920917338,1.897495630462452,0.0038294456274826118,0.13580371469740635,民权县
2001_02_02,271.3351437870159,280.4591802012079,276.6332397714847,101987.15377408355,271.6031377384761,101196.86196646164,0.0,-0.08051799231863166,2.957234469412022,0.025458551148797918,0.149384086167147,民权县
2001_02_07,264.31026665342546,270.4400395425568,268.5434516968813,103190.3641928128,266.404412954218,102366.73798288402,0.0,-0.47927459453289395,-0.9036770613380155,0.03839246534178658,0.17201803861671472,民权县
2001_02_08,270.8770856264053,276.0255377946723,273.1144965637114,102671.70949753559,268.4320221491396,101869.1033677431,0.0,1.038111679604702,1.8781908871404218,0.03312706962898559,0.17654482910662825,民权县
2001_02_13,270.81548025281825,278.74545525643083,273.5054674823297,102906.69651102317,270.72316254107375,102106.3173239203,1.862645149230957e-09,0.5915120203369182,1.195692722272889,0.015434305538512142,0.19917878155619598,民权县
2001_02_14,273.10861579290406,283.91480658509136,279.1539123698173,102330.49403704163,271.25206883505615,101544.24939691699,4.284083843231201e-08,2.8985533353276494,2.6632682591633725,0.06608467338857109,0.2037055720461095,民权县
2001_02_15,266.5429118739454,284.55733252357635,277.9227098834778,103037.27521372768,270.3738916069076,102241.58026964638,0.0,-0.4430209123288026,-2.210056523784248,0.12235598327224928,0.20823236253602306,民权县
2001_02_16,267.25285857266107,280.90095902723874,277.5171679100581,102991.28875079232,271.6705438883181,102191.06629492292,1.7375291568611155e-08,-1.9268006332629075,2.5894038092246623,0.264591531518388,0.2127591530259366,民权县
2001_02_18,276.4913394533569,287.87044711942946,280.80096227881614,101958.02460437431,274.02510383376864,101185.72642817056,0.0,-0.919441788933449,1.5222024313639466,0.2071211001587867,0.2218127340057637,民权县
2001_02_19,277.066092230655,288.0200398675403,282.57136264707356,102294.47070396222,276.464277502454,101516.88961440684,0.0,-2.247140858010292,0.07775832247199391,0.22959262491860374,0.22633952449567724,民权县
2001_02_21,279.52675280034526,287.3236078061157,281.91385638365597,101599.70938577819,277.0460967063863,100827.93532506083,0.0,-0.5661349088662575,1.927421641919659,0.2126720323253572,0.23539310547550432,民权县
2001_02_24,268.70860933356823,277.7927995139873,274.16254790930697,103272.44703429245,271.24224201523475,102463.84064097612,1.862645149230957e-09,0.03860053613881316,-0.2619779952397107,0.34785530406127146,0.24897347694524496,民权县
2001_02_25,269.3567487834587,279.9649836609279,275.5971675585437,103069.8532446987,272.2033193892265,102266.16235783933,4.284083843231201e-08,-1.2495050138383654,1.8105487314895667,0.26395873669280867,0.2535002674351585,民权县
2001_02_26,274.3221842624975,279.9717690027175,277.26260081731414,102558.84054010588,273.33627732637734,101761.03619728379,0.002254664553544111,0.12045740800520648,0.4782273727263678,0.27003354650026035,0.258027057925072,民权县
2001_02_28,274.50853466140313,286.00409450985893,281.59547401068994,102010.88304323438,274.39752619228716,101235.03196755795,0.0,1.992813182564098,1.3805691061120569,0.3702668347572218,0.26708063890489914,民权县
2001_03_01,271.19119599778327,290.719943833586,285.2056567584324,102107.10280107887,278.21305457225066,101339.01911538042,0.0,-0.2017214087698679,1.4320103786534184,0.3202230567982718,0.2716074293948127,民权县
2001_03_03,260.0069669613775,286.21171099428767,281.2251303077152,102228.88573288209,275.36867725230024,101445.92585253707,2.157562482265327e-06,4.495527093461868,-1.933764693068843,0.2650349000564081,0.28066101037463975,民权县
2001_03_04,265.4453214295197,287.0277728277869,282.8469316849603,101808.34935271466,275.62448026226707,101031.7450625607,0.0,1.1872894320995353,2.9270466571871903,0.3145918612446756,0.2851878008645533,民权县
2001_03_07,262.4263416364217,280.7730019254534,276.71674785941764,103104.96900099081,272.46829305527945,102301.47189631799,0.0,0.7090563012420869,-0.899179575659527,0.29371461507586927,0.298768172334294,民权县
2001_03_08,261.08826571196573,281.6475437136804,277.5993968028276,102791.52402777161,272.8932891067497,101994.15619268203,0.0,2.228452059534358,1.0683976723594653,0.3748950539241249,0.3032949628242075,民权县
2001_03_09,271.7323811793374,289.742389268446,283.8276067889139,101748.9777863181,275.02710477118944,100978.29819103774,0.0,3.2285313224336756,2.5079021723295996,0.30401820104235505,0.30782175331412104,民权县
2001_03_10,272.55950156394255,286.87786217656253,281.33098852265005,102351.35242369871,275.9956031966845,101566.01910625292,0.0,-1.84484067781219,-1.7686289996946154,0.27556359072590103,0.3123485438040346,民权县
2001_03_11,274.4871585877192,287.38294723383785,281.4667809803162,102239.40927394533,275.53714695776637,101460.83924359662,0.0,-0.06836922798019462,1.2925959109237457,0.27432947970962873,0.31687533429394815,民权县
2001_03_12,276.8587036495188,292.59037488944233,286.7362290916772,101862.4782639329,277.19161068663163,101096.94182956837,1.862645149230957e-09,-0.6383155209017516,3.0754430267624158,0.3405039241044231,0.3214021247838617,民权县
2001_03_13,278.6860506900521,294.6321654894342,289.848648045563,100925.81473730943,284.8878179671335,100174.92285449621,1.2255840074379633e-05,1.0055682365809604,4.525097924475417,0.30328576762762216,0.3259289152737752,民权县
2001_03_14,271.6986006319173,290.95260772366913,283.85885086734197,102210.20553185807,278.90865131145637,101433.54214630745,2.363387013791462e-05,-2.537645890548846,-3.5819246494360706,0.22889645965343464,0.33045570576368877,民权县
2001_03_17,275.82686432719726,291.2239816751596,284.729874026518,101418.8084445337,276.9344468133701,100655.75347091135,0.0,2.2187196239844327,1.4813968474909402,0.32561685068294116,0.34403607723342944,民权县
2001_03_21,275.4913822524348,299.9625230426266,292.78009762634395,100554.23405640466,285.4644757935959,99809.25484052078,0.0,1.571332525963285,0.8435830986889901,0.40486581707464914,0.36214323919308355,民权县
2001_03_23,278.1646705006598,290.8912971003597,287.54460778750797,101094.40569562018,282.01535587685805,100337.7503627794,0.0,0.07769222678602734,2.732711246955961,0.32177859919707713,0.37119682017291067,民权县
2001_03_25,275.9393447181035,290.358245492781,286.00388944857707,101329.44078604155,281.3056076249864,100565.15349345477,0.0,-0.3287367963952392,0.20212072869504194,0.4039238853595259,0.3802504011527378,民权县
2001_03_28,269.4658303795269,285.47201062307516,280.4582967890784,101838.10252026307,274.42773576061313,101056.27401481791,8.708898709684671e-06,1.2839536235797258,1.7042467485313693,0.5178118462900747,0.3938307726224784,民权县
2001_03_29,271.895308631029,291.7152628240582,286.1184827624993,100992.47212154059,277.74110462792765,100231.638243954,0.0,2.678732704138172,1.26008367180753,0.5075706529425943,0.39835756311239195,民权县
2001_03_30,269.30131818601274,287.4421233996662,282.8764353249483,102040.97723347953,278.71391659139107,101262.15359343961,0.0,-2.908955866608573,-2.2399397421416105,0.46045246752018143,0.4028843536023055,民权县
2001_03_31,271.18950947238653,287.0882163629704,282.8419490354357,102416.69464062515,278.5986461500709,101636.71303365176,0.0,-1.2764697614665859,2.4090931649848035,0.5126291519729507,0.407411144092219,民权县
2001_04_01,278.9637529708611,292.05105104103524,287.69271306033767,101256.82929397287,280.90764303454176,100499.36345125086,0.0,1.306422532872267,4.172490620041054,0.48100744281803787,0.41193793458213257,民权县
2001_04_02,280.8126982660855,297.74577706375175,290.6548437981303,101272.12782081898,284.5194688030593,100517.40687734706,1.6994246855668587e-05,-1.785029241806061,-2.2966339849895143,0.43869798731816306,0.4164647250720461,民权县
2001_04_03,272.4953117193608,290.90212515853955,286.1205553954522,102189.53771592653,280.9344617138855,101419.89357223922,4.284083843231201e-08,-2.484812105529827,0.8187729446091943,0.4659493689622354,0.42099151556195963,民权县
2001_04_04,273.22282979827173,290.80820014905424,286.83090271259033,101693.40358151373,282.25634040719893,100931.21296553736,0.0,-0.2843097586546564,3.184528660360741,0.5081190357624291,0.4255183060518732,民权县
2001_04_05,277.9291572170318,294.1353627581724,287.66010578248046,101754.39817536822,280.6835725629566,100990.6546154806,0.001984707993131879,-1.4060413251596655,-1.903844097305141,0.5143063177859558,0.4300450965417867,民权县
2001_04_07,284.2675845940509,294.362449057947,289.45460590750537,101073.84322255544,282.5547370177057,100322.90418338185,0.00014112798335513298,-0.5963975760061249,2.4630414255571886,0.48608682248751617,0.43909867752161386,民权县
2001_04_08,285.4168305165807,294.1821658999572,289.4374707475675,101074.37155938089,285.4213887910472,100320.84612258644,0.00044014518778687597,-2.994964818180362,1.2278202356680301,0.45945554887696044,0.4436254680115274,民权县
2001_04_12,275.07523955394356,294.65222158638016,289.6484115435955,101125.82730630155,283.00013692523873,100371.3628359533,4.277594334993539e-05,2.2949815196039633,2.907436350627945,0.5475634723119539,0.46173262997118153,民权县
