Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,265.19232866251696,279.6723947075737,273.6595687909256,102352.27942250572,268.1566766469621,98026.96509297693,1.862645149230957e-09,-0.31442409064863924,-0.5507157083369101,0.09722121111622019,0.00905358097982709,鹤山区
2001_01_03,260.3693281705568,272.8761763222873,269.3491514366959,102897.30361867396,266.18690877483675,98467.0482254976,4.284083843231201e-08,-1.4712074268964679,-1.5121137961492968,0.08088426441015846,0.013580371469740636,鹤山区
2001_01_10,265.4020158649493,279.0833648123564,270.3150379996193,101640.85158204082,264.1636082953512,97340.21422803402,1.862645149230957e-09,0.30256830584033895,-0.3356599347134977,0.021128817639979133,0.045267904899135444,鹤山区
2001_01_13,263.54329100711226,269.55580439258165,265.8040720199125,103274.62844880049,259.05919877533563,98786.21236846368,0.0005307960389928538,-0.8660265736714876,-1.3977238008436068,-0.004636046114579789,0.05884827636887608,鹤山区
2001_01_14,256.5906819633522,270.23941328002275,264.16512634000077,103559.84727926644,258.7223129138725,99052.45092355707,4.01502391626121e-07,0.1751576347096292,0.07882306735865585,0.013663312552509405,0.06337506685878963,鹤山区
2001_01_16,263.44129018091616,273.1990357226435,267.21245004849743,102922.7350235225,261.41555958915217,98513.02834537673,0.0,-0.03500420066021869,0.3558666374562115,0.012298776482730355,0.07242864783861672,鹤山区
2001_01_26,263.76941503620407,275.2156630789169,268.58734656095504,102206.26759471574,262.7667542068955,97891.71339433861,1.862645149230957e-09,1.5250740930203615,0.6439574715644176,0.023505107237639745,0.11769655273775216,鹤山区
2001_01_28,258.35282886787377,275.4236902169342,269.19776070860604,102775.95711835207,264.8518867463604,98416.1271489836,1.862645149230957e-09,2.1604195343562393,0.5753012101637637,0.021394856534431485,0.12675013371757926,鹤山区
2001_01_29,261.8970281142648,279.5730786998974,272.61349070621196,102254.64003666607,265.17408401716756,97977.88201824724,4.284083843231201e-08,1.5345131161501364,-0.039417168963875315,0.036965808231239176,0.1312769242074928,鹤山区
2001_01_30,264.67319533061686,279.40949830994236,274.0515104332471,101744.27802545435,267.02741945812807,97488.64932934966,4.262406686165618e-05,1.2634528237252478,0.9718967662704444,0.03935339407302223,0.13580371469740635,鹤山区
2001_01_31,261.3839464893974,279.4648055223692,273.7669001634537,102334.63504241772,266.92569894972985,98042.90368447773,0.0,2.2382557172118625,-1.1270956935808636,0.04438488527914755,0.14033050518731988,鹤山区
2001_02_01,263.3290715205366,277.27876962803003,272.1247547842625,102257.38862477486,266.7425840607348,97961.98527698829,0.0,1.0177489338028427,1.3022110630754282,0.09538103634623912,0.14485729567723343,鹤山区
2001_02_02,267.918340114996,281.828098653915,275.35192062210945,101797.86203775709,266.98127845306755,97567.84364722129,0.0,0.9248405782645186,0.8945686778620944,0.13455168843204682,0.149384086167147,鹤山区
2001_02_07,261.68812396637037,269.5260402872075,266.3974223253396,103123.87417100478,261.28090308936396,98671.06218780669,2.793072265391641e-06,-0.3892404234524916,0.7520151543837391,0.03425546425010356,0.17201803861671472,鹤山区
2001_02_08,263.662519482115,277.04657470753546,270.89737227485944,102533.57773511234,261.40813602484474,98233.46105270815,0.0,0.706962992103659,0.8721644575453719,0.028226748902726435,0.17654482910662825,鹤山区
2001_02_09,263.6463803923358,280.8445087276228,272.9997011016272,102565.63248980528,267.9961618002876,98287.6023019895,0.0,0.8774711750749504,0.7447867554665477,0.13988497578733358,0.18107161959654178,鹤山区
2001_02_14,267.86188728327267,284.1169383356404,277.1705037169613,102133.91979274133,267.5447353173977,97925.23298457792,4.284083843231201e-08,2.228804797401895,0.8113809715026383,0.15871982810584814,0.2037055720461095,鹤山区
2001_02_15,261.54353308142544,282.5474396309912,275.63653177077555,103072.08134797872,269.0141175479125,98753.18611271233,0.0,1.4798999367968213,-1.868997253122763,0.13638654240933765,0.20823236253602306,鹤山区
2001_02_16,266.38140620384013,279.10740056886607,275.78090181120723,102848.87802370172,269.91975475199644,98516.72634561243,0.0011418648592891364,0.3895616634215766,3.010803078810018,0.16804511749197557,0.2127591530259366,鹤山区
2001_02_18,275.11352223157047,287.6163745007027,281.02208595149176,101921.42368221682,271.7585298085523,97747.21367564771,0.0,0.3924124474152441,-0.08957204086648383,0.14712148026370692,0.2218127340057637,鹤山区
2001_02_21,275.3115331540675,289.0126930589486,281.8559061857634,101439.7461941246,274.71811018290225,97305.07793548817,0.0,0.7411574318301294,1.5381372948739271,0.16286278710987784,0.23539310547550432,鹤山区
2001_02_24,268.07036199780407,278.1987041140318,274.2113087739111,103177.71501445239,271.68119371421824,98810.93080904245,5.894528091930177e-05,-0.14170226313262205,0.2500480909559342,0.11702224794463362,0.24897347694524496,鹤山区
2001_02_25,268.46733395556873,280.7980991156548,276.41891149257043,102925.6112368743,272.6038793566384,98591.60889090547,4.284083843231201e-08,-0.09208379656986779,2.5324986748262144,0.22250609947736122,0.2535002674351585,鹤山区
2001_02_27,273.9914168231317,284.279747756376,278.26582596883003,102350.47524361026,273.1524388819479,98123.99397553864,0.0,0.10265165423049338,-0.6424242236863643,0.15193265441683704,0.2625538484149856,鹤山区
2001_03_01,270.13350247017263,290.63982321688144,284.21949654002384,101954.28955783191,274.8425949712367,97805.51433615209,0.0,0.66409810019397,1.5435976342873619,0.22111541161712672,0.2716074293948127,鹤山区
2001_03_03,253.92627998538146,284.1972955650513,279.29593037689705,102149.55980673303,272.1059863152993,97896.47518378428,4.0978193283081055e-08,4.28425635304154,-2.080138974449,0.17860401741685122,0.28066101037463975,鹤山区
2001_03_04,264.5295142457716,286.9650357461079,281.8072830624979,101570.12417957607,273.0540553195029,97405.46980748272,0.0,1.140428251261088,1.546690316082963,0.2144385252367257,0.2851878008645533,鹤山区
2001_03_05,267.0156121822971,290.0615971448694,283.549077677133,101276.9260402531,278.6752159100606,97158.03587426367,4.522398500459195e-06,1.240616954689645,0.4734753029589046,0.175930789887599,0.28971459135446687,鹤山区
