Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2002_01_01,0.10202616436296988,267.4430926905829,280.04402431286394,274.05516145161687,102922.42827061674,270.20151626423996,96410.66844260911,0.0001334820383888399,0.9258086792578389,-0.1308507425256691,0.0044247783098591556,南召县
2002_01_02,0.2066286265575477,269.28828387958185,283.90179912787204,277.01351512639957,102680.47078120336,270.6656934196327,96256.14765799028,0.0,1.3843134419380905,0.1310680071998385,0.008849556619718311,南召县
2002_01_03,0.21007041027736525,266.5685582677778,284.5537361504745,276.9857958426029,102598.25866329315,271.95456369863535,96166.26927699034,0.0,1.716160630316714,-1.550390468421061,0.013274334929577464,南召县
2002_01_04,0.22866440179845404,267.661676519882,287.1934544514375,278.6826229649777,102145.46423330913,271.99076198998455,95798.58933376084,0.0,2.2698550437700797,-1.067491380264396,0.017699113239436622,南召县
2002_01_05,0.21724318052748526,270.9121762267004,288.6221013738906,281.03223575924125,102075.68637203566,272.4086863958941,95749.07393526025,0.00018953865550873047,0.832493410610736,-0.060238219344831215,0.022123891549295775,南召县
2002_01_06,0.17133969647651456,267.17530992694526,288.97794150319254,281.3965931251469,102391.03538950557,273.0535640997667,96023.99851941042,0.0,2.1868956582577272,-2.279438375110008,0.026548669859154928,南召县
2002_01_07,0.18530572965381212,267.79644425116254,281.9220704590209,277.30949706576513,102922.67887521944,272.6297916418888,96434.49843399416,0.0,0.09434898288956861,-0.012183785151109716,0.030973448169014088,南召县
2002_01_08,0.14540677818954392,270.3150753646279,284.06543698312345,277.66015931032734,102752.7423834319,272.52407322211127,96300.04232598201,0.0,0.44380007051540704,0.1846416078766212,0.035398226478873245,南召县
2002_01_09,0.18703492680037706,271.4344813473708,284.94257885648483,278.4799692672446,101892.10399836989,272.2685068994598,95583.2423635991,0.0,1.6796604996808184,0.12106020139587782,0.039823004788732394,南召县
2002_01_10,0.18100485060651125,271.98594392508085,289.5430713240511,280.7660820772047,101537.26393825254,274.42265436266064,95283.68372544002,0.0,1.5095823820301153,0.20697317465653434,0.04424778309859155,南召县
2002_01_11,0.23441196827162825,273.62417674603785,288.4587789187096,281.1103465488187,101345.99043396399,275.02103734924617,95088.02458285815,1.862645149230957e-09,1.3376317923505026,0.8972648809717885,0.04867256140845071,南召县
2002_01_12,0.1715267853414637,275.5254195192727,285.89697609213437,279.13082386530857,101627.03905242021,273.91529359184,95272.79314054441,4.3910466242452615e-06,-0.5731310603748234,-0.9337521539791864,0.053097339718309856,南召县
2002_01_18,0.15452404260269242,269.375614541569,277.5692378842198,274.82342031506965,102624.14339428976,272.2079388073986,96042.67033381377,7.3487107345376e-05,0.20343069140705208,0.38676006518929124,0.07964600957746479,南召县
2002_01_21,0.2182335476279942,265.09502369008186,280.5000226167198,274.80223060743475,102745.3709089372,270.1676672173476,96210.64850532681,4.0978193283081055e-08,1.2561477745841096,-0.9021779519046177,0.09292034450704226,南召县
