Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2002_01_01,0.3457845235649779,264.2552921855948,280.56077934421677,273.6613636336537,102802.57682072964,267.9205227555258,100780.16006653357,0.0,0.7604372404753665,1.0225767443539187,0.0044247783098591556,文峰区
2002_01_02,0.36559515833512607,264.01210104630724,284.9609852641052,276.66909528961463,102481.6921636617,268.57073164350754,100490.47605263135,0.0,1.300238940432699,0.5724191772422537,0.008849556619718311,文峰区
2002_01_03,0.31787800602120886,265.67054482926284,282.8107319480119,276.7851707984286,102297.41091539344,270.78999293957463,100308.82888605341,0.0,1.3477483083890378,0.44805345203352454,0.013274334929577464,文峰区
2002_01_04,0.37441934260224163,266.60510876482476,290.43163570867114,280.36604266747275,101863.0951664225,272.6256576416208,99913.19707652678,0.0,2.323763077428464,-0.2851204407408706,0.017699113239436622,文峰区
2002_01_05,0.3242084641584072,268.5782814215199,286.2005691636374,278.0793639863552,102024.49769121334,272.3129649659127,100047.45714649392,0.0,0.21725933815373846,-0.5306772148347493,0.022123891549295775,文峰区
2002_01_07,0.3118375766035296,262.0257837110182,278.65011842335514,273.29599991357594,103003.09024159826,268.4030278843623,100965.39524981321,0.0,-0.17562488264517834,1.6591871326922802,0.030973448169014088,文峰区
2002_01_08,0.24436458849156792,266.8032649826737,281.31249778229204,274.64223580621615,102722.83456924283,268.1795824281916,100709.06990380815,0.0,0.19091193735569728,1.2885850458911123,0.035398226478873245,文峰区
2002_01_10,0.3310762844135711,268.32411079791046,290.57252484458763,280.2741386019634,101325.19460758605,272.1184322548348,99397.89025106981,0.0,1.6830305605262936,0.4521233054594459,0.04424778309859155,文峰区
2002_01_11,0.3319145209972132,268.91634596162515,289.3453587572691,279.4353154888831,101284.62801267521,272.1118201266729,99350.55185982355,1.862645149230957e-09,0.6484932092887095,0.7598503329726247,0.04867256140845071,文峰区
2002_01_13,0.25847674733391296,268.2483093516385,276.3473934550712,275.00130111400273,101883.39100729405,271.5839882336806,99858.35680626649,0.00013140465108063312,-0.29634756983504085,-1.8667641942909754,0.05752211802816901,文峰区
2002_01_19,0.1791939620087754,269.5777070577991,281.96657204547506,278.0651479084395,102361.97544045883,271.8724834321165,100362.34300810397,2.1420419216156006e-08,0.9151484094441426,0.1581730612993104,0.08407078788732394,文峰区
2002_01_20,0.35200651829163804,258.61904897932186,281.6166015780485,276.1029401973233,102671.1941447388,269.4237105518339,100649.1808537081,1.862645149230957e-09,2.5287287548412816,-1.9837996674122624,0.0884955661971831,文峰区
2002_01_21,0.37837748952975153,259.7355203027802,281.4948541690301,274.6528563748392,102640.62251746496,268.84045629850834,100615.64755325307,4.0978193283081055e-08,1.1324252634434593,-0.5681543466220409,0.09292034450704226,文峰区
2002_01_22,0.4319892202753385,259.68630455095354,276.6941376934866,271.7028831774668,103039.36748840832,266.544725690579,100979.80023824002,0.0,-0.17002200464652298,0.00238614577733522,0.09734512281690141,文峰区
2002_01_23,0.36692968090734795,262.7007043382341,279.6512719315744,273.30921711042345,102825.2734011832,266.5393999532785,100786.69343736248,0.0,0.07185286089821113,2.2220813374343034,0.10176990112676056,文峰区
2002_01_24,0.31087601123736164,264.39332175391297,279.89216692860197,273.68027004445156,102784.81265132221,268.5520672724987,100747.93791908358,0.0,-0.41958241045002925,1.9791869401045987,0.10619467943661971,文峰区
2002_01_26,0.1556374114646757,268.5422511324294,279.0199754954733,273.99926615709256,102816.62848095507,270.50787461489654,100782.01534642187,0.0,-0.2885003573012066,-1.535518772572824,0.11504423605633803,文峰区
