Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2002_01_01,0.1979144709216573,266.07305350419887,280.04884638416206,273.5486353831242,102887.14509562386,268.1408779122255,102087.7980921261,0.0,0.9590474406355628,1.3895825914318265,0.0044247783098591556,民权县
2002_01_02,0.23844433550035263,267.39900159835173,284.5664187807521,277.9511490260982,102582.8505593671,269.11635048419384,101794.25900334255,0.0,1.9571864796798182,1.3035966059077835,0.008849556619718311,民权县
2002_01_03,0.21299131603803348,266.0038983892244,283.6029068173049,277.6840478292019,102403.36463914195,272.8889185758622,101614.65357901031,0.0,1.8074897262901901,-0.31585021330279156,0.013274334929577464,民权县
2002_01_04,0.25950431412653974,267.91788114601275,288.09221792612414,279.28289528394345,101944.7686973524,272.85299671123107,101167.8135388948,0.0,2.3436901841544535,0.5745911867361474,0.017699113239436622,民权县
2002_01_05,0.2395471535384117,271.46525974575206,287.0302396530065,279.38154030041824,102072.16395338018,273.26435939006063,101294.13987339292,0.0,-0.34584652992492126,0.9257590779305749,0.022123891549295775,民权县
2002_01_06,0.1435059331398775,269.228673024437,287.8727659908565,279.6397171621763,102301.24883757692,270.8113105346041,101517.43724091406,1.4969948003124948e-06,0.27323918674318914,-1.5084416564516918,0.026548669859154928,民权县
2002_01_07,0.22596296390466586,260.76094955284145,279.480521585684,274.33506324459955,103064.65414136057,270.0902973803705,102263.55375324427,0.0,-1.1115895962106042,1.1795671815410207,0.030973448169014088,民权县
2002_01_08,0.15424918053966766,267.64076090019046,283.3442804828368,276.77784156802596,102852.40201978583,269.74086394648697,102057.7667028015,0.0,-0.3009897868996469,2.4813184293919837,0.035398226478873245,民权县
2002_01_09,0.2268175035688986,270.6713675103594,286.9880375933824,280.8855948329439,101726.0717494073,272.60412616829774,100952.10825610971,0.0,3.0902349585745217,2.182866837488052,0.039823004788732394,民权县
2002_01_10,0.19421980657288568,270.64688740578083,290.6901566786318,281.63984312498417,101443.46683582863,273.4957869433655,100678.04120759878,0.0,2.1671928337457853,1.3810308974389114,0.04424778309859155,民权县
2002_01_11,0.23318543420246612,277.21225304067116,290.20134583120864,283.4340114751043,101396.5213308431,273.37510138894646,100632.56966215964,0.00028765039198954317,0.5045502432135863,2.675865591126481,0.04867256140845071,民权县
2002_01_13,0.22958457143503477,273.84414147650887,278.7851335803445,277.8738652897994,101782.30023035363,275.6649504262938,100995.14340996784,0.0004080893115645331,-0.6395043980581814,-1.6432104384815316,0.05752211802816901,民权县
2002_01_16,0.40118454761732586,269.3788914466538,277.1351009953897,274.41912770628716,102617.26804918663,271.4514616552767,101813.02521931597,5.609542154136804e-06,-1.1513498990561777,-1.8395892130185323,0.07079645295774649,民权县
2002_01_18,0.18822866219606457,269.63866538954596,279.9920427744254,275.141818501781,102600.89318491855,271.47261378625353,101805.00198900489,9.313225746154785e-10,0.15762566816740328,-0.5625822446991723,0.07964600957746479,民权县
2002_01_19,0.20187538330167282,271.59073411502635,281.64569836342014,277.97554053537795,102418.37478868147,272.55521207325745,101629.45777738668,2.1420419216156006e-08,1.3517172438280232,1.166244459849483,0.08407078788732394,民权县
