Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2002_01_01,0.17717379687691853,267.7396925342741,280.3537005661719,275.05051170844627,102934.0560541584,269.72991884703663,102074.16566547511,0.0,1.4341736926464947,0.48789117800325466,0.0044247783098591556,源汇区
2002_01_02,0.3537299283509938,271.57965580093406,286.5442616108278,279.68931728888646,102680.31609912569,270.5112701074303,101831.33146550004,0.0,2.3874690122906688,1.334948938510651,0.008849556619718311,源汇区
2002_01_03,0.3337446874802859,267.34846485424885,286.16651549867004,280.14073112480975,102547.82804399262,276.23691306074284,101701.6436841718,0.0,2.5622529817960693,-0.7782535440754565,0.013274334929577464,源汇区
2002_01_04,0.3939350044841765,267.59010851560356,290.2756450799154,282.12997872567774,102085.46626626735,274.9397485393186,101250.25862923116,0.0,3.6821197646885038,0.21125799345522292,0.017699113239436622,源汇区
2002_01_05,0.3724586985957541,271.5407201578294,288.93122814816417,280.94546054479497,102089.57033027321,274.884939633215,101254.99727852206,1.7649894711598913e-05,0.4626666449417242,0.5066674234667645,0.022123891549295775,源汇区
2002_01_06,0.32550090803384824,269.03333617096314,291.66989452401714,282.84472367200044,102336.64601812307,273.72438190056135,101497.6950497248,0.0,2.378709546100648,-1.897075766894195,0.026548669859154928,源汇区
2002_01_07,0.3268203102077709,268.8274436265278,282.5507692541596,276.8690192826401,103010.0104566169,272.0323665597357,102149.28706883547,0.0,-1.375550426580752,0.8877846897070427,0.030973448169014088,源汇区
2002_01_08,0.26417525298843925,271.3619485848593,284.9526057878693,277.7952019934549,102813.80334148726,271.46503559749704,101961.01470424129,0.0,-0.6277380361260477,1.3708804963597407,0.035398226478873245,源汇区
2002_01_09,0.32665317953227274,273.78171349595704,287.3421085182878,281.24751709543887,101884.16304951995,273.5626918491451,101048.50754344735,0.0,2.927360115081951,1.9081006415631614,0.039823004788732394,源汇区
2002_01_10,0.3510595746423344,275.71667533075197,292.01225711859195,284.0783277979497,101534.92605421082,277.20079666444207,100707.63127251089,0.0,2.582950492825175,1.7973761669373498,0.04424778309859155,源汇区
2002_01_11,0.372431085945186,278.5534440901236,291.44928428989425,284.4416465197718,101390.52360076077,277.6675666767129,100566.85577114005,1.2734558097960291e-06,0.7803715086992215,2.4298555174364114,0.04867256140845071,源汇区
2002_01_21,0.4214393449913676,263.8964773024841,282.68189768953323,276.3536384522708,102736.71335816447,271.10501700471445,101877.85665773498,4.0978193283081055e-08,2.284834605028505,-0.7729207595993698,0.09292034450704226,源汇区
2002_01_22,0.42739827979975464,264.34087010313715,281.6127530157174,274.88116261214606,102954.69673848675,268.4470055173869,102086.23501942244,0.0,-1.2990122657935894,-1.3406500385007079,0.09734512281690141,源汇区
2002_01_23,0.42309974577901194,264.58990424513706,280.1591094067758,275.52973265901545,102909.01371930151,268.66538775480177,102040.4859950258,0.0,-1.3661274273611772,1.5301044161440123,0.10176990112676056,源汇区
2002_01_24,0.31147073954133186,266.2385850855489,281.2822923160709,275.7309535397932,102726.9639244682,269.81071426236105,101861.17719908379,0.0,-1.8610602518164379,0.34187059638557704,0.10619467943661971,源汇区
2002_01_26,0.36889473100626385,272.1662248324157,282.02664970036597,276.6802558677467,102729.27657964452,270.2849835623633,101870.04392649708,0.0,-0.30273293402874996,0.7233932560168289,0.11504423605633803,源汇区
2002_01_27,0.2753338460857662,272.7791195703413,280.9052454577628,275.8498204679672,102921.6707724834,271.7271128085981,102059.60945815787,2.9139013268040753e-05,0.5265082517282963,0.13237934863538578,0.11946901436619718,源汇区
2002_01_28,0.300220764253411,267.3100095327572,281.82375786620025,276.2474231000707,103160.72504168515,271.5167879152484,102298.11278044782,1.862645149230957e-09,0.706818414751749,-1.1913297651138326,0.12389379267605635,源汇区
2002_01_29,0.41896882541603725,262.2665122124105,283.9208408442539,278.1858894435385,103014.32398336579,271.6242991565719,102154.98655762311,4.0978193283081055e-08,2.964487131754301,-1.5332108531665425,0.1283185709859155,源汇区
2002_01_30,0.4187738474094618,265.81665589833295,283.65926550001853,276.53486313238216,102994.8564212797,270.198517748175,102138.83695268352,0.0,0.42069287908452396,0.2545301381209218,0.13274334929577464,源汇区
2002_02_01,0.42399189473247845,263.7608952686548,285.2315700345402,276.9911332915802,102740.82496972119,269.3411243836578,101889.60252764227,0.0,2.821292447923163,-0.9437615957725964,0.14159290591549298,源汇区
2002_02_02,0.4707422941676632,266.8132865481739,287.1289430840258,279.41743056802414,102550.37098752442,270.070411727181,101702.85321183763,9.313225746154785e-10,-0.5315422876701168,1.922029493080594,0.1460176842253521,源汇区
2002_02_05,0.3562563193399608,273.76386612590954,289.4078803176276,282.82973185460565,101850.54541571427,274.1848606256911,101016.60688535703,0.0,1.86456878583012,2.141204898401083,0.15929201915492958,源汇区
2002_02_06,0.3474137499906646,271.0021578783447,287.23497615156487,281.06834087614067,102062.81188435337,273.37193559666895,101221.82880750751,4.0978193283081055e-08,-0.6579356648037332,-1.7086036899650041,0.16371679746478873,源汇区
