Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2002_01_02,266.97540283203125,285.4251708984375,278.022705078125,102658.4921875,271.1190490722656,98106.8828125,0.0,2.205238103866577,-0.5388984084129333,0.14101474913396606,0.008849556619718311,石龙区
2002_01_03,264.7770690917969,284.2798156738281,279.30767822265625,102592.4140625,276.4877014160156,98017.9609375,0.0,4.102367877960205,-2.268543004989624,0.15353742201621023,0.013274334929577464,石龙区
2002_01_04,265.79962158203125,287.885498046875,281.9132080078125,102115.9765625,277.0760192871094,97607.3828125,0.0,4.3762102127075195,-2.062199115753174,0.17749408082204818,0.017699113239436622,石龙区
2002_01_05,269.27001953125,289.325927734375,281.9034118652344,102053.6484375,276.7067565917969,97576.1328125,1.1766329407691956e-05,1.278243899345398,-0.5746027827262878,0.1629426898721464,0.022123891549295775,石龙区
2002_01_06,263.87750244140625,288.8545227050781,282.7609558105469,102392.6953125,273.0911865234375,97876.3671875,0.0,3.872080087661743,-2.879364013671875,0.1279070941136058,0.026548669859154928,石龙区
2002_01_07,267.69097900390625,281.92041015625,276.5997619628906,102956.71875,271.3035583496094,98340.6875,0.0,-0.23819756507873535,0.5425570607185364,0.13621696261692048,0.030973448169014088,石龙区
2002_01_08,270.1156311035156,284.5862121582031,277.2871398925781,102759.40625,271.43353271484375,98179.6640625,0.0,0.04183588922023773,0.3835359811782837,0.11924317492121747,0.035398226478873245,石龙区
2002_01_09,270.4225158691406,286.9721374511719,279.8283996582031,101844.4296875,271.04107666015625,97381.5,0.0,2.1352691650390625,-0.36798420548439026,0.14589421019868076,0.039823004788732394,石龙区
2002_01_10,270.3246154785156,291.3652648925781,281.6754455566406,101483.8125,273.708251953125,97069.6640625,0.0,1.6327754259109497,-0.2757338583469391,0.1650467798964096,0.04424778309859155,石龙区
2002_01_11,272.9349670410156,289.55023193359375,280.9949645996094,101302.6484375,274.0290832519531,96873.7265625,1.862645149230957e-09,0.04234025999903679,0.8109695315361023,0.17366272088014753,0.04867256140845071,石龙区
