Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2003_01_01,0.0586294280257044,261.229511866758,273.19475793788683,269.352054137606,103390.83842372916,261.68794260726736,102835.11356747334,0.0004840934017909083,-1.3058261632658978,-0.34476280244711305,0.004399989635854342,台前县
2003_01_03,0.0802282145353427,254.51667048354014,270.0197932381542,266.0110347845607,103434.54937941197,261.9793549835071,102868.92633499335,0.0,0.1520842317635386,-1.6143379805493745,0.013199968907563024,台前县
2003_01_04,0.0656618598778101,254.11098383081918,269.89166477068466,265.078611560294,103984.41659052363,260.51965099146094,103415.57300947318,0.0,1.06398182626259,-2.820068398596602,0.01759995854341737,台前县
2003_01_05,0.0915783390514701,256.92394207784696,271.9381659344589,267.23092380515044,103748.09491851288,260.16206842156095,103182.65788074257,0.0,-0.47356400767035833,1.886003852866622,0.02199994817927171,台前县
2003_01_06,0.0824231800544832,260.8218229388246,273.2937109557946,267.56558596586575,103415.2696841709,262.00575285261624,102855.2317572013,1.862645149230957e-09,-0.05824082255601569,-0.9614408531415276,0.02639993781512605,台前县
2003_01_07,0.12892250856713375,259.25993680157205,274.3150748218699,268.66357469902294,103300.6998168487,262.32244214818536,102744.11013585534,4.0978193283081055e-08,-0.6951267049101421,1.5121320218577918,0.030799927450980393,台前县
2003_01_08,0.1472707164008906,266.25990238380285,277.0378025540411,272.2165671824479,102626.41916574659,266.4024790432193,102078.75972056403,0.0,0.12442537290182865,3.0341461678332586,0.03519991708683474,台前县
2003_01_10,0.18190130736647267,267.06017762404116,279.86074793289384,273.86579215772537,102638.83517078022,267.21521954237693,102097.61662054078,4.0978193283081055e-08,1.1318761320645274,-0.3122327277767629,0.04399989635854342,台前县
2003_01_11,0.1134982274287246,268.72097491362155,282.8787542055605,276.1732321136336,102360.73117261849,268.37631061796446,101822.55771140897,0.0,1.1678269828044894,2.349730787785799,0.04839988599439776,台前县
2003_01_12,0.16228560695568536,268.99298520423196,283.22590765043554,275.99869027771564,101679.67989266862,270.5614059496113,101148.11576730249,0.0,0.9229156927116811,1.811580290920005,0.0527998756302521,台前县
2003_01_13,0.16886611604446597,267.7870160257127,284.65034090479855,276.7412955830138,102408.52364387794,269.9143509107293,101868.96198511434,0.0,-0.41613649446256246,-2.1318927743357547,0.057199865266106445,台前县
2003_01_14,0.1749159579583039,267.36635391391906,277.50855505589345,272.72938895010617,103397.12201394928,269.76387129461114,102845.56278341179,0.0,-1.464642522832001,0.2349832704919559,0.061599854901960786,台前县
2003_01_15,0.17801674566909892,267.47354492732654,277.8478040161962,274.25489586081073,102604.19490731122,269.94905658795676,102057.28405464982,0.0,-0.556950023679705,4.71391398692433,0.06599984453781513,台前县
2003_01_16,0.15381721269897655,271.1343199275105,281.4444733720596,275.27945026849125,102096.34499067007,270.67603039051016,101557.11118805406,1.862645149230957e-09,0.184558704459314,-0.42159531583287796,0.07039983417366948,台前县
2003_01_17,0.14216773861496637,268.9095396511786,278.32962436747493,272.8506657890242,103003.59283635115,269.64820285393466,102455.22537288588,4.470348358154297e-08,-1.1629228087332744,-1.31040051716719,0.07479982380952381,台前县
2003_01_19,0.17584108799735287,268.7471523036923,278.69259679628874,273.11498157758604,102386.18617191543,267.91033545683786,101845.31737467395,0.0,-0.6144263259258572,1.059141461777308,0.0835998030812325,台前县
2003_01_20,0.12884286547391302,264.47936295805977,278.28764312617403,272.3344512111778,102527.02177958797,268.5927011019827,101981.81325872293,0.0,-1.6615992521749954,-0.6712167044438921,0.08799979271708684,台前县
2003_01_21,0.13814092261752817,271.22225326223963,279.0813342081665,275.8248002306952,101691.76190576264,268.7552879433496,101153.04461319001,0.004225607669069225,0.3975291441757742,2.3305216452165283,0.09239978235294118,台前县
2003_01_22,0.03644617248405027,269.8613798175477,277.9155049291687,273.22708406740674,102006.9423270549,268.96238848331154,101462.36845269808,4.998046166449123e-06,0.30214191979673893,-2.311913667722268,0.09679977198879552,台前县
2003_01_23,0.18519704511845242,269.56895475262996,279.206193195448,274.3071705899004,102008.24911099134,268.71237891770335,101466.92876385119,0.0,-0.6533682671638741,2.6687348469533267,0.10119976162464984,台前县
2003_01_24,0.16482730060968193,269.975694064648,280.1175059470093,275.21053400735804,102391.02261220859,269.9034045367685,101849.79933074616,5.519551183608809e-07,-2.112466913535396,0.8385577155914463,0.1055997512605042,台前县
2003_01_27,0.21639423256012727,258.80597772429627,272.7683003240655,269.5840870130722,102830.16360489384,266.2507272871964,102274.47283721366,0.0,0.6722773661649887,-0.2398854705223223,0.11879972016806722,台前县
