Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2003_01_01,0.04451287886488187,263.37138994401937,271.74722460306833,269.3135242546807,103386.4480795766,262.7337323047854,101770.14696286686,0.0010416978365864929,-0.42886865106447636,-0.6232189674938812,0.004399989635854342,浚县
2003_01_03,0.04148220191147998,255.9384220124063,271.19449101192265,266.798502870325,103425.95133312502,262.19313204141736,101789.2150778466,0.0,-0.338278319692929,-0.22158036111239374,0.013199968907563024,浚县
2003_01_04,0.0354361307161057,255.29949584326974,271.3681509455654,266.11721812765467,104009.30689856103,261.1483589193552,102364.00570477679,0.0,0.10638499910459061,-0.6432502780942995,0.01759995854341737,浚县
2003_01_05,0.046053724865944605,258.83577248743865,272.19920106149726,267.1429706772375,103661.04978929355,261.09879882339044,102026.05980231728,0.0,0.24058760958252456,1.806109772205107,0.02199994817927171,浚县
2003_01_06,0.03142942522029464,259.6228863287653,272.16630963791243,267.02599385969,103436.78612721145,262.2095054590002,101809.40281694137,1.862645149230957e-09,0.24727098891955157,-2.0065670641573634,0.02639993781512605,浚县
2003_01_07,0.05082307883434458,260.9871746204327,273.8112683964497,268.771069252712,103252.59918311241,262.8184546784417,101636.90149521233,4.0978193283081055e-08,0.374334826078587,2.1503950885664866,0.030799927450980393,浚县
2003_01_08,0.04544676117028894,265.93996244362853,276.4929590704582,271.8845827562799,102538.00674721797,266.0568719495781,100955.66400279828,0.0,0.7175226028425613,1.8423046707189645,0.03519991708683474,浚县
2003_01_09,0.017307132579756572,266.0783636066992,278.1901589895883,272.4130300713916,102615.7724756411,267.348287850332,101038.08172204645,1.862645149230957e-09,0.14406657718863536,-1.5430465041691692,0.03959990672268908,浚县
2003_01_10,0.09049139771507236,266.8427640368482,280.6793613372566,273.33413539893405,102637.43092793875,267.3228793342075,101070.90451591377,4.0978193283081055e-08,0.3939805260408345,0.1195485116329727,0.04399989635854342,浚县
2003_01_11,0.1502733272604027,267.58734277119373,283.6259171623127,275.57447985821676,102322.55644172186,268.0567128965506,100777.53170506799,0.0,1.2220730911560145,1.23863008032339,0.04839988599439776,浚县
2003_01_12,0.21458759967857718,268.5885916407909,285.4023245286612,276.39582064901816,101657.87654613458,269.96742726959064,100136.4849229772,0.0,1.6822303886708267,0.6971510630035275,0.0527998756302521,浚县
2003_01_13,0.23330528017436492,268.3679909076676,286.2757016423963,277.980618876529,102424.73778705543,269.94109005760805,100870.12495445341,0.0,-0.23780261304812134,-2.1106571792407762,0.057199865266106445,浚县
2003_01_15,0.18919363845565565,269.7201657138566,278.236514848071,274.6608684350298,102480.23203986316,270.56133061653856,100901.97268183094,0.0,0.906627852801242,4.36819586355405,0.06599984453781513,浚县
2003_01_16,0.1057134360969381,271.24921857115385,282.05769766240724,275.238979597743,102092.12935868025,270.14276326417905,100528.79798619497,1.862645149230957e-09,-0.16256143201873796,-1.0545292488979976,0.07039983417366948,浚县
2003_01_17,0.15517520127808648,268.4300207642342,277.6580770151959,273.23749162996853,103016.27596194846,270.2981010763046,101428.15041241127,4.470348358154297e-08,-0.42778584589822855,-1.555641380021725,0.07479982380952381,浚县
2003_01_19,0.15321218882423246,270.02190115984763,278.15107000762794,273.90872490119966,102342.15960373289,268.8915487057387,100772.84905907638,0.0,0.16760414249043096,1.2215099972342192,0.0835998030812325,浚县
2003_01_20,0.06895678130498438,268.3912419514271,278.93040043619453,273.65665473991504,102503.03345060704,269.90190544857967,100924.73366572043,0.0,-0.9663427838219179,-0.9320410208689397,0.08799979271708684,浚县
2003_01_21,0.13233706137056647,270.2757923563848,278.4882065939802,274.86286530531453,101645.07976824703,269.9073765366259,100087.8254815328,0.0012999810178844732,0.9493283441741873,2.4544966040201106,0.09239978235294118,浚县
2003_01_22,0.13995957944481832,269.47490527240996,280.4556922578995,274.3310332492019,102029.27923705298,269.89746091600045,100459.11033223332,1.4543544292296494e-05,-0.338491758160467,-0.9207547505022292,0.09679977198879552,浚县
2003_01_23,0.20510148626716854,270.0710436884314,280.4328613669119,274.4210886643258,101902.02376173346,269.09170040674763,100338.57193169404,0.0,0.3706917043701605,2.534209041773733,0.10119976162464984,浚县
2003_01_24,0.07047972818957132,271.114658096207,278.6174868916036,274.8283438088776,102378.48071317976,269.4907550752355,100799.37056189898,3.901611221406002e-05,-0.5732864579418203,-2.400127216180403,0.1055997512605042,浚县
2003_01_27,0.04838094286398649,259.1622642043467,275.65274611343557,270.78867849819335,102777.62228060469,266.43858702710315,101185.17331263496,0.0,1.02902949942992,0.7533585634227259,0.11879972016806722,浚县
2003_01_28,0.10509870890549054,261.34930794946087,274.7802076159894,270.3653430083715,102934.57949774338,266.0254786178379,101330.96224369755,0.0,-0.824676418862706,-0.8031876951961667,0.12319970980392157,浚县
2003_01_29,0.16958400625842776,263.5749973900842,276.3129284304487,272.2255258443971,102859.82360637354,266.07298403925387,101261.66350153017,1.862645149230957e-09,-0.3244210918653128,2.726474072672731,0.12759969943977592,浚县
2003_02_02,0.11799779472112013,271.6348976564418,279.5192908074104,274.8359568781305,103154.79835602723,268.76203733996607,101574.22543230483,0.0,-0.1674006231233277,-0.9708797540243538,0.1451996579831933,浚县
2003_02_04,0.22090737224835916,263.54559975478526,281.56726047904215,275.13809984786633,103352.22829623065,268.94515505545235,101771.16626430783,0.0,-0.15927865368816485,-1.7499092594061931,0.15399963725490196,浚县
2003_02_05,0.2380829817009474,265.50810853254654,280.54853652894485,275.71190318286614,103114.69513975302,269.02676085573427,101533.25663727164,0.0,0.27617213764264664,2.603197767781193,0.15839962689075632,浚县
2003_02_06,0.21349528425874192,268.5611987586727,284.65092406405284,278.34729865448196,101868.73198971854,271.2331796402039,100327.33923427342,0.0,1.351350535027696,3.21024712077687,0.16279961652661065,浚县
2003_02_08,0.12424783097450537,275.4029180377253,282.7429197788206,278.37900470460846,101643.53083405338,273.67591450202826,100101.11836180407,0.0017217864691140888,-0.6932015504771047,-0.23909054052650405,0.17159959579831932,浚县
