Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2004_01_01,0.11335872669425534,263.84255040969845,280.3183827105657,274.7614455608366,102718.2118410916,269.1429786329011,94612.59084176786,1.862645149230957e-09,3.0186006601401236,-0.8580430904576221,0.004303551506849315,湖滨区
2004_01_02,0.1500640217054894,264.8801068174754,280.5339763894212,274.41702349718133,102330.54833378426,268.9200913765396,94292.9003845293,4.470348358154297e-08,0.26383455296831004,-0.6117936651026316,0.00860710301369863,湖滨区
2004_01_03,0.13393512766072574,265.5426537459311,281.5033836177932,274.5064210957702,102493.3871809499,270.2733198986956,94451.05973795505,1.4628362333647631e-05,-1.00178981040951,-0.21895087979880884,0.012910654520547944,湖滨区
2004_01_04,0.10810040535047831,267.46776743639197,279.55833876385645,274.71427309938997,102599.71830142898,270.13693651923074,94545.6064684444,0.0,-0.06724515566658387,-0.4537946477878343,0.01721420602739726,湖滨区
2004_01_06,0.12804372948926207,269.81948879791406,279.18891968199915,274.37326966244444,102899.81440887858,269.4133238129442,94777.86124378354,9.313225746154785e-10,0.8343375190933551,-0.775018755530845,0.025821309041095888,湖滨区
2004_01_12,0.1550101756374566,259.03999539079933,274.0673666195127,270.30254901727636,103278.84423343716,266.42096377839476,94991.09598175251,0.0,1.3076744022030904,-1.2699929391582325,0.051642618082191775,湖滨区
2004_01_13,0.14087451412657484,265.11639076792324,277.1510637424907,273.344938246156,102262.57974703246,266.7698143710177,94141.56955382737,0.00016250088061200342,-1.6569553430190653,0.7256786523399753,0.0559461695890411,湖滨区
2004_01_16,0.0585252981870248,268.69050529375994,273.1514840002517,271.4116281268295,102845.12537964381,269.849027918993,94560.45621972822,0.0003167197535788234,-2.8149622488772343,1.0650698136691439,0.06885682410958904,湖滨区
2004_01_18,0.14608740943697862,259.5563632840486,271.3200436585815,268.2188489959248,103416.98872965384,264.879755092003,95003.86833971419,1.862645149230957e-09,2.6839263904655817,-1.6638054685921382,0.07746392712328767,湖滨区
2004_01_19,0.14846686940050483,259.71350989527315,273.02124576011295,269.141259522286,103141.5687291568,264.9758801093044,94815.65971778543,4.284083843231201e-08,2.596143122507088,-1.1989680303875045,0.08176747863013699,湖滨区
2004_01_21,0.1445505497917881,258.9748707572405,273.62649211826067,269.5564717034496,103102.76137090889,265.3352883803064,94787.36663031726,4.284083843231201e-08,0.991708721527848,-0.567312332395138,0.09037458164383562,湖滨区
2004_01_22,0.16895157787553197,260.0788456348594,276.1731153295008,271.50596312370044,102755.12134754768,265.35739967207843,94509.02775882163,2.3772349172250672e-05,1.9899199131701963,-1.4755384713203656,0.09467813315068493,湖滨区
2004_01_23,0.14044991985776475,252.84083930901906,271.8122490327134,268.42143507737546,103758.74639493333,265.35568668117634,95294.34820070051,0.0,3.7212556216498447,-4.050470457676064,0.09898168465753425,湖滨区
2004_01_24,0.16864344398810188,255.37031706631004,271.46024392369225,267.5811641303203,103466.77368901398,264.2356157193453,95032.32527085529,0.0,2.150420167811105,-1.3767412596540474,0.10328523616438355,湖滨区
2004_01_25,0.13769808784778725,258.10957150946484,274.13785732381217,269.62102831063044,102831.16882405196,264.1989546585433,94557.55810503704,4.9934318016887995e-06,-0.6086859236787994,0.04258558019594618,0.10758878767123288,湖滨区
2004_01_26,0.10161597300950737,258.75748544609723,277.1142151162797,271.51129761585366,102857.1351700092,267.22571035865116,94638.10405449504,0.0,2.0535267416272602,-1.1439552072977157,0.1118923391780822,湖滨区
2004_01_27,0.16351494741880032,259.3880709625634,276.5806445417926,270.74595939327594,102508.25559069272,266.1664352957293,94341.2839120551,0.0,-0.6640587313136878,0.12019910074058159,0.11619589068493151,湖滨区
2004_01_28,0.11611760251023731,264.16991290225934,278.768636720088,273.34692850102886,101624.88478217424,266.59940648064645,93596.91461963631,0.0,0.5073885201617558,-0.37302450062340975,0.12049944219178083,湖滨区
2004_01_29,0.12778552736027424,266.82216817785525,280.71210814374103,274.22650282652984,101676.26666457704,269.0597304128303,93649.61375737943,0.0,-1.5498477585511792,0.4045951165805584,0.12480299369863015,湖滨区
2004_01_30,-0.08941563013377142,269.632902447347,278.46009879705156,275.02843591869265,102076.38132217988,270.01121409780495,93974.01822887994,0.0010551291905816042,-2.6806976277684424,0.8890067244504357,0.12910654520547946,湖滨区
2004_02_02,0.16155169927907637,256.42979777187014,274.17144665774794,271.1097259635378,102929.58741980672,268.2488870334755,94655.87451669057,0.0,2.407632014363198,-1.5061866333702405,0.14201719972602742,湖滨区
2004_02_03,0.13282888556811773,256.9502381299919,276.98665389846894,272.8565982713,102522.42312783118,268.1189512879241,94336.47032393496,1.862645149230957e-09,3.8669131794389418,-0.4145930700277321,0.14632075123287672,湖滨区
2004_02_05,0.1356401265280283,256.73041262108154,274.6126300253521,270.7592778883061,103300.36635043005,267.33086656863253,95014.58466719139,0.0,2.2080486483280644,-0.5835199204942647,0.15492785424657535,湖滨区
2004_02_06,0.1348063996610065,257.0917369239642,276.26430080871927,271.5799649444757,103513.51316201262,268.0254261110575,95246.14133418705,3.725290298461914e-09,2.0533242478111737,-0.862468527932892,0.15923140575342465,湖滨区
2004_02_07,0.1617038466883821,259.15312703976775,278.7102571408146,272.7217875386041,103130.43275404078,267.66436665605227,94957.2824416702,8.754432201385498e-08,1.7302311274200317,-0.38519447936743545,0.16353495726027398,湖滨区
2004_02_08,0.14672211313732195,259.7300947976373,280.63748274587704,274.5098720044974,102689.17948315873,268.7310493495312,94597.29338120687,8.012792813878813e-07,-0.6514117393537088,-0.24604740684261794,0.1678385087671233,湖滨区
2004_02_09,0.15021922355032966,266.3757156285812,281.5034007075639,275.33112474581674,102548.80946097842,269.28851826837604,94495.34970857271,0.0,-1.460350449668872,0.7193076584535821,0.1721420602739726,湖滨区
