Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2004_01_01,0.260238507104248,266.5279915321067,283.7781392902034,278.4758219464535,102459.58986065222,272.5429817679168,100756.31352102805,1.862645149230957e-09,3.0170989873794904,-1.872006080459125,0.004303551506849315,长葛市
2004_01_02,0.3458424505294834,267.10032895647277,285.3755084945198,277.858772299323,102204.27240034346,272.3466383333384,100513.09111368627,4.470348358154297e-08,2.560198427613517,0.587144997302061,0.00860710301369863,长葛市
2004_01_04,0.2591864281096434,271.9816606526257,282.8072998821443,277.93726740151516,102579.00204018211,272.10894360196863,100874.57391657484,0.0,0.24527792179105115,0.1051663061338753,0.01721420602739726,长葛市
2004_01_06,0.1560359040074165,273.328792649782,284.5422543607727,277.8864883766639,102706.72837259638,273.12288297395037,101007.20799427936,9.313225746154785e-10,1.266980384595904,0.039943062318348974,0.025821309041095888,长葛市
2004_01_09,0.19751381882738173,272.21626020950083,279.1719714439271,275.32343504831005,102888.05618890292,271.0504887955626,101156.30167945732,6.258798687284117e-06,-0.2935953893721703,-0.07764709462671145,0.03873196356164384,长葛市
2004_01_11,0.19222364279852983,271.1296682917606,278.86484435571396,275.9493399256479,102869.81708482347,271.19035719883107,101140.6447890729,6.221819396025147e-06,2.223656805734659,0.725988187744447,0.04733906657534247,长葛市
2004_01_12,0.2237497744210809,263.096909784314,279.56505780686155,274.21114384761694,103034.81661596849,268.3519973858791,101292.72711678241,0.0,2.094404257176663,-1.5399417279117076,0.051642618082191775,长葛市
2004_01_13,0.3443080752388302,267.84774330040943,279.2720957999527,276.2557908936708,102427.9494819061,268.04252641735684,100700.55318193343,9.922635432185454e-06,-0.014524607144766983,2.590796213430671,0.0559461695890411,长葛市
2004_01_15,-0.011804384485666104,271.23174643845493,274.8540183031859,273.9062552649222,102925.29427808325,272.3356754237365,101164.87613412923,0.004219747841995245,-1.461757960962336,-4.269725921454242,0.06455327260273973,长葛市
2004_01_16,0.0628927626106968,269.24069941334125,274.38535606399125,271.86652603697496,103028.92062448733,269.7056420634655,101263.42241254637,5.6849531902353235e-05,-1.6943991578756357,-1.8460923581638544,0.06885682410958904,长葛市
2004_01_17,0.28875117050932514,268.8303692855134,273.7123422119098,272.24342836421823,102836.9416153017,270.2342776260081,101074.54695006492,0.0008022178664070163,0.3746862189936878,-0.5620782414993911,0.07316037561643836,长葛市
2004_01_18,0.30097013165010134,264.4338861168593,275.87873639267235,271.8628930331411,103018.04079764278,268.86050115551035,101253.85405996838,1.862645149230957e-09,1.7110444835540237,-0.8052235376538819,0.07746392712328767,长葛市
2004_01_19,0.4138717376575537,262.9667965178816,278.514521924086,272.69314510475954,102813.51579522499,268.4596414589556,101064.50011846647,4.284083843231201e-08,1.7988466811829869,-0.849034329728172,0.08176747863013699,长葛市
2004_01_21,0.38710884629545544,262.3963749050215,274.6771337152644,270.1026469238989,103124.34315952774,266.25430081331547,101347.90820859764,4.284083843231201e-08,-0.3177259172220578,0.8054296235447862,0.09037458164383562,长葛市
2004_01_22,0.3617736531438851,264.913537022716,277.8964701991606,273.89015272880386,102574.65442266563,266.6753741815994,100831.80468816211,0.0,1.7034129767966772,1.1253208320071606,0.09467813315068493,长葛市
2004_01_23,0.36486571042147936,255.57117351807287,275.5250845487793,272.1883347539586,103317.37711108293,268.1273213903101,101540.6071420237,0.0,3.78909331611477,-3.4772684177786144,0.09898168465753425,长葛市
2004_01_24,0.3718337472541272,257.4291917555049,275.37274174365666,270.4304563178582,103245.57733161378,266.4431560196246,101471.82784797701,0.0,2.213443995904929,-0.4416220438870237,0.10328523616438355,长葛市
2004_01_25,0.20172135556750942,261.9575052568511,275.9914857298037,271.726460756093,102875.30932789616,266.1770395284274,101120.39072501674,0.0,0.4700690562340262,1.623714284506819,0.10758878767123288,长葛市
2004_01_27,0.3282169735303542,263.06807705601466,278.56626654772913,272.6704936847159,102605.16289435401,267.5330513341462,100864.49644331045,0.0,0.7117217304904426,1.753587831371123,0.11619589068493151,长葛市
2004_01_28,0.2938023682201239,268.11444923914723,282.1528102397434,275.71912166086656,101610.76565786252,268.57762174933146,99908.07957177838,0.0,1.2704998778890646,2.2196359977122215,0.12049944219178083,长葛市
