Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2005_01_01,0.11856918522176389,261.1660890182754,272.6834387072066,268.83748177467106,102725.18132575006,262.6293777206359,101829.72020824798,0.0,2.035818381330272,2.9045454580384966,0.004315374450549451,封丘县
2005_01_02,0.12266792067528538,267.451005319255,275.9867223303209,272.40846301104665,101632.95194498908,265.78264923777,100760.29902496487,7.230391012610495e-05,1.76287732880002,3.1846287581627584,0.008630748901098903,封丘县
2005_01_04,0.1759142872449169,260.44341338920395,274.10577270808653,270.9453950043767,103340.25918835159,267.7188569589333,102447.07947004243,1.862645149230957e-09,-1.4913738264098497,-0.881510085011598,0.017261497802197805,封丘县
2005_01_07,0.0653152421248089,263.21732850983267,275.4581715683976,272.1946862144296,103579.00771087036,268.95457755413776,102687.95372639473,0.0,-0.5941440650702214,-0.08385458307313036,0.030207621153846155,封丘县
2005_01_08,0.15768876673530932,262.8685621630098,276.29732147923687,271.04861892293667,103550.01031854456,266.98606100366993,102657.89687420178,0.0,-1.12681049324383,-1.0954682566937777,0.03452299560439561,封丘县
2005_01_09,0.23382368125372618,262.0302984771591,274.83384817581504,270.84785282547057,103175.44772428476,266.65913151253085,102284.25794921198,1.862645149230957e-09,0.20020246159622052,2.0268683266810577,0.03883837005494505,封丘县
2005_01_10,0.2949497723022722,266.79679340303704,277.74401307354094,271.8935390788237,102947.24203777661,268.1495672882824,102065.86467226663,4.190951585769653e-08,-0.5294450843055487,-0.4689158335898677,0.04315374450549451,封丘县
2005_01_11,0.18950285120369445,265.9399226105481,276.3718734326212,271.7149334308851,103314.8470893062,267.094710483632,102429.37051503637,0.0,-0.7768350159372189,-1.1912352141113454,0.04746911895604396,封丘县
2005_01_12,0.2550979680494928,267.3055630043801,277.3685040889071,271.6751693653272,103103.91887372406,267.28735754520886,102222.66428530982,0.0,-0.12577810270092266,1.209818066555682,0.051784493406593406,封丘县
2005_01_15,0.2776428270108177,264.703194454164,277.09863563792226,270.8072779947185,102838.25267770395,265.8331598102931,101956.21894499291,1.862645149230957e-09,0.6706546719008609,1.256980574435346,0.06473061675824175,封丘县
2005_01_16,0.1288933897317685,267.17533554069655,278.9896567969785,273.3603160137871,102558.5830336636,266.0003584967725,101683.28364912565,4.284083843231201e-08,0.8703315191716381,2.8028651925583716,0.06904599120879122,封丘县
2005_01_17,0.2500663995607119,266.91715692145175,280.91731738017256,274.063632959419,102362.91378023816,268.7480540103226,101493.62632133295,0.0,-0.24827298586810476,-1.1925548998069069,0.07336136565934066,封丘县
2005_01_18,0.24710686715132701,265.4000987298365,278.5695387932648,272.2323311317976,102807.60098695793,267.417826639967,101931.16701244832,0.0,-0.4835171331401368,0.970829335252433,0.0776767401098901,封丘县
2005_01_19,0.21838467434758177,266.5259470412278,279.32584918575355,272.6840782396034,103089.49966108233,267.1824259366494,102212.09703559094,0.0,-0.2959069476216379,0.6994033591371126,0.08199211456043956,封丘县
2005_01_20,0.20515384548555968,266.8780679109145,279.74275574535335,273.421578112991,103582.36831426773,267.77885822011,102699.79458337875,0.0,-1.110980566252615,-1.074639746499586,0.08630748901098902,封丘县
2005_01_22,0.32930439917680093,268.15800961428357,278.83083630144347,273.75842539227915,102451.15081401997,270.2966090409959,101576.17029459683,0.0,0.2752103727571783,2.3606582455386373,0.09493823791208791,封丘县
2005_01_24,0.26482266359996753,266.51159419234347,277.4863199541195,274.79674430610834,102253.47524369335,271.6977811712938,101377.2059683628,0.00011945866364635054,-1.8585635148188049,-3.820653152143094,0.10356898681318681,封丘县
2005_01_25,0.2817150859172624,265.3888261615684,276.184807815493,271.6368119160466,102438.83663401447,267.91454269620255,101557.2211378399,0.0,-1.1543165138381348,-2.3946336656460456,0.10788436126373628,封丘县
2005_01_26,0.24275944795917526,267.8791588034839,274.71926832193697,272.0317877794313,102249.57002382602,268.17329181467636,101369.88986139296,0.000234996004167731,0.3796430267972654,0.5113275446760794,0.11219973571428571,封丘县
2005_01_27,0.3218581218042764,269.3635343664484,278.49112931721515,274.6203982188088,101757.49342752449,270.68639174773307,100886.93994425923,0.0,0.8692574632195876,3.028043013091308,0.11651511016483516,封丘县
2005_01_28,0.2961143148593385,269.859750087591,278.35472707757367,275.23459032246615,101468.82196651802,270.8110105943837,100603.57425342259,8.465705378752166e-05,-0.12767450446302658,0.04383028305225822,0.12083048461538462,封丘县
2005_01_30,0.19788425751614175,261.09394934139124,275.50136505481566,271.72184106720096,102717.62584883197,268.75290767060994,101832.53881443648,0.0,0.564797526964762,1.4029104223719315,0.1294612335164835,封丘县
2005_01_31,0.2759406079427126,260.9809623366009,279.5967189199404,273.20375650957345,102559.57401475852,268.3149874625661,101680.7806829699,0.0,-0.41228633483390814,-1.0418614832212694,0.13377660796703297,封丘县
2005_02_01,0.2108595722469221,259.8286062404726,275.6655157324571,271.3624715616924,102812.46884808739,268.09147064552315,101926.13316374754,0.0,-1.2865709838933566,0.4584527059976898,0.13809198241758244,封丘县
2005_02_02,0.22612409834839664,261.1174284590819,277.87141371112824,272.83135878781866,102548.14558570151,267.70955181848365,101667.4248435517,0.0,-1.139713786790798,2.042188855485829,0.14240735686813186,封丘县
2005_02_03,0.25348697139542176,266.2797724650328,279.8185140542768,274.3769061668624,101985.99689755785,269.60215196932256,101117.75351783725,0.0,-0.6267592043759195,1.7982409806473358,0.14672273131868133,封丘县
2005_02_04,0.183838327069977,263.42461973692343,276.9161667720619,273.64829332782614,102512.74899788294,269.0529680570041,101629.45096265129,0.0004895980248140011,-2.1433126474215207,-5.147276833141973,0.15103810576923077,封丘县
2005_02_05,0.19764007207965753,264.8651551420284,272.503027183869,271.3619504654694,102967.34483886798,269.99986093270724,102072.64364474844,0.001168389107918916,-2.3707601599331385,-4.737612010094189,0.1553534802197802,封丘县
2005_02_09,0.006401080434947624,264.4455400101571,273.3621954011129,270.5541590247392,103664.27975268327,267.5701928046091,102766.18150076288,6.246229914139188e-06,-1.3974531078290606,-2.9462856166421094,0.17261497802197803,封丘县
2005_02_10,0.2429344789019604,262.2870716670367,274.2042871172019,270.8130964894494,103762.51677581889,267.825699586291,102866.41743442764,0.0,-1.4636105001886552,0.9201634503349839,0.17693035247252747,封丘县
2005_02_11,0.2349621877977627,266.59810127462595,275.12014806789693,271.97477567338694,103438.02779167259,269.0644564455339,102547.08299218949,0.0007443817100454669,-0.28313094018871393,1.2771537366081964,0.18124572692307694,封丘县
2005_02_12,0.24639174001287067,268.9350327929446,276.2502287838539,272.34117430678594,103074.20201241726,269.7936291785887,102187.66523786637,0.0,0.7261076315809408,2.9411580956104375,0.18556110137362639,封丘县
2005_02_19,0.3142952162195109,261.93478025905694,273.8310847421577,269.66254729532375,103559.56623409319,265.9101084072906,102657.81909404689,2.2921662636784297e-06,-0.5399966546962289,0.42587751698565607,0.21576872252747256,封丘县
2005_02_20,0.3327922967759119,264.85660510813244,276.86790137125513,272.66873871683123,102830.69058871026,265.7498710442453,101945.11127338068,0.0,0.012488245567557852,2.055255689565579,0.22008409697802198,封丘县
2005_02_21,0.3013924309965849,270.67909151568983,282.960983404768,277.9320504834886,101770.60164741706,270.1456501321437,100911.35626477157,0.0,2.1021283909313535,4.270329054623923,0.22439947142857142,封丘县
2005_02_22,0.19638539972108945,272.0042259369454,288.0172513654407,280.2093793161383,101379.81769450227,273.1854979901179,100530.65304963924,0.0,-0.23263267573567667,-0.7292243625840483,0.2287148458791209,封丘县
2005_02_26,0.28156002465004915,268.1599616119695,280.0132763763254,276.3131140533233,102953.30961490714,269.43847676223885,102077.71421470381,1.2928185943589673e-07,-0.11717696543350045,2.48829864647696,0.24597634368131868,封丘县
2005_02_27,0.2740885595212384,271.70070294505047,283.50893619733074,279.4889240034065,102580.72496970528,274.30365129964684,101717.61260348948,0.00024109079192433322,0.032575386131445755,2.4673548892617894,0.2502917181318681,封丘县
2005_02_28,0.19257946412052096,273.76616546250074,285.75750677114996,279.78262389144123,102493.85212282649,273.7504446295776,101635.34319556365,0.0,-0.6524615086752691,1.9887913812401394,0.2546070925824176,封丘县
2005_03_01,0.2377369981159191,273.5415408948089,286.64778588608885,280.48205712190367,102739.0591829358,275.27129704207726,101875.21354838248,0.0016972095787606894,-1.1598887584494229,-2.1611282221587307,0.258922467032967,封丘县
2005_03_03,0.34632319290929214,260.74418098116246,284.52660451010223,277.9349959455514,103116.44345494306,272.1214311212633,102244.59357600611,8.178003409761183e-05,2.416386171803651,-2.021007643070305,0.26755321593406595,封丘县
2005_03_04,0.3034115257161405,260.75682316129024,280.00129444266355,274.3488936094027,103482.6027205432,268.9618049878938,102599.05854971078,0.0,0.6457930571257614,-1.4799626281561606,0.27186859038461536,封丘县
2005_03_05,0.3561873642098419,265.78031721729695,286.3430087636893,280.06230689895875,102657.17012000937,270.8780190244265,101798.01551206235,0.0,1.4819657786245768,2.686808120928628,0.2761839648351649,封丘县
2005_03_06,0.3200884772044741,272.15659660017906,292.4770241761163,284.9122239711459,101995.38818396426,276.62046568905515,101158.21787775334,0.0,2.086090165899001,2.8819288399803122,0.2804993392857143,封丘县
2005_03_07,0.31941312403133637,272.7329629433334,293.63415264122204,284.296678796505,101952.20773548403,276.18301297718557,101115.30394476469,0.0,-0.9662186588332842,-2.0261229381340513,0.2848147137362637,封丘县
2005_03_08,0.2918983558690379,269.898882275988,287.5804688817317,281.6277496961106,101874.78190669656,275.0822380306236,101023.03054527914,1.862645149230957e-09,-1.5795616450620908,-3.877127876623455,0.28913008818681324,封丘县
2005_03_09,0.31714988039044023,276.24660417332456,288.65934215554626,283.1614234204425,101024.16299206871,274.3184659608327,100191.46210417095,4.284083843231201e-08,1.0956560069151944,1.6069403358392138,0.29344546263736265,封丘县
2005_03_12,0.3134394639845536,260.8169976118358,278.8543923263063,273.8287628435252,103286.42141978796,269.54871830523126,102402.2624345945,0.0,0.08667561191131225,0.4990082111525228,0.306391585989011,封丘县
2005_03_13,0.3397718383479916,262.69931207779774,283.99816298829325,278.6613877802381,102364.27442373725,271.8293644879324,101502.08756314889,0.0,1.3969034298310998,2.390426142244863,0.3107069604395604,封丘县
2005_03_14,0.3206306416541391,271.1807028532841,288.4170482341287,281.49737027942126,101278.1445158191,276.2018686291491,100435.7013423605,1.270064812952245e-07,1.0193917468172726,1.9439854099499523,0.3150223348901099,封丘县
2005_03_17,0.3513071591618286,262.9813644273977,288.75560510779644,282.1384752857854,102872.8853791848,274.9860575467489,102014.9687220652,4.0978193283081055e-08,0.022247041592699243,-3.1490297639370533,0.32796845824175824,封丘县
2005_03_18,0.3566463799729277,264.385996104957,284.48046761300265,280.5598017723102,102724.06292831093,276.0600033554788,101862.84270517936,0.0,-0.24005552708702044,1.9072662868725971,0.3322838326923077,封丘县
2005_03_20,0.36250770005907884,274.97206233641805,289.9015932719291,284.92976429589226,102002.14569622814,277.9966257684578,101158.4958395623,0.006810030357879056,-2.4117950948795395,-0.1341908177152341,0.3409145815934066,封丘县
2005_03_23,0.3959532299244724,268.33536343022604,292.9824206687249,284.4169196194036,102457.5323205465,276.01828966778623,101609.5209474333,3.857469845683861e-06,0.06780452236456785,-2.876043140721533,0.35386070494505495,封丘县
2005_03_24,0.4748467038994523,264.718077714865,284.068149646825,280.02591748357696,102779.5533236764,276.455238113005,101914.31314272448,0.0,0.7948419131144787,2.264572039256232,0.3581760793956044,封丘县
2005_03_25,0.4515888667095211,274.1984121358055,291.1113504471954,285.86823127436367,101625.2440276961,277.9396935747123,100788.13487081668,0.0,1.1594871104973525,3.9133538235906338,0.3624914538461539,封丘县
2005_03_26,0.5350456008663821,277.9803725340958,291.65253525968217,285.72888096477664,101554.05179494189,280.89780640653237,100721.35059161283,0.0,0.8564004617821955,2.8792928147658388,0.3668068282967033,封丘县
2005_03_27,0.4438658303055094,279.369660049793,292.3442783529596,287.05791348135114,101323.8897961579,281.89268243093665,100494.78144638511,0.0,0.8728864735549977,2.747111341161389,0.37112220274725277,封丘县
2005_03_28,0.26459331700477523,275.50836435371866,294.1137878376549,288.5143898646055,101886.74035474836,283.0160508340424,101051.11053572001,0.00035522659807612545,-2.590962225550731,-2.8305351775404626,0.37543757719780224,封丘县
