Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2005_01_01,0.21212523605330197,261.2332793241755,273.3165340342678,269.2789829485588,102728.30933893607,263.33510388283156,101762.75472396945,0.0,3.563547048776921,2.4608234791560397,0.004315374450549451,金水区
2005_01_02,0.26015122317802697,265.95638890105425,276.52657933205234,272.5039620880442,101621.0250647634,265.87269619634174,100681.83326932379,8.211384915207666e-05,2.3669341492979656,2.5299807240480585,0.008630748901098903,金水区
2005_01_04,0.18936062487598376,262.1439279250864,273.8787610121933,270.8623187990308,103326.55751657077,267.9243562968577,102361.08789165464,1.862645149230957e-09,-1.7813769416363456,-0.34912237345620273,0.017261497802197805,金水区
2005_01_09,0.17190916203987044,262.82057554636015,274.8898982861991,270.9462910118542,103165.5884774829,267.2736444211432,102203.96436364794,1.862645149230957e-09,0.05519679483559177,1.4646315719765333,0.03883837005494505,金水区
2005_01_10,0.18885180433793522,267.3699644320107,279.0530367992078,272.2037358183399,102923.90951270243,268.41839442203775,101973.72751302287,4.190951585769653e-08,-0.6813279023397969,0.010376489447805061,0.04315374450549451,金水区
2005_01_11,0.133405792433336,266.6679187676996,276.7633123575559,271.300099903413,103311.9901587836,267.9086724762585,102355.37508325955,0.0,-0.5510394872767465,0.29294389333204507,0.04746911895604396,金水区
2005_01_12,0.009366970713596868,268.235132552528,277.39732512867005,271.374229915878,103091.30473040516,267.7877551282695,102138.71785108051,0.0,-0.1332074382101718,0.9215614850375752,0.051784493406593406,金水区
2005_01_15,0.15174069884056854,265.7532471455183,277.37207462383793,270.525646864174,102825.95091445891,265.917175103643,101873.2710880397,1.862645149230957e-09,0.08010702425195393,1.2911399139536446,0.06473061675824175,金水区
2005_01_16,0.07954847108940762,267.5797631497563,279.34592317633775,273.2238333117206,102542.01543244888,265.8772349020615,101599.95108863102,4.284083843231201e-08,0.7042372651526612,2.1304402685259065,0.06904599120879122,金水区
2005_01_17,0.19417100374147206,267.28042830790105,282.58189099776496,274.90148649063724,102350.86297479727,269.0532553168353,101413.851891942,0.0,0.4614184823307153,-0.021092401434092127,0.07336136565934066,金水区
2005_01_18,0.12058338124784594,266.55391194719556,279.1548205237367,272.4169133099452,102796.12957687456,267.1041894899235,101848.83249604634,0.0,-0.27878981528711116,1.337704406079618,0.0776767401098901,金水区
2005_01_19,0.150494578629116,266.6507843172982,279.62287225270387,272.3318057736769,103073.98309045579,267.09028759375207,102125.13024086048,0.0,-0.35599653739175613,0.9374400156800171,0.08199211456043956,金水区
2005_01_22,0.2173420435905166,268.4875898781193,279.02256493190293,273.81579816510174,102426.31078999938,270.2665319565317,101481.89325641798,0.0,-0.0716924089933171,1.9436000894581258,0.09493823791208791,金水区
2005_01_25,0.15233018033054577,265.5153541863572,276.75513913931303,272.3820455103275,102434.35495084454,268.376103596657,101482.73233045539,0.0,-1.6646014584376856,-1.0940897697091359,0.10788436126373628,金水区
2005_01_27,0.20543174961087313,269.53935704167833,278.7390923519374,274.5886814885794,101737.82229065803,270.7472703268118,100799.28334614752,0.0,0.4056921207018227,2.437526676500764,0.11651511016483516,金水区
2005_01_28,0.17161704203205347,271.42461648023743,279.5315711306533,275.57655061753104,101448.51438336118,270.5522043217405,100516.65695434036,8.708980411439164e-05,-0.6639296414564432,0.5924516340465424,0.12083048461538462,金水区
2005_01_31,0.16217017491847022,260.1944144026694,281.6959264904641,274.6951609912923,102552.83946476413,269.3368243234568,101607.16613667224,0.0,2.066831711660576,-0.5156972776567642,0.13377660796703297,金水区
