Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2005_01_02,265.6137701058814,274.8352726329473,270.68710637627834,101725.45771293461,261.52790838739554,97520.52365437943,4.691257135302138e-08,1.5245541881986258,1.047484152585217,0.25780338471498604,0.008630748901098903,鲁山县
2005_01_03,266.72726126553516,278.41542846212485,273.97000986479134,102770.66770546009,270.6524198484882,98529.90333933513,0.0,0.6077810769489126,-1.8075265708121315,0.1736381103865805,0.012946123351648351,鲁山县
2005_01_06,268.40588998611463,279.2125536339353,273.83607544194035,102878.93450584318,268.4523983615754,98644.58660885596,6.124621167734005e-05,0.3095907002328466,-1.3395744534824852,0.3083624855219116,0.025892246703296703,鲁山县
2005_01_07,264.4843252570199,275.22328783537426,272.46753667630855,103559.91924105455,270.0468638712823,99238.63433398609,1.7433861778664973e-05,-0.256520969340287,-0.4107490233847512,0.13484908025169925,0.030207621153846155,鲁山县
2005_01_09,264.66925407190286,274.3814762329324,270.639440542447,103155.74300911033,267.7248031361872,98836.61747343061,1.122478233768382e-08,-0.3173714612634174,1.041650599317803,0.13013414142245577,0.03883837005494505,鲁山县
2005_01_10,268.1442896275434,279.24465925314337,273.1878935462457,102874.00571175314,267.9685805545753,98632.73475352373,4.190951585769653e-08,0.8491816586396823,-0.1793039204712065,0.2638180853025657,0.04315374450549451,鲁山县
2005_01_11,268.3466783827488,276.8923254208174,272.8409654607381,103268.09426638024,269.411131335164,98983.38734565214,0.0,0.0502709238901085,-0.5053194494914554,0.103037479378097,0.04746911895604396,鲁山县
2005_01_12,267.6983708885639,276.9097037458404,272.1350282956362,103067.18429835603,268.56082176998035,98791.8233019509,0.0,0.11809118782339269,-0.05495149649821734,0.1299024102070531,0.051784493406593406,鲁山县
2005_01_13,263.0095575127524,277.82933074405787,272.71388220380317,102795.8042235461,268.8932530719231,98543.14259121979,0.0,1.6969726279930601,-0.7387059871448411,0.21443905303046523,0.056099867857142854,鲁山县
2005_01_14,261.42191431741065,278.0716827705348,271.64092994734796,102710.62492310053,266.83495373906914,98454.45293872542,0.0,1.6427711237842575,-1.4976396708233783,0.24924806631911992,0.06041524230769231,鲁山县
