Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2006_01_06,256.55537719243546,273.12184601054685,268.43050737926256,103583.61387375326,265.19023579401176,98796.9049092146,0.0,2.9856685763316753,-1.8286749081935592,0.2985542238143627,0.025892246703296703,孟津县
2006_01_09,263.0526662243447,280.8259775792814,272.936975960689,102154.56745985028,266.8190103468227,97596.78093596385,1.955777406692505e-08,0.6049325118631527,-0.8603661649930756,0.265546877076774,0.03883837005494505,孟津县
2006_01_10,265.0950094965917,278.80448959140523,273.75170141684805,102256.7806677481,267.31052107550175,97637.19353824643,1.987004323104993e-06,-1.7946786445981158,-0.9959091251114287,0.16940576066934931,0.04315374450549451,孟津县
2006_01_11,268.08838457730184,275.96090298615906,273.66044487433885,102427.35333058455,271.2282358266796,97763.88253830899,1.7882845508204018e-05,-1.8396922815451906,-0.8775215367411298,0.14172611778778282,0.04746911895604396,孟津县
2006_01_16,271.3849052905641,278.67117696823635,276.23325854033163,102265.78029692001,272.72616907017857,97643.56926831312,0.002010521419410984,-2.79640635495143,-0.9049615027787328,0.06232833301656859,0.06904599120879122,孟津县
2006_01_21,266.1575735904613,277.44577753018206,270.9440589430749,102785.29484244894,266.93139670324905,98129.84461580083,0.0,1.2253480799305176,-1.366060226334739,0.0019279635609047501,0.09062286346153847,孟津县
2006_01_23,267.97770052546764,275.3682736472018,272.47068026767755,103263.24482234508,268.33275034322463,98569.44861892215,0.0,-0.6104999688809785,-0.39290847355720165,0.0011203718750899415,0.09925361236263736,孟津县
2006_01_24,268.79844276947773,275.7903179276269,272.151306672909,103120.1392435588,268.7274516185477,98448.8947576979,0.0,0.4678195298161162,-0.26952993494874466,0.007784744453953625,0.10356898681318681,孟津县
2006_01_25,268.9743888240011,276.86787728657634,272.0824592236738,103304.72646911119,268.0023137432972,98632.94987859858,0.0,0.11610492149491737,-0.5386653481545761,0.009917564031282059,0.10788436126373628,孟津县
2006_01_26,267.3719953005615,279.97342293127593,272.8488056783933,102578.74899314556,268.34366468132686,97993.33234999374,0.0,1.60186598990869,-0.9198646398576247,0.008859922326253778,0.11219973571428571,孟津县
2006_01_27,270.9266722510757,279.7945170553978,275.3455585854418,102194.0425584016,269.09322246105904,97600.30308001752,0.0003298296589451296,-2.1100119929367294,-1.0675843913081435,0.05344356567243978,0.11651511016483516,孟津县
2006_01_31,271.2165003573788,279.8888505111516,274.41073316357586,102811.68061671845,271.18618372408133,98192.7451316465,4.2001221009571063e-05,1.4479712338680715,-0.558209439005736,0.08175044649478784,0.13377660796703297,孟津县
2006_02_03,259.9899368192727,270.6768611727617,268.480074010405,104453.92513917123,266.99770790916256,99598.05592791765,6.78291724752824e-08,-1.9087583997045754,-0.11431435699695938,0.17231867809169654,0.14672273131868133,孟津县
2006_02_06,265.26781045858513,280.000597221159,274.13253388803747,102553.26980042749,268.7189338734167,97933.49753345332,1.7926967570672178e-06,3.3128870348159905,-1.8821881073663662,0.04726302658994561,0.15966885467032968,孟津县
2006_02_07,264.7083582235649,280.6322625851392,274.22387509538544,103411.57567443674,268.8141775852331,98729.14545017412,0.0,0.09550703281584572,-1.0592280185553165,0.24368564481017777,0.16398422912087912,孟津县
2006_02_09,268.31971760354514,280.22259214494477,273.7635803579518,102838.86973373541,267.62250095218087,98208.27298701639,1.862645149230957e-09,2.6043744046810113,-0.5540830674944333,0.17540486418380782,0.17261497802197803,孟津县
2006_02_10,270.55072769671045,285.9245216333962,276.6347609844593,101765.71704684682,269.9835239429216,97273.40695820971,4.470348358154297e-08,2.2233499361944182,-1.1639791052367199,0.27305970540533525,0.17693035247252747,孟津县
2006_02_11,273.2346439666021,287.70067060026565,279.4889501689271,102256.57815864924,271.8447794186523,97727.48208146649,5.736507798576635e-07,-0.37711507299630215,-0.8823463520653761,0.22611628948251872,0.18124572692307694,孟津县
2006_02_13,274.1856427434134,289.17939188810874,281.520888993904,101191.47935418504,276.5483054292108,96777.2021045319,0.0,2.410084670865947,-1.4109947914982197,0.16292554177302176,0.18987647582417583,孟津县
2006_02_17,262.982051557893,279.8488778532926,275.5796190493456,103216.91386398801,270.8323579835643,98563.28851426159,0.0,0.5722233121287797,0.105347514799311,0.15805022156573117,0.20713797362637362,孟津县
2006_02_19,267.59823474440265,286.13666308546993,278.1253990765126,102129.75390544186,270.32447875758953,97610.3398383629,0.0,1.561618374492174,-0.4140780129526281,0.30173629458140966,0.21576872252747256,孟津县
