Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2006_01_06,257.87054828055403,275.46694307497967,269.79209689404473,103396.58433045947,265.45040759355953,101316.65081477519,0.0,1.453069783787786,0.1032501383571822,0.29397132087462075,0.025892246703296703,新乡县
2006_01_07,260.4939901183898,275.26320182651574,271.0035554297897,103037.962125452,266.34764507582094,100980.27583156322,1.862645149230957e-09,0.735200748394947,1.02844047691734,0.24922269116588783,0.030207621153846155,新乡县
2006_01_08,261.06388848030093,279.8280303246877,272.45768009695956,102448.48622943302,267.3855308721683,100426.6269562367,4.377216100692749e-08,2.002208190684841,0.4833340971241912,0.21435391551064792,0.03452299560439561,新乡县
2006_01_09,263.6763344440793,280.587314019167,274.50552989090875,102161.99085349953,268.2024863574749,100161.89411737927,1.955777406692505e-08,0.2959790246577662,0.29229331820183074,0.24760891059822057,0.03883837005494505,新乡县
2006_01_10,264.4130184561366,279.5483443176971,275.3477848212168,102312.08191407363,270.4991232670283,100289.93306749535,0.0,-2.27894510058354,-2.201908285270542,0.09260783564915082,0.04315374450549451,新乡县
2006_01_11,267.345990483081,277.4413794068569,274.759806137022,102453.93850879182,271.96899141512483,100415.32834144705,3.1578816194658844e-05,-2.1051055909386247,-2.2553477771411248,0.14744033310063065,0.04746911895604396,新乡县
2006_01_15,270.60724239420693,282.0163202493557,276.9741736443572,102013.88885086728,271.0937059736315,100014.1695591093,6.715614754091997e-07,-0.8406419272164265,-0.984864919871306,0.11761800535488072,0.06473061675824175,新乡县
2006_01_16,270.9301677437824,279.3147686743106,276.3566757796616,102347.17169588846,273.91026135371385,100319.49357746389,0.0003159711296375325,-2.090037932815581,-1.9474673156685154,0.11167641864489568,0.06904599120879122,新乡县
2006_01_21,268.3480880356987,276.8805175362466,271.93130933476675,102790.00092078073,268.31141961139855,100748.70963346184,1.1635801006154612e-05,-0.12496316707580506,-0.13349651427963183,0.002839132249625322,0.09062286346153847,新乡县
2006_01_23,269.4288526729491,278.0680071253853,274.05463375474716,103277.77874387996,269.70240780705956,101225.45626427498,0.0,0.6982765115565224,0.9318885575978935,0.13086324171270516,0.09925361236263736,新乡县
2006_01_24,270.00498926720945,277.7865832749129,274.210743010403,103125.06187405603,270.62120427978715,101080.23589408297,3.982341205058783e-07,0.6680223411631993,1.0290975902544282,0.1688041844167273,0.10356898681318681,新乡县
2006_01_25,270.10489575395195,278.2541967751007,273.8408866881293,103272.68922077534,270.567924511829,101229.43367614929,1.3457911861316745e-07,0.2136640562429366,-0.09205359749038342,0.08351351798271739,0.10788436126373628,新乡县
2006_01_26,269.42024647084645,281.7612680839261,275.915313708266,102517.75674947626,270.36799906357857,100516.56057244727,0.0,1.3152262185571406,0.9058401008326684,0.10113589248855841,0.11219973571428571,新乡县
2006_02_03,259.30026752060206,270.74208035698217,268.44774079093855,104504.0441370337,266.70007125888975,102373.79404714817,0.0,-1.7287473354670075,0.025432329737782422,0.19407137035294886,0.14672273131868133,新乡县
2006_02_06,264.3782382473453,281.27940461561036,274.8629411527464,102407.03689275616,268.9471852944157,100383.39834261543,0.0,3.48230525716459,-0.36591459053216563,0.0686141087047724,0.15966885467032968,新乡县
2006_02_07,264.75082968541545,280.3259630540331,273.94816971273394,103498.26911387246,269.1695980335733,101432.25886038714,0.0,-1.307983530976181,-0.3445202064050436,0.2428968465768268,0.16398422912087912,新乡县
2006_02_08,263.0611244071106,273.6583731200074,270.80901802401365,104218.07655588529,268.2116409345072,102113.64100177541,0.0,-0.33668724505944636,1.3127082463168058,0.19826475873941246,0.16829960357142856,新乡县
2006_02_09,267.72671980712227,280.81513375919377,275.04855185799335,102661.4370998837,268.28313822896484,100641.92918360881,1.862645149230957e-09,3.0528781572173203,1.8197241807828732,0.19967367117150414,0.17261497802197803,新乡县
2006_02_10,270.32178586941916,287.6646517210326,278.50042995178876,101651.17565031265,271.42171991445156,99690.40754559536,4.470348358154297e-08,2.104994601701035,0.2042476856182969,0.2361634238680362,0.17693035247252747,新乡县
