Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2006_01_06,257.08975045910097,275.5510106980333,269.4140165894421,103387.34413846972,264.8741589343444,102700.67355784487,0.0,1.3660618607203137,0.4139767947878743,0.27193131737482856,0.025892246703296703,清丰县
2006_01_07,261.13548014813,275.91263366449584,271.15363545182294,103056.93611488165,264.86264686156363,102375.26958822182,1.862645149230957e-09,0.33900169252179513,2.025037397480641,0.2468516523387801,0.030207621153846155,清丰县
2006_01_08,263.48662439488703,277.73852623390275,271.1988523337734,102485.70138518809,266.09389631346687,101814.69340176128,4.377216100692749e-08,0.6604059951911341,2.1134027355803817,0.2216174383813747,0.03452299560439561,清丰县
2006_01_09,266.3955319433073,280.0338053504299,273.7456183212007,102215.59471483155,266.5847133884035,101547.54427658704,1.955777406692505e-08,-0.1911283257814058,1.5703909692131925,0.18372688415148752,0.03883837005494505,清丰县
2006_01_10,267.2527428488953,278.5010112445133,273.68549610921065,102408.93615525907,268.1334089613759,101735.05769098534,0.0,-0.24144944963794227,-2.7709134793590016,0.08471408610684182,0.04315374450549451,清丰县
2006_01_11,268.67410013820535,275.4552877448613,273.12563072746804,102563.98010216164,269.1705088606731,101884.28731125574,2.3463961416876292e-05,-0.055523173631570166,-3.4524135737269206,0.17973955676964481,0.04746911895604396,清丰县
2006_01_15,271.6904670249992,281.60733098025287,276.4405594269564,102052.5017908735,270.6845469223155,101392.15983279566,0.0,-1.1355621907167277,-0.10277816248503054,0.09461812904534056,0.06473061675824175,清丰县
2006_01_16,271.709400465824,279.2983770880744,275.22149436665416,102425.75561853689,272.65745596476495,101755.21505440198,0.0003129086911134391,-0.008063877320825443,-2.426863680673103,0.1339962846948362,0.06904599120879122,清丰县
2006_01_21,268.29733003597613,277.6012493603878,272.8062188925024,102792.87688889985,268.9319859365506,102120.14627829945,0.0,0.9112022028985456,-0.5086856670102585,0.13533853348247568,0.09062286346153847,清丰县
2006_01_23,269.58871769621385,279.51788464715594,274.83151688106784,103267.63343780872,269.79877038391095,102592.70526900371,0.0,0.2878771334778722,2.923478649919639,0.13538373940581033,0.09925361236263736,清丰县
2006_01_24,269.5642724967078,278.825429477918,274.77669092003356,103141.48080946991,270.85605183840283,102466.96554337587,0.0,0.3782732121704885,2.5843462647950513,0.22613739825388676,0.10356898681318681,清丰县
2006_01_26,271.19946337973954,281.51860391862647,275.8645379272882,102542.61817634333,270.27870073071733,101876.75750447765,0.0,0.5759460504439149,2.478726062831147,0.09026816949708173,0.11219973571428571,清丰县
2006_01_28,273.5082070075817,280.3684087436558,276.6453626737695,101798.71636145294,272.6755460481156,101138.15696522556,3.5949881237941045e-06,-0.3356576993517892,1.822781651636594,0.09991881680525345,0.12083048461538462,清丰县
2006_02_02,261.8552469620944,277.3906454795196,271.835162109152,103902.17025924378,265.85753317331637,103212.1274102259,1.1626618850834044e-06,-2.6100844245326336,-3.4074648944978883,0.11888017389269992,0.14240735686813186,清丰县
2006_02_03,256.1288292090846,270.0866116302347,267.5475126137395,104554.96572041114,265.818465083207,103850.1856762666,0.0,-1.6408408619150499,-0.3614901775520068,0.15048222051888263,0.14672273131868133,清丰县
2006_02_04,263.6136965974098,274.24028594027703,271.74976108753043,103683.55562563997,265.64420945402577,102994.37892068617,0.00039771511597817973,-0.582107995336139,2.6034689533396356,0.1534559490626468,0.15103810576923077,清丰县
2006_02_06,265.51841963674474,280.3458876504159,273.42425120596,102320.79553010469,267.2981939757285,101650.6788977595,2.4013099416952235e-05,2.1355518170022734,-0.4607596049653088,0.08025665341462565,0.15966885467032968,清丰县
2006_02_07,262.10071719009966,276.6530775523762,271.50370076211505,103602.40245758356,267.6005548046553,102915.79487699294,0.0,-1.614346587887738,-1.1198241740496098,0.23057868845496285,0.16398422912087912,清丰县
2006_02_08,260.16364593091606,273.13647337586633,270.1178402054072,104235.56220361243,267.98236325137555,103540.18844604558,0.0,-0.518387548477078,1.3035845958511154,0.2010272250314701,0.16829960357142856,清丰县
2006_02_09,268.66489648873653,279.43519970118155,274.6006680418898,102602.00531470786,268.02704779839985,101932.56055406955,1.862645149230957e-09,1.7116976448580845,3.6393867751355926,0.20236588391976748,0.17261497802197803,清丰县
2006_02_10,271.42539428873863,286.0697917803903,277.8651677573888,101674.43964222727,270.90505028838453,101020.13448420214,4.470348358154297e-08,-0.24669169250395898,1.00526188506068,0.2091633670333299,0.17693035247252747,清丰县
2006_02_11,271.71799665625355,283.2139801253205,276.6693100104205,102391.26057967202,271.89979887824126,101730.41029712067,4.284083843231201e-08,-1.0748525492899303,-0.31306958809872093,0.11676711533179898,0.18124572692307694,清丰县
2006_02_14,269.18108915896437,288.65765423301923,282.94644154774585,101814.14309422759,277.48312006226126,101168.1099249333,1.862645149230957e-09,-0.5883252598013176,-1.8110776289853332,0.18186078034455255,0.1941918502747253,清丰县
2006_02_15,269.9592947761484,285.38917714322287,280.74793238328374,102366.90977349099,275.45800515000883,101710.54742469799,7.999018357760927e-06,0.4605857488314706,-1.7502414902051808,0.173359583966924,0.1985072247252747,清丰县
2006_02_17,262.15177789934336,281.2032775951699,277.30385294918267,103168.79507693768,270.8394611388918,102495.74192861543,0.0,1.4003691346435614,3.0578032569173255,0.21256447772497136,0.20713797362637362,清丰县
2006_02_18,269.2949837970413,284.15711652413347,278.67553152859193,102372.88525092004,273.1576936111627,101709.92678028696,0.0,0.8005238164759351,3.263028938619741,0.21231926105128102,0.21145334807692306,清丰县
2006_02_19,270.0533937405862,286.24290755339064,280.3228025796952,102085.23223166312,272.76346109460536,101428.82088213752,0.0,0.6746066482387698,3.4537552422269813,0.21581081250811904,0.21576872252747256,清丰县
2006_02_20,274.7451125632646,288.74962430851247,283.6139098794309,101451.52343853375,275.8980288868115,100803.35757609388,3.1535045261751156e-07,0.5090824338872448,5.685960563983569,0.2362816098142859,0.22008409697802198,清丰县
2006_02_22,262.1962784063803,282.19383782838395,278.72329316581397,102933.84218536023,273.22958932834695,102266.92074485373,4.470348358154297e-08,-0.45311786980338264,1.823167106815597,0.23827906071183425,0.2287148458791209,清丰县
2006_02_24,270.39055894541355,284.8545141857973,280.35450210270835,102228.41956104002,275.43946496016537,101570.49119869375,0.00021296169796917238,-0.056359794538690625,4.531365526138433,0.23697828576317642,0.23734559478021977,清丰县
2006_02_26,262.5612741616311,275.8244369151807,273.2948132084557,103709.48677509178,271.22926937271586,103021.6020660269,0.00022699616998159237,-1.57761909904575,-2.8337511858818694,0.19468696310458733,0.24597634368131868,清丰县
2006_02_28,268.7991378105783,275.9649264042343,272.1580455558251,102965.43126454804,268.09190313712134,102289.84050951674,0.0,1.1451448158849669,1.6315158922391169,0.05147516619635135,0.2546070925824176,清丰县
2006_03_01,266.71633003830254,284.50639526393115,277.55333945843324,102335.80851371493,270.72137779709414,101674.12788026783,0.0,0.6418685798537447,0.3883329254053522,0.29835494546620095,0.258922467032967,清丰县
2006_03_02,266.17541914733874,283.96971243584943,278.58616621861785,102064.87048898487,273.0112318183624,101404.46540114538,0.0,-1.8060255771908225,0.9558671511647946,0.27946772727192887,0.2632378414835165,清丰县
2006_03_03,275.59163041595747,287.92973891561826,283.3694445436881,101631.23229188987,275.07394381969436,100983.00735613266,1.4918736919907186e-05,0.5434189563604956,3.8280637748270836,0.2620989091017705,0.26755321593406595,清丰县
2006_03_04,271.71352641131904,292.81121951003155,285.0667710923695,101522.50080738145,278.83217853283514,100884.74052528234,0.0,-0.1048207520899908,0.8184765262071311,0.2706526304850397,0.27186859038461536,清丰县
2006_03_05,272.080388566687,295.0331695853856,286.725330640027,101720.13552292269,276.68846318508474,101079.38955380754,0.0,0.0294129546454724,-0.7242519221403099,0.2674628164549495,0.2761839648351649,清丰县
2006_03_06,267.6326688967202,282.4545700537788,279.63880340421,102076.84580814815,275.8430015014244,101420.54632987452,0.0,-0.029389479096076594,-0.8576686051004633,0.23486107620075872,0.2804993392857143,清丰县
2006_03_07,276.5709693629555,290.31301338424197,284.7309614156319,101786.11500159436,278.05512478201,101143.57965491046,0.0016421663027745572,-0.26485253189716945,-0.8122562408073588,0.2659220235721525,0.2848147137362637,清丰县
2006_03_12,256.4508145415192,276.66771835157164,273.22316358428475,103392.43107330876,270.62432765036897,102711.13808922091,0.0,0.3329095485173866,-1.44981098739593,0.2725657177909313,0.306391585989011,清丰县
2006_03_13,261.2623320146766,283.7121806456977,278.4437203563621,102461.01347722973,272.3383368747964,101801.56753621901,0.0,1.502714687285092,0.9496608614254793,0.4012113711761422,0.3107069604395604,清丰县
