Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2006_01_02,273.3620762410281,279.8764291642373,276.97797734705574,102422.6914500803,270.8536822772641,101565.25010528395,0.0,-1.7027503572227578,-0.3589526765213037,0.23328554849316155,0.008630748901098903,源汇区
2006_01_06,259.7019609975001,275.3740751929241,271.1820546371181,103550.37994691411,267.52109121679143,102663.37116246426,0.0,2.67578785805846,-1.4683218985522692,0.31699819250576194,0.025892246703296703,源汇区
2006_01_07,263.8218341215924,276.18335123616635,271.3423415220861,103145.63392841174,268.16365076201527,102268.50697897971,1.862645149230957e-09,1.1029666093325943,1.4645123039118564,0.2769249352747762,0.030207621153846155,源汇区
2006_01_09,271.1500834376917,282.5718029541243,277.04413129703687,102273.85594756278,269.51639557291725,101418.70386870205,1.955777406692505e-08,1.5406346436748029,2.419243311577917,0.37800060565533866,0.03883837005494505,源汇区
2006_01_10,272.60415134041665,283.1722702927181,277.2066286766704,102179.94688814603,271.4628621747124,101320.64382176251,0.0,-0.6614311122223343,-1.608333680035741,0.23421127763099162,0.04315374450549451,源汇区
2006_01_11,270.80030302698356,279.756059572427,275.85006681276315,102301.27769483752,270.97926436675885,101435.87640004154,0.0,-1.1945594065430445,-2.806818772863729,0.19290979065832115,0.04746911895604396,源汇区
2006_01_21,268.5771676654401,276.40957524882737,270.89266065050333,102804.37282560009,266.34643935717804,101934.13448211497,0.0,0.07988969887178703,-0.7159767766655962,0.00964999913152967,0.09062286346153847,源汇区
2006_01_25,269.62527191936437,277.5334727220209,272.58607716678904,103319.14123861835,268.84321636629045,102448.7843668802,0.0,0.4538288037749776,-0.5073779196903263,0.01507427532754106,0.10788436126373628,源汇区
2006_01_26,271.54462082648786,279.9977262910666,274.71676686990196,102684.91358560193,269.006683311454,101825.8967116116,0.0,1.6487943692227134,1.8050958287608574,0.017817026758824753,0.11219973571428571,源汇区
2006_01_27,272.7227612941248,282.02546049952724,275.5913438516043,102231.90394442588,270.6617871931676,101377.81016485872,0.0,-1.6451444405069062,1.048569040101401,0.06560003632266294,0.11651511016483516,源汇区
2006_02_03,263.5575534946598,272.9534135645831,270.44025778766957,104410.15219901637,267.93853625676877,103510.13386620833,0.0,-2.1690695304593444,-1.7849084499491261,0.2197233012156963,0.14672273131868133,源汇区
2006_02_10,275.19965535269,285.05858177287024,279.5794789396409,101870.72866362802,273.49203696661783,101024.34577343125,4.470348358154297e-08,3.392784298768097,2.722236577886925,0.4152881078015616,0.17693035247252747,源汇区
2006_02_11,275.9025727275986,286.02452703153637,279.0447873772133,102287.12780694352,273.8673146077633,101441.81661621809,4.284083843231201e-08,-1.098052304428759,-0.26138090109582135,0.2502473487247257,0.18124572692307694,源汇区
2006_02_19,274.8339077826038,286.07615552666135,280.65899932016623,102289.35323042043,274.8306793366368,101441.37515406453,0.0,1.5003049745194976,2.43126755934141,0.4502865437027945,0.21576872252747256,源汇区
2006_02_20,276.27240248394764,288.540957284055,282.77034440739214,101633.15519730488,276.4333287149604,100795.65366939055,1.862645149230957e-09,0.7216097008767071,3.9439910400516713,0.5084376577550276,0.22008409697802198,源汇区
2006_02_25,274.21804370874247,286.2571700952544,280.27328568795934,102317.9178751767,275.6676183975494,101466.29094981025,1.5162753551138074e-05,-1.7014515606974419,-3.1989748962244704,0.44045614749845796,0.24166096923076924,源汇区
2006_03_01,270.08859185336956,285.53828810980264,279.0141966629658,102503.25519083992,273.30393545275933,101653.06810071325,0.0,2.3034423745225863,0.2338289303730189,0.6101455417557183,0.258922467032967,源汇区
