Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2006_01_05,253.63720815272066,267.7423873142379,266.2901454387336,104195.58605376096,264.7252740532853,96311.4910897291,0.00015211622175867557,3.941049341076902,-2.1244402070731363,0.04903291976606189,0.021576872252747254,陕县
2006_01_06,256.4001836713987,270.83177286302873,266.24969880194294,103841.19288483469,262.64819892829183,96030.72652534176,0.0,3.420127607862235,-1.1115930124245703,0.16123953984660597,0.025892246703296703,陕县
2006_01_07,257.57210504092586,272.2244484896259,267.7609643269506,103243.19638956981,262.8965738905511,95539.18914797703,1.862645149230957e-09,1.6298541178656896,-0.3023828000905502,0.13307424502406454,0.030207621153846155,陕县
2006_01_08,260.38589180844247,274.9770916044191,269.7421048031466,102815.5555177496,264.9918200953663,95237.95906377013,4.377216100692749e-08,2.4685660532979936,-0.41407184337785113,0.06350760296262746,0.03452299560439561,陕县
2006_01_09,263.5228124572582,280.1724519641411,272.81119503848345,102169.36955773528,265.15505738760635,94776.32590217856,1.955777406692505e-08,0.144220343534824,0.03634319559374658,0.20226221344215667,0.03883837005494505,陕县
2006_01_10,266.11283030723985,280.96100337346473,273.55416357453225,102105.91588983676,267.86281787720503,94625.62148842763,2.638441202982518e-06,-2.6888442278829574,0.6284800897189569,0.1823522779609461,0.04315374450549451,陕县
2006_01_12,269.4216430734322,275.90205578459575,272.6056268685407,102347.74641390092,270.2826617446084,94847.57696818386,9.879038801258625e-07,1.292555429966107,-0.2911128055437641,0.06441533320535525,0.051784493406593406,陕县
2006_01_16,271.0497471785137,278.3243957631862,275.4433277805231,102117.88237176933,271.052134330773,94640.80031072361,0.0009675551566816006,-3.3531054410794807,0.6567207339078268,0.13343255685041927,0.06904599120879122,陕县
2006_01_21,265.8897588484173,273.887331633285,270.1199556531321,102943.18248395216,266.29019221776457,95330.8283527454,0.0,1.7732753998891695,-0.7561848449597969,0.018125262030494162,0.09062286346153847,陕县
2006_01_23,267.12434305459766,275.1909853150014,271.1157962254212,103184.12285843022,267.58349922601343,95579.37169903977,0.0,-1.5405590055834444,0.5861649239292424,0.011658070810063413,0.09925361236263736,陕县
