Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,268.4817094519043,281.69290960185805,276.6824765516037,102283.77515907811,269.9130849247082,101293.08961001036,1.862645149230957e-09,-0.3228377524829268,-0.7267209320220182,0.11230969627057114,0.00905358097982709,开封市区
2001_01_03,263.2356360606016,275.881925703917,272.16272306317694,102790.6050010754,269.1291718395277,101775.42242324301,4.284083843231201e-08,-1.8271698001580519,-2.8215256307317946,0.0966647811594109,0.013580371469740636,开封市区
2001_01_07,271.4188096197999,273.4204160533514,272.2585290184812,102436.71508147934,267.8981962486736,101426.15801587231,0.0036546498076361787,-1.241773453131437,-2.680670579638646,0.006988580607448903,0.031687533429394815,开封市区
2001_01_10,269.16842385376157,280.26883085710625,272.63283479492117,101661.50542550419,267.55733210836496,100668.94067804894,1.862645149230957e-09,-0.08701825809689118,-0.03531631905604149,0.009073931129192652,0.045267904899135444,开封市区
2001_01_13,265.74276325320307,271.41484197498716,268.25655921613827,103220.07227014573,265.2363537902357,102187.18313523983,3.616291869551418e-05,-1.6796603946046538,-2.7959253702567195,0.019431045159917008,0.05884827636887608,开封市区
2001_01_14,262.1382050100978,271.6614765315561,267.22714537771054,103581.30182148842,263.79945941097736,102542.02473853617,0.0,-1.4422133420996897,-0.317051327793545,0.008918022147860643,0.06337506685878963,开封市区
2001_01_15,265.41964040274155,272.519672193945,268.73300048768715,103376.65598906178,264.37693011158353,102350.89103517373,0.0,-0.5480749629224497,1.794153950716098,0.022480367267298008,0.06790185734870317,开封市区
2001_01_16,267.4955993331815,275.1191427327806,270.90056359607706,102930.27399578414,266.51008933117987,101919.45119201441,0.0,-0.5933854038632366,1.508960503369043,0.02011740026035106,0.07242864783861672,开封市区
2001_01_17,269.4503739702434,277.862321903928,272.12861229981496,102444.72941924639,267.45263130838435,101446.33088343276,0.0,-0.7239111508248371,1.6879382517356794,0.016543178650110398,0.07695543832853026,开封市区
2001_01_26,267.8520116817835,275.00642783590035,271.385654030921,102343.21146569129,267.14121427678697,101337.31650472053,1.862645149230957e-09,1.9117542706803563,1.4004628286093599,0.022261064066658454,0.11769655273775216,开封市区
2001_01_28,260.9400109247295,276.2509835298281,272.2577603908572,102917.24457313615,269.5376485925886,101907.4935329491,1.862645149230957e-09,2.2368919970029,1.2928779096959409,0.035999309890179375,0.12675013371757926,开封市区
2001_01_29,266.2732897979883,280.02027916173046,274.4623315411744,102299.06717570475,269.3168214265991,101309.59861657015,4.284083843231201e-08,2.2209778564595535,0.22232391947723518,0.06666663184485606,0.1312769242074928,开封市区
2001_01_30,268.9178695753647,279.3980758739314,275.93149928061797,101847.42342134754,269.6947648845495,100861.91466286205,1.3054647043693334e-06,1.145830436739696,1.0987615089382126,0.06733423391414614,0.13580371469740635,开封市区
2001_02_02,271.65106787749636,281.0623718726799,276.9896524328525,101922.52595688945,270.8809102967417,100939.53053755159,0.0,0.2769873882528251,2.6947249102598154,0.09603887295201007,0.149384086167147,开封市区
2001_02_07,264.6292703304883,270.695378675917,268.89749217375584,103191.49237382997,266.5720871970496,102163.22369466793,3.0959653497301506e-07,-0.858588780188646,0.2106179970357072,0.03535038240440073,0.17201803861671472,开封市区
2001_02_08,271.0085057865112,277.0426767836433,273.50533408276823,102627.27938349215,268.17517413283997,101629.74934706332,0.0,1.2450766618764781,1.6659845883536855,0.03152524031231873,0.17654482910662825,开封市区
2001_02_09,270.2396503875492,281.2314403007081,274.7728119763638,102633.22163011318,270.0219479848195,101643.67535201287,0.0,-0.008521271772732868,1.592330833275132,0.10541931837474994,0.18107161959654178,开封市区
2001_02_14,272.19830927030125,284.47957077661226,279.46271506143376,102303.93700396914,271.80385047584787,101327.33770867031,4.284083843231201e-08,2.745140165893757,2.273500990042499,0.14304887046827092,0.2037055720461095,开封市区
2001_02_15,267.22116892652906,284.9979180517836,278.0806048486365,103056.34929366798,269.8064068545465,102063.70285138384,0.0,0.08072386542174256,-1.8241710915858853,0.12057710174923697,0.20823236253602306,开封市区
2001_02_16,268.17485326741735,280.9963474667936,277.37397927117615,102952.7482852397,270.6165490437344,101955.05235385562,3.8699756771045274e-05,-1.1527610588406623,2.136583780562315,0.1639881312290796,0.2127591530259366,开封市区
2001_02_18,276.7580851138831,288.4508015052902,281.05485381610174,101925.82538920309,274.1865372962256,100962.57107590293,0.0,-0.9178606319824114,1.1217040528968303,0.10954604257177479,0.2218127340057637,开封市区
2001_02_19,277.8678378381855,287.8294067663471,282.41355206692236,102296.61008544825,276.1737914829925,101326.6366874803,2.010398969782497e-06,-1.7697411494890376,-1.2229393632701875,0.13853733829885562,0.22633952449567724,开封市区
2001_02_21,279.6415799994007,288.49375633546947,282.9878124118784,101549.44552253255,278.3342937563164,100588.7701862351,0.0,-0.18312741358274334,1.8069289866382239,0.15930108657888853,0.23539310547550432,开封市区
2001_02_24,269.4948686980792,278.0432564874613,274.4756203521163,103273.32679381833,272.2611934787946,102264.0732854448,1.862645149230957e-09,-0.3550594744195838,0.3033987427562911,0.20266934002964035,0.24897347694524496,开封市区
2001_02_25,269.8534596273227,280.17222394939927,275.71210930563245,103032.00322206265,272.4893780037581,102029.82431114567,4.284083843231201e-08,-0.8893327195582266,2.0303151807185493,0.21668889182462486,0.2535002674351585,开封市区
2001_02_26,273.2813728805456,277.8359186895583,275.8639434631861,102577.89602449759,273.151852922231,101577.27931507079,0.0015881607642049128,0.5728026861939834,0.6387846133991341,0.19587603041250992,0.258027057925072,开封市区
2001_02_27,275.340630234373,283.27658620808864,278.36113963755423,102369.88863162856,274.3653569383965,101393.19658224484,0.0,0.9177134516430101,-1.3844439518176435,0.018513779087367652,0.2625538484149856,开封市区
2001_03_01,274.31347046672204,291.3775714161261,285.6875843950834,102059.32519843006,277.6312299913295,101100.50132178668,0.0,0.03662187559247885,1.7720629915661759,0.1930776454900343,0.2716074293948127,开封市区
2001_03_03,259.12499954993496,286.5800658786952,281.50311445107997,102274.88239707222,276.57292596529635,101298.08627160493,4.0978193283081055e-08,5.639927799035623,-1.649073567992876,0.17633316423923717,0.28066101037463975,开封市区
2001_03_04,267.5156269562214,288.0168216683881,283.39277649342876,101742.38538343305,276.1331620006703,100776.50471724375,0.0,1.5021112247467505,2.5198872502426717,0.20995541388489472,0.2851878008645533,开封市区
2001_03_07,262.00574084404525,281.7475625606587,277.2579815879766,103120.3611200208,271.6302344814704,102120.17981424846,0.0,1.2766063338405778,-0.41215941170665343,0.1301354142758779,0.298768172334294,开封市区
2001_03_08,261.0749623964953,282.81689022648766,278.3165860814602,102747.04588724607,273.34513029209467,101756.18358360045,0.0,2.9774523417891228,1.3183774898133738,0.25848357365801056,0.3032949628242075,开封市区
2001_03_09,269.9558462726566,290.69611604017376,283.8197092025868,101724.86410880173,274.7216664767505,100768.36622518071,0.0,3.204092016138148,1.8437981955206761,0.21115274975734533,0.30782175331412104,开封市区
2001_03_10,270.8484174169008,284.672459118285,280.00143381300234,102393.26114134934,275.3382480707546,101411.19317091942,0.0,-1.9325643295271695,-3.058792047737223,0.1823913755027615,0.3123485438040346,开封市区
2001_03_11,273.58365778959114,289.7465588224142,282.612084840572,102186.81064563812,275.9269466760506,101220.9009237208,1.1417798861943938e-05,0.2088049528665274,0.7619151178724454,0.20767350001019136,0.31687533429394815,开封市区
2001_03_12,276.49029309558455,292.6498291160801,286.4906353456884,101807.1215742057,276.55125999119247,100851.88529550006,2.2616808124972022e-05,-0.5759816444988877,2.3179012796873617,0.2274349591898494,0.3214021247838617,开封市区
2001_03_13,279.47268016208113,295.1581698888157,289.91320935470486,100848.0420901385,284.37074189535485,99913.3486352074,4.284083843231201e-08,1.1317737213757695,3.7682096514623584,0.20252554727485575,0.3259289152737752,开封市区
2001_03_14,271.56523315267634,291.4987382712165,284.60644556412973,102228.92815203017,279.64180641196486,101262.19656467368,2.8076599811465867e-05,-2.777808072115061,-3.120021276493681,0.1489307851942922,0.33045570576368877,开封市区
2001_03_17,273.67426474166774,292.72434407614753,287.0085699867479,101388.90150752882,278.4552069596226,100440.34116075587,0.0,3.7189078804088833,0.5693761045225461,0.24723093461360066,0.34403607723342944,开封市区
2001_03_21,272.4855124854317,301.1551843204347,293.16036517275063,100553.1486343949,285.98160011287683,99625.90943551896,0.0,1.4004308475549738,-0.07358653164908419,0.27459653806882595,0.36214323919308355,开封市区
2001_03_23,277.26718189815557,291.92752911376385,288.3429927836702,101037.07466219824,282.98291617116564,100095.55125092536,0.0,0.7023912383389782,3.117594057891202,0.18218443921073577,0.37119682017291067,开封市区
2001_03_25,273.4675109924566,291.1286457793545,286.66857273405776,101317.50995129647,280.3233904555864,100363.61745072533,0.0,-0.823907937121792,-0.0993102598814246,0.21457508857008495,0.3802504011527378,开封市区
2001_03_27,268.50099367710544,279.3413911525731,276.236333058821,102014.252299242,273.44049391303713,101022.40565387298,0.0,-1.3111178721733758,-3.101314293446496,0.2439202670162636,0.38930398213256484,开封市区
2001_03_28,266.7067294681715,287.3317798273899,280.9615646688219,101782.53282492241,273.537075214437,100812.19185539354,2.4717659849477393e-05,1.8363393749432262,0.681486017337497,0.3480486948356516,0.3938307726224784,开封市区
2001_03_29,269.4275264034787,293.3248571651117,286.5420740194616,100981.06941052534,277.45458555412114,100033.81622975551,0.0,1.9442104865958618,0.13841760556749874,0.36051744665455204,0.39835756311239195,开封市区
2001_03_30,268.3351195803319,287.3261127264853,282.6382080954659,102065.52348747077,278.4268898328333,101093.08950166964,0.0,-2.80411641026066,-2.5455148615988685,0.3136714632348117,0.4028843536023055,开封市区
2001_03_31,272.39363913492264,287.86211887488537,283.31779218572353,102373.19500218845,278.96799743146244,101401.44905730242,0.0,-0.6467587030854607,2.7190973348328913,0.3371222998235071,0.407411144092219,开封市区
2001_04_01,278.7468961897333,292.65832495263754,287.8818335887613,101194.33122696706,280.7353378217255,100251.23930731796,0.0,1.3255121176394298,4.020772234334718,0.31850797374946427,0.41193793458213257,开封市区
2001_04_02,278.42503494168693,297.5471901590802,290.48752377408584,101303.12021705337,283.20790413480574,100359.95135372896,1.5253666234861231e-05,-2.2811486385325184,-3.624604026993448,0.23518435217474584,0.4164647250720461,开封市区
2001_04_03,272.9225024919088,290.88786287107416,285.9470327868732,102176.10328226727,281.6078054453952,101217.03840764306,4.284083843231201e-08,-1.9369948197024813,0.541462265346092,0.30471924315375737,0.42099151556195963,开封市区
2001_04_05,276.0556036437339,293.56909616182963,287.5511431309012,101791.80498266572,281.3182154742879,100835.56515751455,0.00032747401207972005,-2.2212864706009325,-3.7785697547628434,0.3020474619785401,0.4300450965417867,开封市区
2001_04_07,283.8487267049254,294.3192059997639,289.0285738485806,101029.47639912796,282.7265264091193,100092.30888460239,1.6427735071109244e-05,-0.44493846331717646,2.2667128042163243,0.30639905824859054,0.43909867752161386,开封市区
2001_04_08,285.56506183352826,295.95625923812867,290.5570714264235,101029.68015903953,284.8519344385737,100091.70691622737,0.0006833434619364972,-2.5355523859138938,0.8667125787472695,0.3106795649498189,0.4436254680115274,开封市区
2001_04_12,275.2965553255388,295.13348822167706,290.1819029061565,101056.52478355274,283.2237496101497,100116.63327205619,0.0,2.4417699718657984,2.7921202802416025,0.36543451684483996,0.46173262997118153,开封市区
2001_04_14,273.83420296741497,295.71329000746823,290.0395456384961,101932.86052590593,283.79024888434685,100987.90967358102,0.0,3.3686176317024557,2.0977517731879045,0.43550170925400394,0.47078621095100864,开封市区
2001_04_15,277.99847005955553,298.5592101963466,292.9906762403023,101183.41278223283,286.37989706765205,100250.60971261704,0.0,2.3475656886438885,3.019987158338661,0.4191380247645548,0.47531300144092214,开封市区
2001_04_17,284.85012002709374,302.1263477551132,296.02764529073227,100734.89050925455,289.2430648958748,99810.99152520283,0.0,0.1675138462777727,3.788045128280376,0.3818007872402931,0.4843665824207493,开封市区
2001_04_19,273.6124832877724,296.2936446297039,288.10228599067676,101357.70512387238,283.17169064775294,100407.60277339134,3.1466645217008495e-07,-3.780992617706593,-7.057777153523997,0.2194581461809004,0.49342016340057643,开封市区
2001_04_22,276.02707704008907,295.88793696208626,291.12823402400244,101628.2913700607,285.3137313991687,100687.20952816312,0.0,-0.1829639650760132,2.9244338252578066,0.43370827849938126,0.507000534870317,开封市区
2001_04_24,274.1481584707581,291.81757334225574,287.1693805941089,102126.39294643898,281.67458350603573,101175.53186562851,0.0,-1.1411063444767706,-1.920359621889052,0.4002955280989868,0.516054115850144,开封市区
2001_04_25,276.6583953486748,294.1722235216933,289.9188812824083,101731.82114330132,286.0492267961609,100787.00727782656,0.00035909264268357534,-0.3379154921382312,2.5936508578430684,0.42798188082916894,0.5205809063400576,开封市区
2001_04_26,282.71957014751706,297.4270249257483,292.42121931887704,101254.82683495944,287.55985558436527,100318.72112908748,0.000267020568136894,-0.7890601927353421,3.311889940664871,0.4051992725630879,0.5251076968299712,开封市区
2001_05_01,280.9139348065214,300.31838326488486,294.55776503393014,100929.03148270218,288.5208098900068,100000.64742450713,0.0,0.674750712238998,3.589455669535893,0.27622953402159467,0.547741649279539,开封市区
2001_05_03,287.16524628553003,301.0199838370499,295.7842401706032,101044.58884091389,291.06313180563313,100119.85532799472,5.096493840072919e-05,0.8270121866864006,-0.24810993167232756,0.33054271117720346,0.5567952302593661,开封市区
2001_05_05,286.60959906007446,300.88345839475994,295.38379496695507,100935.139043052,289.809967144359,100007.65549803592,0.0,0.03728620319070796,2.8739503127795953,0.39291877934265185,0.5658488112391931,开封市区
2001_05_06,288.38151546266204,299.1022753821323,294.66525068883396,100967.44522624195,291.3170101145623,100038.0800083596,0.00019440422659800218,-1.6584023100420038,0.8146236362977335,0.33254706774808573,0.5703756017291066,开封市区
2001_05_08,280.83943324994,304.92508866034666,296.3366217900861,100703.23211977562,286.64678351194334,99780.96914765055,8.076431347122141e-08,1.0964592113949814,-1.6560588168010664,0.35087533943932336,0.5794291827089337,开封市区
2001_05_10,284.27520257642936,303.99828001602333,296.41022176630537,101153.89318937776,290.8476266270298,100226.29207378351,0.002154042806027488,-0.333639483275093,-1.1963080630156622,0.3594908126707132,0.5884827636887608,开封市区
2001_05_11,287.91853710403757,301.85455165980886,296.72680109544456,101400.39008207586,291.5219989020956,100471.8960148848,1.2143691836949852e-05,-1.8424374306659506,0.5787207852473518,0.36036973636223385,0.5930095541786744,开封市区
2001_05_12,285.5241141416204,304.6627428698668,298.92493245993995,100949.50678633801,293.6805155159897,100028.62135609567,7.778656238809803e-06,0.22106185121101066,3.1366446436458,0.29626809107496666,0.597536344668588,开封市区
2001_05_13,285.7038052183695,305.2320943401213,300.10517432082634,100568.80015591165,294.5334319176193,99652.55005699342,6.34833544355276e-05,-0.2768814430648891,3.761471446678108,0.44803013000475334,0.6020631351585015,开封市区
2001_05_14,286.4853945382387,306.08728839434053,298.36818868367544,101007.6415150806,292.97873636196965,100086.58657200496,0.0012235532509349456,0.3410561923535506,-1.2127133285695304,0.40010878294310087,0.606589925648415,开封市区
2001_05_15,278.99353976854326,300.7193441408552,296.11426911603445,101468.93405378249,291.4173113618164,100540.28086521533,0.0,1.2395426036146142,0.3675842865068919,0.37296004873222816,0.6111167161383285,开封市区
2001_05_17,283.95200539913975,303.0132294112864,297.64651809829155,100607.71630943146,291.6386968229909,99688.34135878606,0.0,3.1246542770271937,1.4045754029491935,0.26412463141083625,0.6201702971181556,开封市区
2001_05_18,282.48223553205327,305.9387653053286,299.1643817266621,100527.55908562736,292.4702659926461,99613.62984153048,0.0,1.2463864024194116,0.48176459753376166,0.35976150628517073,0.6246970876080692,开封市区
2001_05_20,285.81130966135635,308.5163344094961,301.6985390984249,99897.88809532831,295.9861332552771,98990.59180722368,1.862645149230957e-09,-0.6910222636795685,3.281198063013638,0.3393086782542705,0.6337506685878963,开封市区
2001_05_21,291.15614357341,305.42841556713273,298.9734016797398,100308.3391840252,293.14939847135423,99392.28984590975,0.0011954461332705473,-2.332769358601983,1.2140785596407904,0.33024716494595285,0.6382774590778099,开封市区
2001_05_22,291.25382053392275,304.27090438918043,298.5482793741195,100488.426503014,292.97874045014163,99572.00037217255,0.0,-1.1108809092503453,1.5143304627169278,0.2809432766178291,0.6428042495677234,开封市区
