Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2007_01_03,267.61374448484617,275.6980464846393,272.10515754900126,103278.97080857385,268.76221632486727,101023.23333538402,0.0,-0.43855366742245744,-1.7207809812278012,0.3142404441630188,0.012946123351648351,新郑市
2007_01_05,261.1492665209945,281.06962533083475,276.77870346317997,103188.78009170925,272.73172158142313,100954.09848821309,0.0,4.900120974289399,-2.9697944668937546,0.3302004633923586,0.021576872252747254,新郑市
2007_01_06,256.31727912200796,278.4846364627018,274.0881369174063,103463.2698416493,269.09280924526945,101205.14250338345,0.0,4.149849003988626,-2.0780605878702505,0.4235586429112431,0.025892246703296703,新郑市
2007_01_07,258.10357276037274,278.7648310350114,273.6874399422722,103313.8005935801,268.57470298918116,101065.606687161,0.0,3.0088385937062494,-0.7742293324951368,0.4278546110889505,0.030207621153846155,新郑市
2007_01_08,262.1284995409084,279.25214082003447,273.13734349793793,103188.73184063894,267.8991227048655,100950.51404698743,0.0,0.5470674632535497,1.2319800437538553,0.38889727030293914,0.03452299560439561,新郑市
2007_01_09,265.90247471485435,282.25552008099436,274.73355406503134,102605.61555862466,268.3330433234339,100401.67257877612,0.0,1.0811128950994489,1.0660659531882808,0.398722975306558,0.03883837005494505,新郑市
2007_01_10,266.34186280699555,277.59703191150265,273.8049605320105,103156.7191146383,268.8006309593333,100900.21799006201,4.982096367754857e-06,-2.0497307229615336,-2.9650163208413427,0.2989508083685031,0.04315374450549451,新郑市
2007_01_11,266.44706666316324,274.773133692212,272.14842304899395,103592.95009669359,269.17915020805,101319.02221089191,1.297144531025691e-06,-0.7543813641307698,-2.134389908518395,0.26302616599677003,0.04746911895604396,新郑市
2007_01_12,265.4320293277291,276.51859829876,272.0870753025681,103424.71955118196,268.9023738022337,101169.92230676857,0.0,-0.1850097487709011,0.570721178309061,0.2969038779073523,0.051784493406593406,新郑市
2007_01_16,265.1175751365453,279.0669457620841,273.8084829802317,102892.79402031521,270.2881634205833,100670.82093651152,0.0,1.6678933581350381,-0.07967490509935896,0.08745506527236076,0.06904599120879122,新郑市
2007_01_17,262.05124476112746,283.6562181553972,276.60185749615215,102843.54057134608,271.00804531296234,100639.5612347949,0.0,3.6194375635272764,-0.8616245166161325,0.42589478612430265,0.07336136565934066,新郑市
2007_01_18,266.23377410517463,282.49502550507646,276.46294967597373,102972.10545610142,270.27584912577953,100764.18206649927,0.0,-0.5556296180886545,0.5896184861996694,0.3250973072582795,0.0776767401098901,新郑市
2007_01_20,270.46818755919844,282.5888429013678,276.23970537263057,102807.26188486954,269.811346030883,100608.30035426535,0.0,0.47676450985511803,1.0307138523773538,0.1427600505645603,0.08630748901098902,新郑市
2007_01_21,270.3388101319716,280.2805949715455,275.21240418017976,103218.45838811598,270.5445848238143,100985.68643939545,0.0,-1.3829214882093197,-1.7644250166884452,0.13587600975889666,0.09062286346153847,新郑市
2007_01_23,268.00328384689885,281.0406245305698,274.7109481222336,103193.60968116335,269.9975983637815,100975.20283103827,0.0,0.5767891672518797,0.8363672182449575,0.2963610551676368,0.09925361236263736,新郑市
2007_01_25,263.6985939613834,284.89595819987943,278.59920010104264,102706.17920789482,272.6059905182973,100509.14315058281,0.0,3.0503779674137093,-1.5294614796599366,0.17995287564349874,0.10788436126373628,新郑市
2007_01_28,261.97029927842095,282.83552309368554,276.59273586099084,102484.95768280639,269.9423356756436,100288.59165206554,0.0,1.8363839867553817,1.5342085229833513,0.3759845051852443,0.12083048461538462,新郑市
2007_01_29,265.337810674368,289.1357216676969,280.71068282991723,102409.98906852026,272.3668462084988,100238.78238277038,0.0,2.5206568464848234,-1.5884906081117358,0.32117899653205956,0.12514585906593406,新郑市
2007_01_30,264.76693563297283,284.45275307981876,278.4311784581073,102579.39848142024,272.41957544553844,100393.80193252266,1.862645149230957e-09,1.2404361748095205,1.3775509329881912,0.3775961396012715,0.1294612335164835,新郑市
2007_01_31,260.96789317229076,280.4085422783976,274.4776655232044,103429.37651061526,268.13746631592517,101189.98173118934,4.0978193283081055e-08,-0.8111840509588297,-1.5120903342669778,0.22366219951510838,0.13377660796703297,新郑市
2007_02_01,262.3856811881372,285.7254079290339,277.42317892046486,103028.66471755854,269.0502990156144,100824.13013296606,0.0,0.6261925934641054,0.5929654457874909,0.39321467260940923,0.13809198241758244,新郑市
2007_02_02,267.99098375400615,286.2602342210285,278.7770540828663,102342.02405638533,270.4290573662447,100175.56641930781,4.284083843231201e-08,0.9349048304111942,1.914062293800246,0.36348703900068374,0.14240735686813186,新郑市
2007_02_03,263.6057549397061,287.6721421598556,279.2807399230145,102299.51828813968,271.82516207920116,100127.19758941639,0.0,-0.7122328619625382,-2.234601468735203,0.3258696531117194,0.14672273131868133,新郑市
2007_02_04,269.844976592128,285.49111397135323,278.6441485534854,101741.82322647808,272.5462539394834,99592.05804112893,0.0,0.6420984927286585,1.1259401049104771,0.33537117020589685,0.15103810576923077,新郑市
2007_02_05,271.74417885808674,290.44412107016734,282.765302227513,101776.12761874274,275.40180339102926,99644.32157002109,0.0,0.4606052036552025,-0.6827586592011649,0.19148431610651254,0.1553534802197802,新郑市
2007_02_06,270.7477335625846,283.91780599716515,280.8644396418396,102303.96182595071,276.66719588567173,100127.11778260223,0.006120485796587626,-2.335120227114565,-2.5678643015507308,0.17953949570348354,0.15966885467032968,新郑市
2007_02_08,274.45271941152737,282.55469478153367,277.7493148742131,102476.49542333241,274.5037070201877,100291.42388473367,2.1553150743974056e-06,1.0378419621321784,0.06362791440546368,0.23127408957972198,0.16829960357142856,新郑市
2007_02_09,271.7168663691756,287.2953806348622,281.4262721762699,102199.24180795407,275.74962497001155,100040.98662569615,0.0,2.738030744371946,-1.5246161985903703,0.459325929258064,0.17261497802197803,新郑市
2007_02_10,267.2703779632599,283.7235008870082,278.7229982914716,102508.80052917603,273.7632237120104,100316.33953831698,1.862645149230957e-09,-0.7624465942178085,0.866911618904277,0.45336556994675514,0.17693035247252747,新郑市
