Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2007_01_01,0.05410569882231608,271.25477098855725,275.2461007462282,272.70971702770987,102979.1029867782,270.3397150985972,98442.00720827711,0.0,-0.46509424850605824,-0.16833770436619583,0.004315374450549451,汝州市
2007_01_02,0.2591566760944116,269.25446336930196,274.7793031554068,272.3314936446147,103128.38762489604,270.3241388708205,98575.82051799085,1.3906916870520568e-07,-0.9402111086340065,-0.9523236866393108,0.008630748901098903,汝州市
2007_01_03,0.29924166904186783,267.6528596646866,275.6173069490154,272.51036931971316,103265.7800983626,268.93499566711534,98711.95180018817,0.0,-0.2879063891209242,-0.7623211371684445,0.012946123351648351,汝州市
2007_01_05,0.29736810579855727,260.5743090188886,280.12940039548806,275.8386081849299,103364.70177125084,271.57475768594486,98824.43829326644,0.0,4.895062872035237,-3.424781583200485,0.021576872252747254,汝州市
2007_01_06,0.40992417567797845,254.78499821249903,276.80956081810524,272.9105059838926,103619.71928346455,268.80963344072023,99026.2124797738,0.0,4.328271885004135,-2.6440178876372924,0.025892246703296703,汝州市
2007_01_07,0.391975679726855,255.92801674440645,277.8732956008748,273.2706797733208,103427.23670022246,268.3723075762683,98856.93601527714,0.0,3.6891771803783366,-1.7189336972505886,0.030207621153846155,汝州市
2007_01_08,0.39420754337463676,261.0161272481949,278.7797123534132,272.60556940386283,103190.84877906876,267.0760633064266,98660.59842556491,0.0,0.2263368296715095,0.5217273170754982,0.03452299560439561,汝州市
2007_01_09,0.3735855592754387,265.41557712813955,281.3254843616696,274.492029477197,102589.52211261606,267.4699486326748,98132.54547878854,0.0,-0.03702296031337295,0.44816280787478674,0.03883837005494505,汝州市
2007_01_10,0.3128078548047927,266.63924737918376,278.32837817930357,274.15746193764255,103090.16433963616,268.9785677471851,98550.95138304506,1.9938387165426985e-05,-1.276627499902895,-1.2412046117130606,0.04315374450549451,汝州市
2007_01_11,0.528769917786426,267.538795729722,275.0298172977795,272.31567681367096,103559.62934692514,269.3357186080629,98977.08076165864,2.2018348455734844e-06,-0.5480775419880564,-0.8935977314650992,0.04746911895604396,汝州市
2007_01_12,0.20434785823091217,266.75326525282816,276.57226375068274,272.45892398614023,103397.53788885486,269.367736070112,98838.39228238906,0.0,-0.7118166975335296,0.5177607369995155,0.051784493406593406,汝州市
2007_01_16,0.2198433772167293,261.7244873264994,278.83952413883094,273.83361500148254,102971.61895137567,270.0030000493088,98457.81203355642,0.0,2.7687291212469733,-1.091093829478155,0.06904599120879122,汝州市
2007_01_17,0.36851586057608976,261.98974918335836,282.48427734256546,275.5858210074387,102961.23789026993,270.26843396665663,98479.93454821427,0.0,3.3363689100183676,-1.1966357100937657,0.07336136565934066,汝州市
2007_01_18,0.3370031997015099,265.7501942998731,281.8952922982624,275.69462644477426,102943.11493223585,270.4322534095935,98469.56583431974,0.0,-0.8835365170308433,0.2021616753460568,0.0776767401098901,汝州市
2007_01_19,0.29049782123243967,267.85962826680037,282.07750263693356,275.80387586951565,102545.68802546748,269.6984861980376,98086.14554081488,0.0,-1.0490362716798813,0.9120764856629339,0.08199211456043956,汝州市
2007_01_20,0.17776941929790788,270.0015227796627,282.46172573192575,276.4609210929249,102803.90964974722,269.6381226422085,98352.80156752921,0.0,0.5968472219141636,0.1446632290072711,0.08630748901098902,汝州市
2007_01_21,0.2249185272103293,270.43268018794424,280.96899606512244,275.6591114100064,103152.43338878437,270.43673057511535,98654.41131512549,8.751457226161375e-06,-1.2627694733653987,-0.802011643901306,0.09062286346153847,汝州市
2007_01_23,0.2229863068256648,269.31607190638607,281.11153169843203,275.65522134039526,103183.08102066349,270.96080942165406,98697.36639118691,0.0,0.9238390292200934,0.052686448350970604,0.09925361236263736,汝州市
2007_01_24,0.1999498255951382,271.0374237668038,281.27283211598467,275.91484354730824,102849.57691427077,270.7909294489865,98390.69638584102,0.0,0.33133567207468956,0.6568621673799431,0.10356898681318681,汝州市
2007_01_25,0.2616695921796986,264.2796639591591,283.71893324419017,277.4794685234963,102787.63877597309,272.4984284263369,98333.13842358907,0.0,3.071435905482202,-1.5985475539039058,0.10788436126373628,汝州市
2007_01_26,0.21943349739049928,261.5191026643562,282.56933800678365,278.8106073299373,102947.31315870628,273.34820474786176,98480.14456354652,0.0,3.6788799810717316,-1.795000524510601,0.11219973571428571,汝州市
2007_01_28,0.3669707962976843,261.5006683967041,282.89189138405885,275.68374910672594,102503.86938593199,269.3828387308001,98062.43378595673,0.0,1.0395916814121207,0.68884820323693,0.12083048461538462,汝州市
2007_01_29,0.40431830012329,261.83211712114775,288.1379171260235,280.6491522985446,102507.53456124617,271.3569459028496,98108.54181158988,0.0,3.8996242628403217,-2.24059934637014,0.12514585906593406,汝州市
2007_01_30,0.37911576173511663,263.2878035528506,285.18070537062545,278.28607046182253,102582.70417457345,272.19659600491286,98167.62399561849,1.862645149230957e-09,0.9657190914619502,0.10757172088831178,0.1294612335164835,汝州市
2007_01_31,0.2132857428848273,259.56900501081196,283.9424800264984,277.4185929683227,103388.50046601678,270.83785813789694,98899.59742080471,4.0978193283081055e-08,2.6251506025976936,-2.090182896745284,0.13377660796703297,汝州市
2007_02_01,0.3710711023289339,259.23449426122545,286.0647220664257,277.70657475771316,103010.50806374638,270.0035821162543,98572.58371242046,0.0,2.4181949865836843,-0.9870057219636293,0.13809198241758244,汝州市
2007_02_02,0.38069590779498946,266.5237200487001,286.3908593070326,277.8546359424144,102336.01682978307,270.2934978522155,97960.99922458827,4.284083843231201e-08,0.17395258160189025,1.1116351999927752,0.14240735686813186,汝州市
2007_02_03,0.32920316906848346,263.8185736624807,288.7962036238139,279.44015114313464,102269.9556716903,272.0416775381927,97884.9537290994,0.0,-0.9965636251603233,-0.8097463729575872,0.14672273131868133,汝州市
2007_02_04,0.3016099609353019,269.1716058214933,285.2175940273382,278.59243416256885,101735.22284527516,272.8095220438701,97381.75741995596,0.0,-0.3240713327415547,0.6858764697482062,0.15103810576923077,汝州市
2007_02_05,0.22257765008150576,270.36591399835726,289.4600376644131,281.8235760072742,101761.76337398247,273.80788828490114,97456.2709076518,0.0,1.1381073110648094,-0.6645638744743929,0.1553534802197802,汝州市
2007_02_06,0.22055895533461484,271.90723102554097,282.06151824911245,279.8435143107742,102285.86592950179,276.49544392116707,97875.97297423739,0.008190624768329565,-1.430225619532746,-0.5329704943159191,0.15966885467032968,汝州市
2007_02_08,0.22644153382017407,273.7747188279025,283.48554913428745,278.97398295149594,102507.14748431636,274.7135155104814,98090.9114098601,3.608471380258628e-07,2.4567082473924695,-1.13577209549946,0.16829960357142856,汝州市
2007_02_09,0.3828952534095676,271.9994117781576,286.16884231184275,280.57017110536884,102279.48817164388,273.9276606745085,97903.95976014732,0.0,3.087012022677228,-1.5335454784470168,0.17261497802197803,汝州市
2007_02_10,0.4023111247854345,267.756953035799,283.5317040971198,278.605463706781,102466.86280289467,273.9126074530744,98036.36461684913,1.862645149230957e-09,-1.6244904290431292,1.0424286508842657,0.17693035247252747,汝州市
2007_02_11,0.3814038554698813,272.0026690239339,285.7333519470171,279.4378899148358,101728.88029899371,273.81190031346637,97376.46148064542,4.470348358154297e-08,-0.12407138924967542,0.7855744772157578,0.18124572692307694,汝州市
2007_02_12,0.24833380020682772,277.2612937079787,287.3762911776239,283.0270182016108,101249.85635106919,274.9434630069493,96940.02376291112,0.0016060397773273718,-0.045839692058201285,-0.45887078150441435,0.18556110137362639,汝州市
2007_02_14,0.39903944896966337,263.2315296651603,281.1538963945061,276.7854585049118,102563.62202276842,273.1569366142972,98085.6058641303,0.0,-1.9966407399837902,1.2912118576812532,0.1941918502747253,汝州市
2007_02_18,0.3803391968072216,273.3958684052096,283.7200279465534,278.6076281196902,101979.88229853094,274.1587468655476,97592.34808901217,9.71717045146635e-06,-0.40247767329245204,1.1697380385521083,0.21145334807692306,汝州市
2007_02_19,0.29116239281245654,275.2111666924263,285.9555478069052,279.901525416623,101636.22635603609,273.68084835885804,97289.54467794452,0.0,-0.4583253118064696,1.0375818797575687,0.21576872252747256,汝州市
2007_02_20,0.4038067159285401,276.5126430879684,289.01189548073575,282.45814124527453,101787.68928387847,275.6388027935937,97474.1584236742,7.405082052971981e-07,-0.3973396538348928,0.6574863742230982,0.22008409697802198,汝州市
2007_02_22,0.35998272403848003,274.72528189804217,291.20417977866873,283.87571955251406,101507.38433640965,277.22710071297956,97211.24831856936,1.1605162123722462e-08,-0.2387801031379843,-0.07532973747534852,0.2287148458791209,汝州市
2007_02_25,0.28650298392426593,277.78307995766886,290.3057839470451,283.85791782798066,101724.54260814491,277.43916322251795,97400.57687286803,0.0,-1.9929620646979078,1.8581430220894417,0.24166096923076924,汝州市
2007_02_26,0.278531326638975,277.03025609736,289.5949525759468,283.3187540361029,101892.5365400237,277.5882279537548,97550.91422872385,0.0,-2.154992094231421,1.5791061984381902,0.24597634368131868,汝州市
2007_02_27,0.3841089222135545,276.89614296383223,284.4282243457035,281.8795000107513,102234.77436440822,278.359278692584,97838.56457527135,0.008265530319556406,-4.173983226346786,0.14592309524255342,0.2502917181318681,汝州市
2007_03_04,0.4529977452508183,268.80009580315226,282.7800143766961,278.35714082254225,102408.1190872399,273.02341466142434,97946.86767376181,4.759320929875698e-06,4.6942457659387244,-3.3725302195757014,0.27186859038461536,汝州市
2007_03_05,0.3656868781178017,267.1532704499318,279.7732688847509,275.0955463941501,103321.18969036176,269.9832720931503,98768.36081452241,3.222052721564106e-06,-0.7381011282887882,-0.6591670477189273,0.2761839648351649,汝州市
2007_03_06,0.44730532977055476,267.97072324526897,279.6707184822778,274.63265932384155,102780.57261439753,269.7741189469488,98271.13074796292,0.0,0.1741682514226275,0.9238850278086043,0.2804993392857143,汝州市
2007_03_07,0.3955707065987303,269.00413448293483,282.91149238365296,278.10812761194177,102318.61440197474,272.9453022840966,97874.86932201083,0.0,-0.2910939919077894,-0.3221696498092238,0.2848147137362637,汝州市
2007_03_08,0.37209434244026696,272.3940244937684,284.48681150579955,279.2205708888778,102055.81165028078,274.6649407772139,97663.30974106585,7.515595524176813e-07,-0.4763715164754997,1.371820995399277,0.28913008818681324,汝州市
2007_03_09,0.2854880093326739,273.641764444232,287.74682309799806,282.6958854195423,101915.67461614775,275.8634145290427,97554.71114510225,0.00013354652207915634,0.5546444107461348,-0.21470269190827296,0.29344546263736265,汝州市
2007_03_10,0.3593932021511202,264.8376690804211,282.1415737970527,277.97961717519433,102808.39155628327,273.23110368851474,98334.59335536124,1.862645149230957e-09,0.9779641407244114,-1.2337102125544435,0.29776083708791207,汝州市
2007_03_19,0.48825462190458524,274.249650101453,285.9654360073346,280.80463811538806,102530.18772818611,276.7288377336908,98130.19159934564,1.4704103695981432e-05,-0.16143829462265227,1.2181951925631498,0.3365992071428571,汝州市
