Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2007_01_05,266.0525203937416,283.16769087541803,277.46903279110916,103398.7018075717,272.94293771573,99425.11719242379,0.0,2.9267203722562165,-1.654026695015945,0.37058844880609315,0.021576872252747254,淅川县
2007_01_06,259.5178306589813,279.824458125836,273.8761337828637,103631.1003856994,268.9976977320505,99612.94675837204,0.0,2.486563421176823,-2.088789049832284,0.41918388302674825,0.025892246703296703,淅川县
2007_01_07,261.11035104528383,280.3630672628712,273.708005597595,103407.05950094882,268.2795277134953,99405.3414733289,0.0,1.8451160511655826,-1.2160184861526597,0.37514361608850594,0.030207621153846155,淅川县
2007_01_08,262.74389491791334,280.16387512489223,273.9566484112684,103243.80320132825,268.38295646798247,99251.18069514816,0.0,-0.025646947046617713,0.00782511271126072,0.41072401303279404,0.03452299560439561,淅川县
2007_01_09,268.2305011793418,282.3522756081849,275.52568690370083,102634.11063946581,268.6119739893951,98705.4196105683,0.0,0.06617488638693622,0.12811994978474428,0.38295011672998525,0.03883837005494505,淅川县
2007_01_10,271.41348067570186,281.52264888542265,277.350534687984,102805.31283567283,270.0947777181879,98861.49939350084,2.130366399269209e-05,-1.4238246517300093,0.12313554541485751,0.36896390432044945,0.04315374450549451,淅川县
2007_01_15,270.77152833977567,280.42383685954195,275.8047888786264,102714.56714347268,271.3244887401982,98767.57957316723,5.4720469970021175e-08,0.8022173818196118,-0.409092192375966,0.10997842534728872,0.06473061675824175,淅川县
2007_01_16,266.75736578651004,281.4489749045924,275.244845177087,102951.44470201996,269.45186636440906,98997.00021376491,0.0,1.0701688768478697,-1.0735557463519145,0.3337202305016953,0.06904599120879122,淅川县
2007_01_17,266.5041646808432,283.69515366589303,275.0798267897988,102970.36573205229,269.71799249207174,99042.27492244073,0.0,1.954339077806994,-0.8643213141101919,0.3997633988105313,0.07336136565934066,淅川县
2007_01_18,267.51402622100926,282.17699566663947,276.58098560782105,102905.81398178385,269.9764534074156,98969.13869625589,0.0,-0.5324367148097701,-0.16544823557786276,0.3399344776421231,0.0776767401098901,淅川县
2007_01_19,269.9608665131968,282.18736747383184,276.66115535018275,102541.31551857185,270.8934614030066,98614.52148684318,0.0,-0.636217725191199,-0.2067402905825942,0.35620342372113134,0.08199211456043956,淅川县
2007_01_20,270.8805632071222,282.70220758611936,277.1333700828698,102785.23617452173,271.05395285601077,98864.33266397343,0.0,0.26463126063027265,-0.08264752276577676,0.28162673594201904,0.08630748901098902,淅川县
2007_01_21,271.9907100671071,283.031620534864,278.4151746218091,102981.3945572915,271.92844295844714,99044.92347808614,7.025574690170911e-06,-1.67478971586195,0.07315992368971495,0.22254095108617783,0.09062286346153847,淅川县
2007_01_23,271.8928891918898,281.80388272500653,276.66233374294654,103234.20083037324,272.16446526084377,99267.55484146408,3.9901519855088e-09,0.13707254416001757,-0.01115829046365189,0.18434328059576427,0.09925361236263736,淅川县
2007_01_24,272.37941319132676,280.85903569326837,276.1702819467273,102930.00375757134,272.01756654377687,98981.71713275679,3.01864578704754e-05,-0.2753958407921522,0.14857179495320902,0.17077679774087742,0.10356898681318681,淅川县
2007_01_25,271.16332672844646,285.5190557794315,278.6960044986367,102755.7240511418,272.63415886585483,98866.31579151667,0.0,1.8203305135629626,-0.77618670272435,0.3204272936637056,0.10788436126373628,淅川县
2007_01_26,266.10225620491815,285.3396340368497,280.17905589562815,102984.59134364333,275.17053502569166,99073.62474112399,5.045255722593774e-06,1.753725094300554,-0.37601753466582855,0.33563546145856926,0.11219973571428571,淅川县
2007_01_27,260.4938567656426,282.8245925400609,277.069967315078,103443.76133763482,269.21066559682083,99479.20490479146,0.0,2.9394572241523176,-2.1134880292921765,0.29342776962678185,0.11651511016483516,淅川县
2007_01_28,264.82854735251374,284.0300727860315,276.6532492590459,102634.15347593119,269.4277235534537,98713.64301706136,0.0,0.30823819660792046,0.13769276770882521,0.3779709181968495,0.12083048461538462,淅川县
2007_01_29,266.5371708304017,290.53311348070275,280.94518961508726,102494.83565007252,272.104246909553,98648.07368645367,0.0,2.330759130608837,-1.5538384871944695,0.3993578910697366,0.12514585906593406,淅川县
2007_01_30,267.7975439892202,286.86367109354745,279.39957105428647,102611.46178896015,273.15945962779693,98731.88413185868,1.862645149230957e-09,-0.10604032038195693,-0.11457365270107892,0.3619737820070599,0.1294612335164835,淅川县
2007_01_31,262.94033396444047,286.24806209920666,278.6379282084498,103385.36678410994,270.55199300027107,99457.91135537835,4.0978193283081055e-08,2.2129513567029466,-2.699904352346778,0.33521509015879236,0.13377660796703297,淅川县
2007_02_01,265.82747557941724,288.789468411797,278.74075168633493,103006.83282945807,269.6870107761625,99110.9945226017,0.0,0.8489744870677359,-0.40409945080376236,0.37626020397996246,0.13809198241758244,淅川县
2007_02_02,269.31093413205326,286.10951968244774,278.564495850854,102461.19056594613,269.9510908085319,98591.50883780389,4.284083843231201e-08,0.06173845437635916,0.09015252163248141,0.37674793351636127,0.14240735686813186,淅川县
2007_02_03,269.11096242150825,290.2614362952072,282.5394378080612,102115.77761985251,272.96394409837745,98275.88685281969,0.0,-0.768300585417689,-0.016314855858367987,0.353367023183908,0.14672273131868133,淅川县
2007_02_04,270.9828244433424,285.9078388895871,280.0559585705372,101769.5010397478,275.71021760566975,97932.45186083994,0.0,0.08878880790748174,-0.02666901035326735,0.31472676492597773,0.15103810576923077,淅川县
2007_02_05,274.64195353662035,290.97313685743177,283.3843486943987,101700.53782461317,275.5474072789623,97911.95587926019,3.4494450090656605e-05,0.12469656200350873,-0.24673794538915514,0.2066469182378094,0.1553534802197802,淅川县
2007_02_09,274.79642784217117,287.33624237262944,280.7078428307501,102260.86066212624,275.21148720858764,98424.80176832635,0.0,1.688405821893942,-0.8234867572994868,0.35241605434069706,0.17261497802197803,淅川县
2007_02_10,270.32829143747637,285.339980693148,279.77636133574237,102428.63154911672,274.2629694362523,98543.31945756898,1.862645149230957e-09,-1.5188338775123003,0.047092542613171286,0.4409236726861015,0.17693035247252747,淅川县
2007_02_11,274.13359184263913,285.7649697440461,280.60913018986264,101795.86548370255,274.5607022571371,97954.55477627825,4.661380701267895e-05,0.32764273173754305,0.14768626002704238,0.36609104613997845,0.18124572692307694,淅川县
2007_02_14,266.51877552414885,283.39430509431037,279.2667608931665,102468.85895748435,276.0336783018499,98552.14852804263,0.0,-2.3239976981428083,0.27250496757054177,0.3906626104466203,0.1941918502747253,淅川县
2007_02_18,275.3864896959034,283.52021721001086,279.1449991205547,102071.73316679693,274.1744014616043,98184.37674706252,4.032539645321997e-06,-0.10673256653072455,0.04090211102097466,0.17400666967387715,0.21145334807692306,淅川县
2007_02_20,278.10039007373854,289.5874376591033,282.6107912402884,101806.7452447287,275.25340775865374,97993.16934291425,6.258488185461571e-07,-0.7020609394046203,-0.05672260609327956,0.4489361007019547,0.22008409697802198,淅川县
2007_02_22,277.77449699165794,290.73698003149536,283.9692806572336,101532.22596089677,277.8485152112201,97729.56261399885,1.9257438580732385e-08,0.12472186925561492,-0.00949556634002368,0.4567662577750145,0.2287148458791209,淅川县
2007_02_25,279.1765992931686,290.4430374948199,284.60319410055877,101687.13507328538,277.00164496514725,97877.79494806183,0.0,-1.8723156674149752,0.15813236952804605,0.414145285336982,0.24166096923076924,淅川县
2007_03_04,270.0645775163808,285.2000928992418,281.12105414879335,102386.06233812861,276.3333695327126,98484.10763692948,0.0,3.0140299876974623,-3.0242863122412103,0.5121099041918072,0.27186859038461536,淅川县
2007_03_05,270.05972387588486,282.0824510535411,278.508010229292,103190.41854352971,274.94535529956,99208.54513664299,1.851882035896962e-05,-1.948168493215271,0.44139005208290755,0.4039424260624507,0.2761839648351649,淅川县
2007_03_06,269.6180615670692,279.3024974976571,276.616873468353,102848.31672084476,273.1505784272078,98866.65828394827,1.8185649787412324e-06,-0.469336536685606,0.6363168758873612,0.4167305454936926,0.2804993392857143,淅川县
2007_03_07,272.92301640892,284.53593757363336,279.92374554185517,102257.57384456061,274.0986206704162,98356.45813488182,2.1755291826394297e-07,-0.8291545541328944,-0.05533566280466895,0.46991684411885676,0.2848147137362637,淅川县
2007_03_08,273.5897378889813,284.82331930862756,280.4680499710967,102115.52616225003,275.9923136743134,98234.66390209601,1.3464750892174384e-07,-1.0632769934341182,0.37804502020100267,0.509874010368059,0.28913008818681324,淅川县
2007_03_09,275.54261507471796,287.15509292327005,283.18247966307365,101913.45241420194,276.2819177780844,98067.87095075056,3.2006518877525055e-06,-0.15764617040383322,-0.26551231327802793,0.4451755821887086,0.29344546263736265,淅川县
2007_03_10,269.7018426366807,283.9601465656892,280.6689747810716,102692.75914555679,276.6943379698767,98776.01436830436,1.862645149230957e-09,-0.9720839028665755,-0.6064681908662397,0.30611524916351557,0.29776083708791207,淅川县
2007_03_11,269.70339451756695,283.71006424348894,280.5742113353126,102347.02137299982,276.69014095727414,98441.68102914712,1.8571161265998341e-07,-1.6686323231530593,0.05454668240650638,0.31818357317602763,0.30207621153846154,淅川县
2007_03_18,276.52559165410815,282.66676062677584,280.92680571180733,102409.45700889191,278.2115142095972,98499.91025445759,4.909062633709857e-05,-0.5833284480776754,0.18155724279193816,0.007857608927072492,0.3322838326923077,淅川县
2007_03_20,277.82206932373896,289.00754721057484,283.76837346777353,102024.20979999746,277.5146885523947,98179.37838768556,5.442619601541541e-08,-1.4076522049670994,0.48525524408507126,0.5510584315780401,0.3409145815934066,淅川县
2007_03_21,279.3011047408463,289.43931172796005,284.0400210185953,101977.61071889203,280.07472021200783,98143.49780027429,4.068084641475768e-09,-1.701167533409577,-0.13163747525305491,0.3854954467133456,0.34522995604395607,淅川县
2007_03_22,280.5318965265429,288.09441302754806,285.3732084963276,101612.2036316289,281.28235595949485,97798.93731649025,0.00023090641708438167,-1.4148855943463743,0.2703770471018523,0.5120005462660202,0.3495453304945055,淅川县
2007_03_23,281.2100441928164,294.0773824360432,288.24265908687937,101124.07350230959,284.2000293260686,97386.94348933727,3.3165904768455745e-05,2.640982655058359,-0.7265695410903722,0.3386815079612161,0.35386070494505495,淅川县
2007_03_24,278.6370293428251,297.7014784389446,289.83818908732957,101171.65179725079,283.24549650943686,97444.6409619349,1.862645149230957e-09,1.2821779339356574,-1.2568945171284034,0.2276599035518237,0.3581760793956044,淅川县
2007_03_25,282.98638096133277,297.0039311385057,290.7297292609714,100954.44588623269,284.31108051238607,97232.76511798237,3.6927601323188953e-07,-0.9208425672564754,-0.10438145645563458,0.4121715718407376,0.3624914538461539,淅川县
2007_03_27,282.17256368928355,298.65178377572425,291.4722238932456,101027.39569078136,285.20471430833373,97309.79725878223,4.470348358154297e-08,0.7750210573831694,0.9185627772168362,0.5646287653523976,0.37112220274725277,淅川县
2007_03_29,286.7575334606177,302.73614461771456,295.5035583215266,100325.37765578087,287.60683504981915,96653.57850899672,0.000306552319003229,-0.3996230148502506,0.3037377172970263,0.536095952647842,0.37975295164835166,淅川县
2007_03_31,285.32883174852833,296.21331780664644,291.84714688882264,100781.9591093341,288.4677712460049,97066.16572380193,0.011396746289886784,-1.9671519299213107,0.3528378605535465,0.33648439329056157,0.3883837005494506,淅川县
2007_04_02,267.3918114956373,286.8539471511723,282.58467024452864,102891.5459985119,276.55122189972843,99011.38858080428,0.0,0.28474629432206944,-2.203659028823447,0.4689728743601715,0.3970144494505494,淅川县
2007_04_03,270.9615009961435,288.26139664936863,283.7173360503205,102652.20019760227,278.3205001968717,98788.7367297466,0.0,-0.1180419160093377,0.29849370494060257,0.4527583621606481,0.4013298239010989,淅川县
2007_04_04,273.6396892517375,289.3127228852585,285.011557394198,102187.53657024748,279.808958181115,98347.98122416982,7.610342249517685e-09,-1.1523651840006066,0.6359884926209043,0.5710735678115937,0.4056451983516484,淅川县
2007_04_06,276.76030095133217,295.2608095027607,288.49239427834084,102096.31424638968,282.0573283918269,98324.74042009888,0.0,0.12557468219687756,-0.034360864123599094,0.44815737456100585,0.41427594725274725,淅川县
2007_04_07,276.4513179794793,295.8041676109062,289.0364099072837,102036.7787040901,284.0967250469453,98262.70533293608,0.0,-0.996096085074927,-0.1692597380620255,0.4237584591689044,0.4185913217032967,淅川县
