Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,272.75729678526113,281.9323357237319,278.44934291106466,102252.29292747867,272.1862901154707,100632.59371687856,1.862645149230957e-09,0.5448775200198028,0.8221972430219562,0.25770128513788493,0.00905358097982709,舞钢市
2001_01_03,268.8400691461914,278.47297906197434,274.5892452095427,102639.7042037989,271.52720442414017,100973.20133166482,4.284083843231201e-08,-1.594065719164783,-2.1891271370811682,0.10910392488776391,0.013580371469740636,舞钢市
2001_01_07,270.72015598482517,272.57478175595446,271.27543423911254,102368.33630761402,265.3947182404273,100689.94975350647,0.0065142676744696275,-0.9465615406977779,-2.056580997821963,0.018969527927771037,0.031687533429394815,舞钢市
2001_01_10,271.4979140050148,276.1200745558763,273.2839391977893,101731.77199851176,269.24984298090385,100095.13633696856,1.862645149230957e-09,2.4073770741186236,2.170604265361823,0.007986817999815248,0.045267904899135444,舞钢市
2001_01_11,270.27876651689854,278.3632105607149,272.25928428904314,102147.20135402141,269.2006564254119,100473.06159389453,0.00015471681021642536,-0.7611397722421355,-2.1773895160237235,0.024694569236017556,0.049794695389048994,舞钢市
2001_01_13,268.094971127148,278.8196521126209,272.06787641695763,103087.0731110443,266.30962860992474,101402.32968384682,0.0,-0.8647738506383229,-2.016064325660922,0.060436565907783756,0.05884827636887608,舞钢市
2001_01_14,265.5725933384129,273.80503255221714,269.82764363595334,103502.33061833565,266.49911924294463,101796.90529633948,0.0,-1.1955913270831127,-0.6612264310565257,0.13218579999706287,0.06337506685878963,舞钢市
2001_01_15,267.57698206900625,275.4835357892191,270.9883086367561,103319.30456069435,267.5134912460212,101632.44916736174,0.0,-1.014831711104666,0.8687252095387412,0.11014576933138681,0.06790185734870317,舞钢市
2001_01_16,270.2790980023543,278.0014617247713,273.7437907870235,102858.39087136135,267.8512561872969,101195.37260839505,0.0,-0.4471639661982572,-0.17311145655544885,0.16192301151208044,0.07242864783861672,舞钢市
2001_01_17,272.7552102871476,279.55263281500385,275.36325264910386,102384.15020047444,268.96101276362384,100740.12170953094,0.00020836712550430272,-1.0629129444446188,0.7254824605703905,0.11412349512264036,0.07695543832853026,舞钢市
2001_01_18,272.80334772156664,282.46496337994125,276.19524741490386,102555.55940392449,271.97470210021635,100901.53119444886,0.00023107354372168458,-1.0414185607607536,-2.4937986722530168,0.18582119747679185,0.0814822288184438,舞钢市
2001_01_26,267.5203677097498,273.25712962545396,269.50343457692554,102499.88753115549,264.258586620599,100825.15703154754,1.862645149230957e-09,1.948826217904388,1.5770559968357925,0.016737484203341226,0.11769655273775216,舞钢市
2001_01_29,269.1387364058061,280.31303968206925,274.8177636367719,102378.30147389865,269.78994719965556,100741.85963347608,4.284083843231201e-08,1.7308712642319959,0.5423633588119584,0.012702692566517288,0.1312769242074928,舞钢市
2001_01_30,271.9537897241956,281.93529680294506,277.60523413839724,101869.85057156779,271.4618887861424,100249.33674208031,0.0,0.7232387340514952,0.6580917426667792,0.04327432064145605,0.13580371469740635,舞钢市
2001_02_03,273.02150958629386,283.2871704402109,277.3743148000248,102328.97156041188,271.53179227631364,100680.35689867356,0.0,-0.9917648539068503,-2.239264663681433,0.13823607555572,0.15391087665706052,舞钢市
2001_02_09,272.2466014632021,283.33183458204655,276.91130120598365,102641.33942489087,271.95094856453517,101014.11857526859,0.0,0.005025745544746627,0.914523836302082,0.1804427499859117,0.18107161959654178,舞钢市
2001_02_10,273.06606389736686,287.1512121586809,278.8102568510055,102510.37768008231,273.0779673564695,100871.23548657737,0.00010734709174224207,-1.1817642992325266,-0.9910845331343758,0.30064880645835246,0.18559841008645533,舞钢市
2001_02_14,274.66301205295406,284.71701547102845,279.9511194753999,102490.79683158298,273.4537026970366,100861.24249545741,4.284083843231201e-08,3.0186596956596494,2.9370760968915013,0.1277640001936755,0.2037055720461095,舞钢市
2001_02_15,268.93759364435334,286.0938224755553,280.2326291378965,103037.64932300396,273.0577136302122,101400.45229674413,0.0,0.8451958906494265,-2.66288967226657,0.2287622089642977,0.20823236253602306,舞钢市
2001_02_16,270.6494269698664,282.5067358365718,278.5240949140166,102852.88333789419,273.2549957110167,101202.42134906257,0.0,-2.415333418991825,0.903329318026882,0.23749754610465906,0.2127591530259366,舞钢市
2001_02_18,277.7916593631455,290.01790208914036,282.998049477284,101859.32687137114,275.63706735679983,100266.32882533538,0.0,-0.7776104783721735,0.8142082909605934,0.28135455766691975,0.2218127340057637,舞钢市
