Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2007_01_02,269.01955460993247,274.70004224056606,272.4704098374065,103126.07552515999,270.44354614086865,99593.78273063725,0.0,-1.1309896379916056,-1.727702240719468,0.2528269581453125,0.008630748901098903,郏县
2007_01_03,267.6616270362883,275.82961352214045,272.29212030421894,103260.23294589545,268.881181708794,99729.64973063876,0.0,-0.47326987512094193,-1.612562699768838,0.3745056267655523,0.012946123351648351,郏县
2007_01_05,261.2833073665576,280.67614229857986,276.53020599750135,103263.99024429636,272.388284681568,99755.06161691067,0.0,4.589347791904139,-3.6059715021289707,0.31630389945398235,0.021576872252747254,郏县
2007_01_06,255.46516323473526,277.53332280728813,273.59250926319595,103536.0876969918,269.3186593914026,99985.2243191088,0.0,4.034970439973449,-3.128167995549984,0.45650206640556024,0.025892246703296703,郏县
2007_01_07,256.69369855230434,278.40406877999806,273.72151957749645,103369.96348741771,268.6975557983083,99836.09496299403,0.0,3.2123243460023367,-1.9604352300281065,0.44786266104681094,0.030207621153846155,郏县
2007_01_08,261.593878434862,279.19195462488597,273.16987527239957,103203.94172334182,267.7021809380572,99693.25138808308,0.0,0.3355796423621026,0.6881284171048252,0.43342879786307614,0.03452299560439561,郏县
2007_01_09,265.7086780746078,281.49553761506206,275.5196755797928,102610.83335844816,267.94474018886024,99155.77381367295,0.0,0.46194376366161477,0.6412672635865955,0.4275711803336609,0.03883837005494505,郏县
2007_01_10,266.8974984094175,278.24456559804827,274.42823830461936,103082.4002000657,269.9995561152801,99560.73062988353,4.525332596126582e-05,-1.622333358862634,-2.2599645358194693,0.33890232697351763,0.04315374450549451,郏县
2007_01_11,267.185553428848,274.897999889088,272.3322628634705,103558.72341518139,269.1732125863973,100003.79492431018,6.753108802674635e-07,-0.8633263463856022,-1.8471082092376896,0.13378191267468462,0.04746911895604396,郏县
2007_01_12,266.20425029448757,276.4011987706529,272.710271995601,103417.93488506896,269.42833533033837,99882.19075969614,0.0,-0.5554066715446009,0.09548754886030573,0.30764489140608847,0.051784493406593406,郏县
2007_01_16,263.0845588346774,279.2622471457479,274.10238044214907,102930.76952957602,270.5154744836367,99440.82657717272,0.0,2.169326228789457,-1.4566759221988865,0.265566760769307,0.06904599120879122,郏县
2007_01_17,262.4331224439442,283.2023791052238,276.2489451441563,102909.41888708304,270.9369324672437,99445.66919201476,0.0,3.1455482333539178,-1.629868870378984,0.4314123564440423,0.07336136565934066,郏县
2007_01_18,266.2767626117794,282.3204037692891,276.47633161471725,102952.34219847384,271.3433828249788,99489.34159625917,0.0,-1.0534923455145644,-0.3219564526858483,0.37258080935609134,0.0776767401098901,郏县
2007_01_19,268.25827468453565,282.04931068072904,276.23349335382073,102571.97425118518,270.94254762407223,99116.4980225308,0.0,-1.0143062948383978,0.8774680767771934,0.28265799531062774,0.08199211456043956,郏县
2007_01_20,270.306096450687,282.5469361506967,276.89422275002954,102802.6838694203,270.58251826941034,99356.17186101433,0.0,0.26040715088741123,0.09855824495864338,0.2113672608415487,0.08630748901098902,郏县
