Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2007_01_03,268.15928493225215,276.6197315081995,272.7562849252467,103286.84392928756,269.2141014017656,102331.70072787782,0.0,-1.1971200208670012,-0.7481224913519519,0.20112667328935885,0.012946123351648351,金水区
2007_01_05,261.39478378200357,282.0795336832245,276.80572651107695,103162.39711403305,272.3773016641537,102215.52267026887,0.0,5.388173140152197,-0.9439621004327499,0.2299298210297616,0.021576872252747254,金水区
2007_01_06,258.3743988524306,279.9203008935261,274.13411859515935,103432.10101278429,268.1412661099133,102476.00083657795,0.0,3.9741351573087362,-0.10727903165128687,0.28256062912067403,0.025892246703296703,金水区
2007_01_07,260.4868296317089,279.05597158242824,272.9952214274603,103304.09055423351,267.5717439530331,102349.34694576635,0.0,2.46590154848279,0.6622598313991923,0.3041529266968888,0.030207621153846155,金水区
2007_01_08,263.0131542557618,279.3223369175837,273.16321502627466,103179.26869956216,267.82643353922947,102229.43799815212,0.0,0.5676949739559868,1.5526545391025495,0.257861047794165,0.03452299560439561,金水区
2007_01_09,265.72938828210243,282.047905024685,274.38976978429724,102614.58609693205,268.86321675013886,101676.31125506033,0.0,0.35287113750406074,1.220127525854769,0.24295339310911182,0.03883837005494505,金水区
2007_01_10,265.884210900327,277.68820449036537,274.0201580486073,103185.12610565695,269.06715430166224,102228.20980042976,9.109917211955682e-06,-3.2836764013573094,-2.7666163000071924,0.18907440343150794,0.04315374450549451,金水区
2007_01_12,265.60485807550725,277.01690508408745,271.9400999268026,103429.44091654244,268.2468808993015,102473.38945473908,0.0,-0.2446785596895213,1.029664798659081,0.1695116543162734,0.051784493406593406,金水区
2007_01_13,267.79497230547724,278.7017972254759,273.4340394608141,103233.47256334596,268.520537144695,102283.75904113846,0.0,0.14333459612891308,1.6371962282870685,0.01535331380423632,0.056099867857142854,金水区
2007_01_16,266.8272164250966,279.2105976196641,273.42692185359067,102884.38905615838,269.79991796704513,101939.46277364313,0.0,1.4215552472699018,1.0731037412610611,0.033154325889868275,0.06904599120879122,金水区
2007_01_17,262.7850169443019,284.17017388030996,275.9773499526016,102826.69004647927,269.2676997403862,101889.35600824349,0.0,3.6399202616316564,0.6175819288992008,0.28373028306755355,0.07336136565934066,金水区
2007_01_18,267.0032205334472,283.04114077566226,275.15788998384846,102993.40615872588,268.6363081107162,102055.02839473049,0.0,-0.9765776077845297,0.39319527435384305,0.18972443948579895,0.0776767401098901,金水区
2007_01_20,270.6957860439358,282.52796343870085,276.05314732946556,102815.8854372128,269.5318892253367,101881.00837377305,0.0,0.041621132022574316,1.3989467287030253,0.02891300800115202,0.08630748901098902,金水区
2007_01_21,269.59389940915406,280.67808006763397,275.2816152582355,103247.79633713637,269.75406533080843,102300.30272866943,0.0,-2.1981242024253795,-1.4203328957266907,0.07557453069741589,0.09062286346153847,金水区
2007_01_25,263.3294423782056,285.2937876126999,278.44660494484197,102689.57380520397,271.7483608797541,101757.77532994928,0.0,3.621631424407272,-0.3930953364039805,0.06504929843594565,0.10788436126373628,金水区
2007_01_28,262.31663914233707,282.68490470126176,276.29280026718146,102460.52136072541,268.9869997142854,101527.73439337242,0.0,1.867569214777527,2.006942725521534,0.2678173360184797,0.12083048461538462,金水区
2007_01_29,266.288828187253,289.8209904815178,281.0551329098595,102405.65692892304,270.70050386264313,101483.32924725204,0.0,1.3636385615213562,-0.2957830009774974,0.24711859459551722,0.12514585906593406,金水区
2007_01_30,264.51568840937034,284.58760316964475,278.2271160635638,102568.01117095893,271.4509938015343,101639.41604148001,1.862645149230957e-09,1.1462029355367982,1.9243533656634977,0.2750478832879549,0.1294612335164835,金水区
2007_01_31,261.4850973057309,280.79854534520257,274.22928260909,103437.29562502298,268.69826382171675,102485.11256424608,4.0978193283081055e-08,-1.7518179610857074,-0.8154535710174204,0.14157376265472038,0.13377660796703297,金水区
2007_02_01,263.15049557339506,285.43092296710546,276.25272488069123,103043.64509415327,269.10816236412745,102103.70205608789,0.0,-0.3671591266149327,1.134159561550315,0.2252811180339197,0.13809198241758244,金水区
