Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2008_01_01,0.2508395003994919,255.7163481841989,276.02438715691665,270.11188109963615,103236.40727832376,266.3284222149692,93850.6604879232,0.0,1.643211524067748,-0.15200184179817489,0.004327262534435262,林州市
2008_01_02,0.25283601122043187,257.14409264059617,278.57467632341275,273.01715942154095,102643.32160480053,266.1634311522644,93436.67126349725,0.0,1.840232154916584,0.29361632176273694,0.008654525068870524,林州市
2008_01_03,0.17949874821713463,259.0703687704215,279.01769714247354,272.3008556001337,102708.43329856728,268.1102217117507,93456.30747894796,0.0,0.595055633531288,0.2792349020511165,0.012981787603305785,林州市
2008_01_04,0.1805216692147604,258.9160864251467,279.4241848987227,272.24849573615006,102273.59130035753,267.65881688937907,93134.51331286863,0.0,1.273624357273767,0.27436991353773527,0.017309050137741047,林州市
2008_01_05,0.24834278808518395,260.78589297610176,283.5920367561849,275.71828796172065,101731.98378329826,267.4322253395429,92773.30297845502,1.862645149230957e-09,1.6540214448221346,0.2089541280433524,0.02163631267217631,林州市
2008_01_06,0.13873148537184798,263.05783978694194,280.37216241186945,274.146371589062,102124.58073087837,269.7901385418882,92993.68010928757,4.284083843231201e-08,0.41702496724886734,-0.9750718706517731,0.02596357520661157,林州市
2008_01_08,0.23984804280317576,262.39628763204144,283.2609725998359,275.30876457979616,101640.65003159849,270.1027537291771,92614.44272904524,0.0,0.7414809379290094,0.04771450780962958,0.034618100275482094,林州市
2008_01_09,0.06060913717097617,265.4583435097781,272.9723689019061,269.8121007366242,102475.54409233692,267.86053182746593,93077.79557890217,8.683398031440516e-05,-0.9537966619982331,-1.9578590252175012,0.03894536280991736,林州市
2008_01_16,-0.020063796008620044,263.2676139404772,267.52601221408037,266.2739060112435,104150.27697125089,263.3208822237541,94440.67095549538,0.0016201204837371606,-0.6860121058942035,0.45606390890617715,0.06923620055096419,林州市
2008_01_17,0.22917704632970778,264.7047892489625,269.21329250675785,267.34586705128834,103549.98472030649,265.6251959514884,93938.32381348188,8.977488730768058e-05,-0.07670565814958058,0.27969814031664636,0.07356346308539945,林州市
2008_01_20,0.016013898390657585,263.74347317739756,266.98940820560466,265.33577098053183,103533.11112434894,262.97664701145754,93852.99525913372,0.0020508700382881073,-1.2469817826609548,-2.0877431145627408,0.08654525068870524,林州市
2008_01_25,0.007189544504466917,259.9449747828091,268.2680019923152,265.464334596864,103692.48223134947,262.1578679492295,94052.77801995863,0.00019051620840016556,0.06383172060430249,-0.25972224538321254,0.10818156336088154,林州市
2008_01_26,0.050242509403165644,257.3951665144922,269.34870330342113,266.25436555753294,103828.53435525637,262.6795474054005,94187.70863305981,8.555557656198022e-06,-0.31135498627547215,-1.345174308335245,0.11250882589531681,林州市
2008_01_27,0.03852673828150241,260.53241410799603,270.254123148758,266.8429795605727,102970.46336635479,262.7470542768824,93455.18150742096,0.0008062952465781184,0.49507338764788433,0.3900262292798175,0.11683608842975207,林州市
2008_01_29,0.02791833456733104,260.1693778878306,271.4634381217377,267.9653255902995,102815.58137583965,263.0639578501488,93333.62758715576,1.1093444459704748e-05,0.8393011486867302,-0.8092464910320389,0.1254906134986226,林州市
2008_01_31,0.07747633131070289,257.66744651680165,272.118383630381,267.2929331843869,103232.79868473882,260.82155257072304,93750.6788424186,0.0,0.788120891169328,0.4711240427826702,0.13414513856749313,林州市
2008_02_03,0.032717944497242524,258.7992758180565,274.3031282221166,268.2822378083934,102539.52529863451,262.6070944167914,93163.8944967213,0.0,0.5158749614667719,0.650444655559402,0.1471269261707989,林州市
2008_02_04,0.08265552878730362,260.519182909488,274.7825137544104,270.0436345217519,102712.08324970567,263.53023398459777,93293.81162296578,3.701743065555264e-07,0.7881017264072796,0.10406161237568637,0.15145418870523417,林州市
2008_02_05,0.18747029796987721,256.3069508129319,272.63427817240466,267.62304196182737,103180.66261449807,261.75899444249956,93669.53306531296,4.284083843231201e-08,0.6750306543082499,-0.6752120597308433,0.15578145123966944,林州市
2008_02_06,0.18815247602914964,258.6956475665706,274.3665147500716,268.80500691791786,102798.6404574201,261.6274383366787,93401.52138701205,0.0,0.8216007870153929,0.7213076550957737,0.16010871377410468,林州市
