Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2008_01_01,0.2806283779396707,260.432480955278,279.86153538264097,273.5153098038647,103405.02050749579,268.5536785885342,101005.14817131228,0.0,-0.3304384176694956,-0.026526147496915908,0.004327262534435262,桐柏县
2008_01_02,0.295325445681343,265.05644895970295,281.6672987773283,275.7565482567183,102921.08462226501,268.999661299953,100548.3720140755,0.0,0.9367746601286077,1.9716290725611356,0.008654525068870524,桐柏县
2008_01_03,0.24612502048946883,266.601008862207,283.1406458468173,277.6967728357384,102672.45788943979,272.99349687192534,100318.67610112215,0.0,-0.4443897291236391,-0.7062280673797661,0.012981787603305785,桐柏县
2008_01_05,0.28362524703938274,270.00780232164004,285.9337517841653,279.1640613410043,102012.4665409611,272.5694605064238,99692.15702790672,1.862645149230957e-09,0.2637523998957383,2.2979225063978563,0.02163631267217631,桐柏县
2008_01_06,0.2618120405655769,271.96481934223414,283.6202836184174,278.1092209517623,102087.66094948194,273.04447337308585,99766.73232089872,4.284083843231201e-08,0.702965183538746,-0.4035510746136816,0.02596357520661157,桐柏县
2008_01_07,0.11038407274517248,272.5596565008379,285.81814312147446,280.50168307619356,102110.13197046857,273.80743774115126,99802.05343279496,0.0,0.2349423825594215,0.08206618599102149,0.030290837741046833,桐柏县
2008_01_08,0.207892504097446,273.96643523252703,286.4934526621292,280.74646569879496,101682.63236464493,276.25737106140554,99388.22750225982,0.0,0.932704505461401,1.6819132827845251,0.034618100275482094,桐柏县
2008_01_09,0.1026030768343021,272.306025146519,282.6856288767901,277.6019101885797,101866.32976311324,274.1964850903116,99523.56845678741,0.0004300682550169387,-2.3087987347155425,-3.0539089501704764,0.03894536280991736,桐柏县
2008_01_14,0.014554062163921203,266.21692379101086,270.9753377825706,269.438321686361,103678.30109642798,266.8039336135191,101204.96511393599,0.002335717420317067,-1.3491097150444453,-1.4924449645491071,0.060581675482093665,桐柏县
2008_01_15,-0.00866735798934022,267.0834080289233,271.2760408220933,269.7729821176455,104009.67803591676,268.18885080921365,101534.57596300678,0.0003713381087927545,-1.0323625132403564,-1.5916043613198134,0.06490893801652893,桐柏县
2008_01_16,0.015198279545855377,266.7612550030204,271.730115144458,270.55097702152534,104042.85488384572,268.5665776923553,101569.86388907093,0.0002427540523242049,-1.7253227892957825,-1.2567147034238768,0.06923620055096419,桐柏县
2008_01_24,0.04668415548675354,261.31432596599865,271.4618920223647,269.5674806687307,103774.90039117585,266.874041173805,101306.6903096286,9.313225746154785e-10,-1.6370826835446328,-1.2361851514267461,0.10385430082644628,桐柏县
2008_01_29,0.023401074934310588,262.9948228356057,274.419733324588,270.6029253790114,102823.32553374067,265.62243865461284,100400.85740256058,0.0,0.09060679397759903,-1.571019133685863,0.1254906134986226,桐柏县
2008_01_30,0.0032471222365880437,265.40174754819594,274.54051575578615,270.41293466377124,103329.92325476278,266.86916625797625,100896.32422135641,3.533459834360317e-06,-0.6662419215147536,-1.3007592933194354,0.12981787603305786,桐柏县
2008_01_31,0.026930230235521414,264.0218951309939,275.1442538153684,271.66886914859367,103283.63065274914,267.1165982252228,100855.7149457471,2.845440770961585e-05,-0.5177916302122719,-1.152390491407447,0.13414513856749313,桐柏县
2008_02_02,0.045359212293648976,267.0280025263701,276.23870283204326,271.60756916862874,102674.81109991796,267.4408776660169,100271.51841198302,4.284083843231201e-08,1.0273302824434212,0.8773221238440492,0.14279966363636365,桐柏县
2008_02_03,0.06850278065511273,268.6072434082618,277.7908607899497,273.1405939352701,102611.26288135079,268.6826594292904,100220.75264834224,0.0,0.060462384528240064,1.5218498831625613,0.1471269261707989,桐柏县
2008_02_04,0.14294522119675873,269.06384782218345,278.35482013786657,274.6108699229194,102642.21111408938,269.8412278376048,100254.57690301473,1.862645149230957e-09,-0.8331800599884899,-1.0633449815485836,0.15145418870523417,桐柏县
2008_02_05,0.13732589928815045,263.8811638627784,276.7581870393442,272.68613253034874,103099.19829774319,268.8183154560603,100681.16887904455,4.284083843231201e-08,-1.2038223265034502,-2.6902971369266018,0.15578145123966944,桐柏县
2008_02_06,0.22925835529223196,265.3564482817656,276.93367956734687,272.27938179348433,102942.80421115021,268.5842870152714,100529.21122346749,0.0,-1.6564422265802468,0.2928218910340493,0.16010871377410468,桐柏县
2008_02_07,0.24772935450295266,265.6179301893607,278.3157651601532,273.6955298712519,102864.55077025249,269.1044178046021,100463.52476147315,0.0,-0.40421831076805376,-1.2463753552813432,0.16443597630853996,桐柏县
2008_02_08,0.21941494781138215,259.9470441951347,276.3091334384253,272.3132899050609,103345.52987340305,268.69507424380237,100912.77147831557,0.0,0.14061947523798102,-3.084225707535305,0.16876323884297523,桐柏县
2008_02_09,0.2715826070430867,261.8970344533644,276.9456524072226,273.4890303263443,103044.9178366904,268.82426823070733,100636.74750806866,0.0,-0.16513127913727363,0.08790349642262223,0.17309050137741047,桐柏县
2008_02_10,0.21415189169833554,264.91880143498673,278.9612122877594,275.0769689497598,102772.22599680944,271.0278372736816,100387.18621141739,2.1420419216156006e-08,-0.02979639611866765,-0.43306973380682146,0.17741776391184574,桐柏县
2008_02_11,0.24476916145913982,264.6136194526814,279.5067326975193,274.98997913348194,103227.80523124104,271.3689174733516,100828.21758612483,0.0,-0.8891625247360194,-2.5653625928549615,0.181745026446281,桐柏县
2008_02_12,0.2219907089114869,263.6919414609018,277.51273423878996,272.8569928461705,103470.3230112684,268.444051399097,101045.02085990111,0.0,-1.8811608833000084,-1.3122159269185047,0.18607228898071626,桐柏县
2008_02_13,0.24624033221298297,263.64224361942127,278.99358397773517,274.5000273322497,103207.60517708737,269.291866656933,100810.65872724536,0.0,0.9165294478503889,0.23746043443387826,0.19039955151515153,桐柏县
2008_02_14,0.2540348011872651,265.1117381561017,281.8275796513242,276.40761280271124,102921.43648168276,270.8621244482555,100552.78881892383,1.862645149230957e-09,0.18055729562723907,0.6297990473838816,0.19472681404958678,桐柏县
2008_02_15,0.25618575067726573,268.84569191013486,284.43745525423753,278.3743319106382,102698.6940895417,272.55542514920205,100352.23432079969,7.126640176771155e-07,-1.0208512384981419,1.8905457676040383,0.19905407658402205,桐柏县
2008_02_16,0.2576539745629393,269.98533580065026,282.687661418976,277.3391115551351,103084.32039026431,273.276561632397,100714.02595646525,0.0,-1.9139012203669292,-1.68665426407119,0.20338133911845732,桐柏县
2008_02_17,0.14414865647193453,270.06184076454247,282.61408267360014,278.46045918340343,103298.74893258148,273.6058950899698,100915.07226082974,0.0,-2.8568470572456333,-1.0376138656045084,0.20770860165289257,桐柏县
2008_02_18,0.250293493736527,271.8594743566153,281.3175037834807,277.4862449268255,103444.18077199355,274.3265211263117,101056.47004307758,0.0,-1.5042244112837788,-0.7209221306173282,0.21203586418732784,桐柏县
2008_02_19,0.14035974208514027,272.98466459028293,284.8681656991367,279.87491624398535,103019.97947647984,274.25098472286476,100673.42035025726,0.0,1.1071653392169907,0.5516220338466623,0.21636312672176308,桐柏县
2008_02_20,0.2532071426686737,273.2866630498464,286.8071315179859,280.7735401638374,102535.70130682575,275.2040419081402,100214.41361940012,0.0,1.2399131296707275,1.5353962428208359,0.22069038925619835,桐柏县
2008_02_21,0.24108479211738945,275.4635623417858,288.7718802382401,283.14998055368653,101785.27725724195,276.2633440664926,99491.29946937767,0.0,1.5646939940605156,2.5710304017797916,0.22501765179063363,桐柏县
2008_02_22,0.2714043058848409,273.95065177278593,292.1026163821838,283.5548119755931,102150.31334049503,276.819467864296,99839.88340819036,0.0,-1.1334069102162476,-0.6076978589009256,0.22934491432506887,桐柏县
2008_02_23,0.22929488854644578,270.50927097421766,286.4298565966202,279.97934595995,102687.76953988288,273.92798877253114,100324.4875723065,2.521597771420548e-06,-5.48338777786938,-1.9919033183720511,0.23367217685950414,桐柏县
2008_02_25,0.2236954916525879,270.23937599822943,274.40342450733624,273.16170596666353,102826.79636835668,270.14039193954653,100421.4350213802,0.0001508694269121145,1.0476746089313123,-0.8026366099862353,0.24232670192837466,桐柏县
2008_02_26,0.24333475721113546,265.6782686892348,282.4933272715043,277.2197059888642,103324.86626422452,271.5496229781036,100951.40327172313,0.0,0.5220000871727507,-1.3268570282509706,0.24665396446280993,桐柏县
2008_02_27,0.2845586414739142,267.4478905051366,285.48398763534266,279.05790485917476,102873.54568539752,273.4516858627486,100529.29019314598,1.862645149230957e-09,1.8087322330659914,1.3599977507476102,0.2509812269972452,桐柏县
2008_02_28,0.270669614412903,269.3220408520816,289.59926526545655,282.46470245846365,101945.558891681,275.45524032767867,99648.49306191035,4.284083843231201e-08,2.947375802072534,0.7994749940081759,0.25530848953168045,桐柏县
2008_02_29,0.2555390466049042,269.3629291236526,291.4109818873947,285.0842677489399,101685.39291375324,278.76084083374616,99412.79792641988,0.0,0.8904628406635784,1.3159469225562035,0.2596357520661157,桐柏县
2008_03_02,0.22322735661621415,262.621032571935,289.2431733310996,283.0268122707036,102514.06347880166,276.32861588397725,100204.57202879452,2.0453682838411617e-05,1.101323813664876,-3.1900072500522283,0.26829027713498627,桐柏县
2008_03_03,0.27800799244665153,265.89797755720997,288.8053365712018,282.63889893690845,102504.58365976205,277.2492612309442,100193.47262885126,4.190951585769653e-08,-0.6624104737282216,0.15943241889447293,0.2726175396694215,桐柏县
2008_03_04,0.26068537526262714,270.2197709223524,290.2731319030483,284.12813055834204,102340.11144352288,278.956567912264,100044.68664578263,0.0,-0.9582211934649307,1.7815238630799433,0.27694480220385675,桐柏县
2008_03_07,0.23720446506696327,273.728136554651,285.22368865692977,281.0205205278024,102764.980218125,276.5401057505807,100428.28167298481,4.190951585769653e-08,-1.8322973460382186,-0.14253846807487155,0.28992658980716257,桐柏县
2008_03_08,0.2995294485333942,276.4609245455284,288.4901358464809,283.3554336285275,102182.30748851177,278.9654830479789,99879.90011124003,0.0,1.2100542096090197,2.031066942812381,0.2942538523415978,桐柏县
2008_03_09,0.2858139469969986,279.87422081566416,291.75045387409176,285.4019840894523,101959.69426289861,279.8095713243451,99684.16596802605,1.534225204775213e-05,1.0342608851229897,1.7051938732537129,0.29858111487603306,桐柏县
2008_03_10,0.31171953148441717,281.6487718898632,294.2473419453565,288.2808866017215,101553.85226616175,281.91172511078787,99299.05879771986,2.6856981444591393e-06,1.5494241236748831,2.600656597903284,0.30290837741046833,桐柏县
2008_03_13,0.2766570376810769,278.56141113021744,289.75278359072894,284.8877509639151,102082.87384382577,279.6372743526884,99793.59172501601,0.0,-2.2448418967777113,-1.4121136635380722,0.3158901650137741,桐柏县
2008_03_14,0.3238251937087445,281.7001984344846,293.6421853041458,287.80452972721497,101583.51369140745,281.6584889326367,99324.45666903439,0.0,0.12813962910464347,2.9163505209445284,0.32021742754820937,桐柏县
2008_03_15,0.27786030935204886,280.48250820508184,293.4524161064267,288.11976533856455,101689.84943669247,284.31383286046463,99424.06492744172,3.573932075892398e-06,-1.8574925507509004,-1.9193167362547767,0.32454469008264464,桐柏县
2008_03_17,0.38879045700375414,282.6197563871632,293.81881323996924,288.987924208711,101020.28536559369,282.9350246509988,98775.80118546802,5.132645366691725e-05,0.33679338648619017,1.6045326312394432,0.3331992151515152,桐柏县
2008_03_18,0.3654477790311867,283.9839500975931,296.21262555292594,289.91459285216416,101474.81318834866,282.7945124397054,99219.09585763844,7.113004728113564e-05,-0.8071251397898777,-1.3029523215473997,0.33752647768595045,桐柏县
2008_03_19,0.34562409543216666,278.5989795342656,285.92463602232976,283.3341816234199,102094.5425769105,281.0707336016088,99782.2733876839,2.474668984911306e-05,-3.5896258597718678,-0.9773695919970432,0.34185374022038567,桐柏县
