Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2013_01_01,0.35399135833910456,259.2818099796147,280.7442107091296,273.7366540889505,102593.51144301805,267.06610070322455,100535.92766912859,0.0,-1.2840518497355742,-1.6060408672990756,0.004315374450549451,新乡县
2013_01_02,0.26327648280027505,254.67783496408794,271.14978053985664,268.01063294839804,104247.53569860807,264.52737306337497,102111.30051345007,0.0,-1.823554319099834,-0.1346439912937065,0.008630748901098903,新乡县
2013_01_03,0.3163916565543119,254.52389821189976,270.46934333566685,267.22774790154904,104125.09125244347,263.9547680385509,101990.41026892347,0.0,-0.6630359253367692,0.7088395304360675,0.012946123351648351,新乡县
2013_01_04,0.2727650033754782,256.1695896347932,271.712154427854,267.41517092655727,103058.27165073056,263.13541805980657,100963.6794600488,0.0,0.6103093035337901,1.3925521832119105,0.017261497802197805,新乡县
2013_01_05,0.2511710356870247,259.99527375799534,273.79821472843406,269.9134966031981,102906.91174508835,263.1911038485353,100833.57858553158,0.0,-0.5995956364298699,0.00044768387156304265,0.021576872252747254,新乡县
2013_01_06,0.12974817964987123,262.2843652190015,275.5814934671724,271.96858147973245,102615.58653183066,265.3698212718429,100561.50994347763,6.498901072891703e-07,0.43170305891021005,1.2163513574426803,0.025892246703296703,新乡县
2013_01_08,0.07468351311028298,263.83106078983843,276.9844436731077,271.8302008481138,103058.009156062,268.00477980400626,100992.46756962172,4.0978193283081055e-08,-1.2077285040762604,-1.0610981066064429,0.03452299560439561,新乡县
2013_01_09,0.03950447668791938,263.7553927691428,273.7673019152538,269.80770581214705,103036.88019183482,266.96741561968116,100962.75893000654,0.0,0.08291769933855199,0.6216286294273627,0.03883837005494505,新乡县
2013_01_10,0.09932867563549443,265.0925610088161,274.890915744744,270.9377136263667,102621.58422401351,267.0933021200229,100582.38473189666,0.0,1.254029433021825,1.39642200062511,0.04315374450549451,新乡县
2013_01_13,0.0782963209456754,264.7773373036409,276.5790700169479,271.7458554344531,102413.22972870662,268.2479118492129,100384.52712470514,4.0978193283081055e-08,-0.6854504722063388,-0.5400605981373896,0.056099867857142854,新乡县
2013_01_17,0.19531951048543025,265.21977857286504,275.93278786479675,270.08081133337566,103766.816905247,266.0736357390039,101684.10617647738,1.8059077957419822e-06,1.3271574509612252,1.4168906234975596,0.07336136565934066,新乡县
2013_01_18,0.16255582172783614,265.5857331240407,277.23467103122084,272.7591685669499,102642.91613051287,266.2320467386665,100611.39606968198,0.0,0.722903035446739,1.5321801074131711,0.0776767401098901,新乡县
2013_01_19,0.16272903318252385,269.5868891894678,277.5598583519787,274.5689734577395,102571.5289178486,269.93996296283166,100525.52434788898,0.003316945956794277,-2.834725802316121,-2.6198560666207427,0.08199211456043956,新乡县
2013_01_23,0.07861719402358563,268.74239722143056,279.8468240738273,274.6399833574624,101989.76538421128,271.4465258944393,99998.95756701082,0.0,1.579948860474349,0.3153704479114914,0.09925361236263736,新乡县
2013_01_24,0.3210980495592003,263.6451097985806,282.8080187214022,275.1471733327574,102357.37300531236,269.3856787533245,100346.4641997518,0.0,2.086151993179254,0.2753162297585474,0.10356898681318681,新乡县
2013_01_25,0.30804014409147734,266.5234051818694,285.8893301595108,276.16651469303173,102091.15307830213,269.2002833573093,100085.59438772709,0.0,-0.38923311877138844,-0.5405167020471993,0.10788436126373628,新乡县
2013_01_26,0.21481669938039072,267.40052635004014,277.37775247558636,272.8400081929981,102823.74270869413,269.46989118685406,100777.33229447389,1.862645149230957e-09,-0.8025569322197676,-0.5632332162788455,0.11219973571428571,新乡县
2013_01_27,0.09565218446448355,269.2341938231526,279.8782724729352,274.5233812904409,102558.40511205154,269.60652431761605,100542.67685226724,4.284083843231201e-08,0.8873963007938698,1.2610958959181107,0.11651511016483516,新乡县
2013_02_01,0.13349069423475157,270.6484626658934,279.91616691340556,275.2351568949603,102934.97259737288,270.98901989778636,100899.85264653915,8.815116805744662e-06,-1.4108983063315534,-1.212797940604448,0.13809198241758244,新乡县
2013_02_02,0.25470920249432294,271.01714366338274,279.2097961593825,276.20557344687336,102752.16981526026,271.45389474789204,100709.60279330499,0.003653919124564699,-1.6814382906522527,-0.5861404573018654,0.14240735686813186,新乡县
2013_02_05,0.056390549265721145,271.6270482921167,277.9901985607897,274.0208006775443,102335.48535614181,271.74838786020746,100305.1516412719,1.0141977460164114e-05,-0.1482830277964495,0.830394619593638,0.1553534802197802,新乡县
