Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2013_01_01,0.3259972697723672,263.36359748934944,279.74244063011946,273.30932261931986,102550.10846506244,267.87453798212675,101835.67257947031,0.0,-1.2380561307771525,-2.2361014611089405,0.004315374450549451,梁园区
2013_01_02,0.2942209973030679,255.67091238735293,271.200207802042,268.3448857740754,104196.60658173464,264.71019196023826,103454.64701055686,0.0,-1.5759211593995055,-2.9073750752221805,0.008630748901098903,梁园区
2013_01_03,0.38462098288062696,254.1223452751516,270.4556776641399,267.53518147236457,104143.06216382342,263.9417922819496,103401.61081155227,0.0,-1.262445715892507,-0.8171135399878657,0.012946123351648351,梁园区
2013_01_04,0.2511161655685886,257.1285145738229,271.5509852258329,267.38926128282776,103155.84783003043,264.1174872379516,102425.4643235769,0.0,-0.2951971015204089,1.302143008212155,0.017261497802197805,梁园区
2013_01_05,0.36817120002134124,261.3413117663465,274.0798786382176,269.92201991909087,102946.44251983028,264.36050635998834,102224.88350240958,0.0,-0.6113255287484081,0.7821510283809183,0.021576872252747254,梁园区
2013_01_06,0.21770532203452803,262.4134476584105,276.1447019037006,271.967555196328,102718.84761535322,266.7635531341413,102003.50266665076,0.0,-0.2652403033276073,1.4806414726642325,0.025892246703296703,梁园区
2013_01_07,0.26522102956665927,265.81550790288213,277.8635651313269,272.3268109692451,102502.75036026307,268.33907105719504,101793.67115350254,1.862645149230957e-09,-0.8368579915928613,1.6289559260188249,0.030207621153846155,梁园区
2013_01_10,0.19897300254096428,268.68709752310554,276.1988340615424,272.1561076315982,102764.05572273358,268.18579801734506,102050.99028976775,0.0,-0.5529147289410135,2.9462942164108057,0.04315374450549451,梁园区
2013_01_11,0.22229735085728528,268.9671968796483,281.4531618000235,273.241941283033,102580.34664123684,268.0867620907413,101878.42133597092,0.0,0.07168543904132972,0.672630584693252,0.04746911895604396,梁园区
2013_01_12,0.2853791630943748,269.1442476221988,281.53913267702825,275.077301792142,102249.46508710783,268.52963918584015,101547.85476893312,1.862645149230957e-09,-0.8338351255744331,2.857110022489063,0.051784493406593406,梁园区
2013_01_13,0.046219167542171535,270.056953733559,278.8047470051849,272.6720268380381,102386.24203458775,268.16369604681336,101679.8232191293,4.0978193283081055e-08,-0.10198588434350803,-1.2686864833649807,0.056099867857142854,梁园区
2013_01_17,0.1573781404666677,265.6005079373712,276.21170977289734,271.0771791956435,103828.31287282996,267.50552501033434,103103.50779559459,0.0,0.44422726524453915,0.5581730546114322,0.07336136565934066,梁园区
2013_01_18,0.257294541275934,269.0556060585327,277.49139386615775,273.592315684404,102826.10358727726,268.0822520865233,102113.43146282934,0.0,0.47973378893368396,3.1306092037829174,0.0776767401098901,梁园区
2013_01_19,0.317562873612219,270.37277306539704,281.0917764328238,277.2366417479907,102529.54722436832,270.9049986659574,101824.44851739416,0.0011546471003925983,-2.5260577592747757,-0.2078051692433977,0.08199211456043956,梁园区
2013_01_24,0.24627110567561603,269.86514236085867,280.4731605003479,275.2741862570573,102455.10199947502,271.5108124286249,101751.20993878694,0.0,1.1801470446407694,1.01404545428932,0.10356898681318681,梁园区
2013_01_25,0.39367176010726446,269.12269011914424,284.35494206322426,276.3346974488227,102100.57532333098,269.8468042687151,101398.97911965314,0.0,0.6396744999803535,-1.0470646935777355,0.10788436126373628,梁园区
2013_01_26,0.19233202595853574,269.6825451834218,277.9754531822189,273.0870528102152,102785.96774009585,269.8217667383641,102073.98126038791,1.862645149230957e-09,-1.2177551594125315,-1.129764648199384,0.11219973571428571,梁园区
2013_01_28,0.2915301526221538,274.72571789516894,281.87790506080285,277.8233083559529,102096.97784632082,272.63013101022483,101404.52807210872,3.036186512851165e-06,0.2053117098193975,1.85918430768381,0.12083048461538462,梁园区
2013_02_02,0.21632318910541104,271.0708513155557,280.13181909018505,277.2601978386217,102752.2214060185,273.42816406130845,102045.88775205516,0.0020063280537173946,-2.9308765226813533,0.71266088899045,0.14240735686813186,梁园区
2013_02_09,0.35457051274665735,269.019857143213,278.8012467418451,274.32563103655104,102531.43275331208,268.8551802563644,101820.4594586305,4.284083843231201e-08,0.2706242169225786,3.331067192694948,0.17261497802197803,梁园区
2013_02_10,0.41934865047617814,270.9926413633711,279.8218155819746,275.8966971681358,102828.13587305213,271.6566090467238,102116.24440390617,1.8962551732011758e-05,-1.1874744828251749,-1.4975118327529424,0.17693035247252747,梁园区
2013_02_11,0.2876514959283579,270.63555419954037,277.26156433818704,274.12811139594703,103092.39679018057,271.02829566799636,102377.12609798263,0.000411020215776791,-0.7290984238730563,-0.32941074554822775,0.18124572692307694,梁园区
2013_02_12,0.6233228052211108,267.29323561154246,280.3480123150003,275.3051442547399,102853.13685455595,271.51620496200746,102146.07897915173,0.0,0.6404122259942426,0.8601674350052038,0.18556110137362639,梁园区
2013_02_16,0.23504028450284206,273.4510724658696,283.3088138020689,278.85173309251155,101844.9415685598,274.74414179042344,101150.43556178958,1.7307288782762842e-05,-2.247350552536951,1.856108615061874,0.2028225991758242,梁园区
2013_02_17,0.2883406791720473,272.98944349235535,283.66052164906904,279.01080759792376,101914.17029953451,275.2018825969444,101218.91282724605,0.00014139388905290526,-1.8110626411851278,-2.9301650751717374,0.20713797362637362,梁园区
2013_02_20,0.36228891632624755,271.56605478449313,282.0009283316463,277.4707685717181,102788.28866096924,272.8271850020249,102082.40706149107,9.313225746154785e-10,-0.16728877470586292,2.4505503987505,0.22008409697802198,梁园区
2013_02_22,0.3478749771656948,271.7121727250881,286.80289858315854,280.03188758785393,102933.47418748183,275.4028910140412,102236.49736928256,4.284083843231201e-08,-1.56371380812921,-0.433096404133769,0.2287148458791209,梁园区
2013_02_23,0.31846466301415244,274.5819732552898,288.27729827943745,282.1281990249383,102623.01587377563,275.43199350022763,101932.90812603108,0.0,-1.01161086990448,2.07880373073606,0.23303022032967033,梁园区
2013_02_25,0.2981833042086621,275.3669026281405,284.12465772597005,279.8287468116215,102238.90743654208,275.21243161261646,101543.48492602738,9.851494056089455e-05,-0.5688545451176507,-2.2222145219739047,0.24166096923076924,梁园区
2013_03_01,0.3365256888655304,259.044474501873,279.4351128452788,276.1318035254231,103374.2285245537,271.74933229619495,102659.87705920069,0.0,-2.0910924398015913,-3.4439066547981945,0.258922467032967,梁园区
2013_03_03,0.3991663526950561,265.93437385042273,291.62045848250335,283.78182973543034,102229.21705572864,275.19617792241957,101548.3612069057,0.0,3.069020268393593,0.43490268968360196,0.26755321593406595,梁园区
2013_03_04,0.39003578738428146,268.735745049376,292.89104820332966,285.8438436785232,102332.62880920412,280.2678124791813,101653.66534257028,0.0,-1.2469542537096026,0.698130155315915,0.27186859038461536,梁园区
2013_03_05,0.3785053054089359,273.4904515500877,295.21599734269915,289.36319592582004,101692.47586859405,282.40764465663386,101020.98437761767,4.470348358154297e-08,0.9998169348629401,4.58640578807883,0.2761839648351649,梁园区
2013_03_06,0.43910514568103937,275.61394325883134,296.6150466121042,288.7121301625748,101406.2038288546,281.36312178416085,100741.23191686606,4.284083843231201e-08,2.414745787065432,0.986989713848446,0.2804993392857143,梁园区
2013_03_07,0.4182741266785719,273.2792986362073,298.31239347742525,292.24591189919994,101001.26839490858,282.51168774900475,100340.20651718449,0.0,3.0936066839633996,2.8693725586769534,0.2848147137362637,梁园区
2013_03_08,0.38536191320565566,279.00184778479735,301.53987097925904,295.15578267619395,100530.86831896346,287.7047036442345,99875.97381069229,1.862645149230957e-09,0.9942607458210417,3.286376229638377,0.28913008818681324,梁园区
2013_03_09,0.5183473878871587,269.22767692157674,303.0336788866871,290.9758133461344,101234.74423547197,279.58022857832015,100564.37657279734,3.329697932184639e-05,-0.7545519635299884,-2.571452961731222,0.29344546263736265,梁园区
2013_03_10,0.3852426693035644,265.4691169334371,284.2701688617926,281.49814568118643,102666.41566365566,278.0194341603885,101968.0707722847,0.0011447287631855191,-3.013403768164581,0.1511834925862464,0.29776083708791207,梁园区
2013_03_13,0.5345919466846516,268.816636309092,283.5963343540342,279.34201944132633,102917.76145885602,275.01757746321346,102214.54638790738,0.0,-2.86006434771816,-1.0712662516911,0.3107069604395604,梁园区
2013_03_15,0.4266214120498185,274.92517185526265,288.8099319292949,283.669758332319,102081.91347899663,277.15871354486814,101399.09671736092,4.190951585769653e-08,-0.7010548968264766,2.2377643146707356,0.31933770934065936,梁园区
2013_03_18,0.37593442768080315,277.47778591797305,298.26976882338624,288.5274870903761,100485.50297898351,281.9759711966154,99823.71084717728,0.0,1.7347962372494687,0.20601740689990736,0.3322838326923077,梁园区
2013_03_20,0.5417723613907518,271.41376325984015,282.562155205198,278.98997201787745,102265.56213780513,275.663383800145,101566.38257450896,4.284083843231201e-08,-1.6358376844641576,0.16380764998090974,0.3409145815934066,梁园区
2013_03_21,0.3929393501136945,278.5748089175632,288.8424161117474,285.17598148066907,100897.87626290324,277.32942586012575,100223.53673089447,0.0003417452440795366,0.3346570759373604,3.4707910461832734,0.34522995604395607,梁园区
2013_03_22,0.349550631840213,276.24260311691245,288.20658356012024,284.28056034277085,101627.1698658182,279.5904140813446,100945.15497790714,0.0,-2.0385666332552512,-1.505875097170225,0.3495453304945055,梁园区
2013_03_24,0.5066051845024202,266.9052613020865,284.93080801058056,281.09500382887006,102079.87234379708,277.1586674487084,101386.01743643348,0.0,-2.438930399078926,-2.158012180282639,0.3581760793956044,梁园区
2013_03_27,0.5629675548862726,280.6107066439867,294.29343469220026,288.0342414201719,101098.59206565305,279.75699165982087,100429.21848041104,0.0,1.492960078358259,3.650148432560745,0.37112220274725277,梁园区
2013_03_31,0.5197670144572083,278.31591676164567,289.3687016450303,285.5932205137251,101777.13716878615,277.93401083227377,101098.0413646961,0.001736257340767755,-0.8302686234875835,3.7712813677971937,0.3883837005494506,梁园区
2013_04_01,0.5336210746454213,275.3322902133626,293.7535232759209,287.061796656225,101839.0981634013,280.9000777056505,101163.24026301285,0.000734091850136117,-1.2125557918246597,-2.370751313589328,0.392699075,梁园区
2013_04_02,0.5736305175075402,271.7399591375077,291.5350274112858,286.9006514484665,101815.77913301584,282.09919081928535,101139.48366681971,0.00013083604302220866,-0.30275784135490086,2.595629743161934,0.3970144494505494,梁园区
2013_04_04,0.5974041235624148,279.77318430140696,295.3503162909517,289.6735987103899,100975.04157371132,284.60122118204896,100308.99430561911,3.921387040284385e-05,-2.1009245336083238,-0.772017005677715,0.4056451983516484,梁园区
2013_04_06,0.6345760503908857,266.48726137914184,286.64738523942543,282.4420295449858,101733.06429000721,278.71541819357446,101047.05839654658,0.0,0.07686603854532979,-0.5426696946682397,0.41427594725274725,梁园区
2013_04_07,0.6210593373349786,275.2547850864283,293.4548000612478,288.8371335618413,100913.22653355685,282.01141290568785,100246.24304647588,0.0,2.18112691242534,4.511446991630252,0.4185913217032967,梁园区
2013_04_08,0.351598700591835,268.8196262237317,292.8162190767723,286.26144053731286,101740.07168530964,280.7406719374528,101063.5073547731,2.7885789588927086e-07,-0.04719824651512904,-2.984448238789677,0.42290669615384613,梁园区
2013_04_09,0.5532005678294473,260.9273449794012,287.3909494748303,283.12509873034924,102290.4989139949,278.3331315599744,101602.14436137567,0.0,1.0811573915710195,-0.3387211131577966,0.4272220706043956,梁园区
2013_04_10,0.5959402462942962,266.09689790996174,288.62755306866813,283.71786524185177,102063.39257543633,278.2586852532087,101379.28832210667,1.862645149230957e-09,0.9386025275879912,-0.18326580970047665,0.4315374450549451,梁园区
2013_04_11,0.5880012647131222,269.50754366420335,293.4613659842717,287.5765376871688,101905.36442337574,282.580745948719,101229.12824561012,4.284083843231201e-08,-1.258700180098731,-0.39012587021324036,0.43585281950549454,梁园区
2013_04_12,0.6287589637255628,276.29961335283025,298.30569603240735,292.75582363623494,101405.3927109663,285.15876925279906,100742.20798961748,0.0,1.6308150051842791,2.830032305435442,0.44016819395604395,梁园区
2013_04_13,0.6023133352465894,277.36360067345976,303.46117788824023,296.28744291183807,100632.7489575689,289.60472808119596,99978.35822225937,0.0,3.414339736645165,1.4729314084682763,0.4444835684065934,梁园区
2013_04_14,0.6182299116753806,281.0436609738348,299.0753509105744,294.56913761544047,100666.57184421399,290.34093059905706,100010.16309177337,0.0,-0.32563221708190543,2.8684946471058095,0.44879894285714284,梁园区
2013_04_15,0.6142118489702129,282.5685220668119,304.7835778863745,298.8864931564639,99939.85056582694,293.5030306017469,99293.35627999342,0.0,3.1180783390713933,3.854639130864168,0.4531143173076923,梁园区
2013_04_18,0.2885961519395546,270.0369851904614,287.7354172025359,285.29763681238387,101885.31517973266,282.24117793169046,101202.64384085474,1.9961331239659122e-07,-4.603384763363364,-3.579255219067608,0.46606044065934066,梁园区
2013_04_21,0.4054069511178758,277.0554390989656,287.33143797118487,283.2128510238456,102004.34643133087,279.0780968041983,101318.26785840686,0.0,-1.0040270681858041,2.181798181868793,0.47900656401098907,梁园区
2013_04_24,0.4819906482143738,283.8015190516906,296.9466625677154,291.3290406612222,101238.56571097736,283.9534112998433,100575.19661965818,0.0,1.36502662653536,0.9471208173757973,0.49195268736263736,梁园区
2013_04_25,0.6903613283647746,276.25331994191595,295.97983347281536,290.61816388691864,101493.60783631435,285.91303483388714,100828.61647813077,0.0,-1.575750077807492,-0.3145372147421526,0.4962680618131868,梁园区
2013_04_26,0.7187516836919549,283.57847423621945,300.33257627829414,295.22057305100424,100811.05385293912,289.26399983110804,100154.46528922857,0.0,1.3189219338465035,4.498324726273704,0.5005834362637362,梁园区
2013_04_27,0.6531482077897439,287.0924919639652,302.09201403841587,296.32965522766295,100694.23009515728,291.00163883310006,100040.0898869543,0.0,0.38809038523886824,0.3451877982607721,0.5048988107142858,梁园区
2013_04_28,0.6983723893577665,289.2785267479576,302.7833652343596,297.0187763433715,100847.62825746767,292.18532602510703,100192.45780275908,0.0072843986172332256,-0.4995844085439063,-0.2393655759123712,0.5092141851648352,梁园区
2013_04_30,0.6431762172233663,281.563260866,300.25087694199283,293.1383658399967,101372.64368764583,286.4957471981992,100712.76727955828,0.0,1.2907510794702064,1.3819631026248846,0.517844934065934,梁园区
2013_05_01,0.6910893129625462,282.30449106721267,299.98405035208435,294.02347583025386,101165.65455927598,287.90301059651114,100505.05766787598,0.0,-1.5416734162644299,2.254144245576077,0.5221603085164835,梁园区
2013_05_02,0.670364552522345,284.6184247663327,300.08034813721446,294.7112799860512,101008.80331557606,289.5037187017007,100350.86742939793,1.867136987126493e-05,-0.49613174004346977,2.5307532176699468,0.526475682967033,梁园区
2013_05_03,0.6851105483373073,285.18286497473696,299.13725050785195,293.08528925580094,101505.89371188464,286.5027365539843,100839.9760693474,1.4294806090832619e-05,-1.9664443048012266,-2.208185313759246,0.5307910574175825,梁园区
2013_05_04,0.6110216509857572,284.004142028157,296.92389534479616,292.2918219599581,101772.27441531738,287.8712154647161,101106.2074284356,0.0,-1.9761809743742458,1.4182643160305095,0.5351064318681319,梁园区
2013_05_05,0.33918918714657004,285.44825539798734,299.8432352471832,295.5139223691803,101598.64644487962,291.101745452238,100936.92934005764,0.00034942284547811124,-2.343863679579462,1.5882559882301401,0.5394218063186813,梁园区
2013_05_11,0.7003966011342208,286.82431074122655,303.77410200177326,298.0895462857399,100142.4853638384,292.781667028714,99493.19452006898,0.0,3.1733288190751567,3.888184662249431,0.565314053021978,梁园区
2013_05_12,0.7166927095026382,290.2432166158283,305.1624524428251,299.8030803179927,100120.86962369544,294.6249193674693,99473.46819387836,0.0,1.374549018593963,4.550193805916989,0.5696294274725274,梁园区
2013_05_13,0.6538029787675925,290.2856430901631,305.97053151300076,300.3762199498807,100209.6186448718,294.7340278848442,99562.95865923293,0.0,0.3229853612389673,3.818278419760862,0.573944801923077,梁园区
2013_05_14,0.7218395607713837,289.08603136474994,305.73659523954666,299.7326244628221,100622.76493239353,294.063944753999,99971.0490829193,0.0,-1.571632475282622,-1.9636093283191034,0.5782601763736265,梁园区
2013_05_19,0.6893442589984597,288.7457846196752,303.33694258041555,298.4109017582618,100114.14940309276,293.0822642762183,99465.59027608858,0.0,2.2319939269568896,1.627953361375936,0.5998370486263735,梁园区
2013_05_20,0.6173350408421129,287.83136182782357,302.01563772135034,297.63460286022723,100309.17961299662,293.796961431649,99658.71683984109,0.0,-1.1857804175487394,2.4909814906385925,0.6041524230769231,梁园区
2013_05_21,0.5649306617239499,290.16018121915533,306.2987910306176,300.6288264458753,100132.14362188004,295.1819769613429,99486.22001975217,0.0,0.40623213668535857,4.1610067944627716,0.6084677975274726,梁园区
2013_05_22,0.5994336729800046,290.43989644672615,306.2683634165628,299.88964945563305,100740.56832934034,292.67571510385113,100090.28635977962,1.862645149230957e-09,-1.6732789163256645,-0.02995720451882779,0.612783171978022,梁园区
2013_05_23,0.5489849540374216,291.8706663867911,303.22142378475513,298.83484465204845,100932.7509786017,295.2106784356362,100279.54247059168,1.541614893272541e-06,-2.066323683705153,0.5772212891337613,0.6170985464285714,梁园区
2013_05_28,0.4254745279640708,291.40690114338923,299.7606763839178,296.01138380496513,100878.43523234127,292.6084485816451,100221.66560752745,0.002105123115121545,1.230898313776927,-1.9127308913276733,0.6386754186813187,梁园区
2013_05_30,0.5433118864391372,285.7456031082351,299.19038809064796,294.1172461927974,101026.94186650256,290.628553391624,100366.24668531853,0.00016909243316111283,1.0327925559609485,3.252583306722282,0.6473061675824175,梁园区
2013_06_01,0.40329144254214083,291.5946353391381,302.6902318972675,297.5206147073527,100608.14178110345,292.9348232652783,99954.76743241448,4.377216100692749e-08,-1.0727129763799554,1.9345066916091054,0.6559369164835165,梁园区
2013_06_02,0.45400663540840175,290.74267906729614,303.85501003784077,298.75222165000446,100558.41214661104,294.2367741547413,99906.68692530964,1.955777406692505e-08,-0.012711637688442844,4.005373753258162,0.660252290934066,梁园区
2013_06_03,0.38669729700549116,291.18708429864444,305.6399029531917,300.3110222777059,100656.42672965485,294.91030166761493,100005.80509083273,0.0,-0.40127677512122667,3.9233335590773075,0.6645676653846154,梁园区
2013_06_04,0.4354077645459848,289.9296700272353,307.1821146993888,300.8411503423366,100921.49648919112,293.76593455221456,100269.24432877182,0.0,-1.8553334194847553,2.9178043268030516,0.6688830398351648,梁园区
2013_06_05,0.34987689605484656,290.9035664955569,305.0010105675487,299.955255912854,100908.77174270191,295.86962404784055,100255.97013432154,0.0,-3.0379956644737707,2.2903955662746704,0.6731984142857143,梁园区
2013_06_07,0.4648113298497937,293.6660331865968,301.8867087758873,298.16273617171447,100518.60678222169,294.0485973879918,99866.36592628644,0.00031646150429271043,-2.708636272249877,0.8412960553271867,0.6818291631868132,梁园区
2013_06_08,0.41537645225663433,288.97102234569155,302.09300886309444,297.85836643951865,100636.32777417307,292.80736843068337,99983.64438759406,4.284083843231201e-08,-2.4562603081175376,1.4127672929142772,0.6861445376373626,梁园区
2013_06_09,0.3773121155928386,288.90456557248285,303.629123915034,297.31026152819123,100812.59378378747,291.39009431953514,100156.52957293217,0.00027022448984417483,-0.4721705386847282,-2.534914247834637,0.6904599120879121,梁园区
2013_06_11,0.40116168163732885,285.89893219526414,298.72036654540835,293.86291423540195,100927.0496086316,289.3054885664777,100268.80240417582,2.404692275943816e-06,-0.0848253957809198,-0.8559455198280213,0.699090660989011,梁园区
2013_06_12,0.3745482351234092,285.4442358191505,304.4092651868418,298.46608889341405,100920.70382124957,293.0949086373013,100266.61080286666,4.284083843231201e-08,0.06729037488941018,3.2428670465594576,0.7034060354395605,梁园区
2013_06_13,0.4063841769706236,284.1058937240806,304.3112788809461,299.0009633873261,100945.45915355856,292.87463911805213,100291.18221363708,0.0,-1.9972388647038337,3.355737366861451,0.7077214098901099,梁园区
2013_06_14,0.3796760057876325,288.04152319424503,304.6986955362588,300.04637521513695,100790.9313434741,295.89317198577106,100138.74422997654,0.0,-2.162240860416674,2.4938118945527714,0.7120367843406593,梁园区
2013_06_15,0.39494818124591136,291.84738667283483,307.18197019203626,302.3840218485293,100583.5244236659,297.87878067545125,99935.35473646455,0.0,-2.1102876236990213,3.0005639665444006,0.7163521587912088,梁园区
2013_06_16,0.36412331237617673,295.5904514563919,309.30345777583733,305.2205679354163,100062.20154565937,300.57013294910917,99420.95887605146,0.0002623950227178865,0.995170594550043,3.336854616245253,0.7206675332417583,梁园区
2013_06_17,0.3825827865491517,294.5872484516755,310.3212830203041,304.43292536600165,99696.31004717891,298.15766785327196,99055.50469822052,4.318142268629655e-05,0.7196847554220973,-1.8437690718730806,0.7249829076923078,梁园区
2013_06_19,0.3598687071261091,291.34964463922967,305.88862965836205,301.927078348097,100266.20108966628,297.14171174623067,99619.95583707641,0.0002486932544369445,-2.7972252510119473,-0.6896560114470301,0.7336136565934066,梁园区
2013_06_20,0.4314245018829619,288.83994899427415,307.37793451035134,302.9097589527065,100565.37576390216,297.27650132591106,99918.07805339516,0.0,-2.4278236622653844,-0.4565061558631708,0.737929031043956,梁园区
2013_06_21,0.3824052342261931,289.12186188207676,306.38121319130676,302.27297116454986,100760.92575916598,298.90990583514383,100111.34032335256,0.00022058959895248506,-2.1222744716714206,-0.8215293491228655,0.7422444054945055,梁园区
2013_06_25,0.45077018756396703,291.38966254516026,303.8094234033986,299.3662976275114,100235.74451793484,295.26025926721974,99586.20691434322,0.0,-1.30825259960687,3.317723324819018,0.7595059032967033,梁园区
2013_06_27,0.43406321098709505,293.3826191031369,308.6642061811059,303.46596576379056,99900.18697951864,298.3571824478273,99257.42328501338,0.0,0.8383383138210659,3.662217622749587,0.7681366521978021,梁园区
2013_06_28,0.45125647408317704,292.9243098357682,308.9524580881498,303.21789555724024,100153.023566639,297.4072740588181,99508.07310906157,0.0,-1.6228001912548142,4.037080368557564,0.7724520266483517,梁园区
2013_06_29,0.4128144495648396,293.6333493175765,306.67276724420736,302.61860637571476,100417.13752289348,298.5684617120234,99770.08805768064,5.6566747154424776e-05,-2.337799380882113,3.209222193755036,0.7767674010989012,梁园区
2013_06_30,0.38757464435545086,296.81908142924914,306.7806794998331,302.31131732031,100268.552199347,299.22491403037,99622.20665981901,0.023128586238799143,-1.3995000219995009,3.0983278084316286,0.7810827755494506,梁园区
2013_07_02,0.5034252630740732,297.98007555631807,309.2519865127793,302.19301043101405,99879.26133131613,298.7426834537759,99236.76298060473,0.019752403665424856,1.2714523454405686,1.4258525570893361,0.7897135244505494,梁园区
2013_07_03,0.5878171149682514,296.64865006223204,308.73041544474074,305.00102233220207,99627.88789862065,300.48163331861934,98989.33929274669,0.0003265156323881423,1.540609540594046,3.4839243929656716,0.7940288989010988,梁园区
2013_07_05,0.5947471043113667,296.8980773388756,306.375485099121,302.37829827160743,99963.66273171488,299.07507257001834,99319.98885638155,3.3856082445412194e-06,-0.48163296134069444,0.787247992056445,0.8026596478021978,梁园区
2013_07_06,0.5663611468899832,297.3174317879618,307.97564493369913,303.2631785874429,100061.15183570803,298.92588898930785,99416.29703496376,0.0006876917819233383,-1.5295281966686656,1.5275543477084448,0.8069750222527472,梁园区
2013_07_07,0.5633315507473742,297.09691339268636,306.6205432002179,303.1719138504094,99997.95880038901,299.7026839785862,99354.43595848221,0.0002988478226378976,-0.9175004792751833,1.659456084182334,0.8112903967032968,梁园区
2013_07_08,0.6162373937332489,297.81906200217594,308.3486372094155,304.1256018413514,100069.07797281798,301.5891267066098,99426.04817188397,0.0019230774104098956,-0.4584209359434168,3.579863506943802,0.8156057711538462,梁园区
2013_07_09,0.6085834517209869,296.5436591877137,308.49621668443365,304.79471067521547,99960.7338523108,301.00875857000005,99319.6072747632,2.5638363168045677e-06,0.41745545874727685,4.642285877189797,0.8199211456043957,梁园区
2013_07_10,0.6592307483417851,296.4340439396297,308.8529237136224,303.4084460174862,100194.45031992599,298.0208866591648,99549.49949288175,2.492290723993645e-05,0.7700385117251769,0.43635421325924806,0.8242365200549451,梁园区
2013_07_11,0.6852416364492303,297.1061455138221,307.64071079200585,302.3554472377769,100447.41468297639,298.3927182046682,99799.08005619324,0.0006083344476337298,-0.21390495141234034,-1.8046013078984733,0.8285518945054945,梁园区
2013_07_12,0.6301100638356941,297.979796928904,307.028774066027,301.7288466771555,100436.75612445534,298.338090504678,99788.81824397769,0.0042411336164404085,-0.9666447626368312,-2.242883871334793,0.832867268956044,梁园区
2013_07_13,0.7954100722041039,298.60295847395423,306.6126427910687,301.5662240106908,100401.06290995673,299.33443560032424,99753.18181739515,0.002217155603795058,-1.4527705426585447,-3.1938841486407235,0.8371826434065934,梁园区
2013_07_14,0.5280789932579321,297.35479104064706,305.1786477824156,301.99443276677505,100150.05974120076,299.47186783225794,99504.30676355292,0.001743420527281574,-1.9801671178586062,-1.3453502276674294,0.8414980178571428,梁园区
2013_07_16,0.7161135747355382,296.8340743940829,307.1053949911997,302.5505999103589,100242.76069078383,298.7033889991699,99597.81866563535,0.00030767308013641054,-0.5057389947270634,-0.18403972434004282,0.8501287667582417,梁园区
2013_07_24,0.5070412407706624,298.93728354378305,307.4417325322947,303.8379030094521,100073.41136185564,299.8428908371039,99430.54765839087,0.00029943340349369813,0.22166167161894695,2.0010565859878913,0.8846517623626374,梁园区
