Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2013_01_01,0.2114811645673591,259.78670576366346,279.171857895297,273.39100947754474,102534.78180721478,267.24097070163685,97579.89172207295,0.0,-0.7352577599515708,-1.1421972217664387,0.004315374450549451,登封市
2013_01_03,0.15935186881288552,254.5570493135991,270.14913953943875,267.32541135650536,104077.69058026606,263.57635170713104,98927.37798280569,0.0,-0.7441700772697956,0.28866303334975274,0.012946123351648351,登封市
2013_01_04,0.13472872056319138,255.22124587334963,270.6940842891752,266.77221954306657,103074.16656961125,263.5484654083937,98002.08271463252,0.0,0.16421500200049702,0.9243635617418162,0.017261497802197805,登封市
2013_01_05,0.14230289981958397,260.4773372737911,274.6945676234041,269.678771268973,102875.54363251319,263.54900249568686,97871.0122460657,6.512754526672798e-07,-0.008340145707197067,0.24244371231080752,0.021576872252747254,登封市
2013_01_06,0.1320915296857938,259.6871700365431,276.3409490268129,271.5891515212361,102628.2586864141,265.57248214356935,97666.56546276125,0.0,0.8191159292352871,0.8596757105633448,0.025892246703296703,登封市
2013_01_07,0.17146708598565608,261.1942923461836,278.4832048646416,273.21909144747497,102428.72070695844,269.3228711891665,97510.72983639699,1.862645149230957e-09,0.4165076409536725,-0.10855381927117971,0.030207621153846155,登封市
2013_01_08,0.16603208343139536,262.8089375374439,277.7815387857451,272.4428800358624,102998.67978660356,266.7338930352508,98029.28437957201,4.0978193283081055e-08,-0.38064595556731023,-0.4531773646974406,0.03452299560439561,登封市
2013_01_09,0.08359966409941767,263.3915766712439,274.18271159173304,269.2994747665035,103000.30608959732,265.9902513358347,97996.09048061505,0.0,-0.6019700479148109,0.7698861384608782,0.03883837005494505,登封市
2013_01_10,0.12667652260972095,265.9377063556565,275.06669812572176,270.6697804142469,102652.8160141892,266.5523480715291,97713.05734162244,0.0,0.13505432290606453,1.1136486712959535,0.04315374450549451,登封市
2013_01_11,0.13289193888064973,260.96793458231343,280.80555733151056,273.6245304948805,102616.7002679673,267.8925501355294,97736.22460501446,0.0,2.8045061927518478,-0.03408832320057568,0.04746911895604396,登封市
2013_01_12,0.190846461429931,266.3722429683175,280.51072225515196,274.2841815069429,102074.0486240032,268.3464747146748,97222.0749662469,1.862645149230957e-09,-0.3441921660450716,1.3081748841882423,0.051784493406593406,登封市
2013_01_13,0.09953349064267093,266.41857502548174,277.7937514015682,272.55964790834116,102369.1119598105,268.4506451290739,97473.46264252918,4.0978193283081055e-08,-0.7508542913530114,-0.3012520486854054,0.056099867857142854,登封市
