Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2013_01_01,0.3819980702759404,263.8986293625483,280.2389510399638,273.7409851252864,102525.91494341698,268.29085463256274,101850.13661679608,0.0,-1.2013297931649531,-2.1925128930400963,0.004315374450549451,睢阳区
2013_01_02,0.3175212959220575,256.0782226328068,271.2508912750503,268.7107482645477,104174.83232313266,265.48125504626313,103473.00430056712,5.319714224997545e-06,-1.758240332888357,-2.927316975358547,0.008630748901098903,睢阳区
2013_01_03,0.4683709906090184,254.02016715869075,270.50973969807944,267.6801177007941,104136.12745971719,264.33567432783485,103434.1077803119,0.0,-1.314573605550763,-0.9460251023850292,0.012946123351648351,睢阳区
2013_01_04,0.3150288309802674,257.3265260207116,271.64611613155677,267.7035291811451,103156.52926930877,264.5148262617344,102465.02036849553,0.0,-0.4143990901590946,1.1381450184644701,0.017261497802197805,睢阳区
2013_01_05,0.45377091880671994,261.3552943184631,274.1643307551747,270.0336717644699,102945.67834408363,264.802373660492,102262.31848071537,0.0,-0.719275727197936,0.6269775168250658,0.021576872252747254,睢阳区
2013_01_06,0.28646775179143114,262.44064485250107,276.2344088918506,271.96044717655724,102723.57441486834,266.9678707209752,102046.16539465456,0.0,-0.31699723554295955,1.3744086391415253,0.025892246703296703,睢阳区
2013_01_07,0.325628042498557,265.81429333577853,278.1201121182562,272.4763451865743,102500.40299846353,268.42480559286696,101829.26648196987,1.862645149230957e-09,-0.8912201197261984,1.583494931462036,0.030207621153846155,睢阳区
2013_01_10,0.2484188237404845,268.8392169543736,276.4577080189663,272.29258595733353,102771.8112551811,268.2992332571977,102096.92469394291,0.0,-0.6919539952147716,2.775196258091357,0.04315374450549451,睢阳区
2013_01_11,0.21305692606231127,269.21964006432967,281.61616542174403,273.52718651292895,102586.97938420835,268.3113651909686,101922.6728021574,0.0,0.1389628077741173,0.613953111176353,0.04746911895604396,睢阳区
2013_01_12,0.3716434687632227,269.3894928854975,281.7630760225636,275.3158947179675,102254.3331400467,268.68012933987006,101590.42911713451,1.862645149230957e-09,-0.9340710154749335,2.6490366153709943,0.051784493406593406,睢阳区
2013_01_13,0.06111848312503475,270.43428925470596,279.6120954049036,273.22082553087205,102372.38945399618,268.18390979249193,101704.44147265026,4.0978193283081055e-08,-0.21496841036772865,-1.2611412927829968,0.056099867857142854,睢阳区
2013_01_17,0.19266436911839832,266.1049470497992,276.3449107774272,271.34782312966263,103832.68614209628,267.44304321914194,103146.554446251,4.2571933131964767e-07,0.38961184672994253,0.35388958102668816,0.07336136565934066,睢阳区
2013_01_18,0.33026486584032716,269.1939026636528,277.69624822349925,273.68105928357244,102839.45817887902,268.0749727193792,102164.80943786219,0.0,0.3877221080171644,3.016076269722158,0.0776767401098901,睢阳区
2013_01_19,0.3876675594485233,270.20427997990134,281.5147900258677,277.5517379924401,102502.0193768142,270.9919670663739,101834.83706291836,0.0013171545437130256,-2.677244670730777,-0.14979870035934612,0.08199211456043956,睢阳区
2013_01_24,0.27341697089609923,270.22859448117424,280.7369178625751,275.4764923021578,102470.75318503115,271.755167231038,101804.43804782999,0.0,1.1559917484570081,0.9197465598388374,0.10356898681318681,睢阳区
2013_01_25,0.4574492278200941,269.3858965667787,284.8790486103665,276.9224512473866,102089.24170286028,270.1624003109762,101426.52913278273,0.0,0.7460452519051582,-0.8183322816990666,0.10788436126373628,睢阳区
2013_01_26,0.20142173899752172,269.9119230529503,278.5093230972645,273.48607001985096,102771.48914819688,270.06579023879556,102097.80211596865,1.862645149230957e-09,-1.3146449539211822,-1.1816245627711437,0.11219973571428571,睢阳区
2013_01_28,0.27505811187772006,274.87953464297317,282.02960259093084,278.3159119256606,102098.7821378071,272.45447161478506,101443.8326519796,0.0,0.3452820267644999,1.935207250463962,0.12083048461538462,睢阳区
2013_02_09,0.4355060815959198,269.0208028352473,278.8285142609977,274.3903644703922,102548.59101089393,268.888571977721,101875.08230807763,4.284083843231201e-08,0.30448311736835415,3.301597875518421,0.17261497802197803,睢阳区
2013_02_10,0.4800091265423156,271.0698434350185,280.18575206918973,276.0941418932379,102801.78888837638,271.7445225024119,102128.74659960996,1.0712575434139954e-05,-1.429982939067773,-1.0171993754293631,0.17693035247252747,睢阳区
2013_02_11,0.32242850872469436,270.59312011819975,277.4653376961036,274.341326730647,103083.02066018221,271.0349207443081,102406.11354713612,0.00019763206247740733,-1.0248969794885334,-0.43376885072984545,0.18124572692307694,睢阳区
2013_02_12,0.279503438921049,267.53865447139947,280.51051066588514,275.3471669485986,102864.87630464125,271.52669905809387,102195.60203708646,0.0,0.5446719297688909,0.7930461480656342,0.18556110137362639,睢阳区
2013_02_13,0.3940080390095071,271.0440708151609,282.8904493951242,277.62079874181853,102317.61952774986,273.1689177971554,101655.44634961564,0.0,-0.6027285473278925,2.37186166393641,0.18987647582417583,睢阳区
2013_02_16,0.29312170698740825,273.63504138755053,283.63586249022245,279.177528611516,101832.28967635756,274.8149859589517,101175.1486113746,1.2685580247294325e-05,-2.2808038935810204,1.7352040323347688,0.2028225991758242,睢阳区
