Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2013_01_01,0.2526099161918291,261.40023865579684,280.77099101038584,274.79093748948645,102465.10616795608,268.4792327125272,98203.61864020808,1.410830307182247e-09,-0.564680364096801,-1.8141520652691998,0.004315374450549451,鲁山县
2013_01_03,0.2400779439053899,255.97724151143768,270.7662602058988,267.85066174576,104070.85806374134,264.88036040129424,99619.443323951,7.56413505064466e-09,-1.1425532913722387,0.0103355404426999,0.012946123351648351,鲁山县
2013_01_04,0.14212462286756972,256.76205689710554,270.97781919999153,267.5615160617847,103083.48751214758,264.9238306651139,98696.87823539147,8.943800177705691e-07,-0.2474471318594298,0.8802416003618871,0.017261497802197805,鲁山县
2013_01_05,0.18834896320149452,261.4798357330663,274.91726138161505,270.5338297295958,102872.57109360436,265.0116996366553,98548.07089087892,1.5671756182684063e-09,0.10595214933403602,-0.0053957138074376175,0.021576872252747254,鲁山县
2013_01_06,0.15741952167980738,262.5504744011323,276.619436594248,271.7934743000993,102633.0561055359,267.032599518699,98349.19946746671,0.0,0.39118751647563654,0.5250693030868476,0.025892246703296703,鲁山县
2013_01_07,0.2119820825576569,263.62289184348947,279.4177569118317,273.7593300268619,102405.74179423458,269.3979211575703,98168.36953900685,1.862645149230957e-09,0.7854177407622895,-0.13577568472452342,0.030207621153846155,鲁山县
2013_01_08,0.16242728553956792,263.26068871156144,279.2125464144238,273.5833071948953,102950.33882818672,268.0132595266232,98676.3687766723,4.0978193283081055e-08,0.2706359041664099,-1.1969396630049005,0.03452299560439561,鲁山县
2013_01_09,0.04322436402125205,264.33346068504403,274.8226072126529,270.2025839639422,102989.7459111459,267.2125197633646,98671.32081175772,0.0,-0.4619335487420869,0.7015075791220494,0.03883837005494505,鲁山县
2013_01_10,0.09165400501179265,266.72969515753584,276.22920072748695,271.21906047771307,102643.75472974055,267.59387308067113,98383.95530802502,0.0,0.3299348997817388,0.9133821234685445,0.04315374450549451,鲁山县
2013_01_11,0.1382475526410106,261.66532596203257,282.2439681066875,273.6458452136341,102607.23016128893,267.66951836669625,98405.16409406018,0.0,2.22492270519846,-1.1361584155808437,0.04746911895604396,鲁山县
2013_01_12,0.21324830571688083,267.7135358828822,281.65145563593353,274.58719800328936,102073.73826122428,268.60829860605224,97883.82387200325,1.862645149230957e-09,0.686640361096825,1.6699886392331698,0.051784493406593406,鲁山县
2013_01_13,0.09533099223967645,268.3960976097202,280.4003320955846,274.2140947344976,102329.98114335563,269.3864862810382,98114.23623529199,4.0978193283081055e-08,-0.06640279911595157,-0.5502874876737782,0.056099867857142854,鲁山县
2013_01_14,0.14332443782008222,269.97836240429956,279.89737858380107,274.2909641200094,102483.83255073178,269.889809587325,98247.86362767115,0.0,-0.6495838855584277,0.45682630654877765,0.06041524230769231,鲁山县
2013_01_15,0.09643596541849189,266.3340106794307,280.85329638667406,274.07897777638857,102574.44569088487,269.456516668929,98351.09337860023,0.0,0.9064915035989914,-0.5727122746471357,0.06473061675824175,鲁山县
2013_01_17,0.11643790316696057,265.80710483414373,274.3908984247653,269.69064352462976,103813.93164588444,266.9633865252811,99437.30170449315,6.7837069339798075e-06,-0.46585963388969515,0.6807407515846089,0.07336136565934066,鲁山县
2013_01_18,0.12260119687225196,267.2384759395044,276.9861703836237,272.03512022151403,102677.1875801671,267.3431196207756,98402.89685932588,0.0,0.2477393319501229,1.4848392962741057,0.0776767401098901,鲁山县
2013_01_19,0.15991960754806142,271.06904988886583,277.4331712654133,273.77531629607705,102392.60746137967,269.3477641805923,98117.04115673147,0.005195960256937526,-1.0843866085034282,0.01327119355266974,0.08199211456043956,鲁山县
2013_01_23,0.22234221678888574,271.84695465774774,280.3903723480827,277.07481561468916,102078.53548388208,271.55702610780355,97906.17409739991,0.0,1.4502445347600244,-0.030929661940023258,0.09925361236263736,鲁山县
2013_01_24,0.29224281609798874,263.80433316870733,282.60744082827455,275.59259878369096,102526.76725007386,268.9964576732426,98323.34292181546,0.0,2.4734997882452445,-1.5051493895519192,0.10356898681318681,鲁山县
2013_01_25,0.26893069035946554,266.1299756076212,286.36452538998293,278.38836522394996,102066.6048773553,270.27017450717096,97924.27897319471,0.0,1.4472177164227908,-0.41701760124750914,0.10788436126373628,鲁山县
2013_01_26,0.18700956226569956,267.7921919193568,280.5321594796175,274.94351407359693,102733.7452986364,270.67517641914026,98485.5666577436,1.862645149230957e-09,-0.6783202276167287,-0.2653162883275237,0.11219973571428571,鲁山县
2013_01_27,0.13377611264281,270.1853418439506,281.3298034684712,275.0970039690609,102583.78873482492,270.68774880830324,98374.80900473887,4.284083843231201e-08,0.111526952211353,1.1618471540914668,0.11651511016483516,鲁山县
2013_01_29,0.09089586855502867,273.96017410174005,284.395003503112,277.7114427525102,102347.43247278796,273.24086487384767,98158.70055927256,1.862645149230957e-09,-0.8061990725996927,0.35298033691025604,0.12514585906593406,鲁山县
2013_02_01,0.07554025626314782,273.42951520954233,278.88421436166004,275.85651701382545,102842.69426410519,271.62626926570033,98599.5030932281,3.5632825869623027e-07,-0.740292059353555,-0.9576320853104288,0.13809198241758244,鲁山县
2013_02_02,0.1795966726802243,271.9401024294561,279.01021629048614,275.7300361630587,102631.0232250387,272.26098598409817,98361.60383905523,0.001473537469467564,-1.8373950435959792,0.2887726328870567,0.14240735686813186,鲁山县
2013_02_06,0.3004186129178347,273.4887335336983,280.3472995986533,276.19217436719515,102397.61464214425,271.08085379265015,98158.04107801196,0.0018241619077991246,-1.9123912553008884,-0.567894121798589,0.15966885467032968,鲁山县
2013_02_09,0.2519185899302509,269.55534923933874,280.94806381354255,274.7196035891118,102355.99575494615,269.603673777957,98126.44145804577,4.284083843231201e-08,0.5181432641188253,1.9039578426945123,0.17261497802197803,鲁山县
2013_02_10,0.31766466678801586,270.2888227331837,278.4409868114778,274.38277607962476,102726.42696308886,271.3053869625927,98422.58521607185,0.00044349257867891986,-1.8127409503607876,-0.6874561309485548,0.17693035247252747,鲁山县
2013_02_11,0.2383349999771409,269.53090701936486,274.14620846997735,272.5781161254422,103146.50493127006,270.8567101744821,98821.0016786523,0.0004180033143527623,0.2031187354782403,-1.2291189778562075,0.18124572692307694,鲁山县
2013_02_12,0.18609194851541788,267.01022252890516,281.20979075558887,275.8531857449715,102852.99439965478,271.6567990422786,98607.27774558307,0.0,1.4318464114164853,-0.989869039515552,0.18556110137362639,鲁山县
2013_02_13,0.2563962732333753,269.9375391354009,283.15556238371846,277.1686263194494,102172.86888750487,271.7780062943543,97985.06391161101,0.0,0.2685785059818199,1.09035080475444,0.18987647582417583,鲁山县
2013_02_15,0.14304253448132198,271.15795818892735,280.9348174009145,276.3819281170627,102475.51375228127,272.61430104449266,98246.69909099964,0.0,-1.1073164264334139,1.7753830351984414,0.1985072247252747,鲁山县
2013_02_16,0.1628676886983474,272.20956833284663,284.1574279997737,278.86854510627177,101673.14107111208,273.34351510085406,97507.03396949833,4.4054125429381205e-05,-0.2717180623631997,1.013822438434365,0.2028225991758242,鲁山县
2013_02_17,0.13261651724849965,273.21738653734246,284.60317890100885,279.0132278600444,101857.55213086298,274.32920428687953,97676.06261066465,0.0013940943167758326,-1.4086522992526465,-2.0809520979947416,0.20713797362637362,鲁山县
2013_02_19,0.1881621454310754,270.7742572315828,279.4734186117828,275.14057112466764,102841.86979894116,271.1663652131253,98567.72687576925,0.0,-0.05810444355886042,1.543839104482256,0.21576872252747256,鲁山县
2013_02_20,0.22073292775091952,272.546640090817,282.010632613616,277.0811072021668,102658.60991844804,272.6961294036503,98437.9690298639,9.313225746154785e-10,0.18861291005894712,0.7368701880514849,0.22008409697802198,鲁山县
2013_02_22,0.27409308534360927,269.86303075478185,288.4432536945667,280.9590135812736,102807.00315607047,274.11234089257704,98643.05750809376,4.284083843231201e-08,-0.4730702990742998,0.46131330377154933,0.2287148458791209,鲁山县
2013_02_23,0.1728938526217723,272.1303328375344,288.0634367706453,281.986470406086,102448.97857979985,274.95495927655145,98301.84395008933,0.0,-0.6567743315120276,1.5214043861022728,0.23303022032967033,鲁山县
2013_02_24,0.27006344166449736,275.56539799164074,287.14128112234374,282.3928928022083,102080.06583932538,277.63613560929355,97944.78352191082,1.9386020469095736e-09,-0.7326125164123093,0.44547038281751283,0.23734559478021977,鲁山县
2013_02_26,0.22518564499157812,276.02002418237726,285.99975398426704,280.32757107602026,101993.10395130736,275.69833596309644,97859.29122275545,2.5413794428893065e-07,-0.17051604227802483,-0.1309551473368223,0.24597634368131868,鲁山县
2013_02_27,0.15162273860735637,278.20315427208885,288.1042496389822,282.475658907735,101446.04124575225,276.44930804505464,97351.85799335028,0.0002216006267076788,-0.5952840904397071,1.7965759829895058,0.2502917181318681,鲁山县
2013_03_02,0.18556162934432513,262.20980396130193,282.01375911695413,277.5399395562729,103155.11642176604,273.947515570722,98927.6564767511,0.0,0.34228504054379,1.4916738252395925,0.2632378414835165,鲁山县
2013_03_03,0.2591852243167668,263.2109581321778,292.1602402378741,284.00127112233093,102369.19970250329,275.8343169035481,98291.83627321542,0.0,2.784049145879494,-0.69538387949836,0.26755321593406595,鲁山县
2013_03_04,0.260723154389294,267.37684882509666,293.8398355223903,286.085649976232,102210.62384129557,278.6869099685758,98141.39591371671,0.0,-0.12183525072844663,1.0514117734434223,0.27186859038461536,鲁山县
2013_03_05,0.23660491585640467,274.98306956559594,295.9683553779227,288.0894853082907,101576.05118505761,281.17020429140183,97540.54888827736,4.470348358154297e-08,1.0537619480353475,2.5095346530323956,0.2761839648351649,鲁山县
