Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.5888301056509468,267.36600937993495,290.7636145813901,280.7448653966956,101763.16259366235,273.2735371158277,101082.92840458406,0.0,1.581726694059765,0.5680791224477486,0.004315374450549451,上蔡县
2014_01_02,0.47395374950347874,267.18481780728894,287.6428884687357,281.3306828528381,101809.12214883063,273.07964311523995,101121.26142220155,0.0,1.663842808623136,-1.3407051532465553,0.008630748901098903,上蔡县
2014_01_03,0.4722137431328064,264.05662367256156,286.50640603912325,278.547719949142,102287.68490610273,270.19280476071185,101591.300385877,0.0,1.2782356288701007,-2.7115664664724703,0.012946123351648351,上蔡县
2014_01_04,0.5501901489923772,266.8400306889914,284.9091358301729,277.9720041835691,102173.57828284714,270.2751802961966,101480.22032226171,0.0,0.8871608965244527,1.2304209087630023,0.017261497802197805,上蔡县
2014_01_05,0.4332506840700832,268.87043871066743,284.5239275427077,278.7029951095956,102233.5608245778,272.58899895493914,101532.79109170327,0.0,-1.6105893199425125,-1.9262163351506558,0.021576872252747254,上蔡县
2014_01_06,0.4858086991182992,273.62898051549604,281.0540262085472,278.45690262930657,102094.71718052744,275.25556174914095,101393.41781358438,0.0015109987436831152,-0.6264093641550836,-2.344233024305822,0.025892246703296703,上蔡县
2014_01_08,0.3669281158160367,267.42606207245785,279.42091402630496,274.34892642511915,103206.05896644105,268.5267306149207,102490.90164270268,0.0,0.30760582417536914,-2.1612790972524247,0.03452299560439561,上蔡县
2014_01_09,0.370187921524097,268.87836835213426,279.0326864937062,274.22188096993403,103100.35316800825,268.3861343332317,102384.36643565359,0.0,-0.7693078750255822,1.0707688338174592,0.03883837005494505,上蔡县
2014_01_10,0.6259373559085988,270.19536488616745,280.27442366000355,276.25536927043055,103072.32095580554,271.8349229351168,102359.69503736818,4.157976856775042e-07,-1.4786638721908882,0.19001058807305166,0.04315374450549451,上蔡县
2014_01_11,0.4710735557139217,268.98130511542445,281.10817928870114,277.76949560603583,103122.27413528807,274.04675096712623,102413.02264745212,0.0,1.0396362641984893,-0.3794206480655583,0.04746911895604396,上蔡县
2014_01_13,0.4462993764033329,267.73838959998386,280.30076560262677,274.58691378596296,103066.28416742437,268.8390908012159,102351.71558485352,4.284083843231201e-08,-1.0508181117690625,1.1778254871101017,0.056099867857142854,上蔡县
2014_01_15,0.3124784982641477,270.04059145565355,278.7580834230812,276.4225796518683,103004.41987198059,271.32560169737377,102294.43313048435,0.0,-0.8243731324750014,1.623218500321461,0.06473061675824175,上蔡县
2014_01_16,0.1179678102356351,271.30565472557555,283.35004630392336,276.6846693966463,102762.65912705954,269.8234406607791,102057.71246751142,0.0,0.7515900737819807,-1.3905893551953086,0.06904599120879122,上蔡县
2014_01_17,0.26733006557377426,268.39599124432505,281.8119035491553,273.94705439246866,103301.34478523902,267.54443315941734,102585.44247730132,0.0,0.3860746651918722,-1.971507948780752,0.07336136565934066,上蔡县
2014_01_18,0.20902405346740738,268.0989901877701,279.8281877126792,274.8460818325589,103236.27211276517,267.75134508665883,102521.41025846901,0.0,-0.7351362344199267,1.967149222717206,0.0776767401098901,上蔡县
2014_01_19,0.4938682482061717,263.12860658620843,283.8597936535491,279.57767070726266,102834.95720792265,272.8114972471466,102133.59339068645,0.0,3.5005254308555513,-1.3160128249173422,0.08199211456043956,上蔡县
2014_01_20,0.612993934020721,260.0210639228404,283.03678723281894,276.10246812686216,103229.90546550047,268.9278541233895,102519.53391267188,0.0,0.7910700846740558,-1.7663074464697592,0.08630748901098902,上蔡县
2014_01_21,0.5545179692651652,260.73876537220536,281.1733651354353,274.7148092718563,103225.51023801308,268.9701827140248,102512.08231822189,0.0,-0.807317574771789,1.8892710225958385,0.09062286346153847,上蔡县
2014_01_22,0.5908621459410143,264.13181773883235,284.94739281191596,279.0925271760521,102314.10899116032,270.80333482737365,101615.00583137131,4.0978193283081055e-08,-0.13440091941092427,3.6383423162228077,0.09493823791208791,上蔡县
2014_01_23,0.5124949296382433,268.39730682055193,287.7851726789203,282.36931449404784,101443.33044274329,275.74418393009154,100758.19234683736,0.0,-0.05169141970375792,3.710420142444325,0.09925361236263736,上蔡县
2014_01_24,0.5493138817013673,267.0950466155065,287.572732889396,281.36831142472,101661.52011123455,275.89377883209073,100970.65956486847,0.0,1.3571174363312557,-1.807837712917738,0.10356898681318681,上蔡县
2014_01_25,0.3487141449865474,267.6717209663267,284.08637301130886,279.7959773171103,102655.55145380885,275.48498600122485,101954.2667909911,0.0,-1.7040635320676722,-2.1784162055289937,0.10788436126373628,上蔡县
2014_01_27,0.36763158953301706,272.5767461495064,286.52395567256264,280.31042881550496,102036.68442799388,273.7607036836504,101346.6328113063,0.0,1.3962164851044576,0.2239733951617489,0.11651511016483516,上蔡县
