Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.21803335422726494,261.5978088740278,287.3030266964131,278.74906078857845,101809.77274900115,270.9262508924099,97703.60967180254,0.0,2.599092057238738,0.0008166062627491871,0.004315374450549451,伊川县
2014_01_02,0.14603416317900347,261.92451113671706,282.9982428032204,279.3342465025351,101994.20539751931,270.974585918965,97843.65820823617,0.0,3.601007011507353,-0.3168648700495953,0.008630748901098903,伊川县
2014_01_03,0.20959540789337805,261.30815441134484,283.30546504662647,276.9518291696607,102406.20413886113,269.9511693364049,98225.25352445537,0.0,3.6190341537803667,-0.6927509777641249,0.012946123351648351,伊川县
2014_01_04,0.21340062494515993,263.6415741328409,285.01570739084025,276.4087336935297,102120.29350116565,269.18623649971875,97981.39962608668,0.0,2.322086891680631,0.45473541950624236,0.017261497802197805,伊川县
2014_01_05,0.17410295386442498,265.5645463270312,282.72339710929333,276.31405220400717,102296.05580408168,269.81585890372986,98097.94492983159,0.0,-2.0210956925743644,-0.7336072623288079,0.021576872252747254,伊川县
2014_01_06,0.14283675567944792,270.40037344781325,278.009269964194,275.7489518744576,102305.35508711518,273.3577662076742,98070.03196589183,0.0009611432182584326,-0.2086997094283543,-0.8863474097033562,0.025892246703296703,伊川县
2014_01_09,0.20754813139778644,262.9813714014192,277.7174738015757,273.09242198979524,103010.21197509469,266.7042123891379,98736.37535924895,0.0,-0.5392216202963489,0.5171010031308697,0.03883837005494505,伊川县
2014_01_10,0.18491347735003216,266.9179307198189,278.7562394117542,274.3722611190322,103052.07618963975,271.1002734296109,98793.15699273467,5.495761712161572e-05,-0.6690719709926014,-0.1889087356912692,0.04315374450549451,伊川县
2014_01_11,0.1114580898144758,264.3736017880268,280.7685351262891,277.6571271707456,103207.74805615898,271.4010141602223,98963.89646286456,5.706231012666626e-09,3.1096595477455975,-0.4439351427932272,0.04746911895604396,伊川县
2014_01_12,0.19318209905508385,259.71728492433033,280.1573966114437,273.5478563784709,103545.36727503799,266.52960731475713,99261.4482638348,1.862645149230957e-09,1.7386852260794399,-0.44881003055769525,0.051784493406593406,伊川县
2014_01_13,0.19308866783158554,262.65337185702595,279.1871537124361,273.41897668128826,102979.10731876077,266.9017764499571,98714.09332207024,4.284083843231201e-08,-0.6872293811553252,-0.049299658743888315,0.056099867857142854,伊川县
2014_01_14,0.09792833487176232,266.77090872314716,276.58236229084486,271.97110380302985,103412.46627041954,269.1667651711721,99108.087645443,0.0,-0.9523602531530434,-0.306399072716298,0.06041524230769231,伊川县
2014_01_17,0.20029806801661626,261.81805471091684,281.87904018840476,272.90857758842685,103333.56712010829,266.03264158686443,99080.64893388432,0.0,2.600634561271392,-0.34869679384731994,0.07336136565934066,伊川县
2014_01_18,0.20003670326196246,264.85913003539576,280.6140973376323,275.26054742942597,103059.86563614644,266.12473213611077,98819.56683953527,0.0,-0.49057742163334733,0.7376218465657484,0.0776767401098901,伊川县
2014_01_19,0.16223890387810685,258.3793881103193,282.52995457902375,278.49174616249036,102995.10035318909,273.66906669926215,98783.91847412575,0.0,4.067894541860156,-1.2393620896832716,0.08199211456043956,伊川县
2014_01_20,0.22934062925648624,256.1151142349776,280.9457228741669,274.5196055399182,103354.16856273984,267.2099573179787,99090.83015394966,0.0,3.1890890395399856,-1.1384933619029862,0.08630748901098902,伊川县
2014_01_21,0.23473514037513696,259.6604528048152,279.8974578589003,272.7874934539623,103114.55917458815,267.0361984623302,98859.90510000518,0.0,0.042116241538214735,0.9463697195291237,0.09062286346153847,伊川县
2014_01_22,0.21274441017125292,263.66117650482926,282.1887144458746,275.0013175723352,102118.57426222245,267.0011471116146,97943.80179987328,4.0978193283081055e-08,-0.4048462487569762,0.3982147068670862,0.09493823791208791,伊川县
2014_01_23,0.18791291948371422,267.7015903314652,283.9553237292714,277.79612083129575,101333.19715513299,269.27792044278885,97224.36317443631,0.0,0.006682022447109616,0.4173681988503028,0.09925361236263736,伊川县
2014_01_25,0.13411414965472318,265.4964457328022,284.11291906661677,277.6145768479124,102680.0789034349,270.9589067781721,98493.44849417693,0.0,-1.4777926605963667,-0.4264572521434976,0.10788436126373628,伊川县
2014_01_26,0.14622697827441936,266.6694802314348,281.517511939879,276.028139110357,102549.35939397608,270.50302546953714,98333.41941099816,3.2260482333313797e-06,-1.22638554837973,0.5341569799738195,0.11219973571428571,伊川县
2014_01_27,0.17774362338750607,269.8773949882405,285.6396945501811,278.77185672853795,102106.03089098602,270.5977746750522,97975.42915763136,0.0,2.3710972259032568,-0.2855647244017206,0.11651511016483516,伊川县
2014_01_28,0.1531771737824244,266.11506771670685,283.2949443265133,278.0621166904937,102488.25797086353,272.0819484622012,98307.73494376562,0.0,-1.3308467073924424,0.13719043015216933,0.12083048461538462,伊川县
2014_01_29,0.18599208523624733,271.8969950969361,286.0306834917804,279.25614030030727,101449.81317635282,272.56408257610053,97381.5695867177,1.862645149230957e-09,1.8298637842664582,0.8363706194463466,0.12514585906593406,伊川县
2014_01_30,0.13887957454098845,272.76341386454897,288.6286279909418,280.3624192089411,101529.56242191697,274.8750210347444,97434.69201199638,4.4200279529824077e-08,-0.9992413499418779,-0.8228334730754415,0.1294612335164835,伊川县
2014_02_01,0.12607278337828584,275.5491432355658,283.19042137960855,277.7321295402632,101396.77876147513,273.4003461006735,97289.38718646397,1.9547000507603396e-06,-0.2913796600938995,0.21090928842423393,0.13809198241758244,伊川县
2014_02_02,0.18974853587307824,274.77645973080797,290.7049157797971,280.3320335774705,101298.23864219885,273.4213614247498,97201.67152832111,1.376288353524192e-06,0.11072492782294555,-0.7930832960804111,0.14240735686813186,伊川县
2014_02_03,0.10095252583131373,268.5190805226702,280.3030224736646,274.80566766034127,102610.22723463298,270.1624710008225,98353.10091580592,3.827049622652827e-08,-2.01272492409858,-0.4567267918880833,0.14672273131868133,伊川县
2014_02_07,0.0138312643828181,264.1994897239645,271.2363514014031,265.07355789506084,102530.23447363918,258.3478793189411,98191.65638241584,2.5724121126250282e-05,0.7830921868197988,0.781143208778511,0.16398422912087912,伊川县
2014_02_09,0.006294937637271868,262.37594082558473,269.1527551589219,265.36732911919245,103618.50285765811,257.48346280377143,99196.21402391391,0.00028293397319124295,-1.1715127066923738,-0.26941125179740033,0.17261497802197803,伊川县
2014_02_10,0.022255829786298358,259.3156658672449,267.5928262261607,262.6715534582446,103450.57828241604,256.72294951154714,99010.9996402974,3.971305726013211e-08,0.4351088916359363,0.23956664219426715,0.17693035247252747,伊川县
2014_02_11,0.040749817561143806,262.9250332629069,269.86839271567544,265.49905818393614,102900.01978153028,256.32506980152664,98525.61679079379,3.984169646979019e-10,0.4056958059092676,0.4844538074774186,0.18124572692307694,伊川县
2014_02_13,0.06474950317193423,262.6830341668206,272.156340688447,266.0293352469354,103382.19534782748,259.86003501097275,99017.23173865328,0.0,0.7677308741436936,0.4880374259282363,0.18987647582417583,伊川县
2014_02_14,0.06831942057956408,265.5518101792464,273.7163921619032,268.7441444556635,102703.97049428035,260.7502988376514,98401.73374843229,0.0,0.47846908145850847,0.5486452879617121,0.1941918502747253,伊川县
2014_02_18,0.5356877817669253,269.31975022849014,275.09771323671333,271.725332448674,103089.96349665376,268.85356619561793,98800.08890480812,9.072830882020234e-06,1.6122424891740637,0.6413877358435439,0.21145334807692306,伊川县
2014_02_19,0.18585793263428937,269.72174916537807,281.40646096546345,275.1770809876316,102803.09920863411,269.91045526606007,98560.69652650833,0.0,0.5787404801409223,0.07249571044105436,0.21576872252747256,伊川县
2014_02_21,0.18510830126931366,273.1801338970772,281.8955358067242,278.148317216622,102612.04195412411,273.84760417478253,98415.12645001884,3.480091648320215e-08,-0.8976743123222606,0.04522088584711937,0.22439947142857142,伊川县
2014_02_22,0.23098676285230998,274.8940256973182,283.2395893520637,279.46546271328225,102727.76790221821,274.54088208437526,98543.44408943079,9.95059959138829e-08,-1.3531905073066288,-0.18169346806994605,0.2287148458791209,伊川县
2014_02_23,0.13292318324401092,275.62987450356786,283.1054114481545,279.5261490043515,102635.39946228208,276.8392337644161,98453.37349406707,9.569158406195587e-06,-2.0044238905291007,-0.031222611073483706,0.23303022032967033,伊川县
2014_02_25,0.19143414146542775,276.5197299759987,285.27873349426017,281.56729900764356,102422.983109221,277.4135771761839,98275.1818269671,9.565293186427493e-06,-1.1509992157014137,-0.046927822843644704,0.24166096923076924,伊川县
2014_03_03,0.38767920317147675,275.59135528586063,284.7680224198412,280.7929051248884,102060.59439919956,274.4910293505191,97918.47612821638,0.0006953335398422657,-0.44080979472062826,0.8923007222547872,0.26755321593406595,伊川县
2014_03_04,0.22442297469982234,272.6214219407322,287.33862551747967,281.61793364177436,102491.29620494781,276.74849775203285,98333.15532099384,4.291694504630602e-05,-1.0665578671146727,-0.6526672134011049,0.27186859038461536,伊川县
2014_03_08,0.43976459724535727,273.30845714943365,285.8443875857965,280.11355671095004,102406.5437022032,274.6194955347751,98262.42800317075,1.1779968472367618e-05,2.330570922821275,-0.028900635185452772,0.28913008818681324,伊川县
2014_03_09,0.2837007401839745,272.1514045964823,290.263700282211,283.4112458451304,102254.10491039015,274.81761844555257,98156.12401612445,4.0978193283081055e-08,-0.7127882000449144,1.3322866486977467,0.29344546263736265,伊川县
2014_03_10,0.30962316142263957,273.26623986280254,290.46847456842687,284.11147167347474,101919.62542600442,278.2526095474886,97837.907979417,0.0,-1.5359644319055177,1.9341374663554454,0.29776083708791207,伊川县
2014_03_11,0.20896219096055293,277.81742748206096,290.1588585565917,284.8728412843965,101436.28402624604,278.7887877700213,97379.03187028664,0.00020366427305900547,-0.4804731112213512,-0.03444548751426694,0.30207621153846154,伊川县
2014_03_13,0.3144790549645263,266.85849125232147,286.78619197965605,281.47731837030074,102451.79882633837,274.74446520091135,98329.04188515944,0.0,3.240427284959442,-0.3919284321621249,0.3107069604395604,伊川县
2014_03_14,0.3533887346565403,269.4854723091603,292.2298585090181,284.1041672404743,101956.39548239387,276.9342625304385,97904.18790867261,0.0,1.031985107675709,1.0754148391337595,0.3150223348901099,伊川县
2014_03_15,0.3308211648098482,274.4227378245545,297.0808144548234,287.3800718830899,101371.92031634589,278.6568139642261,97376.86146872073,1.862645149230957e-09,1.6401284662296736,1.0455947168223447,0.31933770934065936,伊川县
2014_03_16,0.33418480352066887,277.5734246276165,298.4997618367908,288.6549483523741,101146.57656740771,281.0184269450003,97164.4743409353,4.284083843231201e-08,-0.49460338143933513,1.4410304819203075,0.3236530837912088,伊川县
2014_03_17,0.3518440601893188,275.19343409492956,299.42490672699785,291.18863207376035,101290.62838732246,283.1139050868773,97304.75455283094,3.2172313541988557e-06,0.9590532616352941,-0.8117190659108618,0.32796845824175824,伊川县
2014_03_18,0.18801145031185296,275.7262309711644,290.28878039036823,284.9111135451063,101837.56733006226,281.50434219935846,97745.54591082303,0.004027181918893726,-2.542945452773511,-1.3244594425664273,0.3322838326923077,伊川县
2014_03_19,0.15712473412032904,278.15780575949873,288.38958664844347,283.74448234713674,102386.62970159478,278.90959064185915,98264.59543834717,0.0009173931947651307,-0.2120105198505118,-0.3819677593823031,0.3365992071428571,伊川县
2014_03_20,0.32081267724096135,270.57631675515466,288.802868852934,282.037160159929,102799.44934863645,275.72691047601165,98680.2671099319,1.862645149230957e-09,0.6106987257132109,0.3494369275253617,0.3409145815934066,伊川县
2014_03_21,0.3994178792904341,270.98195564504863,292.851088911065,284.2937484465917,102140.41938346718,276.87794446427597,98077.62841716438,4.470348358154297e-08,0.21072869060373609,1.413293052815594,0.34522995604395607,伊川县
2014_03_22,0.35989373623943777,271.2491028457388,294.11975468986407,287.04018724460855,101934.5638525469,278.7682874246569,97889.39402367723,4.284083843231201e-08,-0.9324002507662106,0.9462029069615603,0.3495453304945055,伊川县
2014_03_24,0.38474763085416175,279.6189271377079,293.6811414081802,288.04891772208373,101250.17399640553,282.0144172033977,97245.76625602636,0.0,0.20887690148693955,0.7807592818248398,0.3581760793956044,伊川县
2014_03_25,0.360272909227044,279.1451178634132,297.35815695300585,289.9272426220807,100951.75758161969,282.8908567617344,96982.51744411993,4.897484283661917e-10,0.40712094052966896,0.12925692122313312,0.3624914538461539,伊川县
2014_03_26,0.3714513265246872,282.3570674608081,299.13004782630264,291.68320753034607,101021.81861241195,284.19077303576796,97054.5416544079,3.432745985275482e-05,-1.3911506479346694,0.8996386805736312,0.3668068282967033,伊川县
2014_03_27,0.36212790500007386,284.96342498623613,300.1080498760094,293.5102993322247,100836.42644609281,287.52620713466126,96876.01074471399,0.0008838052151176725,-0.2909807191715445,1.829693683918666,0.37112220274725277,伊川县
2014_03_29,0.35586928886864444,277.2909520488621,298.4195738143592,292.28558286233545,101251.70434090133,286.5363326542759,97271.676323789,0.0,-0.5755328062543056,-0.5255293089860504,0.37975295164835166,伊川县
2014_03_31,0.35975833039677796,280.35057438820803,293.51072394238446,288.3283899655911,101632.43675450342,282.8482475394849,97611.13030288617,0.0,1.2112699587987243,-0.3119390090189443,0.3883837005494506,伊川县
2014_04_01,0.40991880627200555,280.89888168823944,294.83655982464904,288.6603035736014,101297.02594833203,282.722383181789,97296.78084526157,0.00011132749128487093,0.10110477413829111,0.6020507771263818,0.392699075,伊川县
2014_04_02,0.4217395693458702,278.7290128722449,296.42226575196065,290.0827326135455,101455.37137903334,284.59895192229357,97455.59096179646,2.2147406452162966e-05,-0.9232986808085217,-0.3826239238766499,0.3970144494505494,伊川县
2014_04_04,0.46874341178897594,276.84080172365225,296.6021670507993,290.176240140209,101564.11938334194,282.53117120372985,97555.56609567499,4.284083843231201e-08,2.5824021550192513,-0.1097212344877423,0.4056451983516484,伊川县
2014_04_05,0.344465869848291,271.0671219893131,291.1780637093093,286.2024543793037,102262.84992429691,281.9541511518611,98191.44075876361,0.0,-2.832115512099727,-0.05283570447730376,0.40996057280219783,伊川县
2014_04_07,0.438535279401913,277.3185351111311,295.9244795733096,288.5539029120316,101373.02843104626,282.1386329969837,97376.30390226125,0.0,0.8311687642784635,0.5065114066898354,0.4185913217032967,伊川县
2014_04_08,0.4366551704834386,279.5204050488788,298.892282068316,291.2871070707613,101338.35720666654,284.2139879441733,97359.24721922277,0.0,-1.0171539574572133,1.0758180558171886,0.42290669615384613,伊川县
