Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.21544781551175257,261.3376985660973,288.22634173717336,279.18349807121655,101782.13336651206,271.1332916874668,99334.35851246394,0.0,2.093559094541185,0.4658781072370014,0.004315374450549451,巩义市
2014_01_02,0.15699913595546358,263.24954721736896,283.4734938488169,279.1052140664382,101913.61610110012,270.8350915092508,99444.50194549942,0.0,2.3528457739441166,0.7034202115415308,0.008630748901098903,巩义市
2014_01_03,0.19241152381131105,262.9867421019238,285.1055258724351,276.7296834863597,102360.9178767437,268.4583371574199,99868.11836852544,0.0,1.9518506437701515,0.17808311564488533,0.012946123351648351,巩义市
2014_01_04,0.20060333480537063,263.2606411045254,284.84356890443485,276.41234189985204,102111.66109190595,269.0568834712827,99639.7538890038,0.0,1.6720883141503144,0.7724923078923265,0.017261497802197805,巩义市
2014_01_05,0.1618948722655483,265.4046628760522,282.00204620647713,276.37891949198564,102352.81141219068,270.5233389265068,99845.55102757573,0.0,-2.330359216041843,-0.4620983705976991,0.021576872252747254,巩义市
2014_01_06,0.10709488832842154,270.2675052166118,278.835711806001,276.3342671094615,102299.23198097332,273.315270174876,99780.20872682579,0.0007731134243836207,-1.0032671610358523,-0.4467515886931609,0.025892246703296703,巩义市
2014_01_07,0.01584495476994089,273.09660632206135,280.2577116463855,277.5432009233738,102714.7524693869,275.0172815852209,100191.03230128693,0.003173654769502581,-0.013107601228324378,0.3956973687844975,0.030207621153846155,巩义市
2014_01_09,0.168355277414453,262.72807783374816,278.417379787022,272.77769217803717,103031.3844506485,266.13912867440496,100485.04717704818,0.0,-0.06315923112951621,0.47633488453576744,0.03883837005494505,巩义市
2014_01_10,0.1810064384340082,267.16265563379324,279.1878918722912,274.5003877345402,103070.22409111787,270.8054942717768,100533.34085485579,1.6901361557597897e-05,-0.6385586426822658,0.013024433250325502,0.04315374450549451,巩义市
2014_01_11,0.10004930439788876,265.07735617930945,281.3636151673912,277.40293999922034,103140.43173570107,271.60832125265966,100617.11643546271,0.0,2.383074970964954,0.5877617697342535,0.04746911895604396,巩义市
2014_01_12,0.1418164949518228,260.98098702062606,280.0149048815189,273.18124481268626,103564.75386996419,266.2601085374231,101004.5806184718,1.862645149230957e-09,-0.6188657754285036,0.2390547458865807,0.051784493406593406,巩义市
2014_01_13,0.1613183581149399,263.03899167529426,279.6059998075708,272.8654037085681,103017.16191584212,266.55068364426234,100472.50770645423,4.284083843231201e-08,-0.4115922059637156,0.22969209472502028,0.056099867857142854,巩义市
2014_01_14,0.19197655637559327,267.42495166999396,277.2762595643685,271.17503872364506,103433.05315998728,267.2789472276194,100868.26415448166,0.0,-0.9149991374039381,-0.14265208327551074,0.06041524230769231,巩义市
2014_01_15,0.11790056563104015,268.6452699436223,277.1944948418566,272.4835268657865,102987.33468986781,267.85034280062524,100442.89771468572,0.0,0.15469054449783365,0.6379719298456271,0.06473061675824175,巩义市
2014_01_16,0.09962777967625452,267.4788716855202,282.02844795419173,274.3390508024723,102810.8899202536,267.95584142398604,100294.063864274,0.0,0.8562478816123966,0.5773168756463636,0.06904599120879122,巩义市
2014_01_17,0.15938414887861413,264.9803946732403,282.7263302445528,273.3878079383631,103314.42797767694,266.0313643898987,100775.04953157253,0.0,1.040947227546901,0.040682109720844906,0.07336136565934066,巩义市
2014_01_18,0.15207205124580853,265.6579747834771,280.88075781435924,275.14334231223205,103082.7150327603,266.1748625372286,100553.00433935763,0.0,-0.32556066793488664,0.6729076538906795,0.0776767401098901,巩义市
2014_01_19,0.09372849877969251,259.97199085082997,283.5569021296179,278.05653445818433,102899.05826451129,272.62634945592436,100394.91048302225,0.0,3.5651439078932494,-0.126652673729123,0.08199211456043956,巩义市
2014_01_20,0.22282837316915166,256.82106917396646,282.2049173775477,274.8092581921894,103309.63947811585,267.27367094231784,100768.74160850003,0.0,2.4286371546385817,-0.5654137573621402,0.08630748901098902,巩义市
2014_01_21,0.20099914190172627,259.10023415139926,280.89992259546847,273.35788788144765,103122.28587630426,267.0037105188598,100586.42808126788,0.0,0.32160208691845577,0.7236533809263146,0.09062286346153847,巩义市
2014_01_22,0.2064374839110858,263.50775452423,282.9314245333402,274.9242855872811,102132.12762165807,266.9316661940505,99647.43351623078,4.0978193283081055e-08,-0.14840712358664102,0.4434686364927732,0.09493823791208791,巩义市
2014_01_23,0.1478840589270643,267.6349129650114,284.53256141431865,277.5121486067027,101337.66576924993,269.00280192687154,98891.59188271611,0.0,0.23618588976034946,0.5240733523427447,0.09925361236263736,巩义市
2014_01_25,0.061545583042309907,264.13243471956565,283.6057048905778,277.56056715499665,102739.61264727711,270.38608850103196,100236.09013255278,0.0,-1.6508261123409833,-0.15187422865860065,0.10788436126373628,巩义市
2014_01_26,0.15065699520365108,267.04388505951255,281.3937750066862,275.4969418002976,102577.32743460462,270.0870667953278,100065.6987838655,0.0,-0.8961400043838792,0.20433390814191846,0.11219973571428571,巩义市
2014_01_27,0.14055513002935816,269.83421383445125,286.4215742816602,278.89652278923876,102076.99998216497,270.8720631320302,99616.79317375194,0.0,1.3598611474773308,0.5184634823122581,0.11651511016483516,巩义市
2014_01_28,0.1510106666203947,265.90163349300553,283.75238421257995,277.96216959190286,102516.241731111,272.3474859609378,100022.64001305787,0.0,-1.3134658698684483,-0.07885867837237322,0.12083048461538462,巩义市
2014_01_29,0.14837360590385815,270.98768184693205,286.0269884912738,278.81031924638177,101426.53075104141,272.79465143333,98998.00002026722,1.862645149230957e-09,1.7841973745822697,1.0923845643555101,0.12514585906593406,巩义市
2014_01_30,0.09029752034571836,271.8987524411468,287.80715400498065,279.9408711584235,101594.2831108543,273.79337079699445,99145.26504377839,6.29870532472188e-07,-1.645511157910807,-0.2231461341810356,0.1294612335164835,巩义市
2014_02_01,0.13806640117304408,275.22468163472297,282.4096523136305,277.4330115289784,101417.93397793206,273.6949605445464,98963.22728900309,6.957483059698051e-06,-0.23533216075266014,0.5136766074420611,0.13809198241758244,巩义市
2014_02_02,0.16280062745137075,273.7190359387777,290.17689469734177,280.1396945919258,101331.91689791491,273.5467136286201,98880.7083459037,8.568167686462402e-08,-1.416243698427259,0.3669015885214531,0.14240735686813186,巩义市
2014_02_03,0.10122907665697117,267.3410661548658,278.77478968304905,274.175433622818,102680.93885964314,269.6919643537941,100133.80297807146,0.0,-2.5122274190468366,-0.3017443871253899,0.14672273131868133,巩义市
2014_02_07,0.0011902201366976606,266.6787165052492,272.3053950154608,267.57547911326037,102523.04204756324,262.96846883164267,99939.6097332752,0.00010094432989914236,0.31945911681105005,0.8648229443775188,0.16398422912087912,巩义市
2014_02_09,0.008648038268702264,261.5467409659515,269.72014735376484,266.2307870098119,103633.70513050928,259.107852466392,100996.19342823527,0.0002481588582426655,-1.4915191774970336,0.14318473864065023,0.17261497802197803,巩义市
2014_02_10,0.03062891893867824,259.31008398847234,269.73353840483526,264.5787761351186,103434.73273778976,259.0526272355,100797.44491679253,3.5205964440173477e-06,0.33822922793130233,0.4593590381267753,0.17693035247252747,巩义市
2014_02_11,0.052603362654667314,263.1384490773737,272.04567249244036,266.8846656225481,102900.55188601524,258.3951028555027,100297.28380136454,0.0,0.3008743844539516,0.535035212163973,0.18124572692307694,巩义市
2014_02_13,0.10323718311793244,263.4746703223723,274.12130446590675,267.6681046127611,103364.38408305767,261.83073382052413,100769.77868382647,0.0,0.6981676790256659,0.2990379459627427,0.18987647582417583,巩义市
2014_02_14,0.1001808033961821,265.92270164351504,275.2194130519072,269.7888536418855,102694.55383849917,261.6701261631133,100135.04842573912,0.0,0.7443115559140823,0.7393698278568518,0.1941918502747253,巩义市
2014_02_15,0.1397892415723839,269.8579776734654,276.98465129105557,273.9808477357886,102419.02290387708,265.6758560210385,99886.07312201048,0.0001380344121535923,0.14791932425249027,0.08573343490064965,0.1985072247252747,巩义市
2014_02_18,0.11674430894634792,270.7518531933586,278.00761411844195,274.64469983820106,103044.55576853406,271.00723532205484,100492.2194676429,2.7581218166852974e-05,1.5321009413811166,0.28748750881215607,0.21145334807692306,巩义市
2014_02_19,0.14663232406980625,269.8893244833718,282.7441741263794,276.36260272087117,102808.96879072793,271.20178756802926,100283.03230193781,0.0,0.2866111024232283,-0.15257704178381892,0.21576872252747256,巩义市
