Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.5125052432758015,269.6531348615527,291.0577126021825,280.48867491387074,101785.77741629517,272.7318996584002,100964.31527241379,0.0,1.366571611043728,1.4962876249440482,0.004315374450549451,正阳县
2014_01_02,0.4875814618661045,268.84210997986014,288.2961873110981,281.7918170929885,101801.9349341429,273.44364525563543,100974.22358566184,0.0,1.017126497131498,-1.5010090783340793,0.008630748901098903,正阳县
2014_01_03,0.4394217269141384,264.68243028643394,286.70776262949846,279.0753199274889,102283.16201831584,270.51899541549653,101443.88176709249,0.0,1.7858953261150015,-2.4940892796387035,0.012946123351648351,正阳县
2014_01_04,0.5094416784448182,266.7261538725883,285.4725379747565,278.662594241782,102202.59932548301,270.82607316232315,101367.05831454424,0.0,0.5934100799691744,1.4594737485324538,0.017261497802197805,正阳县
2014_01_05,0.4681235459416798,269.3145156266492,286.4609423786035,279.9550711794938,102160.60067068443,272.695812716877,101319.68341474005,0.0,-1.377574883783458,-1.5333863334219866,0.021576872252747254,正阳县
2014_01_06,0.38829155154221606,274.0749916402083,281.32322664719095,278.7489039031516,102025.40773674232,276.34423388556337,101180.73390785707,0.002449268447490311,-0.30746634277952056,-2.31374564396256,0.025892246703296703,正阳县
2014_01_08,0.6151601331935288,269.3486931907391,279.32158517754385,274.84025307242,103188.08209370762,269.6830262543594,102326.38641775132,8.393282562201391e-07,0.27867180499663147,-2.565903544737277,0.03452299560439561,正阳县
2014_01_09,0.17881466031708018,269.71451302380717,279.6397996842127,274.62681791350104,103100.13653570073,270.05333576148877,102237.33361915915,0.0,-1.0702438490969242,0.5482685194293201,0.03883837005494505,正阳县
2014_01_10,0.6167211826551441,271.08713880186406,280.10218705927326,276.94919961496225,103036.8413690193,271.692516655993,102177.61999012835,8.821254012955305e-05,-1.279284378529143,-0.418892291947441,0.04315374450549451,正阳县
2014_01_11,0.5110795945054502,270.7645015394799,280.81506324600383,276.7466852610343,103123.14927698013,274.29332109443425,102267.29230244485,0.0,0.619255819149935,-1.0933967995726186,0.04746911895604396,正阳县
2014_01_13,0.35409576370146545,268.9057975452245,280.7221340336668,274.6911112443864,103058.69588665196,269.86580228552725,102197.86903911439,4.284083843231201e-08,-1.2461669758146257,0.6666535978076507,0.056099867857142854,正阳县
2014_01_15,0.2560535333408448,270.18676959760126,279.53358566451095,276.593393816278,102995.2552367393,271.37517164819354,102139.9047170981,0.0,-1.0179473611613337,1.270600811632838,0.06473061675824175,正阳县
2014_01_16,0.11764996815105563,272.5717939396105,283.6059346241878,277.8637720954886,102748.74037240211,271.4661710947655,101900.74469387533,0.0,1.0791028141485235,-1.11673716622,0.06904599120879122,正阳县
2014_01_17,0.3368159549685757,269.23642309177984,282.7163009265538,275.1658977899875,103274.19650098303,268.1068134820297,102413.15888286469,0.0,0.2032066163947659,-2.117723175541992,0.07336136565934066,正阳县
2014_01_18,0.25339612464489475,268.10481340892625,279.79029488520456,274.10954003920426,103254.11863723736,268.54075021662453,102392.04129835416,0.0,-1.0456549048522652,1.3517403946129531,0.0776767401098901,正阳县
2014_01_19,0.39386978149977564,265.466923811751,284.164528813529,279.367147345784,102868.47446357454,270.6653393665282,102022.93450289383,0.0,2.5938919324932828,-1.0617441019812526,0.08199211456043956,正阳县
2014_01_20,0.5460745815901934,261.20193210994665,283.3773688862024,275.9665557524695,103219.92465526963,268.76191791143634,102364.78323899131,0.0,0.46258896224677704,-2.4324198650383493,0.08630748901098902,正阳县
2014_01_21,0.5107726974998206,261.55239377770283,281.6538635626077,274.5208798696193,103234.43672701043,269.4130167852219,102374.93850627236,0.0,-1.1993671560196077,1.3129357544365972,0.09062286346153847,正阳县
2014_01_22,0.5354424104461182,263.9613444266686,285.12404222874653,278.918292766005,102374.73991850331,270.9117118701316,101530.210189647,4.0978193283081055e-08,0.0787440092481172,3.512237199526912,0.09493823791208791,正阳县
2014_01_23,0.4987109427558633,267.954120042572,288.6752103889239,282.77698485400344,101490.33310515649,275.99145031284877,100663.35587414514,0.0,0.14427888296107572,3.674959905605601,0.09925361236263736,正阳县
2014_01_24,0.508461781626174,268.97077795190523,290.1537767161279,282.9103887203717,101623.25328456456,276.07939210008624,100793.2449047316,0.0,1.7404428708716753,-0.941439926632059,0.10356898681318681,正阳县
2014_01_25,0.2723024901025739,268.785996542072,284.15943232274554,280.2579100914589,102599.7729615321,275.7836482261895,101754.21868301083,0.0,-1.574522859425624,-2.3722744230549684,0.10788436126373628,正阳县
2014_01_26,0.416712487599888,268.74132144458366,283.05427019882137,277.9272789727188,102580.15266671238,273.2487069125869,101732.493997661,0.0,-2.4693706648299605,0.8543910007084856,0.11219973571428571,正阳县
2014_01_27,0.35842319701198316,273.91791747663393,286.6484521716813,280.76962468329236,102039.67985484823,274.3817803714758,101208.6828205003,0.0,1.3863400953751042,1.0177634521978742,0.11651511016483516,正阳县
2014_01_28,0.19189992659310431,274.50952836377246,284.7001651072084,280.8705191581646,102388.94632095263,277.2743578006254,101546.75747563207,0.002588175980668478,-2.0534107978859257,-1.450896136450404,0.12083048461538462,正阳县
2014_01_29,0.22516116292807567,278.2917863238627,285.21817965184545,281.66868558215,101665.83022573574,278.3772547444999,100834.22993945626,1.6352308805471513e-06,1.979245824862818,2.8542530596383853,0.12514585906593406,正阳县
2014_02_10,0.14716941032661582,262.04183543331766,271.927761293598,269.33923531483447,103347.62958165503,265.976497461219,102458.70165496902,0.0,-1.0137262204602777,-2.191871836144797,0.17693035247252747,正阳县
2014_02_11,0.2292531616504332,264.27240350706484,274.04821999685964,270.7811771582852,102862.47443068327,266.4488072445264,101984.60236181895,0.0,-1.3185016886272483,-0.42291668887464606,0.18124572692307694,正阳县
2014_02_13,0.5220723829660068,268.5394248570653,276.29605869287303,273.04725335824963,103276.64438243172,269.5518842390248,102405.1152375355,6.404280605168882e-05,-0.02890407521618602,-1.1676624252275463,0.18987647582417583,正阳县
2014_02_14,0.5190668597054486,270.0913087448136,279.25923654760237,274.7649539679143,102774.79969061729,270.0926628307161,101914.72191968172,0.0,-0.36718051641826355,1.508779035760375,0.1941918502747253,正阳县
2014_02_18,0.072580699302277,271.4873100594165,276.01337053645943,273.78423230543945,103072.98152589466,271.64388833009923,102205.20525366426,0.00038155149746697543,0.23849580224289355,-1.1464048697393452,0.21145334807692306,正阳县
2014_02_19,0.5507936540754618,272.955868106845,282.35888903026614,276.52997485037656,102843.92362865346,272.1094343056809,101992.03076355944,9.829536856071734e-05,0.8011197709740192,1.1573858828810024,0.21576872252747256,正阳县
2014_02_20,0.6937099618522765,272.82752687777287,283.8799678966888,278.41457366058233,102850.8731924821,273.07319552945717,102000.52750916152,1.955777406692505e-08,-1.6079813057582342,1.8982922298087155,0.22008409697802198,正阳县
2014_02_21,0.5827277089409755,275.03314895684207,284.58848180829193,280.86718090609617,102595.66977559523,274.82643510268474,101751.0962607316,2.948687294031302e-06,-1.7706267721211486,0.3492240120770718,0.22439947142857142,正阳县
2014_03_02,0.18767518134213887,274.97512263692465,281.33517750792385,277.6653868631834,102399.05168851525,274.9164689764672,101551.50104805999,0.0,-2.232917508654906,0.16550088346947922,0.2632378414835165,正阳县
