Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.2294906167617636,262.4196805115621,287.4373170478578,278.62527188678,101797.2841783327,270.86086429388513,97033.72787844522,0.0,2.215773519224918,-0.2748369681275745,0.004315374450549451,汝阳县
2014_01_03,0.22207190071370392,261.01369901370106,282.90828160533704,276.8379015573942,102403.63484035744,269.95122027732344,97548.11101858497,0.0,3.6109243464116094,-1.0594842277037892,0.012946123351648351,汝阳县
2014_01_04,0.2283877766106814,264.0383380580178,285.110103561375,276.38602762521055,102108.08970721129,269.151680078516,97309.03731409326,0.0,2.009282457425117,0.2537014194917213,0.017261497802197805,汝阳县
2014_01_05,0.17093154691560294,265.6054110037323,282.9782164237099,276.5243640520256,102274.18816387531,269.9782488099621,97401.41181351572,0.0,-1.8719255018990066,-0.11099608414575686,0.021576872252747254,汝阳县
2014_01_06,0.121378060673812,270.69647473032956,277.9115914354708,275.60410305882385,102295.36190349491,273.3295584230395,97372.23901044711,0.0013991348863480067,0.02476036534119084,-0.8492278611182841,0.025892246703296703,汝阳县
2014_01_07,0.1379232385380355,271.02798200049796,278.8582764673825,276.79231556747754,102729.44201324304,274.624891025334,97804.09675684762,0.0021132163836524976,2.178496000777099,-1.0673159102141319,0.030207621153846155,汝阳县
2014_01_09,0.21760442416228234,263.58015851105085,277.67595134035025,273.04644984946594,103000.01805081489,266.9753190408099,98036.89522033976,0.0,-0.632025021883891,0.7561867845107293,0.03883837005494505,汝阳县
2014_01_10,0.22326070111383714,267.5296906269344,278.6517398843671,274.2921322673844,103043.28700690863,271.3906151912172,98093.99429623054,5.4791434329683456e-05,-0.6033511562263265,0.14916766644582938,0.04315374450549451,汝阳县
2014_01_11,0.12418447895496883,265.0033303482907,280.2419449679891,277.4958711896936,103215.01369734952,271.421660634256,98280.33657105731,3.1078458333062695e-08,3.008387476409095,-0.9195363578830756,0.04746911895604396,汝阳县
2014_01_12,0.18282893615970203,259.64011305691514,279.686465315398,273.7549503627863,103540.93204644209,267.228091271598,98565.9145032062,1.862645149230957e-09,1.7787764918235767,-0.621168625340662,0.051784493406593406,汝阳县
2014_01_13,0.2057054823375625,263.19453850200733,279.38743969119076,273.2286933319319,102961.73415565556,267.60318295453067,98010.77359421391,4.284083843231201e-08,-0.6162664280746832,0.36344509051139867,0.056099867857142854,汝阳县
2014_01_14,0.0817787748991475,266.68799515521386,276.47021083005166,271.5865407982914,103401.03731869183,268.73906063859437,98400.83736471592,0.0,-0.7996918310097135,-0.02697168032088897,0.06041524230769231,汝阳县
2014_01_17,0.22310027534181331,261.8016565053715,281.599586413983,272.945349867069,103326.96003703622,266.32046496903394,98388.49764540738,0.0,2.567635805607225,-0.5776034571639571,0.07336136565934066,汝阳县
2014_01_18,0.2004624141555271,264.8505502771861,280.78829728885546,275.29281145708,103046.46448766802,266.3134471254813,98126.1992364413,5.254974886345318e-09,-0.44964980980279823,1.019246054172787,0.0776767401098901,汝阳县
2014_01_19,0.15584303234954358,258.35962201114995,282.0188900446265,278.4871532579299,103000.36650877124,273.8218398679346,98104.92107192976,5.155052651737933e-09,4.113743171589249,-1.628562133395989,0.08199211456043956,汝阳县
2014_01_20,0.2426134498979668,255.8609431154057,280.63357953266046,274.4222232062766,103350.62864436823,267.4327043639173,98396.7838557492,0.0,3.153753567255399,-1.3030359220211565,0.08630748901098902,汝阳县
