Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.330628770436932,268.80666916643236,287.907753424279,279.9855780307269,101765.95842775957,271.8570026389743,98058.44383703002,0.0,0.566419619088219,-0.3315245115266531,0.004315374450549451,淅川县
2014_01_02,0.21148017901962796,266.5251442896164,286.35563127643616,281.1197166610449,101939.69379990695,273.0931899183025,98209.76566453266,0.0,1.9639419757296623,-1.1370972617560118,0.008630748901098903,淅川县
2014_01_03,0.2765813591619451,264.04924487491013,286.3112631927719,278.5564585812362,102377.81434722636,271.0158556145395,98622.81645646063,0.0,2.6703464653359177,-1.6506574524317679,0.012946123351648351,淅川县
2014_01_04,0.33614688711471097,267.2874430438874,286.5352045399178,278.95600445643043,102119.22016087075,271.3374638921364,98384.232076256,0.0,0.635155736989156,0.028935461238944925,0.017261497802197805,淅川县
2014_01_08,0.206013214658996,267.2509186021258,280.4244253351128,275.8234283148098,103196.84437167502,270.22705650408705,99351.6084971184,3.713371615577875e-05,0.07507063585807575,-1.2026332771714883,0.03452299560439561,淅川县
2014_01_09,0.2678057447832863,265.7479149616655,278.3202636367761,274.8631814767068,103004.55614613718,270.3650030410611,99142.2334309431,5.77316736288881e-07,-1.3444062022344447,-0.3122039712423541,0.03883837005494505,淅川县
2014_01_11,0.27462378679380595,271.51470414861564,280.3653194441096,277.110655527017,103228.69436319954,273.5037460869796,99385.51222696953,4.493581883779704e-06,1.8196322018087825,-0.3794160507418866,0.04746911895604396,淅川县
2014_01_13,0.30917739150322593,265.241236861719,279.9538890845768,274.62802771495836,102951.59361625821,270.1214839100719,99104.42993114483,4.284083843231201e-08,-0.40363244419756134,-0.3914069314782886,0.056099867857142854,淅川县
2014_01_14,0.15545260129884703,268.8424671153689,279.641624423387,274.6429455952628,103274.10239766308,270.32049552305,99405.4367850017,0.0,-1.8272755013894288,-0.29551619972151993,0.06041524230769231,淅川县
2014_01_17,0.3289305778533207,266.57789092248396,284.9212740739754,275.95426037387625,103245.06327686486,269.7443181130508,99424.8428625052,0.0,0.4031798192370392,-0.9909464377833128,0.07336136565934066,淅川县
2014_01_18,0.24975474487248145,266.2217803234921,280.40927769734435,275.56656774470525,103148.99071068443,269.6897873130804,99305.30701006035,1.4119146586289817e-06,-0.4730797191032334,-0.4832234181956111,0.0776767401098901,淅川县
2014_01_19,0.2920173075416006,264.83330361422463,283.79349368304685,279.37629069733816,103019.11835300391,273.6379034829537,99223.68438412253,1.8014594529709053e-06,3.021380126108837,-0.9054106796486614,0.08199211456043956,淅川县
2014_01_20,0.3459865860772483,260.73503375787,284.2776297924726,277.6609815999075,103232.76034785854,270.2449145570983,99416.79872138942,0.0,0.7570224208157889,-1.6195447483760583,0.08630748901098902,淅川县
2014_01_21,0.35047383257044395,260.50708725466706,281.61971094200993,275.21330491081324,103162.64189099405,269.2237169504753,99319.35975017663,0.0,-0.35212791619209444,0.10570699022301384,0.09062286346153847,淅川县
2014_01_22,0.3355276678592177,264.2576324274043,282.20121610303335,275.9925524811913,102231.47935010029,269.0598037878025,98450.15434345508,4.0978193283081055e-08,-0.18356432357293684,-0.2246438827703947,0.09493823791208791,淅川县
2014_01_23,0.26970051560632863,268.9563393098416,284.60180001281196,278.44377877956396,101352.90751520368,271.1990457535546,97640.79796822915,0.0,-0.02408125728462435,-0.09371105288862018,0.09925361236263736,淅川县
2014_01_24,0.39571667824490164,270.5027930967655,286.70083492847425,280.44471684683276,101645.70811487196,274.2383989277293,97944.64062822664,0.0,0.7308983145717618,-0.5389230950505305,0.10356898681318681,淅川县
2014_01_26,0.1676015277592501,268.4564003977492,282.82126946810865,277.6227443802773,102532.11117786128,272.46662158298903,98737.6441224048,0.0,-1.306451595375083,-0.12953553917728364,0.11219973571428571,淅川县
2014_01_27,0.2525946604806262,272.0176326321325,285.9338413836462,279.93592508069094,102029.72327865026,272.7235948808329,98310.38958410984,0.0,0.9676968283184975,0.08155410355412528,0.11651511016483516,淅川县
2014_01_28,0.22691085135829125,271.2805746672306,284.3920976490492,280.16990047536353,102423.27048925908,275.1859671255636,98654.24441042179,0.0003160089543454368,-1.1613492984332179,0.31985013420729896,0.12083048461538462,淅川县
2014_01_29,0.28234381353333765,275.14709735249295,287.5990376707962,280.59969287220514,101628.80752690705,275.59101026346616,97932.94772550697,1.862645149230957e-09,1.77886442608581,0.5932152282247998,0.12514585906593406,淅川县
