Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.3526441883448088,264.66707507462485,288.6437509050714,279.13222677600106,101729.24073163421,271.63310112454565,101082.7927260548,0.0,-0.494877820652226,1.0241546843928768,0.004315374450549451,清丰县
2014_01_03,0.29371176956155565,264.2984930511449,283.48359829911556,276.3135397012343,102327.43659896281,269.335657041008,101664.14766949744,0.0,-0.6349824232642117,-2.5844031476606277,0.012946123351648351,清丰县
2014_01_04,0.32878896253201007,266.8963991333721,282.5707641392397,276.1414917852631,102090.18314405903,269.9172256332169,101428.3995386876,0.0,0.25719327124380237,1.9067315186748648,0.017261497802197805,清丰县
2014_01_05,0.24855024982268326,267.1040170565222,280.94642912555355,274.1806604835171,102478.62347807133,269.9178512294479,101810.42657417571,0.0,-1.1404068606784146,-2.044957308862777,0.021576872252747254,清丰县
2014_01_07,0.11307457912704222,269.1363378152193,279.63721727909353,275.66451714682466,102747.00543524411,271.16051859407423,102073.39167080521,9.045806406160349e-06,-0.12806486643765072,-3.6614666408422525,0.030207621153846155,清丰县
2014_01_09,0.2781475120945739,265.9153992540173,277.3047059161286,272.2414394821875,103102.92662512447,265.86138424032987,102423.5005084473,0.0,-0.5029011640496365,1.584595545164453,0.03883837005494505,清丰县
2014_01_11,0.29297626871481747,268.4964207524426,280.8851609400877,276.08550342317574,103061.3016353939,270.1161574497591,102390.14434205763,0.0,0.6391427150248874,0.8729621143496226,0.04746911895604396,清丰县
2014_01_12,0.26700390507710786,261.77687343309907,277.6824172268478,272.0844823969064,103610.6606557952,267.33484550415534,102927.56712592539,1.862645149230957e-09,-1.1791508023951027,-1.182054594657344,0.051784493406593406,清丰县
2014_01_13,0.2588705740675699,265.1923303687427,278.53872446644704,272.46946312837883,103129.93103484112,267.42492486934276,102451.65578966468,4.284083843231201e-08,-0.6095554520621479,1.8244855682478074,0.056099867857142854,清丰县
2014_01_14,0.08475632405663161,267.82115996710223,277.9773444204693,271.85139187691885,103442.64092361335,268.4616216990427,102763.08548274208,0.0,0.102938514038405,1.3148862077026788,0.06041524230769231,清丰县
2014_01_15,0.28984808667031575,268.7387943434402,278.4348301143893,274.73120684581727,102940.56783664676,269.4386990041911,102266.65558635177,0.0,0.43235596934345005,3.7966960689302507,0.06473061675824175,清丰县
2014_01_16,0.12238195020723483,267.75963940163933,280.19334008388967,273.24838793376694,102824.98123530154,268.4071580137805,102152.17502265761,0.0,-0.3375888242874442,-1.6826551189234162,0.06904599120879122,清丰县
2014_01_17,0.10980453489272693,267.78378449842154,275.53205921936814,270.7376871768974,103350.36002339491,267.84641037004695,102667.8117691108,3.5716978865975082e-09,0.3405705753899422,-1.3608472695972296,0.07336136565934066,清丰县
2014_01_18,0.26532070593908286,266.76188263409165,280.3653285650942,275.4178187381279,103110.41212613406,267.9105655022763,102436.16186027447,0.0,-0.12890741977040426,3.883200372861941,0.0776767401098901,清丰县
2014_01_20,0.3383052994228584,256.4840066442771,280.5428254858075,273.8363321934603,103273.66109166744,267.0871343813333,102598.98555242561,0.0,-0.2667077795581896,-2.008509224559821,0.08630748901098902,清丰县
2014_01_21,0.33602296432490225,256.94135779629215,279.37000484793697,274.07023373982855,103100.05975860833,267.25321397236473,102423.56272464941,0.0,0.36479852012275926,2.993582943161356,0.09062286346153847,清丰县
2014_01_22,0.3260492385175381,261.8021446036369,283.96434588867794,277.74172251223825,102172.55759357293,270.4057552560611,101510.00756798456,4.0978193283081055e-08,0.07537916829566939,4.116682461042649,0.09493823791208791,清丰县
2014_01_23,0.26002837859542466,266.6456910335712,285.2615163532949,279.2669652500808,101389.14333865892,273.87087395081494,100738.16933946394,0.0,0.1971533530031881,3.0369534066617914,0.09925361236263736,清丰县
2014_01_25,0.27048251165160353,264.3988558109171,282.91609745249974,276.00957637437756,102868.56446016271,269.234304207917,102199.02469576772,0.0,-1.6839556608423487,-1.3609442863999188,0.10788436126373628,清丰县
2014_01_26,0.290440946762398,263.472286868976,281.45587925561534,276.97244028089773,102559.45237173002,269.9619203221067,101892.41868493718,0.0,0.26061873410267744,4.400837712034597,0.11219973571428571,清丰县
2014_01_27,0.26810539705815856,267.6696506236203,285.4840095892418,278.55166485246093,102105.12737117553,272.37728058526113,101448.05070468178,0.0,0.18636867950938318,-0.38864711075158664,0.11651511016483516,清丰县
2014_01_28,0.2520623673612158,267.2154379789327,282.8706548561821,277.937949624003,102543.45912729358,272.10413738203977,101878.83375905205,0.0,-0.6205959512053727,1.792148737724722,0.12083048461538462,清丰县
2014_01_29,0.2526420632535061,272.61791509077347,284.80011729954106,279.77606332455457,101314.90718192386,273.8052637980817,100666.39913606372,1.862645149230957e-09,1.3168706376938017,3.2443177715576317,0.12514585906593406,清丰县
2014_02_01,0.0903582568876686,272.8330659965713,279.4429682507165,276.598766552318,101429.130137269,273.773003154608,100770.24811033612,1.1179852935911738e-05,-0.041409613749553265,0.2761355939662662,0.13809198241758244,清丰县
2014_02_03,0.2869734959489174,263.38699829650307,277.07267470373074,272.33967439066276,102805.49240793673,267.3459625136884,102128.80711810457,0.0,-1.9153028327395696,-1.8067680337787269,0.14672273131868133,清丰县
2014_02_04,0.1559995310848019,263.9959946773913,276.62097501052017,273.0113120897202,102864.82432725478,267.98573570764574,102183.61532891539,0.0030606571120886934,-1.9524607118061692,-0.4255420775755801,0.15103810576923077,清丰县
2014_02_08,-1.9489250242253178e-05,267.9798143464753,273.4268899362793,271.2279414626319,102966.18415462687,267.675828686747,102280.87700900044,6.493177631159562e-05,-0.8975434622718331,-2.600373346980313,0.16829960357142856,清丰县
2014_02_10,0.00897116460188993,257.66992444641096,271.6671991992402,266.62769534598226,103392.86887368525,260.0645226149379,102697.00516771374,0.0,0.22675356597789317,1.1903984822129812,0.17693035247252747,清丰县
2014_02_11,0.009984280162249105,263.12973474213203,272.26292876163666,268.24408591405023,102934.67478964356,260.528986642652,102246.37935643036,0.0,-0.26966937666944396,2.021508055713935,0.18124572692307694,清丰县
2014_02_13,0.02678726084348901,263.75209263027995,277.84868502945346,273.4389282642771,103247.03423696519,270.6607661261557,102567.27357806875,0.0,0.56402472154419,1.462817500407541,0.18987647582417583,清丰县
2014_02_14,0.03901026388420833,268.2763339217253,278.55939451475234,274.92542651274454,102604.47172791063,270.4608590185668,101930.27006862764,0.0,0.8223344335523888,3.7929617638750166,0.1941918502747253,清丰县
2014_02_15,0.08979315534125491,271.5904778318042,280.70864672184143,277.14443832617764,102437.81437116241,272.0554067915547,101772.33068311024,5.657326250472882e-05,-0.3669922111555895,2.3073527917466676,0.1985072247252747,清丰县
2014_02_18,0.28143751750187823,265.9591087623452,279.2104434561283,275.616434914253,102933.96987764783,271.46394595421606,102259.95732152503,4.4649172253189474e-05,0.09080051149303801,0.48706828419062803,0.21145334807692306,清丰县
2014_02_19,0.21163310104167277,269.7522319374997,280.08504712023637,274.623768297481,102884.07209899006,270.31101987550807,102210.31850949083,5.280598278197737e-06,-0.9694556001744647,-1.0824967964077439,0.21576872252747256,清丰县
2014_02_20,0.3275571368638732,271.61647753560135,282.0955938200237,278.3333871733963,102895.22758303811,271.0103649887876,102228.42463397325,3.7657592674600404e-07,-0.15960827211014628,2.4326750650519204,0.22008409697802198,清丰县
2014_02_21,0.31873267335885946,271.27721952547637,284.0510086039476,278.9529700242751,102742.06027255475,274.3344631972216,102079.261635964,0.0,-0.8844843946997906,2.7600511219837722,0.22439947142857142,清丰县
2014_02_22,0.3213074153237152,273.57825055221394,284.33293558862033,280.30260195965604,102862.32109657787,274.860231715067,102201.12633106597,6.724926608840809e-07,-1.2272113883557783,1.2814087168717119,0.2287148458791209,清丰县
2014_02_23,0.3050490923701535,275.11928252113916,283.7735203939761,280.563019611553,102802.76655682425,277.4961966605954,102142.64176212774,1.924077694574299e-06,-1.3055432847502957,0.8216136287729519,0.23303022032967033,清丰县
2014_02_24,0.31322379859231536,276.3202306717425,285.0306684706978,281.35284821789736,102633.17786481776,277.9155549124833,101975.87444014114,2.2760280607512577e-05,-1.0192060956656204,-0.5758249269779068,0.23734559478021977,清丰县
2014_02_25,0.3240480986730374,276.18764892310924,286.7635265161198,283.1869314086488,102481.3758333331,278.9959851444485,101828.99776609914,3.370823146987946e-06,-0.7597588982461256,1.6128467340995005,0.24166096923076924,清丰县
2014_02_27,0.2513340349886844,267.96385735422615,283.77112093403963,280.1086689726276,102723.22707081892,275.8843472153806,102059.60202365075,3.035104518797137e-05,-1.8839890955889114,-2.813269263986636,0.2502917181318681,清丰县
2014_03_01,0.30679287682819784,272.53412635929294,282.6981886218624,278.64584633730937,102442.19763078743,274.6667654993959,101780.35034312359,0.0,0.10080688476973271,0.7705927975466036,0.258922467032967,清丰县
2014_03_02,0.310852293600947,273.72714912237353,286.6390164237683,281.4995230481282,102249.8033984635,275.5969531087462,101593.125097543,0.0,0.9442865510332409,4.662606224074952,0.2632378414835165,清丰县
2014_03_03,0.36836341378917137,270.1350528482882,286.85426988792665,282.5725144397651,102093.7601357771,276.7405578970497,101441.68529558791,0.0,0.16568375790614606,3.7715637549023175,0.26755321593406595,清丰县
2014_03_04,0.2629362811642546,268.8518762191911,284.9006053410759,279.89841468514715,102655.72465097005,274.84495174589097,101994.56602139917,0.0,-1.9091284556176942,-1.561412653769671,0.27186859038461536,清丰县
2014_03_06,0.28573507015399924,269.92170523401575,283.99922497801066,279.00620734600926,102951.11890759361,275.0786214508468,102286.89013447598,4.164795051391528e-06,-0.10137833489603565,0.3936555860338291,0.2804993392857143,清丰县
2014_03_08,0.5056630777614322,273.5058967497115,287.24079507686554,281.70927289482546,102290.88956111521,276.58754084330997,101639.25049454448,2.5004848354708778e-05,1.1002680169450034,1.7347612881304073,0.28913008818681324,清丰县
2014_03_09,0.3732747243330716,271.5204469425071,289.28292102057327,282.76164568769474,102400.59272936067,276.71160693458586,101749.97084539499,4.0978193283081055e-08,-1.073101481428456,0.5290177343601999,0.29344546263736265,清丰县
2014_03_10,0.4348558778310269,268.99298750491596,290.61791884911355,285.2676168783168,102087.4484178185,278.68584123809165,101440.51922485165,0.0,0.1886230996492051,4.817549017765439,0.29776083708791207,清丰县
2014_03_11,0.41702446794979875,274.81319669144256,291.49109302108707,286.42307881441485,101565.32722128759,280.54774212841465,100924.06590266163,0.00017262173422440935,-0.12679864506390498,1.4476700192078193,0.30207621153846154,清丰县
2014_03_13,0.4283848348637384,265.37512003986836,287.9140310785102,282.82302327323157,102235.24084130384,276.96850919197635,101584.22576262246,0.0,1.5327002281930444,-0.006211881105356175,0.3107069604395604,清丰县
2014_03_14,0.5131176307187746,264.06586492624143,291.1426847217807,285.9559321152683,101883.11657831808,280.0460049050934,101239.74021274039,0.0,0.8859518557289188,2.6398696405648,0.3150223348901099,清丰县
2014_03_15,0.4667126166335467,272.85756524656927,298.6285719720348,291.4321900130456,101184.0251693604,282.8536976082537,100553.58266844766,1.862645149230957e-09,1.8389940182338145,4.188770451343728,0.31933770934065936,清丰县
2014_03_16,0.49117537090829677,277.66192735642596,298.29320699667073,291.73874621813326,101166.8931579908,285.4186858251818,100537.52686805824,4.284083843231201e-08,0.6005705925740837,3.813266131418933,0.3236530837912088,清丰县
2014_03_17,0.5276466341396057,274.30742524772086,296.91555265374063,290.99357704738657,101420.63848540011,285.90966193605783,100788.94789990448,0.0,-0.6299577405296423,-2.3899748873133357,0.32796845824175824,清丰县
2014_03_18,0.39514620219194563,272.0791903301326,289.95003979084464,285.6984296004664,102013.67595055474,281.432200268871,101366.43904065943,0.0023459603840480054,-2.2005519961181403,-2.426881993272696,0.3322838326923077,清丰县
2014_03_20,0.4951855590221301,265.436082457719,290.11486468071604,284.5607852645607,102750.54129207427,280.3134173124223,102099.21878747786,1.862645149230957e-09,0.893732591164857,0.04026269398873974,0.3409145815934066,清丰县
2014_03_21,0.5751770531489843,270.9095109479189,293.7584935897087,287.9523863711676,102088.60018993783,281.9744170289032,101446.52609512155,4.470348358154297e-08,1.4159919918818928,4.179920352179281,0.34522995604395607,清丰县
2014_03_22,0.5280952781634832,272.11783494439936,296.71631617954813,289.4391871203453,101994.05648423822,282.9681116660115,101356.66971223804,4.284083843231201e-08,0.4319214535334593,3.3112758790494277,0.3495453304945055,清丰县
2014_03_23,0.6045412623640407,275.70194381781556,294.8627664456794,289.60937779628017,102078.59383267252,284.1139592909854,101440.79890954771,4.482376459121644e-06,-0.14697199922476473,2.4460454676880907,0.35386070494505495,清丰县
2014_03_24,0.6046043805845882,279.31833923833926,295.3771466958901,290.5872397806458,101244.866808747,286.3357577438722,100613.94415662576,0.0,0.07123173682322008,2.7260346599230236,0.3581760793956044,清丰县
2014_03_26,0.448878504222743,286.4441696117422,298.35603985490167,293.01659709781717,101131.17292914867,287.2393036238093,100504.64306088752,0.0008329593320249679,-0.2005796587959796,4.035818499634042,0.3668068282967033,清丰县
2014_03_27,0.5961450313152675,282.5082899313227,300.6262102466589,294.3556629783428,100912.49988452822,289.1546398906171,100288.97626246394,0.0009205592450200756,-0.5261338968137749,4.57927155944964,0.37112220274725277,清丰县
2014_03_28,0.38133605581492225,284.3403667380197,296.9809473161285,291.93447551294656,100784.91049254537,287.807787377883,100161.30861964292,0.0006282328393363977,-0.4612921895051643,-1.0725844492993069,0.37543757719780224,清丰县
2014_03_29,0.4762347569056312,282.7804020854925,296.0818656769484,290.8836261986122,101387.83623216157,285.25493688092394,100756.8961419025,3.826936446017083e-06,-1.4798750468352222,-1.3974795777968456,0.37975295164835166,清丰县
2014_03_31,0.547763606813519,276.2052974869694,296.6157122977573,291.9136234195171,101567.15163873082,287.1284142216671,100937.05651496252,2.5749912174387306e-06,0.8760702111830414,2.4358698396595866,0.3883837005494506,清丰县
2014_04_01,0.6751564975484775,275.28983210008465,297.10311865742324,291.4405873919717,101297.18946790298,285.9239879358373,100667.64823694092,0.0,0.4941520495360302,3.1012172957821056,0.392699075,清丰县
2014_04_02,0.5707898526776964,278.5745652368278,297.00958381622667,290.51662619713886,101579.44699341015,284.8416262259583,100946.40441734564,0.00022600278227981872,-0.904958428334908,0.28456948812505284,0.3970144494505494,清丰县
2014_04_03,0.5308909686992903,275.38736020529944,292.13211454674774,286.75196977244184,102277.53836684926,282.65278864766367,101636.24344884766,1.8079228973841756e-05,-0.10545498494744208,-1.2475955370228438,0.4013298239010989,清丰县
2014_04_04,0.6329241307185753,274.51917576171525,298.87546039394016,291.0699471347016,101467.00146500547,284.73817811756373,100834.32403895083,4.284083843231201e-08,0.8861267558171275,0.1001393817541945,0.4056451983516484,清丰县
2014_04_05,0.6200202708726553,269.7184236297277,291.11631019877314,286.3111454952154,102362.20139188648,281.46371802423164,101717.9834831519,0.0,-1.1792486086909835,0.1500995951112643,0.40996057280219783,清丰县
2014_04_07,0.6343900394914183,279.9736246574102,296.9256852129461,290.28741665153194,101376.79514528182,284.730749466816,100745.70740986348,0.0,0.32834722740433425,3.1181444424790037,0.4185913217032967,清丰县
2014_04_08,0.6723301076108977,283.49301676992155,298.74855310400585,293.0418293798692,101382.7422110237,286.79584046951754,100754.37393026077,0.0,0.12025374850743607,3.383442938470904,0.42290669615384613,清丰县
2014_04_09,0.6929868923707234,283.71283885829286,301.2219124642786,294.68035684440736,101252.4607628205,288.81744511854515,100627.57754031113,1.8217053987364356e-06,-0.07885084248451955,2.790171579441704,0.4272220706043956,清丰县
