Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.34178464931979785,263.28649607837775,288.6304974119899,278.2087180295803,101764.09942265628,268.95979206909135,99423.38854120794,0.0,2.096411039161344,-0.7679094128343518,0.004315374450549451,温县
2014_01_03,0.29209552366546593,263.59362495869004,285.76763825890396,276.61940314894554,102338.67109768813,267.5555786073052,99954.43670068923,0.0,1.5181330047623278,-0.6570746706829491,0.012946123351648351,温县
2014_01_04,0.3212959426044504,263.9493833122843,284.666491559703,275.513731744243,102095.38563453071,268.1339890847432,99730.04710984368,0.0,1.7989953932178677,-0.35267723607849616,0.017261497802197805,温县
2014_01_05,0.13561259832961603,264.821802029053,281.77514971769034,276.05564255299447,102367.71216019588,269.21266326470715,99966.08424086834,0.0,-2.1747649204963957,-0.8312000038359657,0.021576872252747254,温县
2014_01_06,0.12191872873441766,269.63875640775626,279.3368553149816,276.50994300100143,102299.74214197432,273.27894799622055,99891.42031146854,0.0005304427876461744,-1.1152552269450178,-0.3978549129744653,0.025892246703296703,温县
2014_01_09,0.27146672291316026,261.569288849305,278.6186434161671,272.89673847810707,103036.40775415124,265.5531597658662,100594.26628247988,0.0,0.13919431531238727,-0.13467424655962698,0.03883837005494505,温县
2014_01_10,0.11208237923367304,266.1482765238021,279.1062453802496,274.5429340232911,103080.6324887276,270.7203622634439,100647.75490189914,7.034888914592971e-06,-0.5618120561713291,-0.5377414929315428,0.04315374450549451,温县
2014_01_12,0.14296476248661605,260.20946638568586,280.2328394422084,273.04258271830844,103569.55842678952,265.9778258003592,101114.0375439141,1.862645149230957e-09,-0.6816494751959107,-0.23303523531602074,0.051784493406593406,温县
2014_01_13,0.2578127826037169,261.84301059947995,279.59173917427995,272.92463149157743,103029.76485134281,266.00935110492605,100588.83902592438,4.284083843231201e-08,-0.1718702364762831,-0.4633392997586681,0.056099867857142854,温县
2014_01_16,0.055958093116211576,267.8721015606519,282.71660555797877,274.41470138050096,102797.86795602579,267.40053766249406,100389.90906515051,0.0,0.502203797369956,-0.21328306037477415,0.06904599120879122,温县
2014_01_17,0.2143031717335651,265.0593957227043,283.1843681741225,273.51276544086437,103300.01681241121,265.48087249134727,100871.06477238126,0.0,0.9794776638568412,-0.8291184860134247,0.07336136565934066,温县
2014_01_18,0.13760050478607835,264.9486575978025,280.60714127780517,275.03655446207324,103089.20497655004,265.7821204156781,100664.51070514084,0.0,-0.2547941875495756,-0.2432145431751308,0.0776767401098901,温县
2014_01_19,0.19344432282940818,260.0672457935474,283.815641745418,277.81212056201184,102867.74662843555,272.38520151214556,100466.1860892697,0.0,3.392124972265954,-0.8950169457578151,0.08199211456043956,温县
2014_01_20,0.34136853129450195,257.0179086295844,282.51269608505623,274.34160244199137,103293.21718971805,266.29308795161904,100861.13930381551,0.0,2.2077503186328538,-1.4592148626395112,0.08630748901098902,温县
2014_01_21,0.3101543942552795,258.19233125986943,280.58017272972387,273.5892503565897,103118.78262944458,266.30456050414926,100688.94882443,0.0,0.7684789237239764,0.06967539721483189,0.09062286346153847,温县
2014_01_22,0.32154592258754744,262.1468843322278,282.78454548211363,274.9751440670069,102133.85578430926,266.41647324479095,99754.05680821846,4.0978193283081055e-08,0.04147992469936483,-0.5110162919549829,0.09493823791208791,温县
