Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.21385274991937633,261.2461843206016,287.2735186395209,278.26898864309976,101808.48603271041,269.78113808408614,98148.28823866381,0.0,2.7678360222752563,-0.05159275591550827,0.004315374450549451,老城区
2014_01_03,0.19145217159991468,261.51966733560556,283.6429854710837,276.71388626064373,102395.46144487866,269.260863680978,98672.42390126253,0.0,3.613011519174279,-0.6103805188816821,0.012946123351648351,老城区
2014_01_04,0.2063390837348803,262.95753559832116,285.0718205779202,276.11994550878336,102119.32155544641,268.77138841088436,98428.45548280663,0.0,2.4948070689507773,0.13323738335514637,0.017261497802197805,老城区
2014_01_05,0.15141892426934994,265.02896165343594,282.1001909234522,276.2099122117562,102323.02948669657,269.0856332994504,98579.89429465964,0.0,-2.12778441294129,-0.9900452186443328,0.021576872252747254,老城区
2014_01_09,0.13330722701051548,262.33326956512656,277.4071627185689,273.0327726507184,103014.4555701815,265.8879265878548,99208.1836945154,0.0,-0.2660085253895916,0.06326337961183931,0.03883837005494505,老城区
2014_01_10,0.15657592695423375,265.87929574271516,278.71975580588247,274.50353948320475,103057.85357502112,271.07134031891377,99266.61180439296,6.48205666440327e-05,-0.6114918872164047,-0.44412120720334786,0.04315374450549451,老城区
2014_01_11,0.10082057363119304,262.86591029005905,281.4218591180713,277.6853745076263,103186.77615471413,271.0725681424097,99413.39460024708,0.0,3.280186817945199,-0.24446232383935734,0.04746911895604396,老城区
2014_01_12,0.19677507455877302,259.2980608476031,280.60581632453705,273.3325148000064,103541.44519214198,265.6579662777335,99725.56604571828,1.862645149230957e-09,1.8326872991031196,-0.6990570869820352,0.051784493406593406,老城区
2014_01_13,0.16806199074762646,261.7768994736798,278.5865797654712,273.4889486884288,102992.41995330699,266.5438871943344,99191.9391674268,4.284083843231201e-08,-0.4317890381136082,-0.4860181406130255,0.056099867857142854,老城区
2014_01_16,0.07211094790270212,264.3942340684674,281.7359918705679,273.7349329694745,102821.72193790619,267.4033871484278,99063.09251318665,0.0,2.5411495645467226,-0.16257398737530787,0.06904599120879122,老城区
2014_01_17,0.157914052119246,261.08082088304417,282.0472554096479,272.8260318271854,103327.62037853767,265.7290621379631,99542.28008164148,0.0,2.7318748053912136,-0.522285965105917,0.07336136565934066,老城区
2014_01_18,0.17767445741526983,264.3427600040993,280.17315380372537,275.2058034911197,103065.6169816839,266.1233308766929,99288.93101622618,0.0,-0.3736985758845869,0.08792796388556406,0.0776767401098901,老城区
2014_01_19,0.13667431295302856,257.41703943108655,282.773834621659,278.83263044378083,102976.77647014835,273.7061798127388,99228.57306985391,0.0,4.312390325957415,-1.0848495441274826,0.08199211456043956,老城区
2014_01_20,0.20935813472911602,255.94017595429418,281.1113681887366,274.4752119454513,103347.85510924198,266.3703883659147,99552.74484776251,0.0,3.2793182848226836,-0.9267590304919613,0.08630748901098902,老城区
2014_01_21,0.20531833241684755,259.0664878788424,279.7900926573445,273.0536639385742,103110.32178139768,266.55611709500675,99322.9985309723,0.0,0.3715072381502541,0.6648776303697362,0.09062286346153847,老城区
2014_01_22,0.20112669060401134,262.7126361183293,281.6874983010985,275.13378305890325,102124.21103235298,266.9572192177466,98406.38591750784,4.0978193283081055e-08,-0.14283000895814865,-0.10573231016300674,0.09493823791208791,老城区
2014_01_23,0.14563393170903602,266.8000568065729,284.1427650073006,277.8607755262588,101330.53777167528,269.33262733639384,97676.4424519826,5.238202786811228e-08,0.5692558729338546,0.33070217925623874,0.09925361236263736,老城区
2014_01_25,0.10492693627583545,265.1140417914258,283.70156268727544,277.41742941849424,102700.99847517424,270.64194445488266,98967.72819010867,0.0,-1.562807844707809,-0.6693656447099158,0.10788436126373628,老城区
2014_01_26,0.11727915865959812,266.60113958655694,280.92699689496163,275.8330862796912,102562.72520545872,270.3383349239433,98806.13683875707,0.0,-1.234321397550972,-0.17528145676141849,0.11219973571428571,老城区
2014_01_27,0.10738541832686417,269.32324236923085,285.9062131590019,279.1191718853038,102094.40833186921,270.46966367819516,98420.85702723134,0.0,2.5606359989646426,-0.0892316836373597,0.11651511016483516,老城区
2014_01_28,0.13747110317596153,265.2892496059848,283.09773109409593,278.32330494237823,102502.3070968884,272.4168829859083,98776.4829569821,0.0,-1.31173039931878,-0.2809414927574808,0.12083048461538462,老城区
2014_01_29,0.162726781914111,270.36441124964585,286.62490396425045,279.2122252225486,101443.59725020858,272.5874842873183,97818.07661212904,1.862645149230957e-09,2.597876493750878,0.47540145555689783,0.12514585906593406,老城区
2014_01_30,0.11104880431289504,271.7559896998272,288.19886465619675,280.3787860182893,101552.54466203276,275.45461630466616,97900.25212917557,4.284083843231201e-08,-1.0765174914404292,-1.0298556793911071,0.1294612335164835,老城区
2014_02_02,0.10005721183761158,274.39917677829476,291.6605862854999,280.54207224871044,101305.30498503745,273.0086030364339,97658.14259265442,3.251305832103641e-06,0.1646130886994655,-0.5159529376608031,0.14240735686813186,老城区
2014_02_07,0.017113456031077973,264.2663626879607,271.42418930235755,265.40521496112575,102521.9395693426,258.2131703431306,98662.40095413782,3.889660572432459e-05,1.3058371725935765,0.4818113556574551,0.16398422912087912,老城区
2014_02_09,0.008314671063472653,262.3575791310872,269.0164318238171,264.6880447022391,103629.60275086328,255.4977213928133,99690.26736579998,0.00034433649296594567,-0.7817140347553488,-0.40404845785071614,0.17261497802197803,老城区
2014_02_10,0.014786150724915672,258.90639581529854,267.8437553760658,261.5192110015131,103453.06979527479,255.8762538903864,99500.18984750831,1.249479563826531e-07,0.9624011825009899,-0.2077897695620677,0.17693035247252747,老城区
2014_02_11,0.038901268258847,261.81205900079965,270.10022091669583,264.59542581540444,102900.41298062302,256.4308241237161,99006.93068333715,0.0,0.7644211472067186,0.1164980124475743,0.18124572692307694,老城区
2014_02_13,0.1146824507332773,262.47439462106416,271.96632070041585,265.6599956712721,103381.94380333251,260.28762028085487,99495.59108500052,0.0,0.930289708597264,-0.11687609449719322,0.18987647582417583,老城区
2014_02_14,0.055030819922693666,264.83759060677613,274.0143187650678,268.0661469859728,102706.87376823509,260.2558399520786,98874.6720457859,0.0,0.9571441315526709,0.10080525146564809,0.1941918502747253,老城区
2014_02_19,0.16728127151819747,269.65940014073624,281.6166658468762,275.58543486246157,102804.57300152916,269.7861203629965,99025.54498718344,0.0,0.3453328543872522,-0.7342895881749759,0.21576872252747256,老城区
2014_02_21,0.05844584402673161,273.00218385151487,281.69948136603574,278.20385697258536,102621.23688998124,273.8089099540187,98883.67008024987,0.0,-0.9998643774214946,-0.6064425029628366,0.22439947142857142,老城区
2014_02_25,0.2379584823087935,276.00956430258293,285.3261505173379,281.73773946459494,102427.09854864168,277.76540827462435,98736.32128597377,9.932346975386685e-07,-1.3732080061789635,-0.4745791429915276,0.24166096923076924,老城区
2014_03_04,0.15740880262944187,271.76522354196624,287.78625335172296,281.91040029793623,102501.64603572004,276.9069106956742,98798.17057420837,1.683267759852836e-05,-1.2100884017503712,-0.886158475575169,0.27186859038461536,老城区
