Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.4462598948572996,263.87758272602684,290.31038795031293,280.2814169707828,101741.13327298487,272.33919395059104,100893.39588841736,0.0,2.2607844039475946,-0.5082471610598642,0.004315374450549451,鄢陵县
2014_01_02,0.39754206733380865,264.93177468943924,286.1018929920661,281.02873992975617,101801.43444851766,272.70314854608614,100945.0228868423,0.0,1.9489096842812157,-1.4818323112135416,0.008630748901098903,鄢陵县
2014_01_03,0.38754476291307216,263.399470385009,286.2198455252884,278.16436111623494,102303.76085395466,270.16126583052096,101436.40245866143,0.0,0.45894542369144176,-2.791429847923921,0.012946123351648351,鄢陵县
2014_01_04,0.4188534624345603,266.2377602905277,284.43513607898007,277.50993300976575,102138.10865067547,270.4059917566966,101276.37741853748,0.0,1.0859654994537091,1.2473161258173382,0.017261497802197805,鄢陵县
2014_01_05,0.33602802060996,268.03733136177755,283.3781157996315,277.5425385173595,102305.99500443584,271.6364677771719,101431.2989044173,0.0,-1.7784849256943833,-2.5446363621905492,0.021576872252747254,鄢陵县
2014_01_06,0.2964267804814084,272.7324655927743,280.2233154423894,277.6180807956038,102182.39788527545,274.0737370798537,101306.18639706075,0.0008817032047990232,-0.8450447969093249,-3.031274753323832,0.025892246703296703,鄢陵县
2014_01_09,0.28784778654450816,268.12569705452194,278.66881663750183,273.76749596478345,103091.76246378875,267.83644249256645,102200.73902880617,0.0,-0.5976668496402057,1.2864867212495763,0.03883837005494505,鄢陵县
2014_01_10,0.5102966007551443,269.71429032589657,279.94764799886,275.1711513790665,103098.13742367836,271.628042651585,102211.0540897363,0.0,-1.3575749495841105,0.5567992119730012,0.04315374450549451,鄢陵县
2014_01_11,0.41834461458006794,267.64287995481345,281.50516657213,277.86468658379994,103107.79076052962,272.49537243368013,102226.77679430439,0.0,1.0904756744604072,0.1548863189619666,0.04746911895604396,鄢陵县
2014_01_13,0.3773707453082286,265.4309603428721,280.0237563986407,274.0529973169867,103064.58375348491,268.510010764164,102175.50141500862,4.284083843231201e-08,-0.7587030816760377,1.3116869007719203,0.056099867857142854,鄢陵县
2014_01_15,0.357698327543428,269.85626533298216,278.3470828349759,275.2929366704757,103003.89006448953,270.0715473844993,102119.50164997339,0.0,-0.060095312875076155,1.7866667395479745,0.06473061675824175,鄢陵县
2014_01_16,0.06304912434188577,269.64839974526586,282.7961343701647,275.43825619168,102780.62804783061,268.7942446855453,101902.51029476408,0.0,0.33174068923364197,-1.4366588285028932,0.06904599120879122,鄢陵县
2014_01_17,0.2561801454522258,267.71659952554677,281.6265262013591,273.2405725278701,103320.22321253357,267.1964218222214,102428.84660060109,0.0,0.2626203033260032,-1.5880249590810747,0.07336136565934066,鄢陵县
2014_01_18,0.255116597619293,267.28178164694714,280.22612709181004,275.6644051760976,103194.68489571752,267.8478722540716,102306.59728066045,0.0,-0.2574267081151343,2.655558629426792,0.0776767401098901,鄢陵县
2014_01_19,0.2352800498463414,261.5104365199424,283.98421040846074,279.5153288113441,102802.52273841124,274.3531201432241,101930.63567952126,0.0,3.730896246501836,-1.2821239943717258,0.08199211456043956,鄢陵县
2014_01_20,0.4570875276611638,258.73080903346505,282.8452685308805,275.73858209407047,103235.49142969151,268.33914235073405,102350.97843945984,0.0,1.0550976252808666,-1.5821572140388802,0.08630748901098902,鄢陵县
2014_01_21,0.4401970165127826,259.7166012394125,280.6517264041773,274.4248279275445,103203.05101010183,268.28430638766065,102314.95108536299,0.0,-0.03282950444118375,1.906816626343593,0.09062286346153847,鄢陵县
2014_01_22,0.43658599506117723,263.8525774923405,284.52121582942266,278.68746089910275,102246.03461076808,270.3227833455186,101376.2381534657,4.0978193283081055e-08,0.1541020231707643,3.5995528361835656,0.09493823791208791,鄢陵县
2014_01_23,0.36469849430042195,268.4795660252382,286.77807480321553,281.1137044419938,101397.87474066716,274.56327126553043,100544.6864518559,0.0,0.15058699252280908,3.1747205459851626,0.09925361236263736,鄢陵县
2014_01_24,0.4977668208053769,265.1900006990077,284.96615646200655,279.7892522757031,101715.49474608709,275.7623546021208,100852.64142538364,0.0,0.48778591571857716,-2.6286541657639706,0.10356898681318681,鄢陵县
2014_01_25,0.35651483018769065,265.15314615625647,283.858179211413,279.0378320456366,102711.01872759231,273.95006206917174,101837.3238601222,0.0,-1.7025916118836173,-2.3925935291766063,0.10788436126373628,鄢陵县
2014_01_26,0.29072906491539535,267.1999462569465,282.44917823688513,277.55814955452905,102610.60267234643,272.91527867155656,101735.36994604088,1.5424867039967702e-05,-1.3432141979524586,1.91814819117681,0.11219973571428571,鄢陵县
2014_01_27,0.265627617844893,270.8685829923432,285.7726930538617,279.8082839700842,102052.01362582619,272.88117334745556,101191.68436733512,0.0,0.9362866364767509,-0.1610026496521685,0.11651511016483516,鄢陵县
2014_01_28,0.17784763140493615,269.4261546204298,284.0952556638096,279.3626646296602,102501.5613090512,275.17655527121605,101630.74779267609,2.3452427876525088e-07,-1.7846338691500807,-0.6398872050236359,0.12083048461538462,鄢陵县
2014_01_29,0.24175661241120028,275.56226597260417,285.3430365752316,280.9086418967831,101497.06290041345,276.4995588581565,100643.35847360459,1.862645149230957e-09,2.0244153091764687,2.9788569789288846,0.12514585906593406,鄢陵县
2014_01_30,0.16703167755608317,276.35414328459433,287.4865941402758,281.02940561667003,101592.43923562122,276.59325282750103,100739.21160973054,4.284083843231201e-08,-0.9895398254864696,-0.6294981670283348,0.1294612335164835,鄢陵县
2014_02_10,0.059528233085865294,260.39749545840436,271.10071445752834,268.040709906816,103414.37203632458,264.27721330656897,102496.52572266736,0.0,-0.7262852384729382,-1.0724436531211015,0.17693035247252747,鄢陵县
2014_02_11,0.11340457986347034,263.42184141085824,274.61727642553547,270.504828231308,102897.44143133942,265.0637583861005,101992.84201719027,0.0,-0.960315760709104,0.46217105008703513,0.18124572692307694,鄢陵县
2014_02_12,0.09460151811132052,265.58572273772114,274.73334237965975,272.093858279658,103323.25499479553,267.913187710763,102416.9033473037,8.03883707130892e-05,-1.0537719109919386,-2.461785393827165,0.18556110137362639,鄢陵县
2014_02_13,0.10453893730531759,265.3542518608117,277.38559427603224,272.3289230027943,103304.26156312799,268.5705623824827,102406.94322333588,0.0,0.6654386387388026,-1.1955042072969204,0.18987647582417583,鄢陵县
2014_02_14,0.19319820456140055,268.95946715799624,279.7620627856224,275.3230446408719,102711.71759158233,269.73683449993945,101825.387581532,0.0,0.4649271298249195,2.3180401714046877,0.1941918502747253,鄢陵县
2014_02_15,0.5320035944203373,272.9671805484094,280.4549512155939,277.9144949583228,102390.55592550321,272.3657770400654,101513.27404817709,6.44838198796454e-05,-0.7778028263633834,0.9300844480540565,0.1985072247252747,鄢陵县
2014_02_18,0.4785748155314875,270.51668905030397,278.62948397192514,275.31973936642197,103021.02096965825,272.91695474378383,102131.44765040175,2.4048415218828637e-05,0.9984064081443342,-0.3465326614149448,0.21145334807692306,鄢陵县
2014_02_19,0.23276198976211743,272.0021782014117,282.64403107993934,276.86312173688634,102803.6456183993,272.85123876324786,101924.52957709122,0.0001353921971945932,-0.630578883893385,-0.22036592018439174,0.21576872252747256,鄢陵县
2014_02_20,0.4596211102992399,272.71689697539165,283.1810399053899,278.78448674562327,102841.46853262122,273.2532042232107,101964.04141650042,1.955777406692505e-08,-1.0679258578565651,2.1985106201289373,0.22008409697802198,鄢陵县
2014_02_21,0.45108606248563693,273.71867205650045,284.7915755365151,280.1760571038876,102651.98462731937,275.8188764140315,101780.89449311965,0.0,-1.7997827467893313,1.1334025547972384,0.22439947142857142,鄢陵县
2014_03_03,0.5459723148407781,275.2115513590718,285.8815443694856,281.54782001794774,102100.12645468132,275.8420079265814,101240.36897899355,0.00039296084558565253,-0.6965450991991089,1.7558753328008263,0.26755321593406595,鄢陵县
2014_03_04,0.47514677876992684,273.5817042070247,286.7487679032484,281.72525654969854,102515.76221676171,277.5226047168493,101649.30038672016,0.0,-1.7107897294498502,-2.380539149409108,0.27186859038461536,鄢陵县
