Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.3180936938607323,257.56931355978224,279.6704523542303,274.2606777824257,103074.71520420373,267.87634086190377,101808.84058795439,0.0,1.7518073490500092,1.2407375535503298,0.004315374450549451,中牟县
2015_01_02,0.2663950372976177,263.20760935967604,280.6044459083078,276.36014314214486,102707.55820372832,269.67557635633614,101451.34101942168,0.0005459330553563796,-0.9643619402952657,-0.3221416454055181,0.008630748901098903,中牟县
2015_01_03,0.24784051656385458,267.2484629562991,285.3345462360375,277.79187540095666,101608.96767720353,271.0040645402105,100385.52334010608,0.0,1.183497838551721,2.0135012523952383,0.012946123351648351,中牟县
2015_01_04,0.25445790691901726,272.5041281713943,285.32427323913345,281.4731681925373,101375.14142552624,271.55244729954416,100155.6002582786,2.4440043251599865e-06,-1.1647220415201247,-0.6351437402675719,0.017261497802197805,中牟县
2015_01_07,0.251310788274989,267.5159086998446,281.92879752055444,274.8304191232338,103045.36050953945,270.19022691662167,101787.40183696384,0.0,-0.04927443684246782,0.43625443072942455,0.030207621153846155,中牟县
2015_01_08,0.24033838319801848,265.5547507267644,285.8627221063674,279.06443907469645,102935.51935291235,270.70720683156065,101691.69882215306,0.0,2.8884805943414973,0.20029299749374418,0.03452299560439561,中牟县
2015_01_09,0.28516261186425684,267.10601527872603,287.52684611122106,278.4558478828437,102861.12898000989,270.64144122644876,101621.18200194344,1.862645149230957e-09,0.18480600846068734,-0.3462352212229442,0.03883837005494505,中牟县
2015_01_10,0.2663237144855456,267.5685325052698,288.0433471668619,279.9043661408357,102493.0706743787,271.28497161159476,101269.28852818125,4.284083843231201e-08,2.5418883411360573,1.006065278576832,0.04315374450549451,中牟县
2015_01_11,0.256151921601896,264.6812873104074,284.26916104383656,278.0387676094175,103205.21201123648,272.5963336532918,101944.8479891687,0.0,-2.372361220773768,-3.1776193509328934,0.04746911895604396,中牟县
2015_01_12,0.27067741528550876,268.2382066831221,278.9441339293878,274.27690765227794,103421.48991352948,270.21737632554374,102147.06445843483,0.0,-2.15095048398346,-0.5572016164095545,0.051784493406593406,中牟县
2015_01_13,0.24045609363956702,271.52444882572655,280.19334019287294,276.7205938083348,103004.7934591834,270.75388010140847,101739.97132893298,0.0,-0.5925568766224544,0.3051785952630921,0.056099867857142854,中牟县
