Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.35860237035174464,255.58112150738074,278.88986528501925,273.01876600287704,103022.48980257465,266.36041842118493,102223.80628073032,0.0,0.46731450362461074,1.8633389148137318,0.004315374450549451,内黄县
2015_01_02,0.3054296559513127,260.7060873622887,279.95166090227025,275.44960438719875,102716.10414382962,268.1846105234643,101922.89864819648,0.0,-0.6495563401075208,0.7785135623415095,0.008630748901098903,内黄县
2015_01_03,0.28934072131081945,265.08839067947775,284.1571212766963,276.7013660232485,101574.90530582187,269.8614195357,100802.02269644105,0.0,0.22977515403676727,2.3802432656974655,0.012946123351648351,内黄县
2015_01_04,0.2874124839120355,270.4566405398543,284.49783170467816,279.94199051664833,101461.23028802068,269.8884254058859,100690.21143593139,9.708022880458129e-06,-0.6857046965070351,-0.7807390106972251,0.017261497802197805,内黄县
2015_01_07,0.29025495830083364,264.2775649170475,280.5208014890738,273.7800014934332,103063.26046342282,269.5484270154476,102267.41302375955,0.0,-0.6461140526217928,0.8499084808226346,0.030207621153846155,内黄县
2015_01_08,0.25428632431879256,265.50967854459356,283.78121247029964,275.2321288502522,102899.30448120681,269.46463018572,102116.42850841138,0.0,0.6890748873502114,1.2008141614600523,0.03452299560439561,内黄县
2015_01_09,0.28766223590583584,265.1663024272139,284.50554186902434,275.9569770877966,102877.76050453522,270.3608736192061,102093.65571496527,1.862645149230957e-09,-0.49214068217443724,-0.12905802458790813,0.03883837005494505,内黄县
2015_01_10,0.31802564970955133,265.66790546533133,287.71527704497953,278.3787298397349,102422.34905276934,271.20015145755997,101651.47996323071,4.284083843231201e-08,1.1689804162129056,0.6009961051272997,0.04315374450549451,内黄县
2015_01_11,0.19920117445520055,264.4231551633362,282.32135727512286,275.03821287180244,103364.91700766448,268.0375353334881,102566.44349140588,0.0,-0.7276251538998109,-3.1958756579561816,0.04746911895604396,内黄县
2015_01_12,0.20825118273348997,266.17521821213774,278.36224067003593,273.39798499946636,103491.407265732,268.4488508321423,102688.12390852405,0.0,-1.1124735771028342,1.1643183844997638,0.051784493406593406,内黄县
2015_01_13,0.27317321162294206,269.84373143555047,279.66706555036876,275.19814821936967,103021.53483747767,269.78617573773704,102224.85443348782,0.0,-0.6066602036447446,1.8138594474102805,0.056099867857142854,内黄县
2015_01_15,0.09911594641469515,270.6653524326566,278.91465417120696,274.3570582536367,102674.75400782953,270.1006369102448,101884.14952435275,0.0,0.43368794305976477,0.7187986776730255,0.06473061675824175,内黄县
2015_01_16,0.24260491884717192,262.0581601132502,282.0856709834732,274.54419146159535,103235.54395273585,267.29413783705286,102439.22193372699,0.0,-0.8874524002008833,-2.0489708604049115,0.06904599120879122,内黄县
2015_01_17,0.2505146852964052,261.4642722903462,279.86516743987124,276.7355074047838,102924.87115598291,268.21959900973104,102129.43090874243,8.090934016256424e-07,1.2555792089872224,3.8559268204483548,0.07336136565934066,内黄县
2015_01_18,0.30108504824204496,261.42108502059074,285.0372947169718,277.2013385925854,102490.99644549491,268.58752738498674,101712.43067130227,4.0978193283081055e-08,3.5571168942428013,-0.3159780973209719,0.0776767401098901,内黄县
2015_01_19,0.34187366259939583,262.7527300029541,285.43288998166105,279.89941770151523,102299.92170713154,269.68268241473385,101521.98891235616,0.0,-0.3128810105288209,3.663660040960385,0.08199211456043956,内黄县
