Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.2542738420132366,262.3102583480018,280.788506357204,273.9520270066168,103240.9754071264,268.9013704464848,102655.20667933446,0.0,0.4508697536839101,1.242087320558717,0.004315374450549451,固始县
2015_01_02,0.2599043645014473,265.63719014225046,283.56889942405843,278.76927253956933,102726.79287239308,270.4600588514443,102150.16319625457,0.0,-1.2698616718426867,0.8741384506220361,0.008630748901098903,固始县
2015_01_03,0.2583258939108449,270.23055729835215,287.8422826363365,280.3755525608487,101817.88676312975,274.62107106703263,101253.76860349967,0.0,1.4355291067155604,1.7599971561903347,0.012946123351648351,固始县
2015_01_04,0.2473649855133133,274.82278557900105,291.06035036944223,284.2339076585015,101295.52642065006,275.5615356850816,100741.09929498348,0.0,-1.9470274374627417,0.7392849468545175,0.017261497802197805,固始县
2015_01_07,0.19918975387057986,270.09637640397716,281.63327842692667,275.12214001617787,103127.97869233371,270.41509896046165,102545.75464368264,0.0,0.24292865171364644,1.013230303539979,0.030207621153846155,固始县
2015_01_08,0.24016697682064103,271.8675243341667,284.3320091191734,277.98356797519153,103097.9237467674,270.64347458472014,102522.07441261353,0.0,1.3287985884140485,1.127557313825073,0.03452299560439561,固始县
2015_01_09,0.24177893480137141,273.5378659242668,287.03596481013074,279.5571377344252,102908.48946113144,272.6608869613894,102337.45678821794,1.862645149230957e-09,1.170602613828789,0.1902435267480776,0.03883837005494505,固始县
2015_01_10,0.23744306552781105,273.6951183372827,288.4204351836399,279.9683235748004,102686.32988691873,272.3706900384186,102117.68905211505,4.284083843231201e-08,1.7962829126527355,1.4242172265233093,0.04315374450549451,固始县
2015_01_11,0.25200130313695296,275.38077837218015,288.9357298276519,281.5143308828031,102950.09091460108,274.39266640315384,102377.4454905053,0.0,-1.9046221927207596,-0.19907795607360504,0.04746911895604396,固始县
2015_01_16,0.15739534487972717,270.6163028805479,284.3515494530666,277.5743927261096,103102.88513805158,271.8837977251712,102522.0833384236,0.0,-0.2870448163823423,-1.6142605908153904,0.06904599120879122,固始县
2015_01_17,0.17739691651575484,267.80647217402236,281.43329405332497,275.76432848838425,103145.6587422077,271.5376554238681,102560.96826045543,1.862645149230957e-09,-1.602590954370788,0.3686444049403256,0.07336136565934066,固始县
