Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.3689342668553421,254.93554630959284,278.73513628675556,272.38430491934366,102956.73292777591,265.63404197013307,99815.0679706422,0.0,1.0083103164017457,1.1593211498305902,0.004315374450549451,安阳县
2015_01_02,0.31834034930432914,258.62915394499737,278.64397354010345,273.9709717083736,102688.06501205616,268.8811438710942,99543.54285653736,1.5639070640707e-10,-0.029362470829569002,0.6957161738300708,0.008630748901098903,安阳县
2015_01_03,0.30870551281003833,263.5667854048935,284.9859202738603,276.1892084683885,101511.81559042633,269.6217165705056,98473.47186685666,0.0,0.9959000034298462,0.9336762780873156,0.012946123351648351,安阳县
2015_01_04,0.2735577862726312,268.3877666387996,283.4461704257063,279.3195536583825,101463.54947173901,270.6464798842067,98403.51059285416,6.358791609861815e-08,-0.22054866817871438,-0.7020274118656249,0.017261497802197805,安阳县
2015_01_07,0.27075726818773976,262.25221910020014,279.51202304088133,273.20378599086115,103039.94013925668,268.3408387390806,99880.58934051653,0.0,-0.0423166996882663,0.080124009978044,0.030207621153846155,安阳县
2015_01_08,0.3233406948500472,262.5790403988869,284.2725048691495,275.18523935351027,102860.89603142231,269.10544978287516,99765.97767695315,0.0,1.51407710140038,0.36295963638381756,0.03452299560439561,安阳县
2015_01_09,0.2911969111224408,263.9953688478807,284.3624769555306,275.9898950508072,102850.17963992758,269.9368529783351,99744.05234913841,1.862645149230957e-09,0.4270866315961834,-0.10715645162726181,0.03883837005494505,安阳县
2015_01_10,0.33766671745963667,263.8536021875151,287.85543517547507,277.7475931647772,102403.98674526157,270.37248434066,99351.33125723497,4.284083843231201e-08,2.1610806405494434,-0.03815953195083653,0.04315374450549451,安阳县
2015_01_11,0.18896734203991922,262.6856577940885,281.5278852361358,274.7720233454658,103402.91773540383,269.3920894718954,100231.50503660474,0.0,-0.2233817392681171,-2.6343186876467044,0.04746911895604396,安阳县
2015_01_12,0.12300992488337269,265.3509165995935,277.2836120041036,272.8878960965348,103474.43249433044,269.1243907540888,100278.11550171686,3.954029180857995e-10,-0.3176126654551987,1.1009403609755108,0.051784493406593406,安阳县
2015_01_13,0.24925932611057763,268.08497577509655,278.67278753758245,273.9869021840017,102995.37945330516,269.71506417028,99826.02077361727,0.0,-0.1677381077317623,1.2169173618871967,0.056099867857142854,安阳县
2015_01_14,0.07639186908432022,269.65475609575594,279.3731847187396,274.3540144253001,102896.34063521378,270.37680295617866,99738.08521011818,0.0,-0.1366764781848695,-0.4916612841547976,0.06041524230769231,安阳县
2015_01_15,0.18020041811229423,268.6336102870967,278.3172377278604,273.88981618637376,102646.21087451577,270.2088153277807,99514.82652172098,0.0,0.43168721542895744,0.47178450312679177,0.06473061675824175,安阳县
2015_01_16,0.2684942797870528,260.9088125306381,282.4738522897509,275.2100421639179,103225.40603520439,267.7570318211771,100063.26891879966,0.0,0.05244080632057225,-1.643272781295665,0.06904599120879122,安阳县
2015_01_17,0.208938775911894,262.11335482361415,279.5700800109928,275.8156923728438,102847.23456582008,268.1362399790107,99694.7996315407,4.5922329052596005e-07,0.9209128758510512,2.710755573857427,0.07336136565934066,安阳县
2015_01_18,0.3017933243100124,260.2882305489493,283.3095854027461,276.30403805238194,102478.70198084354,268.74735795757937,99366.87513315912,4.0978193283081055e-08,3.665460055079769,-0.7272970849963349,0.0776767401098901,安阳县
2015_01_19,0.3391811012183941,263.24250220960727,284.6876375656975,277.84290274925047,102231.60750315317,269.41780611558,99149.18223711455,1.9120976934298366e-10,0.3073097750481989,2.1119517329259083,0.08199211456043956,安阳县
2015_01_20,0.27968894799160127,266.2441061161324,282.66909537958134,277.08172369426205,102176.30389659488,272.3055479480453,99074.84029504792,3.481169251176134e-05,-0.02282315237236408,-1.4311038277293084,0.08630748901098902,安阳县
2015_01_21,0.3042203919145343,261.43356502104587,279.84464689604147,273.4298795538421,102857.5122191737,267.344677952904,99691.31329685569,0.0,-0.3376359331602204,-1.1756537782921415,0.09062286346153847,安阳县
2015_01_22,0.3054925191258884,262.8207632611928,280.35421427630416,274.0447296533674,102217.17507855449,268.12673480343204,99093.63377167431,0.0,0.4258957348809827,2.3823031166259305,0.09493823791208791,安阳县
2015_01_23,0.2956773594645137,264.7064394540558,283.2431224214783,276.27331922265716,101919.27024884595,269.69846992378183,98823.24902618871,1.0702824424355945e-07,-0.08204283647278564,-0.651202273355555,0.09925361236263736,安阳县
2015_01_25,0.07675852653203201,270.7127840342846,275.00110604184937,272.7047111516905,102500.88997922277,270.9194830039704,99351.36408235063,3.327627565276549e-07,-0.011559044509345293,0.4301271323379782,0.10788436126373628,安阳县
