Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.5278918689837988,262.9833340710303,280.75465246170796,275.43029451060426,103190.38619312865,270.0923697184615,101111.80286654338,0.0,0.7774716404824248,0.923016373783374,0.004315374450549451,宛城区
2015_01_02,0.32655783401389377,266.8537411564579,281.155477316046,276.64439229814366,102683.80245774938,272.99916078189824,100624.71962009693,0.0,-0.24775436540554702,-0.23469614384539822,0.008630748901098903,宛城区
2015_01_03,0.47973129921938323,270.42082992403067,283.74588572348785,278.3988452379008,101731.53810732515,273.1389195893848,99706.74356106772,0.0,1.5543435785128,1.5421750137681263,0.012946123351648351,宛城区
2015_01_04,0.452210706181826,275.00230484952783,285.1986876987639,281.9715583645141,101247.90160099765,273.7451960215614,99253.78931381975,1.9175505218865456e-07,-0.4936196799892167,-0.7320783241442611,0.017261497802197805,宛城区
2015_01_07,0.4851787149302476,271.9188526128321,282.98457676797835,277.0178504934493,103078.9367070881,272.5989705843869,101016.50672552446,0.0,0.5625193019407542,0.47798227225703477,0.030207621153846155,宛城区
2015_01_08,0.30556497800358073,274.0739742305587,285.046044921078,278.78202526049273,103072.06615582369,271.93537813256273,101027.37041935841,0.0,1.4129205752859613,0.685897279747948,0.03452299560439561,宛城区
2015_01_09,0.43605788309505394,272.18869672811553,285.8643401029437,278.9194156141708,102898.62473822728,273.7732677516794,100867.43896199089,1.862645149230957e-09,0.9613435404667419,0.3673289611356852,0.03883837005494505,宛城区
2015_01_10,0.5412725773603553,273.9591661717294,286.5663291725712,279.32510180254513,102640.45218796616,273.10769936695044,100614.57434251535,4.284083843231201e-08,1.8251971439334846,1.1092759686579206,0.04315374450549451,宛城区
2015_01_11,0.4791261790768169,270.5605803808663,287.1490599096247,280.70931785767203,102966.30666338003,274.09448438661394,100920.9606219689,0.0,-1.9550365392865954,-2.105712772766385,0.04746911895604396,宛城区
2015_01_12,0.30704955692140995,271.7916922844429,280.84661060402544,277.36670006744197,103207.76700788709,274.09538896366195,101124.63921437369,0.0,-2.649692801094846,-2.5523209783346243,0.051784493406593406,宛城区
2015_01_13,0.4336630907498008,272.22864964952583,280.2757488798727,276.16279782184233,102923.72275722638,273.3240480414381,100848.01608253476,0.0,-1.1780916292659673,-1.45143121840375,0.056099867857142854,宛城区
2015_01_14,0.2589470752063756,273.207008586105,280.23727986130143,276.0081935307554,102866.11733624218,271.8876822202354,100802.92319479921,0.0,-0.18280681625506545,-0.13126429098925518,0.06041524230769231,宛城区
2015_01_16,0.36279314129966456,268.64621172317,285.819887427618,278.1802831397304,103097.09168313473,271.03361534912193,101044.86978615628,0.0,-0.9401593144550621,-1.4145096144400893,0.06904599120879122,宛城区
2015_01_17,0.3854531912460306,267.5200313567968,281.3662599862051,277.3319141317771,103132.06414571874,272.862139452134,101059.82517923295,3.171734499775769e-06,-0.2610125082889761,-0.2012399669181451,0.07336136565934066,宛城区
2015_01_18,0.5205753528465318,269.0429534626081,286.8894083182003,279.72088596266207,102787.92339440869,273.4990679157247,100751.942854599,4.0978193283081055e-08,2.078498862438507,-0.02323532618843573,0.0776767401098901,宛城区
2015_01_20,0.45677722839532153,272.4171304831579,288.117739445378,281.58499986855287,102162.95117765029,276.57358616652016,100156.90200637707,1.2760212134770467e-05,1.7772770822804158,-0.19536098892303688,0.08630748901098902,宛城区
2015_01_21,0.5415420773713826,263.6758683039935,285.2793891723565,278.4184197212964,102742.479505365,272.4033364216693,100690.89794902728,0.0,-0.4282576691721091,-1.9394957183618349,0.09062286346153847,宛城区
2015_01_22,0.48634029264269896,266.4144396363638,282.38625920087355,277.2518510411874,102350.03644835496,272.48163249886454,100297.50579064288,0.0,-1.0471151386435495,-0.1294321038512251,0.09493823791208791,宛城区
2015_01_23,0.49928143379821915,270.23370052752057,283.3427891520817,279.75400256190926,101728.22849927211,272.87177684970834,99705.16471642676,1.3536971180321758e-06,-0.5010899001546577,-0.3395223308469027,0.09925361236263736,宛城区
2015_01_30,0.06627818681426997,268.9263777377434,275.50209766129234,273.5188813831189,103638.6426381642,269.86887578953764,101523.98056463143,7.595299279218102e-05,-1.5167631488820048,-1.5272949641214495,0.1294612335164835,宛城区
2015_02_01,0.26749087266654137,267.5859972025496,276.1008373783737,272.57650413659195,103344.79227154542,269.6045782410999,101226.73501310185,0.0,-0.9281317382670362,0.21684694682950337,0.13809198241758244,宛城区
2015_02_03,0.4076209354209663,270.9314580890329,280.1777876577325,275.02404940658874,103328.40215331595,270.16911600166713,101249.39837065605,0.0,1.108282595208261,-0.3232822423933184,0.14672273131868133,宛城区
2015_02_04,0.46030189608000993,267.5875154829009,283.547448204447,276.2764916808162,103307.49909613245,270.59835573575924,101241.28432494997,0.0,0.13609709360208827,-1.5350695329149164,0.15103810576923077,宛城区
2015_02_05,0.5034167366527889,266.29964452954096,282.5799969581542,276.59230351783845,103153.54284527955,271.18623873694855,101084.21979909237,0.0,0.43425802717589185,0.8253074344469283,0.1553534802197802,宛城区
2015_02_06,0.49752888785169025,270.3319553472786,284.1778862596767,278.54328457526964,102449.83097025874,272.2018184927248,100409.20665379756,0.0,1.66817509791225,1.0348832380786075,0.15966885467032968,宛城区
2015_02_08,0.5265157284406748,263.4086249662283,280.02636513694046,275.4608613474672,103377.67265573204,271.5587446207767,101278.61861753,0.0,-2.3463389661892284,-0.8582179069653305,0.16829960357142856,宛城区
2015_02_09,0.5211705336760624,267.63799084064334,281.47746261895963,276.53060816473123,102873.93749640931,271.4717698448052,100807.77199880745,0.0,0.727711838294297,0.5977933113307936,0.17261497802197803,宛城区
