Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.3660124893030008,258.33294120424256,279.49471621937386,274.0305580746234,103087.66270626664,267.45444482520526,102162.43045752653,0.0,1.390214910145028,1.414840290895317,0.004315374450549451,开封县
2015_01_02,0.33263850285535435,264.3758698333012,280.8680601149306,276.6475881344622,102709.41074655915,269.70493974010554,101793.01504717486,0.0009678242905083045,-1.2024477931569177,-0.042363060128448524,0.008630748901098903,开封县
2015_01_03,0.3002427086751775,268.04912097544127,284.86110919238297,278.05370408126123,101630.47370171492,271.6512477871334,100735.82047445656,0.0,1.0099622835982816,2.5276853941552053,0.012946123351648351,开封县
2015_01_04,0.323981982731,272.88131061996444,285.95082683655113,281.98741775309264,101377.58812019715,271.83167696082825,100488.97441783227,7.225966013712895e-06,-1.3379254613443239,-0.3424356227887099,0.017261497802197805,开封县
2015_01_07,0.3216530992965361,267.33913963392064,281.6800472916261,274.73655020568447,103056.72719008762,270.04391831474254,102138.61533508121,0.0,-0.2814075310170615,0.7527964432285427,0.030207621153846155,开封县
2015_01_08,0.25718721334002526,266.6132741162253,285.3586091431102,277.9456984299021,102938.94342129532,269.93895740857414,102031.3258931688,0.0,1.9113673782845348,0.5776583124911233,0.03452299560439561,开封县
2015_01_09,0.28539943124397876,267.4993394924253,286.94095991628427,277.94177488176354,102868.26334358033,270.95631946933423,101963.2902151389,1.862645149230957e-09,-0.374818561300745,-0.017306941427264445,0.03883837005494505,开封县
2015_01_10,0.2728848441049875,268.90360480566136,287.7640178157101,279.59330295751096,102495.96096085383,271.38211713449596,101601.14048908086,4.284083843231201e-08,2.361937498762373,1.2651802880163745,0.04315374450549451,开封县
2015_01_11,0.31469370891581533,265.83424133496504,283.82238612461236,277.7495413601063,103197.85802978763,272.73444531267404,102278.35130090357,0.0,-1.99099682033437,-3.6139692789834217,0.04746911895604396,开封县
2015_01_12,0.3399401590177958,268.57534191720083,279.31357304695945,274.58267507820136,103426.53970973361,270.88075182917385,102497.73823899408,0.0,-2.205891688358951,-0.33052531164723353,0.051784493406593406,开封县
2015_01_13,0.25363451441559626,271.91585397203204,280.53131726782635,276.9761155637425,103005.18349354806,271.31898660653707,102084.23786522173,9.984308245848092e-08,-0.8972955133108181,0.9249636590687877,0.056099867857142854,开封县
2015_01_15,0.25706640675536796,271.8299246636338,279.2588140658292,275.8678118961981,102708.82904317013,271.4178308612288,101792.78905302842,0.0,1.3023377609542806,0.8427041868064381,0.06473061675824175,开封县
2015_01_16,0.33045401608617914,264.36264393777435,283.6042749556933,276.0982505827354,103192.31272856414,268.97727841043735,102272.07810343381,0.0,-1.2690973257283416,-1.321050767963292,0.06904599120879122,开封县
2015_01_17,0.23927441873582808,263.641951675025,279.94032221233624,276.9262776969821,103070.94384776999,269.2734158115853,102148.64185464708,1.928770600772063e-06,1.242763287937087,2.3038633384401495,0.07336136565934066,开封县
2015_01_18,0.3325283689110436,263.5919422964036,285.0003992458267,278.8865163718285,102627.43502536108,271.3066384405472,101724.31584179033,4.0978193283081055e-08,4.572135613100728,-0.41588053937263714,0.0776767401098901,开封县
2015_01_19,0.37604531621785275,266.3730266912079,286.3611023318556,281.2103204433011,102342.58824306222,270.40861551223395,101443.34003080711,0.0,-0.622418944207995,3.5133355413728786,0.08199211456043956,开封县
2015_01_20,0.1970718875060643,270.45481006832676,287.01707634454164,280.92299607526945,102085.62455237661,275.08330832418136,101187.58265663883,2.0209908576202547e-06,0.4716488060922175,0.07616925985763282,0.08630748901098902,开封县
2015_01_21,0.3161229204476856,263.95317994448783,281.67369010693375,275.76160603517053,102835.47402704439,270.2612417396471,101914.40741881267,0.0,-1.1993829573577264,-2.027921747564666,0.09062286346153847,开封县
2015_01_22,0.34675105369921044,265.45719829159987,280.84328771218844,275.62014675251226,102403.94974657777,269.46388138096,101487.12980507071,0.0,0.189631949812573,2.498192720680597,0.09493823791208791,开封县
2015_01_23,0.33386947451280696,268.56469600400766,284.31894667180427,278.09856947808504,101870.48967080853,271.6306672008895,100969.47591794687,1.562120663328756e-06,-0.9342809782986512,0.8465946001865765,0.09925361236263736,开封县
