Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,265.1476622911687,279.98058969821193,273.99886100907776,102352.61309936436,268.3411283217618,98943.479459316,1.862645149230957e-09,-0.25397764442134074,-0.7881620321790433,0.11518418544283264,0.00905358097982709,淇滨区
2001_01_03,260.4596954199058,273.3107753711374,269.70007002569264,102895.20246065117,266.49752406290736,99404.96868686078,3.3932414536199557e-07,-1.2720628335658166,-1.843337349257417,0.11461055023946208,0.013580371469740636,淇滨区
2001_01_07,269.1036026163345,272.3992291390605,270.7042803435658,102493.80442422896,266.8101826742902,99038.4353676441,0.002114235941344726,0.30901610690274656,-1.834077425702306,-0.01071886873835424,0.031687533429394815,淇滨区
2001_01_10,266.2169255120938,278.9375466230565,270.68944692792473,101655.60625790637,265.15257674831804,98261.9500384975,1.862645149230957e-09,0.041864775839593624,-0.5019412184253342,0.021640948003161586,0.045267904899135444,淇滨区
2001_01_13,263.93686446916473,269.9216148358207,266.30841205892193,103276.95676335253,260.46636172958046,99738.99268103672,0.00047068941852823225,-0.9857209122271423,-1.6058461419874537,0.0065416031826209834,0.05884827636887608,淇滨区
2001_01_14,257.99156995473857,270.5030288267186,264.8295153830701,103572.28143169229,260.2059243320557,100018.41345496915,5.049343836016253e-07,-0.2383394601860566,0.2967241443582673,0.013436106060483387,0.06337506685878963,淇滨区
2001_01_16,264.35736586921155,273.64543678606844,267.8946798582266,102931.9897568733,262.4180805463294,99456.70347473495,0.0,-0.14782261455081802,0.42269353482639266,0.021521446260616396,0.07242864783861672,淇滨区
2001_01_26,264.5079990378379,275.33958855322106,269.13415420647226,102221.20765229345,263.64116173265313,98818.72780994898,1.862645149230957e-09,1.235556606688229,0.9495732324369258,0.02785232220421702,0.11769655273775216,淇滨区
2001_01_28,258.84319083026435,275.84913013988074,269.9283527810492,102787.62816468922,265.77305061186087,99351.394389486,1.862645149230957e-09,1.8267026295769415,0.8712167168365192,0.02313616039496241,0.12675013371757926,淇滨区
2001_01_29,262.62669899280917,280.0349746509326,273.12766950073234,102257.67033765333,266.09648689899427,98887.51988917391,4.284083843231201e-08,1.216163577070691,-0.041785629608311434,0.0350787459874701,0.1312769242074928,淇滨区
2001_01_30,265.54052336811895,279.5833084430997,274.61375892446216,101757.54936043495,267.92929147605423,98402.54242086533,3.184779315837872e-05,1.0646505310922785,1.190340740555371,0.06048314055506591,0.13580371469740635,淇滨区
2001_01_31,262.1964519930096,280.04081741472714,274.38977699505017,102331.63222589907,267.55310802200404,98950.62237383201,0.0,1.9554468284824114,-1.4524948202423833,0.047045194160787236,0.14033050518731988,淇滨区
2001_02_01,263.96223970412456,277.31924932347766,272.7403671470544,102275.07676944773,267.316850311526,98887.52966912434,0.0,0.8698600834252874,1.595628128780943,0.09496917008670942,0.14485729567723343,淇滨区
2001_02_02,268.7222923615516,281.57315796647634,275.79437974142434,101815.93748887556,267.5952696209693,98478.65883832089,0.0,0.6632143605972036,1.2873662512563822,0.14527310616305059,0.149384086167147,淇滨区
2001_02_07,262.2936880092661,269.67130754768186,266.9167066711964,103140.41577069233,262.71519145460053,99628.3422959588,1.6481689541741536e-06,-0.4393435728261652,0.8383290900480489,0.04437798221533087,0.17201803861671472,淇滨区
2001_02_08,264.96482412657207,276.83124724554756,271.13832399202727,102551.09756623312,262.79609080020066,99158.54345453902,0.0,0.6366764389271945,1.0910377498654746,0.040596728353860335,0.17654482910662825,淇滨区
2001_02_09,264.9897595375607,280.5627488969001,273.27554806865226,102580.65025681673,268.5403847966162,99206.12446541151,0.0,0.6122976611422891,0.8275832729989708,0.11657026584578016,0.18107161959654178,淇滨区
2001_02_14,268.5527712244373,284.2416541395972,277.5739811252926,102147.35120413938,268.66236099280263,98830.53340405742,4.284083843231201e-08,2.0829019199878567,1.2015067444989438,0.19661172938587806,0.2037055720461095,淇滨区
2001_02_15,262.5080042036956,283.143964781158,276.06942362019174,103074.26342812552,269.6044285963938,99670.99693781702,0.0,1.173945486503449,-1.9172311170620675,0.14836515802830547,0.20823236253602306,淇滨区
2001_02_16,266.5921952212922,279.303330363785,276.14130722660434,102870.43048514992,270.34656725985536,99455.25276834345,0.0010285354905881867,0.35688012645043704,3.3696988412149413,0.20109977308167656,0.2127591530259366,淇滨区
2001_02_18,275.3482584095666,287.5605435247711,280.99327663266735,101925.58155295548,271.860949343127,98634.73776640199,0.0,0.24944061992354769,-0.008706020776638238,0.16389933389130082,0.2218127340057637,淇滨区
2001_02_19,276.99888368371495,284.9173718712909,281.14049270501715,102368.08275720019,277.60361718934314,99039.27586232139,0.00022306871469428985,-0.027185732847885703,-1.2868247906766697,0.06905678872680633,0.22633952449567724,淇滨区
2001_02_21,276.4054723073321,289.2208743704791,282.5333643472357,101455.2162585418,275.06764212000905,98194.90773830841,0.0,0.5293979591129064,1.8368608225164906,0.17080001368866868,0.23539310547550432,淇滨区
2001_02_24,268.3178007684485,278.2573582612623,274.5092960768348,103191.93636832123,271.86179495171353,99749.00684305829,3.693520193353746e-05,-0.1037934486271772,0.4139176255386422,0.2680649231314084,0.24897347694524496,淇滨区
2001_02_25,268.73355049133124,280.9391365998525,276.6104845325139,102944.33927644552,272.79194574560177,99527.39688585955,4.284083843231201e-08,-0.009180582283962966,2.848613862276976,0.26182814320775016,0.2535002674351585,淇滨区
2001_02_27,274.3313297336322,284.06884049784725,278.3345956767922,102351.17626705677,273.4122226350009,99019.8314640952,0.0,0.17896069755274546,-0.6982253422793135,0.13904670307977243,0.2625538484149856,淇滨区
2001_03_01,270.41815976407327,290.81497469215464,284.6332680594708,101970.64038254919,275.2293358785504,98699.98937972132,0.0,0.51091530784173,1.8409519503806797,0.25821786335015223,0.2716074293948127,淇滨区
2001_03_03,254.947881401608,284.8647798221141,279.6509598167916,102157.48620841498,272.5582159779324,98807.76399457967,4.0978193283081055e-08,4.051954520462802,-1.9382848115777571,0.23261746366188693,0.28066101037463975,淇滨区
2001_03_04,264.78912315218525,286.9698493232537,282.171266288586,101592.06275878016,273.4615132472273,98307.09239533196,0.0,1.022578198312207,2.047470209892777,0.26092917160498563,0.2851878008645533,淇滨区
2001_03_05,268.1491189192701,290.14210072832674,283.71368950704453,101284.50143572051,278.60071530769756,98038.55408395892,0.0,0.948221866901915,0.4639145761549301,0.16668492367698973,0.28971459135446687,淇滨区
2001_03_07,256.3045737286134,282.34054808473746,276.5208546556626,103086.62599886315,271.7743696186305,99666.99256115075,0.0,1.0168582242662436,-1.177197595575957,0.2361345946509569,0.298768172334294,淇滨区
2001_03_08,259.5427955357966,283.4965709332695,276.42353214066594,102576.76805036154,270.31696307498066,99212.77935386622,0.0,2.073930824200477,0.16299804615899338,0.3152665248762725,0.3032949628242075,淇滨区
2001_03_09,266.1386839936816,292.11602941250743,282.8545749247531,101599.0933531068,272.8721732090974,98353.2139834921,0.0,1.9014439668061225,0.28176917614820113,0.2554849092265532,0.30782175331412104,淇滨区
2001_03_10,267.9831629138598,282.0348539675293,278.1343890373664,102505.35331196373,273.70018648257854,99127.12596404536,0.0,-0.5038321495406689,-2.5744301205247524,0.2145663909510069,0.3123485438040346,淇滨区
2001_03_11,270.8794972254215,286.79782581673663,280.75968716579837,102169.2104558437,274.5361668007825,98865.9185450697,6.912375113912755e-05,0.16782909398842882,0.5708310824129111,0.25845973576754244,0.31687533429394815,淇滨区
2001_03_12,273.31751442303585,291.77496003273825,285.22795086183845,101680.75392623362,276.8029934776687,98429.97214705303,1.0032208609429133e-06,0.6284523489008342,2.411342056393562,0.25601980108264016,0.3214021247838617,淇滨区
