Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.6160174559158504,259.95329152416406,280.14767080319854,275.0134294455116,103153.29524034966,268.4674516663566,102324.36222527687,0.0,1.2462915158067334,1.0550659400145843,0.004315374450549451,郾城区
2015_01_02,0.476624307664794,267.1775700873312,280.6387329958963,276.83657092058405,102692.02516266188,270.69211038447156,101872.68598382403,0.0,-0.2368936340526657,-0.04009450587167554,0.008630748901098903,郾城区
2015_01_03,0.5437147395328135,270.0627260086477,284.53683812522456,278.6757187754365,101698.06921464045,273.11780450824847,100894.74287369307,0.0,1.5251172864573654,2.0362440393230514,0.012946123351648351,郾城区
2015_01_04,0.5124791841796918,274.1597327825907,286.9346378064829,283.3155104178578,101298.89827117171,273.0182803947893,100506.26853187406,0.0,-1.0314564084112705,-0.007191520870693595,0.017261497802197805,郾城区
2015_01_07,0.5656731870782671,269.1183807315462,283.0400030397903,275.5376622119301,103060.03097504252,270.56990614210724,102240.80628774244,0.0,0.5882915324831068,0.5684855324787292,0.030207621153846155,郾城区
2015_01_08,0.6517071927294765,270.3676511860629,285.9691630697627,278.5822600255913,103013.94139063542,270.6965972685515,102202.28969834716,0.0,2.38688861294503,0.5070490111349012,0.03452299560439561,郾城区
2015_01_10,0.5857940335516236,274.03713133456995,287.58893181810043,280.108845760527,102579.82884149998,271.2224616687876,101775.72663929843,4.284083843231201e-08,2.0457696412081545,1.561957175313762,0.04315374450549451,郾城区
2015_01_11,0.5887201621208875,269.59860529224005,286.082359188925,279.62501996044887,103061.38570965423,273.8579542050977,102243.45575334196,0.0,-1.2696419500724974,-2.7552432674744356,0.04746911895604396,郾城区
2015_01_12,0.37822960989798327,270.45889890465537,280.5492797359855,275.9217149285481,103323.06720790976,272.12053071663354,102492.8129911805,0.0,-2.1982994371578193,-1.2396645284849643,0.051784493406593406,郾城区
2015_01_16,0.5830389657421456,266.83225812805136,285.2343961407325,277.5645647888547,103144.70818130807,270.1205848976016,102323.95178947708,0.0,-0.7721249571702543,-1.6136196397292508,0.06904599120879122,郾城区
2015_01_18,0.6091788026498991,264.78896417476847,286.2078128008894,278.70114597893945,102737.38195802836,270.53252369430913,101929.62967404063,4.0978193283081055e-08,3.356937435207671,-0.6853543195445693,0.0776767401098901,郾城区
2015_01_19,0.5733910076326026,270.7467184449522,287.72554814031986,282.08312360636364,102353.03553883846,271.0748447081822,101550.50948968691,0.0,-0.4222196879981183,2.8164979377386343,0.08199211456043956,郾城区
2015_01_20,0.5159459498598421,269.21826968477507,287.97784186433415,283.1285956132334,102105.32899149353,277.2514498091693,101306.27738310711,0.0,2.0596970761632045,0.174102919924845,0.08630748901098902,郾城区
2015_01_21,0.4570179715752441,264.78596519482085,283.6508870632136,277.0824630626873,102803.02055751179,269.633000021114,101981.38018667912,0.0,-1.247198779263525,-1.7194714298812772,0.09062286346153847,郾城区
2015_01_22,0.5349766956198047,266.35911078213746,281.9277187919467,276.3170257076885,102408.18404871284,270.18190569670605,101588.76618923286,0.0,-0.9503155454423844,1.8755060796804808,0.09493823791208791,郾城区
2015_01_23,0.5947693850726999,270.6357094793369,285.00429759195674,279.5799245721535,101801.88645026683,271.37668162289214,100997.14089744168,2.7262308104848804e-08,-1.054105851340694,0.5620304778370209,0.09925361236263736,郾城区
2015_01_30,0.06749824558721253,268.1837017312639,276.56414081568033,273.83923387298245,103666.43731117842,269.74121969513,102826.829034387,0.0,-1.2924549201323308,-1.2970218011823658,0.1294612335164835,郾城区
2015_02_02,0.415646187013438,269.7852336649981,275.72626129620596,273.3383284262269,103314.45559443772,269.2219502905661,102476.86454793983,9.513014959877064e-09,0.37312519928445914,0.18776089987203057,0.14240735686813186,郾城区
2015_02_03,0.5030664903880556,270.21425971197095,279.95647334744626,274.8592127288473,103300.12026158613,269.6772308075151,102473.30885639689,0.0,0.9127800435735561,-0.22786112709209108,0.14672273131868133,郾城区
2015_02_04,0.2325835675306519,267.41981632287144,281.9493644996905,275.7213496186333,103305.76452211772,270.42789867675197,102480.07328224392,0.0,0.36474482379025513,-1.4610627014063842,0.15103810576923077,郾城区
2015_02_05,0.5331269349845201,266.9522003463716,281.7601199298336,276.58880448935787,103142.14009718792,271.2265890739362,102319.64956801618,0.0,0.026204280500315577,0.4519268515383526,0.1553534802197802,郾城区
2015_02_06,0.6221154422934374,269.1072194216331,285.4465884282709,280.4271749279585,102384.6836807805,273.0710636117272,101575.38261513742,0.0,2.4026001990286203,1.4975880872221512,0.15966885467032968,郾城区
2015_02_08,0.6074441721934921,262.62463379461497,279.06757702917133,274.04678088075786,103472.49099281243,269.3104000801258,102635.78171117438,0.0,-2.0025211393649998,0.9969535800188574,0.16829960357142856,郾城区
2015_02_09,0.5841515803878089,266.6127904964922,281.7118264729494,276.1656071153555,102863.72897600953,269.85631613418434,102042.2535524198,0.0,0.2782133294151616,2.004905383671613,0.17261497802197803,郾城区
2015_02_10,0.613736605138424,271.667100743057,287.12561473863957,281.12148429147794,101773.73108181151,273.66850764398606,100972.67536765139,1.862645149230957e-09,3.3057051944634956,1.8240717860616955,0.17693035247252747,郾城区
2015_02_11,0.5159036730955044,266.4941276710515,288.7878837103155,280.8929345610463,101726.57351120684,272.6684023579764,100930.97376216023,4.284083843231201e-08,2.777238965407333,-1.7987707652788931,0.18124572692307694,郾城区
2015_02_12,0.5540974521294088,269.1726779182631,288.0623896220403,280.6155634396323,101793.50091137536,272.6988029259027,100993.1904602632,0.0,-0.37879771744453083,-0.5787256633184727,0.18556110137362639,郾城区
