Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.48528581806819987,256.99249199309827,279.11356907054295,273.5833614042505,103060.94156205309,266.63436363289696,102360.28195622584,0.0,1.191538007905561,1.7892955332320561,0.004315374450549451,长垣县
2015_01_02,0.4433690636920376,263.0861387671543,280.88000356480535,276.3378328887504,102718.3228322067,269.02948016227793,102024.13446685979,0.00034617056356905674,-0.9502225833866461,0.1652020320800577,0.008630748901098903,长垣县
2015_01_03,0.4022424515238418,266.6519844617849,284.53812884606594,277.5274352360013,101608.90154512863,271.1459476756856,100931.28950339097,0.0,1.0545626642290513,2.708366491810053,0.012946123351648351,长垣县
2015_01_04,0.41512249643756405,271.9028670332262,285.62149258619803,281.3449534303705,101417.57884167954,271.1321373143267,100744.07476881004,1.0125606960457684e-05,-1.0431365987550136,-0.5580001708276783,0.017261497802197805,长垣县
2015_01_07,0.40523763944028823,266.040273396583,281.25298435780917,274.465582477616,103062.9054886669,270.2245527380142,102366.90492161109,0.0,-0.5169817819786352,0.8637932488378103,0.030207621153846155,长垣县
2015_01_08,0.3438941104803239,266.38477401328737,284.1254087563508,276.1431934796136,102919.05612655636,270.00992020291244,102233.02231526676,0.0,1.060140652333733,1.4780678648266796,0.03452299560439561,长垣县
2015_01_09,0.4243936776084553,266.4196898258316,286.4784302939924,276.9656519677202,102876.09551858126,271.00166421855846,102190.6040938076,1.862645149230957e-09,-0.5538309725024456,0.12717674815411123,0.03883837005494505,长垣县
2015_01_10,0.37240401625591385,266.74705793245556,287.761946984039,279.38297447726956,102453.29275376502,272.2482161655134,101775.26762520106,4.284083843231201e-08,2.1476226656220803,1.4242748568651447,0.04315374450549451,长垣县
2015_01_11,0.35780546787389084,265.0280083654043,283.1754145872141,276.5854987097975,103270.7082816593,270.2145016403111,102573.13110227927,0.0,-1.213994043090334,-3.748758996370614,0.04746911895604396,长垣县
2015_01_12,0.30617703997875007,267.5995049737962,278.9454837906059,274.2239089918644,103468.13762957629,270.43480719592037,102764.68367968251,0.0,-1.912713686412154,0.19529733087730092,0.051784493406593406,长垣县
2015_01_13,0.361886588052959,271.0029623732821,280.0691783683017,276.2956839977495,103017.65506928206,270.806353926835,102320.81156730112,1.4197013273670995e-07,-0.6416195860339315,1.2076024434142634,0.056099867857142854,长垣县
2015_01_15,0.3511057529109246,271.7923954753827,279.24144584052505,274.9951966671582,102690.78886163728,270.5302864535496,101997.52708511264,0.0,1.1312920983861565,1.0083451593801023,0.06473061675824175,长垣县
2015_01_16,0.38046307995251727,263.54268019314964,282.7348979349515,274.8037375670451,103216.01000523091,267.91360958547244,102519.0495851271,0.0,-1.2413139312909443,-1.8133867469434923,0.06904599120879122,长垣县
2015_01_17,0.3110096648211104,262.51625767617213,279.74961462096786,276.7820878865241,103017.99782831788,268.73993716660215,102319.8270008776,2.320492022632479e-09,1.6397806096930487,3.018709322474613,0.07336136565934066,长垣县
2015_01_18,0.44135473874865183,262.6016832632197,285.48664945445125,277.8214124691542,102554.58736262374,269.5752295141233,101871.89232455185,4.0978193283081055e-08,3.9709088603313054,0.26534205378668,0.0776767401098901,长垣县
2015_01_19,0.4892046137082812,263.85247567362825,285.95996189100566,280.6802249500771,102340.70188839087,270.52862106674905,101659.71921354231,0.0,-0.3094137820606092,3.559078114283219,0.08199211456043956,长垣县
2015_01_20,0.3117317536729676,268.93004522500723,286.09953628959954,280.08272943145704,102107.23899545918,274.6677361471733,101424.91251062913,5.637690253257592e-05,0.10010111866887637,-0.8438497148220263,0.08630748901098902,长垣县
2015_01_21,0.43053152104435305,263.5357655571364,280.92876873362985,274.69930466092967,102843.66624249109,268.29082954994055,102145.82399366662,0.0,-0.8800661067649335,-2.4888658150825655,0.09062286346153847,长垣县
2015_01_22,0.4424580299212396,265.0103580012926,280.62938464430925,275.52935857239197,102379.7153920282,268.5793303269519,101685.55062888908,0.0,0.641825811630378,3.0511922266868226,0.09493823791208791,长垣县
2015_01_23,0.4245540375474667,267.5481131630741,283.98496981616535,277.0874257748072,101906.84337676386,271.81868062894927,101223.86361476642,4.045151585578182e-06,-0.5556972356174638,0.8895445882417972,0.09925361236263736,长垣县
2015_01_25,0.06356720515086256,271.4674251274589,275.4259145689226,273.4048171128751,102549.20437073938,271.4688769106601,101850.01671718885,2.535682850224364e-06,-0.18444067860821092,-0.2567212602750954,0.10788436126373628,长垣县
2015_01_30,0.28841036183159185,264.18388576097055,276.9461151449818,272.7518783082423,103726.35494410513,269.36491330617065,103016.82445279638,0.0,-1.3994652893303043,-1.2848140562465422,0.1294612335164835,长垣县
