Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2016_01_02,271.58479510700863,286.33797974110394,278.7552321908489,101810.07297453111,273.0251884331355,98435.98261712164,0.0,0.12092754227996753,-0.26622572775949377,0.3366517369419289,0.008849556619718311,卫辉市
2016_01_03,272.95965526959924,283.0726220439078,276.7744691797633,102225.30169585074,272.91499644211945,98788.66797572417,8.147255365808467e-06,-0.949040067327248,-1.4564061905511683,0.17046995961458428,0.013274334929577464,卫辉市
2016_01_06,269.3429853338753,277.907275076763,273.5466551924559,103127.32105132547,270.3624248553396,99586.5837252359,0.0001837005915814781,-1.3394465173196892,-0.7691264560705461,0.08602005557676516,0.026548669859154928,卫辉市
2016_01_08,265.9567182365048,276.2424408250851,270.99611902106267,102753.87508635275,267.1078803459592,99216.56986874616,1.862645149230957e-09,-0.25083193035473406,0.8800809116165947,0.13866495013818492,0.035398226478873245,卫辉市
2016_01_09,267.04047615460104,276.32556104685756,271.07681380959036,102449.5765809375,267.34393992114485,98951.15573558983,4.284083843231201e-08,0.6723082073135787,1.5774953141646961,0.21739998964533408,0.039823004788732394,卫辉市
2016_01_10,268.53615780141877,275.88210516532536,272.24115721755453,102968.25479791651,268.48590735784,99407.34081598738,0.0002090803995739379,-1.6670136660547934,-3.6846982330904727,0.2296315249164616,0.04424778309859155,卫辉市
2016_01_12,261.7285062547169,272.56366917886186,269.0451923849248,103070.46816444432,266.319316437805,99485.18174426323,1.6550048908365146e-05,0.04237971124449521,1.278226496786762,0.25844840306382105,0.053097339718309856,卫辉市
2016_01_13,258.49233189205006,279.0615363134306,271.6956604124336,102403.85485660903,266.44914245087034,98898.84274989707,4.284083843231201e-08,0.8088963094817444,0.14695704067733192,0.27368180282784027,0.05752211802816901,卫辉市
2016_01_14,257.4721791099197,280.15432697901406,272.43239895597173,102011.5273252708,266.3216921241872,98537.74160539829,0.0,0.8002092545058975,0.502763000392784,0.3339628495300979,0.061946896338028176,卫辉市
2016_01_15,262.3800930766971,280.9833790100424,274.24404789556235,101667.05291135561,268.77180513343535,98227.57330929949,0.0,0.3347273626915936,0.9006287125085081,0.3929763705194584,0.06637167464788732,卫辉市
2016_01_17,266.09194265373145,272.9923097922761,270.1783199555324,102479.29789715222,266.299374904283,98907.41957492585,0.0001288881481773871,-1.773816352500163,-1.28239321340582,0.1405864640057449,0.07522123126760563,卫辉市
2016_01_18,261.7463860533764,275.41225584136134,269.57782263090843,102790.77511529521,264.62259749031506,99219.72522583665,6.412083018068552e-06,-0.6652136011808769,-0.46062191686656156,0.3372282303122309,0.07964600957746479,卫辉市
2016_01_19,260.0214393223184,275.18124629872494,270.8560215511946,103139.8570931255,264.88425814045837,99560.88379064418,1.064895467206418e-05,-1.1615205033230407,-0.6670476687379814,0.28367287196361446,0.08407078788732394,卫辉市
2016_01_21,265.8645172447925,276.26522254738603,272.1396999018841,103185.47385208808,268.6532566976725,99608.49089829568,0.0007718358282861275,-1.0760906147648142,-0.43328969538393286,0.2162885090011037,0.09292034450704226,卫辉市
2016_01_23,248.81307159866498,269.3747669709517,265.0609356534106,104436.85200210253,261.0932149764649,100710.1749125737,0.0,2.1124083889991687,-2.3636868485651275,0.31379120946170497,0.10176990112676056,卫辉市
2016_01_24,250.96136968478422,272.4328968776938,266.5346253533179,103977.03801133868,260.7556246726835,100325.73832786024,0.0,2.0100161059378343,0.39306118666342965,0.3556688369440341,0.10619467943661971,卫辉市
2016_01_25,253.20246709252643,277.9983829747177,270.6623498570269,102970.10888584639,264.0831237420798,99416.75102788181,1.862645149230957e-09,1.667910945052871,0.6785321695417231,0.31944568896074166,0.11061945774647888,卫辉市
2016_01_26,253.88950266318196,277.9203751393301,272.3141557068377,102810.86071445447,266.50472860955756,99272.16759577351,4.284083843231201e-08,-0.42567225746048315,0.33932792089888636,0.32073354514571756,0.11504423605633803,卫辉市
2016_01_27,262.3833400599902,278.81412216399957,275.44499453818327,102545.67534129474,268.10458914600963,99041.79078238751,0.0,0.190995491157231,0.5248557915290243,0.28980012152255524,0.11946901436619718,卫辉市
2016_01_28,262.1379998588849,279.7222345455526,274.97062267149744,102810.96575277184,270.8363969230991,99289.80376531056,0.0,-1.0478798012129509,-2.4083558472208297,0.2591325195098448,0.12389379267605635,卫辉市
2016_01_29,265.42606715291174,273.9531587896653,270.8077188717899,103213.07252239516,268.28402153815307,99616.65177579883,8.792574995321662e-05,-1.9138515627975619,-3.3162755585561716,0.07927647298423716,0.1283185709859155,卫辉市
2016_02_01,262.3797035981693,277.2632370122425,270.8062472929035,103550.21686314413,264.65957520812975,99988.40145293105,0.0,0.49522623058747567,1.1007227267949706,0.2220059038223609,0.14159290591549298,卫辉市
2016_02_02,259.9964699281457,279.6619231398975,273.30725801029183,102885.59118752045,267.65296312991944,99372.06858299699,0.0,0.3831685622762462,1.3356680959249922,0.28896460546961206,0.1460176842253521,卫辉市
2016_02_03,264.0589144204467,281.45128599679333,276.03541637743825,102799.9619417007,269.6545425371485,99312.0551446794,1.862645149230957e-09,0.13519898331471686,0.6654452454897067,0.30028719857070574,0.15044246253521126,卫辉市
2016_02_04,265.02301601028313,281.85719939963036,276.0807255851982,102857.79173489223,271.03249820861515,99366.09707974896,1.9157002079977455e-07,-0.08527397957284927,-0.4341537513301918,0.24356788984190983,0.15486724084507042,卫辉市
2016_02_05,256.65985039679396,280.73363966216647,273.81585149124356,103161.8671656706,268.163094596397,99627.91297509518,6.503060626764227e-05,1.4333093774861243,-1.889238228196465,0.3010129392857512,0.15929201915492958,卫辉市
2016_02_06,256.78709296209,281.41730258937855,274.60799885469834,102812.06469855984,268.7732158141741,99312.08197448176,0.0,1.4560870539714417,0.19012875718339495,0.2896119787143713,0.16371679746478873,卫辉市
2016_02_07,259.2555641903058,284.2289827167344,276.9223092490438,102028.7121226492,270.7105954663749,98594.08472432982,0.0,2.3243627232513124,-0.11935248872671392,0.3262240578194389,0.1681415757746479,卫辉市
2016_02_08,264.96568768555375,291.80062955234723,281.06926158502597,101601.68868782108,272.7712283779722,98249.07984934964,0.0,0.9263824438627077,0.21000779357706265,0.28917508963372757,0.17256635408450705,卫辉市
2016_02_09,265.80755657196835,287.78503608157087,280.4046585378616,101795.55615871494,274.428012838085,98399.54943113848,0.0,-1.035143894685823,-2.1162378514441156,0.3082657757705382,0.1769911323943662,卫辉市
2016_02_16,263.0786917909121,284.66743053820363,276.5670927325899,102529.65927377967,270.07556517921915,99072.88874985841,1.862645149230957e-09,0.8438783484630512,-0.14194177044207418,0.3910174465434902,0.2035398022535211,卫辉市
2016_02_17,263.5325397556518,285.06914536077505,278.03220122570167,102182.93541787378,270.69319982262766,98759.10059473537,4.284083843231201e-08,1.5077439042464147,1.148539278735321,0.31414536496309253,0.20796458056338027,卫辉市
2016_02_18,264.47346307098064,285.8879416518962,280.25963048063323,102277.81451504762,272.257835392747,98860.00005238669,1.2589317237107336e-06,0.6392587666136533,0.2590097789623729,0.3397930554373908,0.21238935887323943,卫辉市
2016_02_29,263.0348296684925,281.90216437608956,276.7020060832439,103021.77338144767,271.3190776830791,99524.49157407999,0.0,-0.11379599777648633,1.7666194983815247,0.3388038239933087,0.22123891549295777,卫辉市
2016_03_01,268.7854557990424,286.8295404342439,280.85088788152876,102277.11882219488,273.86569041321474,98876.76461100328,0.0,1.062646429688884,1.651511751052849,0.36706052812471907,0.22566369380281692,卫辉市
2016_03_02,268.7335655751691,293.98066128595656,285.4511794028515,101671.39442537844,277.90988019743776,98349.64750675372,0.0,1.983135865759533,1.4523966270404562,0.35491339167476477,0.23008847211267605,卫辉市
2016_03_03,271.95323346106017,296.9755031363981,288.1202346609535,101238.85248114521,280.16607968184263,97940.19223129311,0.0,1.6861940825614776,2.6230338577263463,0.36899182569430955,0.2345132504225352,卫辉市
2016_03_09,262.58596430074925,277.6977445522075,274.9387219401282,103359.44129909544,271.5683640659375,99809.06360595576,5.3021955473675805e-05,-1.1490114044319544,-0.48465011965363763,0.22170130717295053,0.2610619202816902,卫辉市
2016_03_10,258.34295906708144,281.67358020949587,275.89782377651574,102957.76766641378,270.3212694363525,99456.22259550191,0.0,0.3920245955745226,0.17022950486807095,0.449777721775858,0.2654866985915493,卫辉市
2016_03_11,260.4792693873242,284.28583962259603,279.33263526879983,102071.49426292565,272.1789205884663,98628.4237130157,1.6349480421061745e-06,0.335387438591523,2.020212271293896,0.4125095838220949,0.26991147690140843,卫辉市
2016_03_13,262.3037647960443,285.95100418973914,280.3669040143504,102583.84385946559,274.9832823110174,99143.61020521268,0.0,-1.0299076328002505,-1.2367276553298883,0.4090483407904753,0.2787610335211268,卫辉市
2016_03_14,264.68936580549365,287.76141513371135,282.4251128043216,102239.69088911431,276.821645669812,98824.47893849424,5.090812365375437e-06,1.0049791257872862,2.894687371654461,0.42036484412979747,0.28318581183098596,卫辉市
2016_03_16,274.2223755484665,289.62497524162035,285.62885859532304,101583.33969151376,278.2755191693394,98226.03266145168,1.2822163812272934e-05,0.559640745136577,2.08021274418856,0.38361816111951136,0.2920353684507042,卫辉市
2016_03_18,277.1043519931846,294.75209463556666,288.75062892897796,101253.32028469257,282.5860475499267,97946.63594378694,0.0,-0.4852248518106604,0.13607311718673676,0.41190802346682487,0.3008849250704225,卫辉市
2016_03_19,276.31053925677594,294.01678853719085,288.3426158839141,101933.25962637638,282.5553476552498,98584.35136631703,4.784848959420083e-06,-1.636468526291597,-1.3242499068944171,0.2915038802168066,0.3053097033802817,卫辉市
2016_03_20,271.0934694761681,289.271704712521,284.96960909768427,102415.00539585396,280.9564131532803,99024.25702079512,0.0,-1.4466213814518274,-3.436863576406726,0.42570591180841233,0.30973448169014084,卫辉市
2016_03_21,271.66913791508904,291.03423204322223,286.1457447036567,102055.88724861265,282.0969286121155,98693.33443784113,0.0,-0.4965422766316256,1.2288116912863445,0.40766854975819183,0.31415926000000005,卫辉市
2016_03_22,271.93063787161213,291.0389870938682,286.57516146177494,102147.39432950433,282.3960265464179,98761.3433332507,2.471841634844472e-05,-1.6158303049554974,-3.2945897920073497,0.6526427630187869,0.31858403830985915,卫辉市
2016_03_23,270.47539282139695,285.8429222408666,282.5686912442777,103135.84691670955,279.3051805676353,99680.79362607919,1.5410801044724747e-05,-1.7007879003742317,-2.283561251527835,0.4331963596705055,0.3230088166197183,卫辉市
2016_03_24,269.37136031964087,285.8226586380684,282.8838307824751,103044.58924810296,280.18692387923363,99590.90002729939,0.0005112050356160453,0.3056535197454982,1.152938313104246,0.44026931830749055,0.32743359492957747,卫辉市
2016_03_25,275.31419132348185,283.33783122101863,280.1213253145607,102801.2351973668,275.95507666449157,99349.3144887294,0.0018646507557281207,0.33932354465494846,-0.14309980056680582,0.3276277269134608,0.3318583732394366,卫辉市
2016_03_26,265.49821312891316,289.4526397333215,283.32505578149306,102495.55511384792,276.3819778644092,99102.19349859306,9.741032008600645e-06,0.3559996681792824,-1.0613115153822816,0.5713616416376542,0.3362831515492958,卫辉市
2016_03_27,264.8099039578384,293.29394377007026,287.24430248562356,101902.23448413474,281.1263667517078,98560.62190821851,0.0,1.7259326361573777,2.271116985562752,0.5164158331393094,0.34070792985915493,卫辉市
2016_03_28,271.21028465505196,297.17885304397254,290.2827957249474,101270.80967011345,284.3448520518574,97976.8609652144,0.0,1.8974134616703022,0.8576679773451898,0.6694679799653948,0.3451327081690141,卫辉市
2016_03_31,279.1861991629862,297.0467662129316,291.3288895965117,100771.54459480569,285.60545985381793,97488.35698800169,1.862645149230957e-09,1.7846323624360958,4.389302876870654,0.488312239036262,0.35840704309859156,卫辉市
2016_04_01,282.1903909725947,300.06507642724006,293.77439120276125,100871.69899459142,288.2595187363702,97598.98300607735,4.470348358154297e-08,-0.8651638711389262,-0.3410842924266113,0.48443749832066807,0.3628318214084507,卫辉市
2016_04_02,273.87272058624717,289.90310786293276,286.7781580071901,101907.0011138666,282.6037426805827,98529.4137972819,0.0014994798719459182,-2.799421788125924,-6.613509089576769,0.30688093693198476,0.3672565997183099,卫辉市
2016_04_04,276.9014586756404,290.6493932966466,286.76769035220116,101346.41659780874,283.03621403986796,98015.12414411468,0.0,1.1818501861791813,2.6392079644946818,0.49804216203916685,0.37610615633802813,卫辉市
2016_04_05,282.31071565229996,292.4490688901077,288.57917528337094,101215.14520972522,284.99938860954563,97899.14671934601,3.0195521186208387e-06,0.026401411360551075,1.8221685623893134,0.6292225406912554,0.38053093464788734,卫辉市
2016_04_07,277.8813367951133,297.98965665227337,291.72968895018226,101325.78688297166,285.01256631624886,98036.12302328115,4.284083843231201e-08,0.18736299988561267,0.42846363913256913,0.30501362158938466,0.38938049126760566,卫辉市
2016_04_08,275.69587455409163,296.21462051841064,290.51754371011367,101413.15743190756,284.42727788233157,98116.84785298475,1.862645149230957e-09,0.10917603237361316,-1.2342653006431819,0.2761656716871318,0.3938052695774648,卫辉市
2016_04_09,275.3537043708881,300.31414181261937,292.94557140370557,100917.09030885408,285.5037545940908,97652.39236889585,4.284083843231201e-08,0.9019355555815367,1.1351264548014077,0.6566680785027925,0.39823004788732397,卫辉市
2016_04_10,273.38828826854325,294.30745907068916,288.7875126571588,101539.80325256212,283.3176750185645,98208.64923693918,1.862645149230957e-09,-2.171594379248346,-3.9807796147746504,0.5267720584300937,0.40265482619718307,卫辉市
2016_04_11,278.8183220272245,290.7935419256342,286.86818044175965,101244.21159211897,282.65498496247295,97920.74739918714,6.418283131757443e-05,-0.1910428396206977,0.572942585501552,0.4399861606225529,0.4070796045070422,卫辉市
2016_04_12,282.4866063418518,297.806930967691,289.376420593376,100590.00596226988,282.5552549897075,97324.62080395312,0.0015964592854703045,1.212551095387241,0.33082818297924504,0.44810401852798715,0.4115043828169014,卫辉市
2016_04_13,277.3773566700836,300.7166393441564,294.1416773637357,100589.13037433778,287.5563067902284,97336.29548907645,0.0,1.197043561357708,0.8738899007413704,0.6113897264821215,0.41592916112676054,卫辉市
2016_04_14,278.44393741191055,298.2184302662676,292.6455529529531,101232.10680938001,287.9494799936144,97945.33481698766,6.819707297045995e-05,-1.2706103083716627,-2.0834896000310392,0.3194698097151516,0.4203539394366197,卫辉市
