Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2016_01_01,0.3705003218066582,272.1526038800342,283.7248626627158,278.95250996751207,102378.77585707663,273.9160531700442,101580.48664747449,0.0,1.3883863301075334,3.054876664292907,0.0044247783098591556,扶沟县
2016_01_02,0.4360016098511844,276.11057793268793,288.12395815323663,281.10070447065266,101891.51495565394,275.0220723285891,101104.94566691505,0.0,1.3657663111172764,2.0693856820510237,0.008849556619718311,扶沟县
2016_01_03,0.21814619691128026,275.0603311276856,284.9779429679665,278.4125136778574,102149.03979537872,273.7896263273152,101352.04107932464,0.0,-0.6166605894543998,-2.412792791627092,0.013274334929577464,扶沟县
2016_01_06,0.24441814173914433,272.5638545521156,280.9188347941281,275.21668194031037,103081.14940983713,270.8246377842575,102264.26693880245,3.312233155015341e-05,-0.4582265728544802,-1.1899125823365562,0.026548669859154928,扶沟县
2016_01_08,0.33848902891437066,268.53383073642823,277.4780174779719,271.5071992640846,102770.37726892582,268.16530569872833,101952.36074176055,1.862645149230957e-09,-0.7987924111479445,-0.25615928672956406,0.035398226478873245,扶沟县
2016_01_12,0.0920856113922355,265.3831742503937,273.7815863543514,270.7220178288918,103125.53611108901,268.06934783297373,102294.77021649672,1.7944127146567463e-07,0.07751493460494477,0.07483090623758445,0.053097339718309856,扶沟县
2016_01_13,0.44210930220688954,261.3275786606065,279.6478284190024,273.88016108131615,102540.51778726811,267.973362150746,101724.31575318056,4.284083843231201e-08,2.9570615980846253,0.2375387158376536,0.05752211802816901,扶沟县
2016_01_14,0.4075138956403163,261.031727853619,281.3606179274533,274.5201702896137,102143.23565531318,268.85707618135655,101334.82646288001,0.0,2.6044922686049725,-0.10874454664314051,0.061946896338028176,扶沟县
2016_01_15,0.44721237938405384,269.455227988646,283.9338697260465,276.8149604013797,101760.90107751095,268.92266840365124,100963.34321635748,0.0,0.9022373851060939,2.158350715389642,0.06637167464788732,扶沟县
2016_01_17,0.17067400658301476,267.76779630317577,275.8007480889167,271.6937437576889,102408.82139486025,268.28872555440097,101584.25201096265,8.801504432478809e-07,-0.8909184585622048,-2.744471972030655,0.07522123126760563,扶沟县
2016_01_18,0.3848976753187513,263.329018515123,276.8244823782862,270.90168525265847,102828.13838750351,265.7865784244766,102003.50583830415,0.0,0.8899815741899573,-0.7509218415629696,0.07964600957746479,扶沟县
2016_01_19,0.41082638237131597,262.248480305549,277.48498080163677,272.8892732277935,103061.63180279055,265.56564893582095,102236.81237780485,2.283541842931189e-06,-1.2557575247936077,-0.80122810867162,0.08407078788732394,扶沟县
2016_01_21,0.3556065529766571,266.2865931028702,277.3029397026579,272.7013164082388,103143.65291774286,269.80089071710375,102318.83145211103,7.081794894845676e-06,-1.2982636042635058,0.42650098999099917,0.09292034450704226,扶沟县
2016_01_23,0.3853695746380757,251.70915910946016,271.88525808044824,267.83310967682706,104459.65402393877,263.90041473973776,103602.69768716242,0.0,3.5179609604951954,-3.393465531101664,0.10176990112676056,扶沟县
2016_01_24,0.43634624410727324,250.2996390344856,271.6819371607823,267.8845643244596,104183.87469155219,263.93942670983984,103332.34821920784,0.0,3.7897202494143536,-0.6429410175893696,0.10619467943661971,扶沟县
2016_01_25,0.3917694533080224,253.04351347747988,278.04361747449235,272.4807649644558,103191.66191067355,266.0783876757535,102363.9818436082,1.862645149230957e-09,3.6212959418135418,0.9932066486929911,0.11061945774647888,扶沟县
2016_01_26,0.39743158098293563,258.3985338305155,280.7995567926804,273.68230637278515,102819.60895913518,268.5804153180433,102005.46621095073,4.284083843231201e-08,0.03890774573068746,0.23289741573429226,0.11504423605633803,扶沟县
2016_01_27,0.38607859964756047,265.6457510094526,281.66694859254153,276.32637606778303,102518.71620535142,269.0714118183367,101711.55588437454,0.0,-1.5718747461802782,1.3327755984819416,0.11946901436619718,扶沟县
2016_02_01,0.33052154041751497,266.6768922139092,276.8207751303246,271.3838029414749,103642.25797431367,265.80846427251873,102814.1650730783,0.0,0.854328983923835,0.993545228508906,0.14159290591549298,扶沟县
2016_02_02,0.4050990024610829,264.78260689530873,280.73024711528547,274.63627371969017,103002.02542114019,267.1637436850083,102184.49931147454,0.0,0.8052442267491208,2.3020359140686337,0.1460176842253521,扶沟县
2016_02_03,0.37370426141002905,266.746338596244,282.4809311636161,275.8001437681918,102858.45957113693,269.93743964940484,102048.91001924234,1.862645149230957e-09,0.4121883436278286,2.2344062964943983,0.15044246253521126,扶沟县
2016_02_04,0.35008911020938915,267.40994877020034,282.8541246644754,276.0784980789086,102866.47687808749,271.222264864163,102060.19168279742,4.284083843231201e-08,0.4033179279095319,1.2743940436502699,0.15486724084507042,扶沟县
2016_02_05,0.21522468451245444,256.78266468681824,282.63592568231905,276.54946609210094,103174.75132808853,270.44695048171377,102356.91812800373,0.0,3.096984956021565,-3.118189798345605,0.15929201915492958,扶沟县
2016_02_06,0.36409832648227775,257.01388145176776,282.59815610473555,276.6328635366149,102951.91474895367,270.587667956794,102141.03458140457,0.0,2.9283073000140223,-0.22682935164934281,0.16371679746478873,扶沟县
2016_02_07,0.4156270774048908,262.06620114718885,284.9086587658641,278.6004806895685,102180.58987829037,271.7814825024981,101386.2329226268,0.0,2.981915627267617,-0.17732134937890956,0.1681415757746479,扶沟县
2016_02_08,0.36745208118720407,268.7902467677298,293.14917186752433,282.74594090346955,101690.38725339886,273.948732189217,100914.02387105259,0.0,2.213836156273374,1.291905182480381,0.17256635408450705,扶沟县
2016_02_09,0.41321081751383526,271.87193666943807,290.51849538494434,282.90130624298473,101686.29042694929,274.18108973375365,100904.30785159774,7.225895875366943e-07,-1.252923479114477,-1.4242947682525597,0.1769911323943662,扶沟县
2016_02_10,0.3645023359961667,276.76631184844405,288.4817057577614,284.4562846685332,101313.78718053244,279.83168457017683,100535.67141113336,0.0015925790014251833,-1.816727302356867,0.264998563120715,0.18141591070422536,扶沟县
2016_02_14,0.4240265436799386,260.89692126588494,277.237943574782,274.00643828220615,103407.33307410902,271.65015754690734,102579.55894562452,0.0,1.651549366525487,-1.8349857879569662,0.19911502394366198,扶沟县
2016_02_16,0.45217184005953254,261.5149592764581,284.6663276271156,277.87880017290377,102643.63378426975,271.93335641063544,101839.47945701507,1.862645149230957e-09,2.961081645645754,-0.8259966647333229,0.2035398022535211,扶沟县
2016_02_17,0.38811324577113293,265.12514476697294,286.5794158212278,280.69724653082665,102334.79120118478,272.73492946870357,101538.64299580816,4.284083843231201e-08,2.125778554643542,1.7630586341805212,0.20796458056338027,扶沟县
2016_02_18,0.40126930052139637,267.3958639772837,288.6153815672344,281.7282364178735,102291.00444212457,276.30977696469245,101502.71962346738,1.1202446794101738e-11,-0.045587630255626004,-0.08931744446318698,0.21238935887323943,扶沟县
2016_02_29,0.4356660188433705,266.1508879480635,285.104042252419,279.7843061392777,103013.61573878865,273.7167455618845,102206.40483529973,0.0,-1.9085342601601591,0.9643779935357204,0.22123891549295777,扶沟县
2016_03_01,0.4059010020812725,271.5675208897572,288.8009454258158,282.40401870532514,102367.65855733906,275.49469403008754,101579.23960041624,0.0,-0.2800842880615325,1.7920106900495925,0.22566369380281692,扶沟县
2016_03_02,0.4016446949963348,273.6594500304169,294.16273388935315,287.29464524864625,101859.27490263863,280.2914443013823,101083.73425357236,0.0,2.0579181031588782,2.502136719359998,0.23008847211267605,扶沟县
2016_03_03,0.512120729369315,278.3982349298665,297.42652850875885,289.78232316205987,101395.32385892718,282.9397187464625,100628.26166168813,0.0,0.820477966461281,3.3074140504052787,0.2345132504225352,扶沟县
2016_03_04,0.48837138414531045,282.3035909145752,295.83011259588835,289.72645709900587,101576.09477912122,284.17855318163754,100806.8164975138,0.00751825725079128,1.0293607976937238,0.26873892546038397,0.23893802873239436,扶沟县
2016_03_07,0.216752635583812,276.7823276741049,289.01119554887094,284.25821556928895,101845.22384787082,279.4821860058619,101060.39144853564,0.00988080384666933,-3.1861202669160043,-3.6244779585920592,0.25221236366197186,扶沟县
2016_03_09,0.5000557895969658,264.33473575884744,279.995536547526,276.7805113784226,103316.18712377858,273.5499562007984,102498.51132710396,4.284083843231201e-08,-1.5492199673139049,-1.2629322188948433,0.2610619202816902,扶沟县
2016_03_10,0.5525817567577231,264.52606910954825,282.83672649212554,277.2893307287334,103030.62156510916,272.6737202854632,102220.85401621138,0.0,1.5297159283773636,0.31211297804310145,0.2654866985915493,扶沟县
2016_03_11,0.5381298350640578,266.76998082862065,285.5299828008727,280.96950466601976,102185.6011441111,274.20872895567567,101388.41880603945,5.634523785877757e-05,0.6250348659275186,2.1473302051370275,0.26991147690140843,扶沟县
2016_03_12,0.4983432130087436,275.05394638661977,284.8342977748321,281.53356261749934,101798.1851789349,277.55995762759267,101006.38435934481,3.368752411951247e-05,-0.2875798056181591,2.1182514842535762,0.2743362552112676,扶沟县
2016_03_13,0.21025641025641026,269.3951037378823,287.24545218303604,280.9176140800329,102545.22991395765,274.8282974283216,101751.56135375595,4.3580438567781396e-08,-1.7241267849256896,-1.9629805471305324,0.2787610335211268,扶沟县
2016_03_14,0.557208648856892,268.7471499511619,288.52467388027696,282.70064370201703,102311.9604370048,276.42363311082266,101522.09793399327,0.0,-1.0778789643160123,2.122824846200589,0.28318581183098596,扶沟县
2016_03_15,0.5853153946137546,275.9998195770956,287.09379006347166,282.0706230582115,101754.17107763358,277.00854701393087,100968.3115408996,5.00108617092535e-05,-1.2714191921166393,1.8942544909582857,0.2876105901408451,扶沟县
2016_03_16,0.5620720171185823,276.98350110057254,290.5682109177723,286.16407784293773,101635.22069931468,278.6416881002975,100858.47344760499,8.568167686462402e-08,-0.9682270579116368,1.6312546954368676,0.2920353684507042,扶沟县
2016_03_18,0.5914543657653868,280.675494914817,295.0682559389616,287.6481598138048,101255.22880800134,282.41732471383034,100489.24312425248,0.0,-0.9189943000668849,1.0939188909161908,0.3008849250704225,扶沟县
2016_03_19,0.4899322399735661,281.5541023590863,295.8677955499419,289.64932214247733,101815.52609157683,283.8536950976736,101043.62571261462,2.4527219530707215e-06,-2.82987080056286,0.45360808001950814,0.3053097033802817,扶沟县
2016_03_20,0.5886083832318572,276.78510623962865,292.7993272287814,287.0655361983578,102235.84989794243,281.62571830047943,101455.41466844853,5.047921047919332e-07,-3.3148239290158417,-1.780168533146826,0.30973448169014084,扶沟县
2016_03_21,0.6217656125236068,272.1152189717739,292.38382627810876,286.203306909079,102038.22161961893,280.4887616889664,101258.48476512282,0.0,-2.5809327116356617,0.31576052741106914,0.31415926000000005,扶沟县
2016_03_22,0.6917074530045461,273.67479933515943,292.59229455256826,288.2398410653654,101971.11847295765,283.0018249055082,101192.57180340782,6.7909709134943095e-06,-1.7405678079625795,-2.7614291114385945,0.31858403830985915,扶沟县
2016_03_23,0.4173188741518955,270.02898219109437,289.23757237797327,285.22199166897525,102999.11539176303,281.6241189957808,102204.86264610577,0.0,-3.117250423794997,-1.9320563278161988,0.3230088166197183,扶沟县
2016_03_24,0.7127877951353451,266.93043798316677,287.72228366233264,283.83910992358267,103045.93724280832,279.88183189762685,102249.88936995297,0.0002662202843601002,-0.7486676718798655,1.4676791879112034,0.32743359492957747,扶沟县
