Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2016_01_02,273.20413702768684,287.73002471375,278.6235760662798,101864.10543148297,272.0960627491774,98663.44779046749,0.0,2.293716812712506,0.6269352329120186,0.27544704786072016,0.008849556619718311,洛龙区
2016_01_03,272.3058124797647,287.0416363803619,278.92901099172934,102139.18369732254,273.6592313360033,98912.04739814806,0.0,0.9339573573589363,-0.0406720363777045,0.2101870349778807,0.013274334929577464,洛龙区
2016_01_06,267.48295459028816,281.5294612619126,274.70955580916495,103103.26443052317,269.0277508218121,99774.12231093291,0.0,2.4955950472972988,-0.499679939240042,0.2038945239549513,0.026548669859154928,洛龙区
2016_01_08,265.1543357034996,279.5059599117158,272.81857745980363,102714.39062403164,267.3070510960853,99382.5683242439,1.862645149230957e-09,0.9359929589094041,-0.2400451711252216,0.23538492877777462,0.035398226478873245,洛龙区
2016_01_09,267.5833330301921,277.7791815993805,271.81309438381436,102472.7374918688,267.21356223481723,99158.47800086423,4.284083843231201e-08,0.7339652750692727,0.6294552869622542,0.1461969411820077,0.039823004788732394,洛龙区
2016_01_10,269.8200662646145,278.1627485993595,272.8295896433467,102851.89934206915,268.17682820030166,99502.20764248188,0.0003221467666577956,-0.9158160532783619,-0.45039315033841737,0.0523127220909968,0.04424778309859155,洛龙区
2016_01_12,263.0861812379008,274.486259243979,271.08265249691385,103111.20470279423,268.39415126815027,99727.56875499112,1.2292637438146042e-05,2.169642838704016,0.4455794143123144,0.203479146659869,0.053097339718309856,洛龙区
2016_01_13,257.2019588511291,278.6287306538395,273.56801815738197,102679.44388571056,268.70047415452393,99331.36796812803,4.284083843231201e-08,4.241901451971077,-0.060397445897012014,0.2836438208695167,0.05752211802816901,洛龙区
2016_01_14,259.2132855139787,280.19557782631733,273.66426264326566,102240.15500712485,267.83376672881025,98920.37355671306,0.0,3.764777482734449,-0.07478563124368372,0.2473260866065032,0.061946896338028176,洛龙区
2016_01_15,265.30106176138264,282.8809941064152,275.16230829130365,101697.43170136491,267.71105679872693,98439.04561030382,0.0,1.0140955362543638,0.5442122335727472,0.26596671076520184,0.06637167464788732,洛龙区
2016_01_17,265.4709965564912,279.57013880387916,273.5224197552162,102368.44682108358,269.2758386125424,99036.0242960489,0.0,1.017147934547679,-0.6189589179122608,0.12771270815695684,0.07522123126760563,洛龙区
2016_01_18,255.97841428191205,276.07199021998616,271.16268488334555,102922.42477310826,265.16977368646366,99539.57914423243,0.0,3.3566851620650473,-0.6809090930168978,0.24314855754439166,0.07964600957746479,洛龙区
