Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2016_01_02,271.8966143441629,285.83453094613776,278.45126322031666,101826.82284920952,273.0107050979033,98496.14036641631,0.0,0.15114565904546332,-0.48819487325166766,0.2425137118531421,0.008849556619718311,淇县
2016_01_03,273.2484980973175,282.867962958007,276.71504693484076,102258.91949839667,272.7635158544972,98861.69572614293,2.0923858371140215e-05,-0.8632394657070085,-1.3476636944151512,0.12996173529002117,0.013274334929577464,淇县
2016_01_06,269.4582275667685,277.88374648808326,273.4189933609346,103144.75724197406,270.39357954281706,99656.31682634114,1.6205487988159692e-05,-1.4000788238972626,-0.8398723327131703,0.09902301351511303,0.026548669859154928,淇县
2016_01_08,265.95473126974883,276.4253158232931,270.87349267133334,102747.62557901606,266.939324589683,99265.12009122067,1.862645149230957e-09,-0.20254285266992184,1.1552458826004943,0.13517456112279977,0.035398226478873245,淇县
2016_01_09,266.57757337563976,276.6874441620198,270.89797202996976,102441.99535769988,267.1051997493605,98993.65621726132,4.284083843231201e-08,0.5245209405588775,1.3310462041050142,0.20232502425854612,0.039823004788732394,淇县
2016_01_10,268.49611238652494,275.5829428790787,272.1420783207015,103016.97016788526,268.7937344146903,99506.9853164345,0.0004694524327895321,-1.1272664290723238,-3.795506718502524,0.014453970702102057,0.04424778309859155,淇县
2016_01_12,261.13895832881127,272.6079771943796,268.89715694326446,103065.33087815225,266.41864782733967,99535.37500456581,2.2103483980544344e-07,-0.1284270405918513,1.296430144250409,0.16321391549553962,0.053097339718309856,淇县
2016_01_13,258.63052981194994,279.4866621977775,271.94408606536405,102388.04026401542,266.41065973431523,98948.50710532283,4.284083843231201e-08,0.913125256462482,0.458499654045412,0.21408355945630947,0.05752211802816901,淇县
2016_01_14,257.4776285974772,280.5428379141511,272.4405998925279,101995.55486267342,266.2853319118049,98585.00194548962,0.0,0.764243981929021,0.8626802434725981,0.2928493078400711,0.061946896338028176,淇县
2016_01_15,261.48773643395384,281.2018096694071,273.86762881565204,101669.10487106962,268.3994468802102,98282.5639371418,0.0,0.133113280023253,0.908332174095362,0.33006440248161895,0.06637167464788732,淇县
2016_01_17,266.4858629013778,272.10266827873807,270.05404973048746,102504.95084794503,266.9883852372709,98980.84626700741,0.00013732323446011112,-2.003134638632339,-1.2078622671204355,0.1578679059426176,0.07522123126760563,淇县
2016_01_18,261.4329198723915,276.05307981812,270.3623323391985,102794.59151648727,265.81609136099064,99283.01762723117,3.1675604452827023e-06,-0.5528301319134411,-0.36459479772864983,0.24766092979620827,0.07964600957746479,淇县
2016_01_19,259.7434466233305,275.0839556563427,270.95968723510526,103156.19610845817,265.82909636999415,99632.70495777937,3.5150483533927164e-06,-1.12843424689319,-0.3908566003870702,0.23114169251059405,0.08407078788732394,淇县
2016_01_21,265.8675515613851,276.66056704795506,272.1678930570014,103209.70805075175,268.7870184218469,99688.13475045076,0.0012195599315369752,-1.09761454171425,-0.7838179627587608,0.13882992859830842,0.09292034450704226,淇县
2016_01_23,248.66333665039193,269.07175647487287,264.87219832481696,104433.04679010711,260.3881196411413,100771.56553555913,0.0,2.001013262899936,-2.802331457281602,0.2715629293720406,0.10176990112676056,淇县
2016_01_24,250.91927572544253,272.6227634509756,266.72118751395806,103944.18861507218,260.647680947124,100360.86863094484,0.0,1.7465191471667127,0.6252159731011505,0.3119805578521793,0.10619467943661971,淇县
2016_01_25,253.37298350693416,278.0262499891034,270.8161974232089,102945.18997433566,264.3067563219084,99458.60230085444,1.862645149230957e-09,1.0837476543141298,0.8431016732406306,0.2817651339478653,0.11061945774647888,淇县
2016_01_26,254.14085862692954,278.1343887206428,271.85921759628985,102808.4591629062,266.59519918747196,99327.84456443094,4.284083843231201e-08,-0.12432379467046979,0.8254975898777154,0.2821859460007534,0.11504423605633803,淇县
2016_01_27,262.31161092038263,279.0687790994058,274.91264255311717,102545.55954211226,267.66988327090587,99099.41711812011,0.0,0.47598378750752146,1.0126547674119906,0.2383442574404675,0.11946901436619718,淇县
2016_01_28,261.79903514244546,279.2561830435876,274.56039875932635,102852.9522440653,270.4700941541416,99383.20505842345,0.0,-0.6329108085480102,-2.314942598671154,0.21654183378732197,0.12389379267605635,淇县
2016_01_29,265.378508745827,273.14189865408605,270.31239411113086,103265.70772188494,267.7392682816677,99716.39738353781,0.00011759921183824875,-1.5026118141795641,-3.2839826460761388,0.13308067721826183,0.1283185709859155,淇县
2016_02_01,261.9633902017421,277.8642336961305,270.8606384339866,103536.12540794897,264.12511652248,100036.39960387758,0.0,0.35912299341806664,1.0393974100478935,0.2293325082553512,0.14159290591549298,淇县
2016_02_02,259.43833988771047,279.86654951658625,272.9940735781062,102878.63433906031,267.44594257886,99423.53476173876,0.0,0.2143236429202371,1.1659270825505885,0.2575046030967704,0.1460176842253521,淇县
2016_02_03,263.7200528541948,281.71470083005545,276.0393207825698,102800.59889548691,269.6637062932102,99369.4603424245,1.862645149230957e-09,0.18451822856209682,0.5466725834745783,0.2327316635918967,0.15044246253521126,淇县
2016_02_04,264.9415961067937,281.88602575066614,275.8209091065408,102870.92889730769,270.85052073148677,99435.0120648889,4.284083843231201e-08,-0.06188171471672531,-0.6573032019070124,0.18502777345074506,0.15486724084507042,淇县
2016_02_05,255.612515651417,280.7044000492475,273.97210689248436,103163.14135160578,268.17512334261954,99692.00206408529,2.2550816318655863e-05,1.570895252198165,-1.9805890499372216,0.22819076834565113,0.15929201915492958,淇县
2016_02_06,256.6924689706867,281.7281481457349,274.74552177313,102799.11679451347,268.5374816624966,99362.02481154134,0.0,1.170451282164764,0.2780689202943941,0.25628520784155845,0.16371679746478873,淇县
2016_02_07,258.6957078784359,284.42590916885797,276.89953263682116,102001.95013141488,270.2325813051631,98630.93328440911,0.0,2.0348647463735072,-0.18399771890002198,0.27914517406989336,0.1681415757746479,淇县
2016_02_08,265.03586183745017,291.824126450143,281.08295256400197,101601.1272527971,273.1442847818155,98303.60739742682,0.0,0.8015027232009997,0.2826441981693139,0.2553105278406038,0.17256635408450705,淇县
2016_02_09,265.36343803516894,287.27377525805514,280.3526012772237,101828.28237750701,274.5465545209618,98477.79202757026,0.0,-0.5264652724748068,-1.9019569670656693,0.2671205409415108,0.1769911323943662,淇县
2016_02_16,262.8783659472601,284.980137834987,276.9342218584765,102519.94842176337,270.464331879319,99126.42334189653,1.862645149230957e-09,0.8237720061168552,0.04449309139078899,0.3509388414201089,0.2035398022535211,淇县
2016_02_17,263.53370146040686,285.4685455473198,278.2339908167829,102155.2152722447,270.5425951506936,98794.60940891148,4.284083843231201e-08,1.2653290252263134,1.3214971225708547,0.2732906088808858,0.20796458056338027,淇县
2016_02_18,264.2000971642757,286.1913959060777,280.40087616693455,102269.41967478851,272.02047372110013,98912.88953071545,0.0,0.6128620565429241,0.6238908212295156,0.28156198896436135,0.21238935887323943,淇县
2016_02_29,262.4308896569504,281.8314606772579,276.6844309126829,103011.07895488405,271.0512151116903,99568.75656243692,0.0,-0.12718950023705816,1.97309983867029,0.29751899695542555,0.22123891549295777,淇县
2016_03_01,268.4838941850808,287.3305658519126,281.346480397292,102246.97643646912,273.65991281670676,98906.3363081837,0.0,0.869887668014722,1.7576706113968241,0.2972555489973862,0.22566369380281692,淇县
2016_03_02,268.6348710384201,294.3881867107011,285.7352397705937,101639.75851759662,277.91752631916484,98379.8136597016,0.0,1.644606891254982,1.3228000676538714,0.30131662268790305,0.23008847211267605,淇县
2016_03_03,270.9932802540799,297.67619397605534,288.4510742317632,101200.67488548074,279.46248223472304,97962.10861835784,0.0,1.734274255636859,2.612747765356122,0.3067344245770298,0.2345132504225352,淇县
2016_03_09,262.2962572167815,277.409839819447,274.83316250327533,103367.50751546698,271.37824447648467,99876.37869444811,9.170145052097392e-06,-0.995314672364264,-0.38730818494426805,0.15712872683672077,0.2610619202816902,淇县
2016_03_10,257.63399419587734,282.03828943213955,276.05119457671253,102954.01016149396,270.9268245578875,99515.25327338869,0.0,0.3406199938574833,0.19664674668308663,0.38165846447236024,0.2654866985915493,淇县
2016_03_11,259.53040217125607,284.7353412385528,279.53551406246504,102051.63246603827,273.0504035312824,98668.277456332,0.0,0.2537436643587702,1.8538060370290603,0.35438324651799763,0.26991147690140843,淇县
2016_03_13,261.9039946943333,285.9039454980381,280.28494025779383,102591.482357376,274.3876204501226,99207.19828083963,0.0,-0.8259932917417844,-0.9795134520015222,0.3060379673823625,0.2787610335211268,淇县
2016_03_14,264.11718806647286,288.1359998822009,282.87820872219663,102208.63572311314,276.6000483732001,98855.48589829319,0.0,0.9847147746349527,3.219904446066085,0.35124841434103843,0.28318581183098596,淇县
2016_03_16,273.69606979566413,290.20871946583986,285.89040321628784,101560.49127899673,278.31053434945323,98263.21546554797,8.568167686462402e-08,0.5418204831979329,2.2598835343131825,0.33296171163999083,0.2920353684507042,淇县
2016_03_18,276.53866855867744,294.9621284652832,288.8231122288358,101254.33397019589,282.66492755935155,98005.95079555348,0.0,-0.06923633134731282,0.21671783674039116,0.24361192734389758,0.3008849250704225,淇县
2016_03_19,275.96142345330804,293.91308654312434,288.2186279148459,101973.66945032567,282.2595976988037,98678.64508762794,0.0,-1.1606348761388536,-1.414269300574534,0.17206251006256257,0.3053097033802817,淇县
2016_03_20,270.584731762832,288.83569089422866,284.5437521366849,102455.78984275523,280.61405455468537,99119.95616341925,0.0,-0.5138648214705852,-3.1732756134698676,0.32591719980614703,0.30973448169014084,淇县
2016_03_21,271.7945322282898,291.2020857883797,286.1763455288464,102050.22619321504,282.4322258642573,98747.25089630237,0.0,-0.14263265944738687,1.3835344875539857,0.2640707973224588,0.31415926000000005,淇县
2016_03_22,271.89722627864154,290.87948819013775,286.40654112573196,102190.22312024914,282.2734279516077,98860.02129280088,2.0276921743423365e-05,-1.188753692879499,-3.3142824903344925,0.3692617639412562,0.31858403830985915,淇县
2016_03_23,270.6160691776542,285.65904683586285,282.62407261244016,103157.37492821905,279.7972841292155,99761.90874241806,2.1343228216289913e-05,-1.2666971179039153,-2.0002980600494515,0.2800065674686692,0.3230088166197183,淇县
2016_03_24,269.9477630614923,286.17163499215184,283.0411121731677,103042.57244066018,280.4972406423889,99651.19082339901,0.00036334717690324826,0.19805304994801226,1.2480280093898006,0.2510950989483786,0.32743359492957747,淇县
