Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2016_01_02,277.53860457618407,288.4929017926737,283.00963615303414,102052.08868025106,278.256264709985,101447.63041025276,0.0,1.5261721775907258,2.6105206623602615,0.24097983778555224,0.008849556619718311,潢川县
2016_01_03,279.53373664693487,288.6577423697069,282.3061644216706,102028.75020663433,278.50368122792827,101425.09322771273,1.3307234153303617e-05,0.28948841027564487,-0.9484606802402495,0.3132582722246103,0.013274334929577464,潢川县
2016_01_08,272.14522624694126,278.81495295923054,274.61745722910337,102739.62450839583,271.1061724239557,102116.09247618723,1.862645149230957e-09,-0.8474141276198034,-0.25063644465040746,0.2324398020646565,0.035398226478873245,潢川县
2016_01_13,270.1172813981937,278.9091585765717,274.1898425624288,102679.50684256891,271.2770364240838,102054.99932832253,4.284083843231201e-08,1.5483066366732519,0.7630165940545859,0.2957599367693238,0.05752211802816901,潢川县
2016_01_15,272.21792387999056,284.2948083021949,277.04571528398424,101897.90212273224,271.1634819740633,101284.63077765994,0.0,0.8889139705005624,2.332715637076178,0.2995030510440241,0.06637167464788732,潢川县
2016_01_17,271.14667021348095,280.30273793379376,274.9394483807975,102226.40919855838,270.82070021048884,101602.39388559612,0.0,-0.2772625468282138,-2.5082972605345963,0.10137716185744305,0.07522123126760563,潢川县
2016_01_18,267.93563732687204,277.3718979406481,272.48829251842784,102833.25278117406,268.6491327094365,102201.77147425397,0.0,-0.8950627253101198,-1.1628366715903213,0.15996684814015777,0.07964600957746479,潢川县
2016_01_19,265.021591654191,279.7524236657008,275.9034816333945,102946.85987303263,268.692028726776,102316.96860042283,8.539149072045142e-13,-2.941916456035188,-0.40876240580341733,0.3137299638776624,0.08407078788732394,潢川县
2016_01_21,269.49400589231465,275.26701508351766,273.94056129659225,103030.04637416561,271.50541788069273,102395.33440375488,0.0006024710784265379,-2.851652506065585,-1.3719084898545526,0.22941264048547472,0.09292034450704226,潢川县
2016_01_23,256.56258024602846,273.4131731695059,269.2788355538096,104438.68529203361,264.79076512527513,103783.66855396758,0.0,1.7606243279514784,-3.238718620282288,0.18052123121131064,0.10176990112676056,潢川县
2016_01_24,254.51743264201812,270.8590782471607,267.3499385058201,104351.26463425443,264.7789917875042,103696.36692683604,0.0,2.3163775822367083,-0.7055967941351039,0.3303468006607345,0.10619467943661971,潢川县
2016_01_25,260.5911360936713,277.1279946232822,272.5800615440654,103417.64704457403,265.96990589716654,102779.782191883,1.862645149230957e-09,2.479270346972571,2.386425863998806,0.3188351236527066,0.11061945774647888,潢川县
